"plb0022_h","year","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","5724","0.409652459769781","0.400942215013549","0.418362704526013"
"Teilzeitbeschaeftigung","1984","661","0.0548813924532608","0.0508474990840594","0.0589152858224623"
"Ausbildung/Lehre","1984","439","0.0331479454591588","0.0299770858326233","0.0363188050856942"
"Geringfuegig erwerbstaetig","1984","341","0.0295487512656708","0.0265494152395347","0.0325480872918069"
"Altersteilzeit mit Arbeitszeit Null","1984","","","",""
"Freiwilliger Wehrdienst","1984","","","",""
"FSJ/FOeJ/BFD","1984","","","",""
"Werkstatt fuer Behinderte","1984","","","",""
"Nicht erwerbstaetig","1984","5045","0.469355969259296","0.460516595237213","0.478195343281379"
"Betriebliches Praktikum","1984","","","",""
"Wehrpflicht/Zivildienst","1984","35","0.00341348179283264","0.0023804231023156","0.00444654048334968"
"Voll erwerbstaetig","1985","5258","0.416933099927023","0.40775664999856","0.426109549855486"
"Teilzeitbeschaeftigung","1985","755","0.0682144867190609","0.0635222641639777","0.0729067092741442"
"Ausbildung/Lehre","1985","285","0.0246229943779053","0.0217387038257375","0.0275072849300731"
"Geringfuegig erwerbstaetig","1985","233","0.0218192171537969","0.0191002030301578","0.0245382312774359"
"Altersteilzeit mit Arbeitszeit Null","1985","","","",""
"Freiwilliger Wehrdienst","1985","","","",""
"FSJ/FOeJ/BFD","1985","","","",""
"Werkstatt fuer Behinderte","1985","","","",""
"Nicht erwerbstaetig","1985","4521","0.464791634325324","0.455508964232372","0.474074304418276"
"Betriebliches Praktikum","1985","","","",""
"Wehrpflicht/Zivildienst","1985","38","0.0036185674968904","0.0025010264853493","0.00473610850843149"
"Voll erwerbstaetig","1986","5031","0.417700626934957","0.408332331351309","0.427068922518604"
"Teilzeitbeschaeftigung","1986","642","0.0598053866665635","0.0553010183943284","0.0643097549387986"
"Ausbildung/Lehre","1986","364","0.0313170734023977","0.0280085343301745","0.034625612474621"
"Geringfuegig erwerbstaetig","1986","269","0.0252595938059228","0.0222789332117399","0.0282402544001056"
"Altersteilzeit mit Arbeitszeit Null","1986","","","",""
"Freiwilliger Wehrdienst","1986","","","",""
"FSJ/FOeJ/BFD","1986","","","",""
"Werkstatt fuer Behinderte","1986","","","",""
"Nicht erwerbstaetig","1986","4290","0.460687337506699","0.451218900233886","0.470155774779512"
"Betriebliches Praktikum","1986","","","",""
"Wehrpflicht/Zivildienst","1986","50","0.00522998168346031","0.00385983744829534","0.00660012591862527"
"Voll erwerbstaetig","1987","4957","0.422307271899151","0.412865630771295","0.431748913027008"
"Teilzeitbeschaeftigung","1987","689","0.0667808576133362","0.0620088341087946","0.0715528811178777"
"Ausbildung/Lehre","1987","436","0.0347654396090739","0.0312637709166167","0.0382671083015311"
"Geringfuegig erwerbstaetig","1987","215","0.0207993820880412","0.0180713729875608","0.0235273911885215"
"Altersteilzeit mit Arbeitszeit Null","1987","","","",""
"Freiwilliger Wehrdienst","1987","","","",""
