"plb0022_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","617","0.281249320563712","0.256920780469065","0.305577860658359"
"Voll erwerbstaetig","1984","Hauptschulabschluss","3366","0.395585792882338","0.384360393772721","0.406811191991954"
"Voll erwerbstaetig","1984","Realschulabschluss","826","0.424895624894723","0.402597848221367","0.447193401568079"
"Voll erwerbstaetig","1984","(Fach-)Abitur","335","0.322144536505769","0.291110879988215","0.353178193023324"
"Voll erwerbstaetig","1984","AkademikerInnen","537","0.647601485895023","0.614352190228027","0.680850781562019"
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","30","0.0140138370315206","0.0076532805282346","0.0203743935348066"
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","397","0.0545676989226214","0.0493533852376774","0.0597820126075654"
"Teilzeitbeschaeftigung","1984","Realschulabschluss","134","0.0629982282631822","0.0520389622176412","0.0739574943087232"
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","37","0.0386643463033285","0.0258607528925171","0.0514679397141399"
"Teilzeitbeschaeftigung","1984","AkademikerInnen","58","0.0741566477830211","0.0559195679852222","0.09239372758082"
"Ausbildung/Lehre","1984","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1984","Hauptschulabschluss","210","0.0222045218247969","0.0188218579864748","0.0255871856631191"
"Ausbildung/Lehre","1984","Realschulabschluss","164","0.0762150250837107","0.064246163579487","0.0881838865879345"
"Ausbildung/Lehre","1984","(Fach-)Abitur","50","0.0638388392350077","0.0476036702257997","0.0800740082442158"
"Ausbildung/Lehre","1984","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","198","0.0278748198995116","0.0240957820023832","0.0316538577966399"
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","54","0.0293030337727402","0.0216954765977616","0.0369105909477187"
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","44","0.0556477672215829","0.0404237281076992","0.0708718063354666"
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1984","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1984","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1984","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1984","AkademikerInnen","","","",""
"Werkstatt fuer Behinderte","1984","(noch) kein Abschluss","","","",""
"Werkstatt fuer Behinderte","1984","Hauptschulabschluss","","","",""
"Werkstatt fuer Behinderte","1984","Realschulabschluss","","","",""
"Werkstatt fuer Behinderte","1984","(Fach-)Abitur","","","",""
"Werkstatt fuer Behinderte","1984","AkademikerInnen","","","",""
