"plb0022_h","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","16-34 Jahre alt","2177","0.470788722719535","0.456398726124425","0.485178719314644"
"Voll erwerbstaetig","1984","35-65 Jahre alt","3530","0.510407833407596","0.498105807675273","0.522709859139919"
"Voll erwerbstaetig","1984","66 und älter","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","188","0.0421299742854389","0.0363385949908376","0.0479213535800402"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","461","0.0799855487909483","0.0733097409954161","0.0866613565864805"
"Teilzeitbeschaeftigung","1984","66 und älter","","","",""
"Ausbildung/Lehre","1984","16-34 Jahre alt","437","0.1000364502668","0.0913862787900747","0.108686621743526"
"Ausbildung/Lehre","1984","35-65 Jahre alt","","","",""
"Ausbildung/Lehre","1984","66 und älter","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","135","0.0312580459885945","0.0262413464888314","0.0362747454883577"
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","185","0.0333193731504487","0.028902746853264","0.0377359994476334"
"Geringfuegig erwerbstaetig","1984","66 und älter","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","","","",""
"Werkstatt fuer Behinderte","1984","16-34 Jahre alt","","","",""
"Werkstatt fuer Behinderte","1984","35-65 Jahre alt","","","",""
"Werkstatt fuer Behinderte","1984","66 und älter","","","",""
"Nicht erwerbstaetig","1984","16-34 Jahre alt","1650","0.345478982186842","0.331769983503784","0.3591879808699"
"Nicht erwerbstaetig","1984","35-65 Jahre alt","2165","0.376245853733398","0.364324012897962","0.388167694568834"
"Nicht erwerbstaetig","1984","66 und älter","1230","0.965774880802731","0.955815013698619","0.975734747906842"
"Betriebliches Praktikum","1984","16-34 Jahre alt","","","",""
"Betriebliches Praktikum","1984","35-65 Jahre alt","","","",""
"Betriebliches Praktikum","1984","66 und älter","","","",""
"Wehrpflicht/Zivildienst","1984","16-34 Jahre alt","35","0.01030782455279","0.00739598998286284","0.0132196591227171"
"Wehrpflicht/Zivildienst","1984","35-65 Jahre alt","","","",""
"Wehrpflicht/Zivildienst","1984","66 und älter","","","",""
"Voll erwerbstaetig","1985","16-34 Jahre alt","2085","0.508631206625672","0.493484938289974","0.523777474961371"
"Voll erwerbstaetig","1985","35-65 Jahre alt","3154","0.500036506983712","0.48715315478321","0.512919859184215"
"Voll erwerbstaetig","1985","66 und älter","","","",""
"Teilzeitbeschaeftigung","1985","16-34 Jahre alt","217","0.0535839391527285","0.046761200603121","0.0604066777023361"
"Teilzeitbeschaeftigung","1985","35-65 Jahre alt","522","0.0988834642160408","0.0911919615951817","0.1065749668369"
"Teilzeitbeschaeftigung","1985","66 und älter","","","",""
"Ausbildung/Lehre","1985","16-34 Jahre alt","282","0.0731470836638609","0.0652584047791376","0.0810357625485841"
"Ausbildung/Lehre","1985","35-65 Jahre alt","","","",""
"Ausbildung/Lehre","1985","66 und älter","","","",""
"Geringfuegig erwerbstaetig","1985","16-34 Jahre alt","107","0.0259398848655581","0.0211239870630814","0.0307557826680349"
"Geringfuegig erwerbstaetig","1985","35-65 Jahre alt","112","0.0224010765268917","0.0185880161808153","0.0262141368729681"
"Geringfuegig erwerbstaetig","1985","66 und älter","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","16-34 Jahre alt","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","35-65 Jahre alt","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","66 und älter","","","",""
"Freiwilliger Wehrdienst","1985","16-34 Jahre alt","","","",""
"Freiwilliger Wehrdienst","1985","35-65 Jahre alt","","","",""
