"ple0017","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Ja","2009","(noch) kein Abschluss","Hamburg","","","",""
"Ja","2009","(noch) kein Abschluss","Niedersachsen","2","","",""
"Ja","2009","(noch) kein Abschluss","Bremen","1","","",""
"Ja","2009","(noch) kein Abschluss","Nordrhein-Westfalen","2","","",""
"Ja","2009","(noch) kein Abschluss","Hessen","5","0.111886213392418","0.00745347577248232","0.216318951012353"
"Ja","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","1","","",""
"Ja","2009","(noch) kein Abschluss","Baden-Wuerttemberg","7","0.122847081580232","0.048555853516648","0.197138309643816"
"Ja","2009","(noch) kein Abschluss","Bayern","1","","",""
"Ja","2009","(noch) kein Abschluss","Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Berlin","","","",""
"Ja","2009","(noch) kein Abschluss","Brandenburg","","","",""
"Ja","2009","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen","","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","2009","(noch) kein Abschluss","Thueringen","","","",""
"Ja","2009","Hauptschule","Schleswig-Holstein","9","0.0434097065283099","0.0144344225982516","0.0723849904583682"
"Ja","2009","Hauptschule","Hamburg","1","","",""
"Ja","2009","Hauptschule","Niedersachsen","28","","",""
"Ja","2009","Hauptschule","Bremen","2","","",""
"Ja","2009","Hauptschule","Nordrhein-Westfalen","56","0.0409822182520943","0.0305376352205816","0.0514268012836069"
"Ja","2009","Hauptschule","Hessen","20","","",""
"Ja","2009","Hauptschule","Rheinland-Pfalz,Saarland","22","","",""
"Ja","2009","Hauptschule","Baden-Wuerttemberg","33","0.0411692684500573","0.0272706763209863","0.0550678605791282"
"Ja","2009","Hauptschule","Bayern","53","0.0557268015512845","0.0422319692532022","0.0692216338493668"
"Ja","2009","Hauptschule","Saarland","","","",""
"Ja","2009","Hauptschule","Berlin","7","0.0515415702786877","0.01077568832437","0.0923074522330054"
"Ja","2009","Hauptschule","Brandenburg","6","0.0296077217152356","0.005378172878396","0.0538372705520752"
"Ja","2009","Hauptschule","Mecklenburg-Vorpommern","4","0.0355542840431806","0.000467701866172433","0.0706408662201887"
"Ja","2009","Hauptschule","Sachsen","9","0.0291874343806209","0.0105390343185823","0.0478358344426596"
"Ja","2009","Hauptschule","Sachsen-Anhalt","7","0.0352640685466946","0.0101374900852395","0.0603906470081497"
"Ja","2009","Hauptschule","Thueringen","8","0.0215026855309331","0.00380304652194461","0.0392023245399217"
"Ja","2009","Realschule","Schleswig-Holstein","8","0.0555314195108466","0.0179958320482784","0.0930670069734148"
"Ja","2009","Realschule","Hamburg","5","0.07114788645425","0.00865282475356325","0.133642948154937"
"Ja","2009","Realschule","Niedersachsen","26","","",""
"Ja","2009","Realschule","Bremen","1","","",""
"Ja","2009","Realschule","Nordrhein-Westfalen","39","0.0442322788728317","0.0294975167445543","0.0589670410011091"
"Ja","2009","Realschule","Hessen","19","","",""
"Ja","2009","Realschule","Rheinland-Pfalz,Saarland","13","","",""
"Ja","2009","Realschule","Baden-Wuerttemberg","31","0.0755190417470586","0.0520277349470826","0.0990103485470345"
