year,bula_h,regtyp,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,No,0.92551,181,181,0.88715,0.96387
2009,Schleswig-Holstein,Rural regions,No,0.93718,297,297,0.90953,0.96482
2009,Hamburg,Urban regions,No,0.95835,252,252,0.93363,0.98307
2009,Lower Saxony,Urban regions,Yes,0.05599,41,770,0.03974,0.07224
2009,Lower Saxony,Urban regions,No,0.94401,729,770,0.92776,0.96026
2009,Lower Saxony,Rural regions,Yes,0.04821,43,863,0.03391,0.06251
2009,Lower Saxony,Rural regions,No,0.95179,820,863,0.93749,0.96609
2009,Bremen,Urban regions,No,0.98385,116,116,0.96081,1.00689
2009,North Rhine-Westphalia,Urban regions,Yes,0.04649,173,3522,0.03954,0.05345
2009,North Rhine-Westphalia,Urban regions,No,0.95351,3349,3522,0.94655,0.96046
2009,North Rhine-Westphalia,Rural regions,No,0.95447,103,103,0.91402,0.99493
2009,Hesse,Urban regions,Yes,0.05301,57,997,0.03909,0.06692
2009,Hesse,Urban regions,No,0.94699,940,997,0.93308,0.96091
2009,Hesse,Rural regions,No,0.97799,214,214,0.95829,0.99769
2009,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.05912,44,775,0.04250,0.07574
2009,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94088,731,775,0.92426,0.95750
2009,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95527,239,239,0.92901,0.98153
2009,Baden-Wuerttemberg,Urban regions,Yes,0.05955,105,1917,0.04895,0.07015
2009,Baden-Wuerttemberg,Urban regions,No,0.94045,1812,1917,0.92985,0.95105
2009,Baden-Wuerttemberg,Rural regions,No,0.96365,181,181,0.93631,0.99099
2009,Bavaria,Urban regions,Yes,0.05686,68,1263,0.04408,0.06964
2009,Bavaria,Urban regions,No,0.94314,1195,1263,0.93036,0.95592
2009,Bavaria,Rural regions,Yes,0.05797,69,1346,0.04548,0.07046
2009,Bavaria,Rural regions,No,0.94203,1277,1346,0.92954,0.95452
2009,Berlin,Urban regions,Yes,0.06333,46,683,0.04505,0.08161
2009,Berlin,Urban regions,No,0.93667,637,683,0.91839,0.95495
2009,Brandenburg,Urban regions,No,0.91701,61,61,0.84721,0.98681
2009,Brandenburg,Rural regions,Yes,0.04412,34,724,0.02915,0.05908
2009,Brandenburg,Rural regions,No,0.95588,690,724,0.94092,0.97085
2009,Mecklenburg-Western Pomerania,Urban regions,No,0.96198,57,57,0.91189,1.01207
2009,Mecklenburg-Western Pomerania,Rural regions,No,0.95437,393,393,0.93371,0.97503
2009,Saxony,Urban regions,Yes,0.06416,36,695,0.04593,0.08239
2009,Saxony,Urban regions,No,0.93584,659,695,0.91761,0.95407
2009,Saxony,Rural regions,No,0.96529,646,646,0.95116,0.97942
2009,Saxony-Anhalt,Urban regions,No,0.95456,142,142,0.92019,0.98894
2009,Saxony-Anhalt,Rural regions,No,0.94581,591,591,0.92754,0.96408
2009,Thuringa,Urban regions,No,0.93724,232,232,0.90597,0.96852
2009,Thuringa,Rural regions,No,0.96125,548,548,0.94508,0.97743
2011,Schleswig-Holstein,Urban regions,No,0.93020,195,195,0.89434,0.96606
2011,Schleswig-Holstein,Rural regions,No,0.94625,419,419,0.92463,0.96787
2011,Hamburg,Urban regions,No,0.94749,291,291,0.92182,0.97316
2011,Lower Saxony,Urban regions,Yes,0.03566,42,861,0.02327,0.04806
2011,Lower Saxony,Urban regions,No,0.96434,819,861,0.95194,0.97673
2011,Lower Saxony,Rural regions,Yes,0.05029,52,1047,0.03704,0.06353
2011,Lower Saxony,Rural regions,No,0.94971,995,1047,0.93647,0.96296
2011,Bremen,Urban regions,No,0.95118,121,121,0.91263,0.98974
2011,North Rhine-Westphalia,Urban regions,Yes,0.05753,229,3996,0.05031,0.06475
