"ple0017","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Ja","2009","(noch) kein Abschluss","20","","","",""
"Ja","2009","Hauptschule","265","0.0436317427099607","0.0385519472704737","0.0487115381494477",""
"Ja","2009","Realschule","275","0.0563338499730161","0.0498193785013965","0.0628483214446357",""
"Ja","2009","(Fach-)Abitur","124","0.0638939819122341","0.0531863920390953","0.0746015717853728",""
"Ja","2009","AkademikerIn","213","0.0538686709208585","0.0469028843537959","0.0608344574879211",""
"Nein","2009","(noch) kein Abschluss","464","0.946300285554649","0.92621741061075","0.966383160498547",""
"Nein","2009","Hauptschule","5947","0.956368257290039","0.951288461850552","0.961448052729526",""
"Nein","2009","Realschule","4537","0.943666150026984","0.937151678555364","0.950180621498604",""
"Nein","2009","(Fach-)Abitur","1880","0.936106018087766","0.925398428214627","0.946813607960905",""
"Nein","2009","AkademikerIn","3822","0.946131329079142","0.939165542512079","0.953097115646204",""
"Ja","2010","(noch) kein Abschluss","","","","",""
"Ja","2010","Hauptschule","","","","",""
"Ja","2010","Realschule","","","","",""
"Ja","2010","(Fach-)Abitur","","","","",""
"Ja","2010","AkademikerIn","","","","",""
"Nein","2010","(noch) kein Abschluss","","","","",""
"Nein","2010","Hauptschule","","","","",""
"Nein","2010","Realschule","","","","",""
"Nein","2010","(Fach-)Abitur","","","","",""
"Nein","2010","AkademikerIn","","","","",""
"Ja","2011","(noch) kein Abschluss","22","","","",""
"Ja","2011","Hauptschule","352","0.050690274822224","0.0456056213773242","0.0557749282671238",""
"Ja","2011","Realschule","349","0.0610947233129973","0.054773690079333","0.0674157565466616",""
"Ja","2011","(Fach-)Abitur","169","0.0632096150648456","0.0535562887650863","0.072862941364605",""
"Ja","2011","AkademikerIn","247","0.0528254048116764","0.046352893414612","0.0592979162087409",""
"Nein","2011","(noch) kein Abschluss","539","0.956119996205147","0.939170523607977","0.973069468802317",""
"Nein","2011","Hauptschule","6798","0.949309725177776","0.944225071732876","0.954394378622676",""
"Nein","2011","Realschule","5166","0.938905276687003","0.932584243453338","0.945226309920667",""
"Nein","2011","(Fach-)Abitur","2272","0.936790384935154","0.927137058635395","0.946443711234914",""
"Nein","2011","AkademikerIn","4341","0.947174595188324","0.940702083791259","0.953647106585388",""
"Ja","2012","(noch) kein Abschluss","","","","",""
"Ja","2012","Hauptschule","","","","",""
"Ja","2012","Realschule","","","","",""
"Ja","2012","(Fach-)Abitur","","","","",""
"Ja","2012","AkademikerIn","","","","",""
"Nein","2012","(noch) kein Abschluss","","","","",""
"Nein","2012","Hauptschule","","","","",""
"Nein","2012","Realschule","","","","",""
"Nein","2012","(Fach-)Abitur","","","","",""
"Nein","2012","AkademikerIn","","","","",""
"Ja","2013","(noch) kein Abschluss","36","0.0863691569363877","0.0613432326336321","0.111395081239143",""
"Ja","2013","Hauptschule","359","0.0552283720721842","0.0495502830175098","0.0609064611268586",""
"Ja","2013","Realschule","371","0.0738810082096939","0.0666594215924769","0.0811025948269108",""
"Ja","2013","(Fach-)Abitur","162","0.0687318326545277","0.0581957888683634","0.079267876440692",""
"Ja","2013","AkademikerIn","258","0.0596581362566389","0.0527116295698297","0.0666046429434482",""
"Nein","2013","(noch) kein Abschluss","448","0.913630843063612","0.888604918760857","0.938656767366368",""
"Nein","2013","Hauptschule","5858","0.944771627927816","0.939093538873141","0.95044971698249",""
"Nein","2013","Realschule","4669","0.926118991790306","0.918897405173089","0.933340578407523",""
"Nein","2013","(Fach-)Abitur","2053","0.931268167345472","0.920732123559308","0.941804211131637",""
"Nein","2013","AkademikerIn","4208","0.940341863743361","0.933395357056552","0.94728837043017",""
"Ja","2014","(noch) kein Abschluss","","","","",""
"Ja","2014","Hauptschule","","","","",""
"Ja","2014","Realschule","","","","",""
"Ja","2014","(Fach-)Abitur","","","","",""
"Ja","2014","AkademikerIn","","","","",""
"Nein","2014","(noch) kein Abschluss","","","","",""
"Nein","2014","Hauptschule","","","","",""
"Nein","2014","Realschule","","","","",""
"Nein","2014","(Fach-)Abitur","","","","",""
"Nein","2014","AkademikerIn","","","","",""
"Ja","2015","(noch) kein Abschluss","71","0.0826753712264373","0.0637801224011149","0.10157062005176",""
"Ja","2015","Hauptschule","392","0.0529619590883544","0.0478485616961615","0.0580753564805473",""
"Ja","2015","Realschule","525","0.0777240745158717","0.0712147932411905","0.0842333557905529",""
"Ja","2015","(Fach-)Abitur","296","0.0731384602939308","0.0646941721562865","0.0815827484315752",""
"Ja","2015","AkademikerIn","379","0.0665751976298731","0.0601997014330792","0.072950693826667",""
"Nein","2015","(noch) kein Abschluss","745","0.917324628773563","0.89842937994824","0.936219877598885",""
"Nein","2015","Hauptschule","6977","0.947038040911646","0.941924643519453","0.952151438303839",""
"Nein","2015","Realschule","5974","0.922275925484128","0.915766644209447","0.928785206758809",""
"Nein","2015","(Fach-)Abitur","3356","0.926861539706069","0.918417251568425","0.935305827843714",""
"Nein","2015","AkademikerIn","5494","0.933424802370127","0.927049306173333","0.939800298566921",""
"Ja","2016","(noch) kein Abschluss","","","","",""
"Ja","2016","Hauptschule","","","","",""
"Ja","2016","Realschule","","","","",""
"Ja","2016","(Fach-)Abitur","","","","",""
"Ja","2016","AkademikerIn","","","","",""
"Nein","2016","(noch) kein Abschluss","","","","",""
"Nein","2016","Hauptschule","","","","",""
"Nein","2016","Realschule","","","","",""
"Nein","2016","(Fach-)Abitur","","","","",""
"Nein","2016","AkademikerIn","","","","",""
"Ja","2017","(noch) kein Abschluss","91","0.0977512223208122","0.0787257951683587","0.116776649473266",""
"Ja","2017","Hauptschule","410","0.0625286246304494","0.0569237288869739","0.068133520373925",""
"Ja","2017","Realschule","561","0.0817720290681932","0.0753242731394605","0.0882197849969258",""
"Ja","2017","(Fach-)Abitur","342","0.0715750176666459","0.0637311453677095","0.0794188899655822",""
"Ja","2017","AkademikerIn","437","0.0615056455889934","0.0556716754225766","0.0673396157554103",""
"Nein","2017","(noch) kein Abschluss","845","0.902248777679188","0.883223350526735","0.921274204831641",""
"Nein","2017","Hauptschule","6758","0.93747137536955","0.931866479626075","0.943076271113026",""
"Nein","2017","Realschule","6377","0.918227970931807","0.911780215003074","0.924675726860539",""
"Nein","2017","(Fach-)Abitur","3807","0.928424982333354","0.920581110034418","0.93626885463229",""
"Nein","2017","AkademikerIn","6078","0.938494354411006","0.93266038424459","0.944328324577423",""
"Ja","2018","(noch) kein Abschluss","","","","",""
"Ja","2018","Hauptschule","","","","",""
"Ja","2018","Realschule","","","","",""
"Ja","2018","(Fach-)Abitur","","","","",""
"Ja","2018","AkademikerIn","","","","",""
"Nein","2018","(noch) kein Abschluss","","","","",""
"Nein","2018","Hauptschule","","","","",""
"Nein","2018","Realschule","","","","",""
"Nein","2018","(Fach-)Abitur","","","","",""
"Nein","2018","AkademikerIn","","","","",""
"Ja","2019","(noch) kein Abschluss","64","0.0827366416669531","0.0633789191826682","0.102094364151238",""
"Ja","2019","Hauptschule","388","0.0629387122546748","0.0569039395822586","0.068973484927091",""
"Ja","2019","Realschule","559","0.0798589020665334","0.0733964735871947","0.0863213305458722",""
"Ja","2019","(Fach-)Abitur","348","0.076269486358946","0.0682075236238577","0.0843314490940343",""
"Ja","2019","AkademikerIn","502","0.0690314511772393","0.0631130261620646","0.074949876192414",""
"Nein","2019","(noch) kein Abschluss","714","0.917263358333047","0.897905635848762","0.936621080817332",""
"Nein","2019","Hauptschule","5833","0.937061287745325","0.931026515072909","0.943096060417741",""
"Nein","2019","Realschule","6200","0.920141097933467","0.913678669454128","0.926603526412805",""
"Nein","2019","(Fach-)Abitur","3816","0.923730513641054","0.915668550905966","0.931792476376142",""
"Nein","2019","AkademikerIn","6546","0.930968548822761","0.925050123807586","0.936886973837935",""
