year,bula_h,sampreg,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,West,Yes,0.06677,32,510,0.04508,0.08845
2009,Schleswig-Holstein,West,No,0.93323,478,510,0.91155,0.95492
2009,Hamburg,West,No,0.95835,252,252,0.93363,0.98307
2009,Lower Saxony,West,Yes,0.05187,84,1633,0.04111,0.06263
2009,Lower Saxony,West,No,0.94813,1549,1633,0.93737,0.95889
2009,Bremen,West,No,0.98385,116,116,0.96081,1.00689
2009,North Rhine-Westphalia,West,Yes,0.04646,176,3628,0.03961,0.05331
2009,North Rhine-Westphalia,West,No,0.95354,3452,3628,0.94669,0.96039
2009,Hesse,West,Yes,0.04681,63,1217,0.03494,0.05869
2009,Hesse,West,No,0.95319,1154,1217,0.94131,0.96506
2009,"Rhineland-Palatinate, Saarland",West,Yes,0.05556,54,1024,0.04152,0.06960
2009,"Rhineland-Palatinate, Saarland",West,No,0.94444,970,1024,0.93040,0.95848
2009,Baden-Wuerttemberg,West,Yes,0.05699,114,2107,0.04709,0.06690
2009,Baden-Wuerttemberg,West,No,0.94301,1993,2107,0.93310,0.95291
2009,Bavaria,West,Yes,0.05742,137,2609,0.04849,0.06635
2009,Bavaria,West,No,0.94258,2472,2609,0.93365,0.95151
2009,Berlin,West,No,0.92712,333,333,0.89916,0.95508
2009,Berlin,East,No,0.94763,304,304,0.92254,0.97271
2009,Brandenburg,East,Yes,0.04753,38,789,0.03267,0.06239
2009,Brandenburg,East,No,0.95247,751,789,0.93761,0.96733
2009,Mecklenburg-Western Pomerania,East,No,0.95516,450,450,0.93602,0.97430
2009,Saxony,East,Yes,0.04845,64,1369,0.03708,0.05983
2009,Saxony,East,No,0.95155,1305,1369,0.94017,0.96292
2009,Saxony-Anhalt,East,Yes,0.05252,36,769,0.03674,0.06830
2009,Saxony-Anhalt,East,No,0.94748,733,769,0.93170,0.96326
2009,Thuringa,East,Yes,0.04592,43,823,0.03161,0.06023
2009,Thuringa,East,No,0.95408,780,823,0.93977,0.96839
2011,Schleswig-Holstein,West,Yes,0.05859,37,651,0.04053,0.07664
2011,Schleswig-Holstein,West,No,0.94141,614,651,0.92336,0.95947
2011,Hamburg,West,No,0.94749,291,291,0.92182,0.97316
2011,Lower Saxony,West,Yes,0.04366,94,1908,0.03448,0.05283
2011,Lower Saxony,West,No,0.95634,1814,1908,0.94717,0.96552
2011,Bremen,West,No,0.95118,121,121,0.91263,0.98974
2011,North Rhine-Westphalia,West,Yes,0.05689,233,4131,0.04982,0.06395
2011,North Rhine-Westphalia,West,No,0.94311,3898,4131,0.93605,0.95018
2011,Hesse,West,Yes,0.06448,88,1409,0.05165,0.07731
2011,Hesse,West,No,0.93552,1321,1409,0.92269,0.94835
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.06312,71,1206,0.04939,0.07685
2011,"Rhineland-Palatinate, Saarland",West,No,0.93688,1135,1206,0.92315,0.95061
2011,Baden-Wuerttemberg,West,Yes,0.05032,144,2486,0.04173,0.05892
2011,Baden-Wuerttemberg,West,No,0.94968,2342,2486,0.94108,0.95827
2011,Bavaria,West,Yes,0.05823,185,3184,0.05009,0.06636
2011,Bavaria,West,No,0.94177,2999,3184,0.93364,0.94991
2011,Berlin,West,Yes,0.07235,33,428,0.04778,0.09693
2011,Berlin,West,No,0.92765,395,428,0.90307,0.95222
2011,Berlin,East,No,0.95747,336,336,0.93586,0.97908
2011,Brandenburg,East,Yes,0.05438,47,882,0.03941,0.06936
2011,Brandenburg,East,No,0.94562,835,882,0.93064,0.96059
2011,Mecklenburg-Western Pomerania,East,Yes,0.06004,32,515,0.03950,0.08058
2011,Mecklenburg-Western Pomerania,East,No,0.93996,483,515,0.91942,0.96050
2011,Saxony,East,Yes,0.03492,51,1404,0.02531,0.04452
2011,Saxony,East,No,0.96508,1353,1404,0.95548,0.97469
2011,Saxony-Anhalt,East,Yes,0.05124,43,867,0.03656,0.06593
2011,Saxony-Anhalt,East,No,0.94876,824,867,0.93407,0.96344
2011,Thuringa,East,Yes,0.05352,56,884,0.03867,0.06836
2011,Thuringa,East,No,0.94648,828,884,0.93164,0.96133
2013,Schleswig-Holstein,West,Yes,0.08496,43,593,0.06250,0.10742
2013,Schleswig-Holstein,West,No,0.91504,550,593,0.89258,0.93750
2013,Hamburg,West,No,0.91828,289,289,0.88665,0.94992
2013,Lower Saxony,West,Yes,0.06988,123,1775,0.05802,0.08175
2013,Lower Saxony,West,No,0.93012,1652,1775,0.91825,0.94198
2013,Bremen,West,No,0.92078,110,110,0.87008,0.97149
2013,North Rhine-Westphalia,West,Yes,0.06145,244,3718,0.05373,0.06918
2013,North Rhine-Westphalia,West,No,0.93855,3474,3718,0.93082,0.94627
2013,Hesse,West,Yes,0.08234,96,1290,0.06733,0.09734
2013,Hesse,West,No,0.91766,1194,1290,0.90266,0.93267
2013,"Rhineland-Palatinate, Saarland",West,Yes,0.05429,63,1098,0.04088,0.06770
2013,"Rhineland-Palatinate, Saarland",West,No,0.94571,1035,1098,0.93230,0.95912
2013,Baden-Wuerttemberg,West,Yes,0.06229,142,2123,0.05201,0.07257
2013,Baden-Wuerttemberg,West,No,0.93771,1981,2123,0.92743,0.94799
2013,Bavaria,West,Yes,0.05719,182,2947,0.04881,0.06558
2013,Bavaria,West,No,0.94281,2765,2947,0.93442,0.95119
2013,Berlin,West,Yes,0.09498,49,443,0.06765,0.12231
2013,Berlin,West,No,0.90502,394,443,0.87769,0.93235
2013,Berlin,East,No,0.97565,315,315,0.95860,0.99270
2013,Brandenburg,East,Yes,0.04217,37,780,0.02806,0.05628
2013,Brandenburg,East,No,0.95783,743,780,0.94372,0.97194
2013,Mecklenburg-Western Pomerania,East,No,0.94230,427,427,0.92016,0.96445
2013,Saxony,East,Yes,0.06261,72,1335,0.04961,0.07561
2013,Saxony,East,No,0.93739,1263,1335,0.92439,0.95039
2013,Saxony-Anhalt,East,Yes,0.05140,48,759,0.03568,0.06712
2013,Saxony-Anhalt,East,No,0.94860,711,759,0.93288,0.96432
2013,Thuringa,East,Yes,0.06417,51,799,0.04716,0.08117
2013,Thuringa,East,No,0.93583,748,799,0.91883,0.95284
2015,Schleswig-Holstein,West,Yes,0.09876,73,874,0.07897,0.11855
2015,Schleswig-Holstein,West,No,0.90124,801,874,0.88145,0.92103
2015,Hamburg,West,No,0.91784,401,401,0.89092,0.94475
2015,Lower Saxony,West,Yes,0.06218,161,2421,0.05256,0.07180
2015,Lower Saxony,West,No,0.93782,2260,2421,0.92820,0.94744
2015,Bremen,West,No,0.94665,155,155,0.91115,0.98214
2015,North Rhine-Westphalia,West,Yes,0.06485,361,5165,0.05813,0.07157
2015,North Rhine-Westphalia,West,No,0.93515,4804,5165,0.92843,0.94187
2015,Hesse,West,Yes,0.08123,148,1705,0.06825,0.09420
2015,Hesse,West,No,0.91877,1557,1705,0.90580,0.93175
2015,"Rhineland-Palatinate, Saarland",West,Yes,0.06626,90,1496,0.05365,0.07886
2015,"Rhineland-Palatinate, Saarland",West,No,0.93374,1406,1496,0.92114,0.94635
2015,Baden-Wuerttemberg,West,Yes,0.06445,208,2985,0.05564,0.07326
2015,Baden-Wuerttemberg,West,No,0.93555,2777,2985,0.92674,0.94436
2015,Bavaria,West,Yes,0.06878,286,4027,0.06096,0.07660
2015,Bavaria,West,No,0.93122,3741,4027,0.92340,0.93904
2015,Berlin,West,Yes,0.07995,46,516,0.05652,0.10337
2015,Berlin,West,No,0.92005,470,516,0.89663,0.94348
2015,Berlin,East,No,0.92296,367,367,0.89564,0.95028
2015,Brandenburg,East,Yes,0.04119,47,984,0.02877,0.05362
2015,Brandenburg,East,No,0.95881,937,984,0.94638,0.97123
2015,Mecklenburg-Western Pomerania,East,Yes,0.05298,34,557,0.03436,0.07160
2015,Mecklenburg-Western Pomerania,East,No,0.94702,523,557,0.92840,0.96564
2015,Saxony,East,Yes,0.04546,86,1511,0.03495,0.05596
2015,Saxony,East,No,0.95454,1425,1511,0.94404,0.96505
2015,Saxony-Anhalt,East,Yes,0.04217,44,885,0.02892,0.05542
2015,Saxony-Anhalt,East,No,0.95783,841,885,0.94458,0.97108
2015,Thuringa,East,Yes,0.05486,58,920,0.04014,0.06958
2015,Thuringa,East,No,0.94514,862,920,0.93042,0.95986
2017,Schleswig-Holstein,West,Yes,0.07594,80,951,0.05909,0.09278
2017,Schleswig-Holstein,West,No,0.92406,871,951,0.90722,0.94091
2017,Hamburg,West,Yes,0.08315,35,466,0.05805,0.10825
2017,Hamburg,West,No,0.91685,431,466,0.89175,0.94195
2017,Lower Saxony,West,Yes,0.08216,218,2697,0.07180,0.09253
2017,Lower Saxony,West,No,0.91784,2479,2697,0.90747,0.92820
2017,Bremen,West,No,0.94732,201,201,0.91636,0.97828
2017,North Rhine-Westphalia,West,Yes,0.07091,407,5524,0.06414,0.07768
2017,North Rhine-Westphalia,West,No,0.92909,5117,5524,0.92232,0.93586
2017,Hesse,West,Yes,0.06592,125,1789,0.05441,0.07742
2017,Hesse,West,No,0.93408,1664,1789,0.92258,0.94559
2017,"Rhineland-Palatinate, Saarland",West,Yes,0.06890,89,1524,0.05618,0.08162
2017,"Rhineland-Palatinate, Saarland",West,No,0.93110,1435,1524,0.91838,0.94382
2017,Baden-Wuerttemberg,West,Yes,0.07185,247,3018,0.06264,0.08107
2017,Baden-Wuerttemberg,West,No,0.92815,2771,3018,0.91893,0.93736
2017,Bavaria,West,Yes,0.07217,302,4211,0.06435,0.07998
2017,Bavaria,West,No,0.92783,3909,4211,0.92002,0.93565
2017,Berlin,West,Yes,0.07187,47,559,0.05044,0.09330
2017,Berlin,West,No,0.92813,512,559,0.90670,0.94956
2017,Berlin,East,Yes,0.06911,33,430,0.04511,0.09311
2017,Berlin,East,No,0.93089,397,430,0.90689,0.95489
2017,Brandenburg,East,Yes,0.05556,57,1033,0.04159,0.06954
2017,Brandenburg,East,No,0.94444,976,1033,0.93046,0.95841
2017,Mecklenburg-Western Pomerania,East,Yes,0.04349,34,573,0.02677,0.06020
2017,Mecklenburg-Western Pomerania,East,No,0.95651,539,573,0.93980,0.97323
2017,Saxony,East,Yes,0.06216,100,1653,0.05052,0.07380
2017,Saxony,East,No,0.93784,1553,1653,0.92620,0.94948
2017,Saxony-Anhalt,East,Yes,0.06019,54,923,0.04484,0.07554
2017,Saxony-Anhalt,East,No,0.93981,869,923,0.92446,0.95516
2017,Thuringa,East,Yes,0.05898,58,978,0.04421,0.07375
