year,rentown,sampreg,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1991,Owner,West,"Yes, Regularly",0.08677,137,6509,0,0.08002,0,0.09341
1991,Owner,West,"Yes, Occasionally",0.05540,76,6509,0,0.05094,0,0.05984
1991,Owner,West,No,0.85783,1514,6509,0,0.84002,0,0.87707
1991,Owner,East,No,1.00000,576,6509,0,0.95758,0,1.04548
1991,Tenant,West,"Yes, Regularly",0.05386,89,6509,0,0.04912,0,0.05865
1991,Tenant,West,"Yes, Occasionally",0.03991,68,6509,0,0.03589,0,0.04340
1991,Tenant,West,No,0.90622,2690,6509,0,0.87741,0,0.93002
1991,Tenant,East,No,1.00000,1359,6509,0,0.97080,0,1.02895
1994,Owner,West,"Yes, Regularly",0.10253,144,6321,0,0.09460,0,0.11237
1994,Owner,West,"Yes, Occasionally",0.06550,90,6321,0,0.05735,0,0.07324
1994,Owner,West,No,0.83197,1487,6321,0,0.81322,0,0.85378
1994,Owner,East,No,1.00000,550,6321,0,0.94777,0,1.04637
1994,Tenant,West,"Yes, Regularly",0.05552,92,6321,0,0.04862,0,0.06160
1994,Tenant,West,"Yes, Occasionally",0.04044,64,6321,0,0.03517,0,0.04675
1994,Tenant,West,No,0.90404,2634,6321,0,0.87787,0,0.93053
1994,Tenant,East,No,1.00000,1260,6321,0,0.96991,0,1.03500
1999,Owner,West,"Yes, Regularly",0.10987,175,7053,0,0.10166,0,0.11720
1999,Owner,West,"Yes, Occasionally",0.05905,101,7053,0,0.05257,0,0.06584
1999,Owner,West,No,0.83108,1884,7053,0,0.80821,0,0.85557
1999,Owner,East,No,1.00000,663,7053,0,0.95414,0,1.05811
1999,Tenant,West,"Yes, Regularly",0.05369,106,7053,0,0.04731,0,0.05950
1999,Tenant,West,"Yes, Occasionally",0.03418,68,7053,0,0.02933,0,0.03888
1999,Tenant,West,No,0.91213,2837,7053,0,0.88641,0,0.93856
1999,Tenant,East,No,1.00000,1219,7053,0,0.96537,0,1.03051
2000,Owner,West,"Yes, Regularly",0.10366,395,12762,0,0.09835,0,0.11073
2000,Owner,West,"Yes, Occasionally",0.04956,196,12762,0,0.04596,0,0.05278
2000,Owner,West,No,0.84677,4025,12762,0,0.83271,0,0.85955
2000,Owner,East,No,1.00000,1133,12762,0,0.96701,0,1.03372
2000,Tenant,West,"Yes, Regularly",0.04501,187,12762,0,0.04170,0,0.04806
2000,Tenant,West,"Yes, Occasionally",0.02636,108,12762,0,0.02413,0,0.02819
2000,Tenant,West,No,0.92863,4855,12762,0,0.91356,0,0.94579
2000,Tenant,East,No,1.00000,1863,12762,0,0.97698,0,1.02533
2001,Owner,West,"Yes, Regularly",0.11821,407,11594,0,0.11225,0,0.12559
2001,Owner,West,"Yes, Occasionally",0.05403,194,11594,0,0.05024,0,0.05825
2001,Owner,West,No,0.82775,3548,11594,0,0.81133,0,0.84255
2001,Owner,East,No,1.00000,1078,11594,0,0.96261,0,1.03431
2001,Tenant,West,"Yes, Regularly",0.04917,179,11594,0,0.04542,0,0.05337
2001,Tenant,West,"Yes, Occasionally",0.03454,123,11594,0,0.03133,0,0.03738
2001,Tenant,West,No,0.91629,4357,11594,0,0.90105,0,0.93358
2001,Tenant,East,"Yes, Regularly",0.03005,34,11594,0,0.02605,0,0.03352
2001,Tenant,East,No,0.96995,1674,11594,0,0.93990,0,0.99431
2002,Owner,West,"Yes, Regularly",0.08981,532,12078,0,0.08127,0,0.09691
2002,Owner,West,"Yes, Occasionally",0.04618,232,12078,0,0.04119,0,0.05177
2002,Owner,West,No,0.86401,3954,12078,0,0.84607,0,0.88563
2002,Owner,East,No,1.00000,1064,12078,0,0.95595,0,1.04554
2002,Tenant,West,"Yes, Regularly",0.04973,230,12078,0,0.04568,0,0.05449
2002,Tenant,West,"Yes, Occasionally",0.03204,121,12078,0,0.02799,0,0.03539
2002,Tenant,West,No,0.91824,4264,12078,0,0.90207,0,0.93823
2002,Tenant,East,No,1.00000,1681,12078,0,0.96639,0,1.03435
2003,Owner,West,"Yes, Regularly",0.10243,550,11645,0,0.09478,0,0.11013
2003,Owner,West,"Yes, Occasionally",0.05173,232,11645,0,0.04569,0,0.05892
2003,Owner,West,No,0.84585,3749,11645,0,0.82573,0,0.86773
2003,Owner,East,No,1.00000,1057,11645,0,0.95710,0,1.04265
2003,Tenant,West,"Yes, Regularly",0.05319,215,11645,0,0.04792,0,0.05837
2003,Tenant,West,"Yes, Occasionally",0.02851,113,11645,0,0.02478,0,0.03235
2003,Tenant,West,No,0.91829,4097,11645,0,0.90220,0,0.93868
2003,Tenant,East,No,1.00000,1632,11645,0,0.97053,0,1.03222
2004,Owner,West,"Yes, Regularly",0.07786,425,11438,0,0.07041,0,0.08520
2004,Owner,West,"Yes, Occasionally",0.05648,246,11438,0,0.05053,0,0.06269
2004,Owner,West,No,0.86566,3772,11438,0,0.84787,0,0.89055
