,Unnamed: 0,year,bula_h,sampreg,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1991,Schleswig-Holstein,West,No,1.0,145,6331,0.9183,1.07471
1,1,1991,Hamburg,West,No,1.0,89,6331,0.87565,1.12628
2,2,1991,Lower Saxony,West,No,1.0,428,6331,0.94014,1.06584
3,3,1991,Bremen,West,No,1.0,51,6331,0.85772,1.15536
4,4,1991,North Rhine-Westphalia,West,"Yes, Regularly",0.09482,87,6331,0.0863,0.10529
5,5,1991,North Rhine-Westphalia,West,"Yes, Occasionally",0.03907,32,6331,0.03499,0.04388
6,6,1991,North Rhine-Westphalia,West,No,0.86611,1113,6331,0.83634,0.89954
7,7,1991,Hesse,West,No,1.0,428,6331,0.93034,1.07445
8,8,1991,"Rhineland-Palatinate, Saarland",West,No,1.0,296,6331,0.9376,1.06207
9,9,1991,Baden-Wuerttemberg,West,No,1.0,785,6331,0.95118,1.05187
10,10,1991,Bavaria,West,"Yes, Regularly",0.05657,35,6331,0.04949,0.06596
11,11,1991,Bavaria,West,"Yes, Occasionally",0.06399,37,6331,0.05736,0.07117
12,12,1991,Bavaria,West,No,0.87944,721,6331,0.83831,0.92085
13,13,1991,Berlin,West,No,1.0,149,6331,0.88723,1.10712
14,14,1991,Berlin,East,No,1.0,138,6331,0.923,1.08822
15,15,1991,Brandenburg,East,No,1.0,314,6331,0.94924,1.05649
16,16,1991,Mecklenburg-Western Pomerania,East,No,1.0,214,6331,0.93631,1.06784
17,17,1991,Saxony,East,No,1.0,581,6331,0.9647,1.03999
18,18,1991,Saxony-Anhalt,East,No,1.0,362,6331,0.92824,1.07953
19,19,1991,Thuringa,East,No,1.0,326,6331,0.93585,1.05506
20,20,1994,Schleswig-Holstein,West,No,1.0,139,6165,0.90994,1.10217
21,21,1994,Hamburg,West,No,1.0,85,6165,0.8792,1.13445
22,22,1994,Lower Saxony,West,No,1.0,450,6165,0.94548,1.0594
23,23,1994,Bremen,West,No,1.0,47,6165,0.82777,1.14072
24,24,1994,North Rhine-Westphalia,West,"Yes, Regularly",0.11765,96,6165,0.10465,0.13031
25,25,1994,North Rhine-Westphalia,West,"Yes, Occasionally",0.04226,37,6165,0.03377,0.05025
26,26,1994,North Rhine-Westphalia,West,No,0.84009,1065,6165,0.80053,0.88102
27,27,1994,Hesse,West,No,1.0,404,6165,0.9173,1.08188
28,28,1994,"Rhineland-Palatinate, Saarland",West,No,1.0,291,6165,0.92594,1.06721
29,29,1994,Baden-Wuerttemberg,West,"Yes, Regularly",0.06812,32,6165,0.05435,0.08111
30,30,1994,Baden-Wuerttemberg,West,No,0.93188,754,6165,0.88464,0.99025
31,31,1994,Bavaria,West,"Yes, Regularly",0.0535,34,6165,0.04444,0.06262
