"hlf0261","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja, gelegentlich","1999","1","47","0.0151092519592958","0.0117968369795511","0.0184216669390405"
"Ja, gelegentlich","1999","2","78","0.022498556002419","0.0184996259096094","0.0264974860952287"
"Ja, gelegentlich","1999","3","107","0.0377577094475182","0.0315765735061068","0.0439388453889297"
"Ja, gelegentlich","1999","4","79","0.0453709936316418","0.0370637691907153","0.0536782180725684"
"Ja, gelegentlich","1999","5","100","0.0792464064211234","0.0646687673524405","0.0938240454898064"
"Ja, regelmaessig","1999","1","52","0.017827362065824","0.0142342837165857","0.0214204404150623"
"Ja, regelmaessig","1999","2","69","0.0204070587721845","0.0165944625183591","0.0242196550260099"
"Ja, regelmaessig","1999","3","117","0.0500252511833034","0.0429559916749634","0.0570945106916434"
"Ja, regelmaessig","1999","4","170","0.0955496443005066","0.0838153658379982","0.107283922763015"
"Ja, regelmaessig","1999","5","263","0.255506131683919","0.231968816697037","0.2790434466708"
"Nein","1999","1","5111","0.96706338597488","0.962217243534761","0.971909528415"
"Nein","1999","2","5136","0.957094385225396","0.951629988348061","0.962558782102732"
"Nein","1999","3","3429","0.912217039369178","0.903040531168511","0.921393547569846"
"Nein","1999","4","2162","0.859079362067852","0.845190923278911","0.872967800856792"
"Nein","1999","5","956","0.665247461894958","0.639780376436069","0.690714547353847"
"Ja, gelegentlich","2000","1","77","0.0121863142699887","0.00986028623220315","0.0145123423077743"
"Ja, gelegentlich","2000","2","104","0.0158509021012024","0.0132154782990243","0.0184863259033804"
"Ja, gelegentlich","2000","3","119","0.0247201412022982","0.0209994370975833","0.0284408453070131"
"Ja, gelegentlich","2000","4","203","0.049212540754419","0.0430277503759818","0.0553973311328562"
"Ja, gelegentlich","2000","5","219","0.0720861368284265","0.0626649955926219","0.0815072780642311"
"Ja, regelmaessig","2000","1","77","0.0127658895495752","0.0103858901001882","0.0151458889989622"
"Ja, regelmaessig","2000","2","162","0.0269600066801949","0.0235424292264513","0.0303775841339385"
"Ja, regelmaessig","2000","3","207","0.0340586841296989","0.029712337734837","0.0384050305245608"
"Ja, regelmaessig","2000","4","316","0.0695339161774496","0.0622612444138925","0.0768065879410067"
"Ja, regelmaessig","2000","5","589","0.228204057732727","0.212916548453312","0.243491567012141"
"Nein","2000","1","8393","0.975047796180436","0.971740990719289","0.978354601641583"
"Nein","2000","2","8362","0.957189091218603","0.952917702300619","0.961460480136586"
"Nein","2000","3","6364","0.941221174668003","0.93558491065678","0.946857438679226"
"Nein","2000","4","4180","0.881253543068131","0.872004301193637","0.890502784942626"
"Nein","2000","5","2087","0.699709805438847","0.683012231984905","0.716407378892788"
"Ja, gelegentlich","2001","1","77","0.0142233158571564","0.011496921812929","0.0169497099013838"
"Ja, gelegentlich","2001","2","94","0.0176757219032115","0.0147173134883609","0.0206341303180621"
"Ja, gelegentlich","2001","3","158","0.0311836795252118","0.0268916547651398","0.0354757042852839"
"Ja, gelegentlich","2001","4","187","0.0455711848765891","0.0395548483243895","0.0515875214287887"
"Ja, gelegentlich","2001","5","217","0.0748534218133568","0.065197176112505","0.0845096675142085"
"Ja, regelmaessig","2001","1","93","0.0193376040178718","0.0161668684909537","0.02250833954479"
"Ja, regelmaessig","2001","2","167","0.02921495252796","0.0254339563189048","0.0329959487370153"
"Ja, regelmaessig","2001","3","210","0.0406221157353149","0.035747347895777","0.0454968835748529"
"Ja, regelmaessig","2001","4","332","0.0803315094871925","0.0724904669779369","0.0881725519964481"
"Ja, regelmaessig","2001","5","577","0.22954984128323","0.214118347149325","0.244981335417135"
"Nein","2001","1","7076","0.966439080124972","0.962292375550843","0.9705857846991"
"Nein","2001","2","7360","0.953109325568829","0.948363008913212","0.957855642224445"
"Nein","2001","3","5932","0.928194204739473","0.921819251687409","0.934569157791537"
"Nein","2001","4","4097","0.874097305636218","0.864527291179076","0.883667320093361"
"Nein","2001","5","2059","0.695596736903413","0.678711754008747","0.712481719798078"
"Ja, gelegentlich","2002","1","60","0.0135965434480961","0.010717130079345","0.0164759568168471"
"Ja, gelegentlich","2002","2","91","0.0168637711675226","0.013746229926167","0.0199813124088782"
"Ja, gelegentlich","2002","3","117","0.0264293999656341","0.0223535612985788","0.0305052386326894"
"Ja, gelegentlich","2002","4","214","0.034331260879571","0.0296614356119655","0.0390010861471766"
"Ja, gelegentlich","2002","5","375","0.0719248026810338","0.06507114409041","0.0787784612716575"
"Ja, regelmaessig","2002","1","66","0.0142662542491734","0.0113177805468119","0.0172147279515349"
"Ja, regelmaessig","2002","2","109","0.0221484914282664","0.0185853214739808","0.025711661382552"
"Ja, regelmaessig","2002","3","195","0.0379505755637986","0.0330954833425655","0.0428056677850318"
"Ja, regelmaessig","2002","4","344","0.0549253563883457","0.0490820162810232","0.0607686964956682"
"Ja, regelmaessig","2002","5","1219","0.204597200944619","0.193895940219984","0.215298461669255"
"Nein","2002","1","6088","0.97213720230273","0.968045174186816","0.976229230418645"
"Nein","2002","2","6353","0.960987737404211","0.95629973852236","0.965675736286062"
"Nein","2002","3","5638","0.935620024470567","0.929383900130302","0.941856148810833"
"Nein","2002","4","5282","0.910743382732083","0.903430983549424","0.918055781914742"
"Nein","2002","5","3865","0.723477996374347","0.711612960518911","0.735343032229783"
"Ja, gelegentlich","2003","1","46","0.0102737120412997","0.00767119032219133","0.0128762337604082"
"Ja, gelegentlich","2003","2","68","0.0168512133915671","0.0136185189417314","0.0200839078414028"
"Ja, gelegentlich","2003","3","129","0.0271515821149338","0.0230753933282298","0.0312277709016377"
"Ja, gelegentlich","2003","4","218","0.0375437656163865","0.0326521078133006","0.0424354234194725"
"Ja, gelegentlich","2003","5","404","0.0847015941604501","0.0769110605222314","0.0924921277986689"
"Ja, regelmaessig","2003","1","67","0.0172246870548359","0.0138667240687991","0.0205826500408726"
"Ja, regelmaessig","2003","2","120","0.0276536343627728","0.0235352578306047","0.0317720108949409"
"Ja, regelmaessig","2003","3","183","0.0334902228855189","0.028977940446391","0.0380025053246468"
"Ja, regelmaessig","2003","4","366","0.0641487975975434","0.0578436636126506","0.0704539315824362"
"Ja, regelmaessig","2003","5","1223","0.220176631976119","0.208582885572488","0.23177037837975"
"Nein","2003","1","5654","0.972501600903864","0.968281022395216","0.976722179412512"
"Nein","2003","2","5902","0.95549515224566","0.950316015850315","0.960674288641005"
"Nein","2003","3","5795","0.939358194999547","0.933372207506934","0.94534418249216"
"Nein","2003","4","5217","0.89830743678607","0.890529690845159","0.906085182726981"
"Nein","2003","5","3280","0.695121773863431","0.682241244478383","0.708002303248479"
"Ja, gelegentlich","2004","1","49","0.0104968382978354","0.00781388261930333","0.0131797939763675"
"Ja, gelegentlich","2004","2","68","0.0162240120347547","0.0130006244960218","0.0194473995734876"
"Ja, gelegentlich","2004","3","155","0.0268255957922649","0.0226954404355732","0.0309557511489565"
"Ja, gelegentlich","2004","4","187","0.0430853527355848","0.0378029887273764","0.0483677167437932"
"Ja, gelegentlich","2004","5","382","0.0866573947494775","0.0787421815364211","0.0945726079625339"
"Ja, regelmaessig","2004","1","47","0.0143562257026185","0.0112247014319355","0.0174877499733014"
"Ja, regelmaessig","2004","2","87","0.021713954639943","0.0179952843318714","0.0254326249480146"
"Ja, regelmaessig","2004","3","122","0.0230742667714935","0.0192363894317454","0.0269121441112415"
"Ja, regelmaessig","2004","4","261","0.0474920511510286","0.0419589110685559","0.0530251912335013"
"Ja, regelmaessig","2004","5","948","0.170537719972488","0.15995611627934","0.181119323665637"
"Nein","2004","1","5447","0.975146935999546","0.971048665205791","0.979245206793301"
"Nein","2004","2","5746","0.962062033325302","0.957187603223599","0.966936463427005"
"Nein","2004","3","5602","0.950100137436242","0.944534297327159","0.955665977545325"
"Nein","2004","4","5228","0.909422596113387","0.901956050845937","0.916889141380837"
"Nein","2004","5","3523","0.742804885278034","0.73050753117903","0.755102239377038"
"Ja, gelegentlich","2005","1","35","0.0109767141653533","0.00818994892913878","0.0137634794015677"
"Ja, gelegentlich","2005","2","68","0.0163062821540882","0.0129496669711721","0.0196628973370043"
"Ja, gelegentlich","2005","3","112","0.0277309427130203","0.0234008538900043","0.0320610315360363"
"Ja, gelegentlich","2005","4","241","0.0471996373767418","0.0415689686752041","0.0528303060782794"
"Ja, gelegentlich","2005","5","363","0.0791608768767669","0.071523760343005","0.0867979934105289"
"Ja, regelmaessig","2005","1","74","0.0140057886581356","0.0108627341328698","0.0171488431834014"
"Ja, regelmaessig","2005","2","102","0.0259947556170727","0.0217776192340359","0.0302118920001096"
"Ja, regelmaessig","2005","3","134","0.0296462337275584","0.0251735203532194","0.0341189471018974"
"Ja, regelmaessig","2005","4","315","0.0571928770063417","0.0510273232818218","0.0633584307308617"
"Ja, regelmaessig","2005","5","1094","0.204984596622779","0.193565529562325","0.216403663683233"
"Nein","2005","1","5261","0.975017497176511","0.970843183070575","0.979191811282448"
"Nein","2005","2","5299","0.957698962228839","0.952364579785787","0.963033344671891"
"Nein","2005","3","5278","0.942622823559421","0.936490009212541","0.948755637906302"
"Nein","2005","4","4893","0.895607485616916","0.887488846750916","0.903726124482917"
"Nein","2005","5","3344","0.715854526500454","0.70309704354496","0.728612009455948"
"Ja, gelegentlich","2006","1","48","0.00996527008065323","0.00738623873750881","0.0125443014237976"
"Ja, gelegentlich","2006","2","83","0.0217904303786637","0.0180685152219498","0.0255123455353776"
"Ja, gelegentlich","2006","3","125","0.0277948519057093","0.0235928378444675","0.0319968659669511"
"Ja, gelegentlich","2006","4","250","0.0433551828086114","0.0382225750967828","0.04848779052044"
"Ja, gelegentlich","2006","5","418","0.0790955830215512","0.0716401155582098","0.0865510504848926"
"Ja, regelmaessig","2006","1","58","0.0118412185983851","0.00903256334622991","0.0146498738505403"
"Ja, regelmaessig","2006","2","125","0.0276651444474181","0.0234840304415389","0.0318462584532973"
"Ja, regelmaessig","2006","3","136","0.0268786472527685","0.0227445226142442","0.0310127718912929"
"Ja, regelmaessig","2006","4","371","0.0544336472158878","0.0487159398820316","0.060151354549744"
"Ja, regelmaessig","2006","5","1055","0.194494008447201","0.183560010537704","0.205428006356699"
"Nein","2006","1","5592","0.978193511320962","0.974401303517521","0.981985719124402"
"Nein","2006","2","5703","0.950544425173918","0.9450171453982","0.956071704949637"
"Nein","2006","3","5618","0.945326500841522","0.93951516850558","0.951137833177464"
"Nein","2006","4","5427","0.902211169975501","0.89472532335211","0.909697016598892"
"Nein","2006","5","3561","0.726410408531247","0.714095468535356","0.738725348527138"
"Ja, gelegentlich","2007","1","54","0.0139962214771185","0.0106978878839989","0.0172945550702381"
"Ja, gelegentlich","2007","2","54","0.0126921586193129","0.00970175410419914","0.0156825631344266"
"Ja, gelegentlich","2007","3","143","0.0293211886058573","0.0249026094640932","0.0337397677476215"
"Ja, gelegentlich","2007","4","199","0.03581720837531","0.0309950016827018","0.0406394150679182"
"Ja, gelegentlich","2007","5","426","0.0938642671845653","0.0857414898488168","0.101987044520314"
"Ja, regelmaessig","2007","1","52","0.0155653679189649","0.0120898220668861","0.0190409137710436"
"Ja, regelmaessig","2007","2","85","0.0200556138766799","0.0163105899595541","0.0238006377938058"
"Ja, regelmaessig","2007","3","164","0.03359394937911","0.0288747923414665","0.0383131064167535"
"Ja, regelmaessig","2007","4","364","0.0673062109646795","0.0608046538777504","0.0738077680516086"
"Ja, regelmaessig","2007","5","1097","0.203618438288016","0.192402724390402","0.21483415218563"
"Nein","2007","1","4767","0.970438410603917","0.965682893319672","0.975193927888162"
"Nein","2007","2","5244","0.967252227504007","0.962497817263357","0.972006637744657"
"Nein","2007","3","5293","0.937084862015033","0.930725389197713","0.943444334832352"
"Nein","2007","4","5142","0.896876580660011","0.888984977083599","0.904768184236422"
"Nein","2007","5","3429","0.702517294527419","0.689784693102211","0.715249895952626"
"Ja, gelegentlich","2008","1","48","0.0122513242904083","0.00894678430066602","0.0155558642801506"
"Ja, gelegentlich","2008","2","65","0.0200076998328664","0.0159856122944228","0.02402978737131"
"Ja, gelegentlich","2008","3","106","0.0307023146679893","0.0260896294543264","0.0353149998816522"
"Ja, gelegentlich","2008","4","200","0.0405570507429693","0.0353551265741765","0.0457589749117621"
"Ja, gelegentlich","2008","5","382","0.0861320988090473","0.0783210982510712","0.0939430993670234"
"Ja, regelmaessig","2008","1","51","0.0166955825704751","0.0128466433780941","0.020544521762856"
"Ja, regelmaessig","2008","2","69","0.0178937033426326","0.0140859310497175","0.0217014756355477"
"Ja, regelmaessig","2008","3","123","0.0265717636161271","0.0222714331520571","0.0308720940801972"
"Ja, regelmaessig","2008","4","271","0.0481938953705811","0.0425459366455077","0.0538418540956546"
"Ja, regelmaessig","2008","5","1021","0.196017212745084","0.184964906189454","0.207069519300715"
"Nein","2008","1","4158","0.971053093139117","0.966016709136441","0.976089477141792"
"Nein","2008","2","4522","0.962098596824501","0.956613566409458","0.967583627239543"
"Nein","2008","3","5144","0.942725921715884","0.936512777282089","0.948939066149678"
"Nein","2008","4","5053","0.91124905388645","0.903749657710164","0.918748450062735"
"Nein","2008","5","3553","0.717850688445868","0.705321036698988","0.730380340192749"
"Ja, gelegentlich","2009","1","32","0.00793209428433889","0.00505425661677452","0.0108099319519033"
"Ja, gelegentlich","2009","2","52","0.0125723042674642","0.00921820063943413","0.0159264078954944"
"Ja, gelegentlich","2009","3","64","0.0138206763625715","0.0105258536196189","0.017115499105524"
"Ja, gelegentlich","2009","4","176","0.0420519180875491","0.0366550466316638","0.0474487895434345"
"Ja, gelegentlich","2009","5","355","0.074224370833504","0.0668462097385345","0.0816025319284736"
"Ja, regelmaessig","2009","1","60","0.0200235618521771","0.0154791242718795","0.0245679994324748"
"Ja, regelmaessig","2009","2","103","0.034602366609928","0.0291003436391129","0.0401043895807432"
"Ja, regelmaessig","2009","3","147","0.0385447185157829","0.0331117593108248","0.043977677720741"
"Ja, regelmaessig","2009","4","301","0.0656008830707956","0.0589435660958509","0.0722582000457403"
