,Unnamed: 0,year,regtyp,sampreg,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1991,Urban regions,West,"Yes, Regularly",0.07308,189,6438,0.06847,0.07851
1,1,1991,Urban regions,West,"Yes, Occasionally",0.04742,115,6438,0.04364,0.05073
2,2,1991,Urban regions,West,No,0.8795,3334,6438,0.86087,0.89969
3,3,1991,Urban regions,East,No,1.0,651,6438,0.95952,1.03882
4,4,1991,Rural regions,West,"Yes, Regularly",0.04874,37,6438,0.04062,0.05622
5,5,1991,Rural regions,West,No,0.95126,869,6438,0.92048,0.98367
6,6,1991,Rural regions,East,No,1.0,1243,6438,0.9665,1.02994
7,7,1994,Urban regions,West,"Yes, Regularly",0.08275,197,6323,0.0764,0.089
8,8,1994,Urban regions,West,"Yes, Occasionally",0.04731,117,6323,0.04282,0.05225
9,9,1994,Urban regions,West,No,0.86994,3239,6323,0.84815,0.88829
10,10,1994,Urban regions,East,No,1.0,639,6323,0.95731,1.03978
11,11,1994,Rural regions,West,"Yes, Regularly",0.05305,40,6323,0.04498,0.06239
12,12,1994,Rural regions,West,"Yes, Occasionally",0.06324,37,6323,0.0528,0.07438
13,13,1994,Rural regions,West,No,0.88371,883,6323,0.84683,0.92036
14,14,1994,Rural regions,East,No,1.0,1171,6323,0.96409,1.03283
15,15,1999,Urban regions,West,"Yes, Regularly",0.08083,227,7053,0.07508,0.08627
16,16,1999,Urban regions,West,"Yes, Occasionally",0.04716,137,7053,0.0418,0.05219
17,17,1999,Urban regions,West,No,0.87201,3665,7053,0.84973,0.89246
18,18,1999,Urban regions,East,No,1.0,621,7053,0.94327,1.05569
19,19,1999,Rural regions,West,"Yes, Regularly",0.06888,54,7053,0.05869,0.07717
20,20,1999,Rural regions,West,"Yes, Occasionally",0.03754,32,7053,0.03066,0.04454
21,21,1999,Rural regions,West,No,0.89358,1056,7053,0.86198,0.93063
22,22,1999,Rural regions,East,No,1.0,1261,7053,0.96457,1.03881
23,23,2000,Urban regions,West,"Yes, Regularly",0.07456,474,12762,0.07041,0.07848
24,24,2000,Urban regions,West,"Yes, Occasionally",0.03833,246,12762,0.03601,0.04063
25,25,2000,Urban regions,West,No,0.88711,6771,12762,0.87533,0.89864
26,26,2000,Urban regions,East,No,1.0,975,12762,0.96927,1.03479
27,27,2000,Rural regions,West,"Yes, Regularly",0.0575,108,12762,0.05188,0.06254
28,28,2000,Rural regions,West,"Yes, Occasionally",0.03033,58,12762,0.0265,0.03438
29,29,2000,Rural regions,West,No,0.91217,2109,12762,0.88573,0.93176
30,30,2000,Rural regions,East,No,1.0,2021,12762,0.98151,1.02491
31,31,2001,Urban regions,West,"Yes, Regularly",0.08514,484,11560,0.08122,0.08996
32,32,2001,Urban regions,West,"Yes, Occasionally",0.04554,258,11560,0.04288,0.04845
33,33,2001,Urban regions,West,No,0.86932,6046,11560,0.85675,0.88416
34,34,2001,Urban regions,East,No,1.0,913,11560,0.95831,1.03191
35,35,2001,Rural regions,West,"Yes, Regularly",0.06072,102,11560,0.05404,0.06627
36,36,2001,Rural regions,West,"Yes, Occasionally",0.0349,59,11560,0.02994,0.04089
37,37,2001,Rural regions,West,No,0.90438,1859,11560,0.88315,0.9262
38,38,2001,Rural regions,East,No,1.0,1839,11560,0.9728,1.0242
39,39,2002,Urban regions,West,"Yes, Regularly",0.07306,634,12110,0.06847,0.07732
40,40,2002,Urban regions,West,"Yes, Occasionally",0.0407,285,12110,0.03655,0.04433
41,41,2002,Urban regions,West,No,0.88625,6329,12110,0.87029,0.9016
42,42,2002,Urban regions,East,No,1.0,920,12110,0.95693,1.03828
43,43,2002,Rural regions,West,"Yes, Regularly",0.04934,128,12110,0.041,0.05959
44,44,2002,Rural regions,West,"Yes, Occasionally",0.03042,68,12110,0.02538,0.03648
45,45,2002,Rural regions,West,No,0.92024,1889,12110,0.88655,0.9496
46,46,2002,Rural regions,East,"Yes, Regularly",0.01853,32,12110,0.0135,0.02363
47,47,2002,Rural regions,East,No,0.98147,1825,12110,0.95601,1.01116
48,48,2003,Urban regions,West,"Yes, Regularly",0.08058,641,11685,0.07487,0.08686
49,49,2003,Urban regions,West,"Yes, Occasionally",0.04136,280,11685,0.03737,0.04509
50,50,2003,Urban regions,West,No,0.87806,6050,11685,0.86028,0.89572
51,51,2003,Urban regions,East,No,1.0,915,11685,0.95043,1.04408
52,52,2003,Rural regions,West,"Yes, Regularly",0.05617,124,11685,0.04623,0.06553
53,53,2003,Rural regions,West,"Yes, Occasionally",0.03015,65,11685,0.02526,0.03628
54,54,2003,Rural regions,West,No,0.91368,1796,11685,0.88865,0.94931
55,55,2003,Rural regions,East,"Yes, Regularly",0.02134,40,11685,0.01636,0.02562
56,56,2003,Rural regions,East,No,0.97866,1774,11685,0.94659,1.00826
57,57,2004,Urban regions,West,"Yes, Regularly",0.06095,481,11438,0.0564,0.06604
58,58,2004,Urban regions,West,"Yes, Occasionally",0.04637,296,11438,0.04278,0.05055
59,59,2004,Urban regions,West,No,0.89268,6023,11438,0.87761,0.90644
60,60,2004,Urban regions,East,No,1.0,929,11438,0.94559,1.04396
61,61,2004,Rural regions,West,"Yes, Regularly",0.04985,108,11438,0.03925,0.06003
62,62,2004,Rural regions,West,"Yes, Occasionally",0.03021,62,11438,0.02483,0.03654
63,63,2004,Rural regions,West,No,0.91994,1782,11438,0.88722,0.95656
64,64,2004,Rural regions,East,No,1.0,1757,11438,0.9646,1.03356
65,65,2005,Urban regions,West,"Yes, Regularly",0.08179,596,11076,0.07712,0.08797
66,66,2005,Urban regions,West,"Yes, Occasionally",0.04522,290,11076,0.04133,0.04939
67,67,2005,Urban regions,West,No,0.87299,5696,11076,0.85594,0.89072
68,68,2005,Urban regions,East,No,1.0,902,11076,0.94244,1.05548
69,69,2005,Rural regions,West,"Yes, Regularly",0.0452,112,11076,0.03847,0.05288
70,70,2005,Rural regions,West,"Yes, Occasionally",0.03995,68,11076,0.0316,0.04608
71,71,2005,Rural regions,West,No,0.91485,1722,11076,0.88429,0.95297
72,72,2005,Rural regions,East,No,1.0,1690,11076,0.96755,1.02641
73,73,2006,Urban regions,West,"Yes, Regularly",0.07711,616,12172,0.07058,0.08195
74,74,2006,Urban regions,West,"Yes, Occasionally",0.04686,329,12172,0.04276,0.05093
75,75,2006,Urban regions,West,No,0.87603,6189,12172,0.85942,0.89016
76,76,2006,Urban regions,East,No,1.0,958,12172,0.95512,1.05218
77,77,2006,Rural regions,West,"Yes, Regularly",0.04717,113,12172,0.0406,0.05359
