year,quintil_oecd_hh,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,1st Quintile,West,No,0.89152,60,60,0.81216,0.97087
1991,1st Quintile,East,No,0.96219,1935,1935,0.95369,0.97069
1991,2nd Quintile,West,No,0.93141,1081,1081,0.91634,0.94649
1991,3rd Quintile,West,No,0.94482,1121,1121,0.93144,0.95819
1991,4th Quintile,West,"Yes, Regularly",0.06370,48,1169,0.04969,0.07771
1991,4th Quintile,West,"Yes, Occasionally",0.04509,34,1169,0.03319,0.05699
1991,4th Quintile,West,No,0.89121,1087,1169,0.87335,0.90907
1991,5th Quintile,West,"Yes, Regularly",0.14353,135,1058,0.12239,0.16467
1991,5th Quintile,West,"Yes, Occasionally",0.07728,67,1058,0.06118,0.09338
1991,5th Quintile,West,No,0.77919,856,1058,0.75419,0.80420
1994,1st Quintile,West,No,0.92299,768,768,0.90412,0.94185
1994,1st Quintile,East,No,0.96676,497,497,0.95098,0.98254
1994,2nd Quintile,West,No,0.91780,773,773,0.89842,0.93718
1994,2nd Quintile,East,No,0.96944,563,563,0.95521,0.98367
1994,3rd Quintile,West,"Yes, Regularly",0.06637,37,909,0.05018,0.08257
1994,3rd Quintile,West,No,0.90417,872,909,0.88502,0.92332
1994,3rd Quintile,East,No,0.98751,405,405,0.97668,0.99834
1994,4th Quintile,West,"Yes, Regularly",0.04810,36,975,0.03466,0.06154
1994,4th Quintile,West,"Yes, Occasionally",0.05718,37,975,0.04260,0.07177
1994,4th Quintile,West,No,0.89471,902,975,0.87544,0.91399
1994,4th Quintile,East,No,0.99430,235,235,0.98466,1.00395
1994,5th Quintile,West,"Yes, Regularly",0.16344,129,998,0.14048,0.18639
1994,5th Quintile,West,"Yes, Occasionally",0.08010,66,998,0.06325,0.09695
1994,5th Quintile,West,No,0.75646,803,998,0.72982,0.78311
1994,5th Quintile,East,No,0.93028,109,109,0.88225,0.97831
1999,1st Quintile,West,No,0.93751,979,979,0.92234,0.95268
1999,1st Quintile,East,No,0.98510,469,469,0.97412,0.99607
1999,2nd Quintile,West,No,0.91788,937,937,0.90029,0.93547
1999,2nd Quintile,East,No,0.96937,521,521,0.95457,0.98418
1999,3rd Quintile,West,No,0.92816,973,973,0.91192,0.94439
1999,3rd Quintile,East,No,0.97333,460,460,0.95859,0.98807
1999,4th Quintile,West,"Yes, Regularly",0.07268,54,1080,0.05719,0.08817
1999,4th Quintile,West,"Yes, Occasionally",0.04405,42,1080,0.03180,0.05629
1999,4th Quintile,West,No,0.88327,984,1080,0.86412,0.90243
1999,4th Quintile,East,No,0.97845,290,290,0.96171,0.99519
1999,5th Quintile,West,"Yes, Regularly",0.17454,156,1076,0.15184,0.19723
1999,5th Quintile,West,"Yes, Occasionally",0.07926,72,1076,0.06311,0.09541
1999,5th Quintile,West,No,0.74620,848,1076,0.72019,0.77222
1999,5th Quintile,East,No,0.86839,142,142,0.81259,0.92419
2000,1st Quintile,West,"Yes, Regularly",0.03627,49,1758,0.02753,0.04501
2000,1st Quintile,West,No,0.94667,1709,1758,0.93616,0.95718
2000,1st Quintile,East,No,0.97714,731,731,0.96630,0.98798
2000,2nd Quintile,West,"Yes, Regularly",0.03675,45,1848,0.02817,0.04533
2000,2nd Quintile,West,"Yes, Occasionally",0.02366,31,1848,0.01672,0.03059
2000,2nd Quintile,West,No,0.93960,1772,1848,0.92873,0.95046
2000,2nd Quintile,East,No,0.96427,818,818,0.95155,0.97700
2000,3rd Quintile,West,"Yes, Regularly",0.03936,60,1879,0.03057,0.04816
2000,3rd Quintile,West,"Yes, Occasionally",0.03245,47,1879,0.02443,0.04046
2000,3rd Quintile,West,No,0.92819,1772,1879,0.91652,0.93987
2000,3rd Quintile,East,No,0.97822,739,739,0.96769,0.98875
2000,4th Quintile,West,"Yes, Regularly",0.05409,104,2109,0.04443,0.06374
2000,4th Quintile,West,"Yes, Occasionally",0.03418,67,2109,0.02642,0.04194
2000,4th Quintile,West,No,0.91173,1938,2109,0.89962,0.92384
2000,4th Quintile,East,No,0.97948,467,467,0.96660,0.99235
2000,5th Quintile,West,"Yes, Regularly",0.16788,323,2144,0.15206,0.18371
2000,5th Quintile,West,"Yes, Occasionally",0.06847,136,2144,0.05778,0.07917
2000,5th Quintile,West,No,0.76365,1685,2144,0.74566,0.78163
2000,5th Quintile,East,No,0.90722,240,240,0.87043,0.94400
2001,1st Quintile,West,No,0.95505,1501,1501,0.94456,0.96553
2001,1st Quintile,East,No,0.97691,667,667,0.96551,0.98832
2001,2nd Quintile,West,"Yes, Regularly",0.04136,47,1667,0.03180,0.05092
2001,2nd Quintile,West,"Yes, Occasionally",0.04074,45,1667,0.03125,0.05023
2001,2nd Quintile,West,No,0.91790,1575,1667,0.90472,0.93108
2001,2nd Quintile,East,No,0.95885,763,763,0.94475,0.97295
2001,3rd Quintile,West,"Yes, Regularly",0.04509,64,1761,0.03539,0.05478
2001,3rd Quintile,West,"Yes, Occasionally",0.03334,47,1761,0.02495,0.04172
2001,3rd Quintile,West,No,0.92158,1650,1761,0.90902,0.93414
2001,3rd Quintile,East,No,0.94109,650,650,0.92297,0.95920
2001,4th Quintile,West,"Yes, Regularly",0.06786,115,1908,0.05657,0.07915
2001,4th Quintile,West,"Yes, Occasionally",0.04205,68,1908,0.03304,0.05105
2001,4th Quintile,West,No,0.89009,1725,1908,0.87605,0.90413
2001,4th Quintile,East,No,0.97511,442,442,0.96057,0.98965
2001,5th Quintile,West,"Yes, Regularly",0.19235,335,1926,0.17474,0.20996
2001,5th Quintile,West,"Yes, Occasionally",0.07621,140,1926,0.06436,0.08807
2001,5th Quintile,West,No,0.73144,1451,1926,0.71164,0.75124
2001,5th Quintile,East,No,0.91823,230,230,0.88275,0.95372
2002,1st Quintile,West,No,0.93837,1371,1371,0.92564,0.95111
2002,1st Quintile,East,No,0.97809,648,648,0.96681,0.98937
2002,2nd Quintile,West,"Yes, Regularly",0.03866,41,1538,0.02902,0.04829
2002,2nd Quintile,West,"Yes, Occasionally",0.03004,32,1538,0.02151,0.03858
2002,2nd Quintile,West,No,0.93130,1465,1538,0.91865,0.94395
2002,2nd Quintile,East,No,0.96298,682,682,0.94879,0.97716
2002,3rd Quintile,West,"Yes, Regularly",0.03853,52,1651,0.02924,0.04782
2002,3rd Quintile,West,"Yes, Occasionally",0.02680,38,1651,0.01901,0.03459
2002,3rd Quintile,West,No,0.93467,1561,1651,0.92275,0.94660
2002,3rd Quintile,East,No,0.96162,597,597,0.94619,0.97704
2002,4th Quintile,West,"Yes, Regularly",0.06132,104,1844,0.05037,0.07228
2002,4th Quintile,West,"Yes, Occasionally",0.03594,61,1844,0.02744,0.04444
2002,4th Quintile,West,No,0.90273,1679,1844,0.88921,0.91626
2002,4th Quintile,East,No,0.98029,501,501,0.96811,0.99247
2002,5th Quintile,West,"Yes, Regularly",0.15357,536,2869,0.14038,0.16677
2002,5th Quintile,West,"Yes, Occasionally",0.06159,192,2869,0.05279,0.07039
2002,5th Quintile,West,No,0.78484,2141,2869,0.76980,0.79988
2002,5th Quintile,East,No,0.88979,314,314,0.85509,0.92448
2003,1st Quintile,West,No,0.94146,1372,1372,0.92903,0.95388
2003,1st Quintile,East,No,0.98243,608,608,0.97197,0.99288
2003,2nd Quintile,West,"Yes, Regularly",0.04228,39,1454,0.03193,0.05262
2003,2nd Quintile,West,No,0.94239,1415,1454,0.93040,0.95437
2003,2nd Quintile,East,No,0.95856,708,708,0.94387,0.97325
2003,3rd Quintile,West,"Yes, Regularly",0.05176,65,1595,0.04088,0.06264
2003,3rd Quintile,West,"Yes, Occasionally",0.03326,43,1595,0.02446,0.04206
2003,3rd Quintile,West,No,0.91498,1487,1595,0.90129,0.92867
2003,3rd Quintile,East,No,0.95085,608,608,0.93365,0.96805
2003,4th Quintile,West,"Yes, Regularly",0.05764,86,1792,0.04684,0.06843
2003,4th Quintile,West,"Yes, Occasionally",0.04032,68,1792,0.03121,0.04943
2003,4th Quintile,West,No,0.90205,1638,1792,0.88828,0.91581
2003,4th Quintile,East,No,0.92672,444,444,0.90245,0.95098
