year,bula_h,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Saxony,Tenant,No,0.96469,388,388,0.94631,0.98308
1999,Saxony-Anhalt,Owner,No,0.96498,125,125,0.93262,0.99734
1999,Saxony-Anhalt,Tenant,No,0.98160,221,221,0.96383,0.99936
1999,Thuringa,Owner,No,0.98121,165,165,0.96043,1.00199
1999,Thuringa,Tenant,No,0.93534,178,178,0.89911,0.97157
2000,Schleswig-Holstein,Owner,No,0.89328,203,203,0.85070,0.93586
2000,Schleswig-Holstein,Tenant,No,0.94001,165,165,0.90366,0.97635
2000,Hamburg,Owner,No,0.84364,33,33,0.71780,0.96948
2000,Hamburg,Tenant,No,0.92216,141,141,0.87778,0.96654
2000,Lower Saxony,Owner,"Yes, Regularly",0.08235,43,549,0.05933,0.10536
2000,Lower Saxony,Owner,No,0.86671,506,549,0.83825,0.89517
2000,Lower Saxony,Tenant,No,0.91313,470,470,0.88764,0.93862
2000,Bremen,Owner,No,0.82474,35,35,0.69695,0.95254
2000,Bremen,Tenant,No,0.86776,64,64,0.78411,0.95141
2000,North Rhine-Westphalia,Owner,"Yes, Regularly",0.14664,134,1152,0.12620,0.16707
2000,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.06162,58,1152,0.04773,0.07551
2000,North Rhine-Westphalia,Owner,No,0.78133,960,1152,0.75745,0.80521
2000,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.06190,79,1559,0.04993,0.07387
2000,North Rhine-Westphalia,Tenant,No,0.90455,1480,1559,0.88996,0.91914
2000,Hesse,Owner,"Yes, Regularly",0.12999,43,389,0.09653,0.16345
2000,Hesse,Owner,No,0.81746,346,389,0.77903,0.85590
2000,Hesse,Tenant,No,0.93571,461,461,0.91330,0.95812
2000,"Rhineland-Palatinate, Saarland",Owner,"Yes, Regularly",0.10786,40,421,0.07820,0.13753
2000,"Rhineland-Palatinate, Saarland",Owner,No,0.83866,381,421,0.80348,0.87384
2000,"Rhineland-Palatinate, Saarland",Tenant,No,0.91588,317,317,0.88527,0.94648
2000,Baden-Wuerttemberg,Owner,"Yes, Regularly",0.07746,45,745,0.05825,0.09667
2000,Baden-Wuerttemberg,Owner,"Yes, Occasionally",0.05171,33,745,0.03580,0.06763
2000,Baden-Wuerttemberg,Owner,No,0.85921,667,745,0.83422,0.88421
2000,Baden-Wuerttemberg,Tenant,No,0.94652,747,747,0.93037,0.96266
2000,Bavaria,Owner,"Yes, Regularly",0.08148,65,925,0.06384,0.09912
2000,Bavaria,Owner,No,0.86507,860,925,0.84304,0.88710
2000,Bavaria,Tenant,No,0.91976,787,787,0.90077,0.93875
2000,Berlin,Owner,No,0.81063,50,50,0.70092,0.92033
2000,Berlin,Tenant,No,0.94080,431,431,0.91849,0.96311
2000,Brandenburg,Owner,No,0.96550,204,204,0.94039,0.99061
2000,Brandenburg,Tenant,No,0.96564,317,317,0.94556,0.98573
2000,Mecklenburg-Western Pomerania,Owner,No,0.98485,110,110,0.96192,1.00778
2000,Mecklenburg-Western Pomerania,Tenant,No,0.94114,193,193,0.90785,0.97443
2000,Saxony,Owner,No,0.96857,317,317,0.94934,0.98781
2000,Saxony,Tenant,No,0.95710,583,583,0.94064,0.97356
2000,Saxony-Anhalt,Owner,No,0.97302,233,233,0.95216,0.99387
2000,Saxony-Anhalt,Tenant,No,0.98191,295,295,0.96668,0.99715
2000,Thuringa,Owner,No,0.96535,253,253,0.94276,0.98793
2000,Thuringa,Tenant,No,0.94935,267,267,0.92299,0.97570
2001,Schleswig-Holstein,Owner,No,0.87648,179,179,0.82815,0.92482
