year,quintil_oecd,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,1st Quintile,Very good,0.09381,395,2780,0.08297,0.10465
1992,1st Quintile,Good,0.24587,1011,2780,0.22986,0.26188
1992,1st Quintile,Satisfactory,0.25503,832,2780,0.23882,0.27123
1992,1st Quintile,Poor,0.12335,374,2780,0.11113,0.13558
1992,1st Quintile,Bad,0.06980,168,2780,0.06033,0.07927
1992,2nd Quintile,Very good,0.09556,453,2845,0.08475,0.10636
1992,2nd Quintile,Good,0.29824,1258,2845,0.28143,0.31506
1992,2nd Quintile,Satisfactory,0.23979,756,2845,0.22410,0.25548
1992,2nd Quintile,Poor,0.09619,281,2845,0.08536,0.10703
1992,2nd Quintile,Bad,0.03344,97,2845,0.02684,0.04005
1992,3rd Quintile,Very good,0.12347,450,2659,0.11096,0.13598
1992,3rd Quintile,Good,0.31051,1112,2659,0.29292,0.32810
1992,3rd Quintile,Satisfactory,0.24206,729,2659,0.22578,0.25835
1992,3rd Quintile,Poor,0.09656,280,2659,0.08533,0.10779
1992,3rd Quintile,Bad,0.03268,88,2659,0.02592,0.03944
1992,4th Quintile,Very good,0.13068,449,2629,0.11780,0.14357
1992,4th Quintile,Good,0.35033,1094,2629,0.33209,0.36857
1992,4th Quintile,Satisfactory,0.25748,736,2629,0.24076,0.27420
1992,4th Quintile,Poor,0.09088,259,2629,0.07989,0.10187
1992,4th Quintile,Bad,0.03426,91,2629,0.02730,0.04121
1992,5th Quintile,Very good,0.12502,377,2374,0.11171,0.13832
1992,5th Quintile,Good,0.39471,1042,2374,0.37504,0.41437
1992,5th Quintile,Satisfactory,0.25986,674,2374,0.24222,0.27751
1992,5th Quintile,Poor,0.09280,234,2374,0.08113,0.10448
1992,5th Quintile,Bad,0.01996,47,2374,0.01433,0.02559
1994,1st Quintile,Very good,0.05968,251,2508,0.05041,0.06895
1994,1st Quintile,Good,0.23215,895,2508,0.21562,0.24868
1994,1st Quintile,Satisfactory,0.25855,749,2508,0.24141,0.27568
1994,1st Quintile,Poor,0.15344,437,2508,0.13934,0.16755
1994,1st Quintile,Bad,0.07000,176,2508,0.06001,0.07999
