year,sampreg,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Good,0.30862,5270,13442,0.30081,0.31643
2009,West,Satisfactory,0.29796,4619,13442,0.29023,0.30569
2009,West,Poor,0.12208,1867,13442,0.11654,0.12761
2009,West,Bad,0.03456,509,13442,0.03147,0.03764
2009,East,Very good,0.05565,275,4534,0.04898,0.06233
2009,East,Good,0.33028,1776,4534,0.31658,0.34397
2009,East,Satisfactory,0.30156,1618,4534,0.28820,0.31492
2009,East,Poor,0.13854,683,4534,0.12848,0.14860
2009,East,Bad,0.03981,182,4534,0.03412,0.04550
2010,West,Very good,0.08221,2298,18478,0.07825,0.08617
2010,West,Good,0.30865,7528,18478,0.30199,0.31531
2010,West,Satisfactory,0.28142,5667,18478,0.27494,0.28790
2010,West,Poor,0.12512,2371,18478,0.12035,0.12989
2010,West,Bad,0.03796,614,18478,0.03521,0.04072
2010,East,Very good,0.06426,501,5467,0.05776,0.07076
2010,East,Good,0.33330,2277,5467,0.32081,0.34580
2010,East,Satisfactory,0.29637,1734,5467,0.28426,0.30847
2010,East,Poor,0.14398,741,5467,0.13468,0.15329
2010,East,Bad,0.03898,214,5467,0.03385,0.04411
2011,West,Very good,0.08532,2543,22036,0.08163,0.08901
2011,West,Good,0.31952,9041,22036,0.31336,0.32568
2011,West,Satisfactory,0.26423,6715,22036,0.25841,0.27005
2011,West,Poor,0.12616,2960,22036,0.12178,0.13055
2011,West,Bad,0.03584,777,22036,0.03338,0.03829
2011,East,Very good,0.07527,546,6309,0.06875,0.08178
2011,East,Good,0.30027,2516,6309,0.28896,0.31158
2011,East,Satisfactory,0.31791,2104,6309,0.30642,0.32940
2011,East,Poor,0.13367,883,6309,0.12528,0.14207
2011,East,Bad,0.03803,260,6309,0.03331,0.04275
2012,West,Very good,0.08647,2376,21442,0.08271,0.09023
2012,West,Good,0.31994,8852,21442,0.31370,0.32619
2012,West,Satisfactory,0.27706,6748,21442,0.27107,0.28305
2012,West,Poor,0.11834,2748,21442,0.11402,0.12267
2012,West,Bad,0.03184,718,21442,0.02949,0.03419
2012,East,Very good,0.06306,449,6167,0.05700,0.06913
2012,East,Good,0.32279,2567,6167,0.31112,0.33446
2012,East,Satisfactory,0.30598,2046,6167,0.29448,0.31749
2012,East,Poor,0.13398,869,6167,0.12548,0.14249
2012,East,Bad,0.03832,236,6167,0.03353,0.04311
2013,West,Very good,0.09145,3222,24498,0.08784,0.09506
2013,West,Good,0.31333,9905,24498,0.30752,0.31914
2013,West,Satisfactory,0.27151,7304,24498,0.26594,0.27708
2013,West,Poor,0.12379,3223,24498,0.11966,0.12791
2013,West,Bad,0.03518,844,24498,0.03288,0.03749
2013,East,Very good,0.06664,504,6104,0.06038,0.07290
2013,East,Good,0.30936,2370,6104,0.29777,0.32096
2013,East,Satisfactory,0.31224,2087,6104,0.30061,0.32387
2013,East,Poor,0.13457,898,6104,0.12601,0.14313
2013,East,Bad,0.04365,245,6104,0.03852,0.04877
2014,West,Very good,0.08709,2352,21481,0.08332,0.09086
2014,West,Good,0.31435,8656,21481,0.30815,0.32056
2014,West,Satisfactory,0.27499,6754,21481,0.26902,0.28096
2014,West,Poor,0.12973,2999,21481,0.12523,0.13422
2014,West,Bad,0.03250,720,21481,0.03013,0.03487
2014,East,Very good,0.06366,410,5574,0.05725,0.07007
2014,East,Good,0.31350,2242,5574,0.30132,0.32568
2014,East,Satisfactory,0.29902,1871,5574,0.28700,0.31104
2014,East,Poor,0.14212,832,5574,0.13295,0.15129
2014,East,Bad,0.03846,219,5574,0.03341,0.04350
2015,West,Very good,0.08866,2584,21353,0.08485,0.09248
2015,West,Good,0.31864,8680,21353,0.31239,0.32489
2015,West,Satisfactory,0.27221,6525,21353,0.26624,0.27819
2015,West,Poor,0.12719,2907,21353,0.12272,0.13166
2015,West,Bad,0.03322,657,21353,0.03081,0.03562
2015,East,Very good,0.06264,411,5399,0.05617,0.06910
2015,East,Good,0.30853,2085,5399,0.29621,0.32085
2015,East,Satisfactory,0.30214,1880,5399,0.28989,0.31439
2015,East,Poor,0.13835,797,5399,0.12914,0.14756
2015,East,Bad,0.04455,226,5399,0.03905,0.05006
2016,West,Very good,0.08147,3111,21699,0.07783,0.08511
2016,West,Good,0.32135,8485,21699,0.31514,0.32757
2016,West,Satisfactory,0.27358,6450,21699,0.26765,0.27951
2016,West,Poor,0.12757,2913,21699,0.12313,0.13201
2016,West,Bad,0.03364,740,21699,0.03124,0.03604
2016,East,Very good,0.06721,548,5537,0.06062,0.07381
2016,East,Good,0.31992,2156,5537,0.30764,0.33221
2016,East,Satisfactory,0.28443,1767,5537,0.27254,0.29631
2016,East,Poor,0.14223,835,5537,0.13302,0.15143
2016,East,Bad,0.03606,231,5537,0.03115,0.04097
2017,West,Very good,0.08879,3688,24320,0.08521,0.09236
2017,West,Good,0.31074,9507,24320,0.30492,0.31655
2017,West,Satisfactory,0.27925,7229,24320,0.27362,0.28489
2017,West,Poor,0.12871,3169,24320,0.12450,0.13292
2017,West,Bad,0.02876,727,24320,0.02666,0.03086
2017,East,Very good,0.05678,620,6166,0.05100,0.06256
2017,East,Good,0.33924,2466,6166,0.32742,0.35106
2017,East,Satisfactory,0.28085,1983,6166,0.26963,0.29207
2017,East,Poor,0.12735,856,6166,0.11902,0.13567
2017,East,Bad,0.04287,241,6166,0.03781,0.04793
2018,West,Very good,0.09158,3635,23189,0.08787,0.09529
2018,West,Good,0.31363,8924,23189,0.30766,0.31961
2018,West,Satisfactory,0.28157,6906,23189,0.27579,0.28736
2018,West,Poor,0.12462,2987,23189,0.12037,0.12887
2018,West,Bad,0.03087,737,23189,0.02865,0.03310
2018,East,Very good,0.06541,656,6004,0.05916,0.07167
2018,East,Good,0.34301,2367,6004,0.33100,0.35502
2018,East,Satisfactory,0.28016,1957,6004,0.26880,0.29152
2018,East,Poor,0.11907,796,6004,0.11087,0.12726
2018,East,Bad,0.03465,228,6004,0.03002,0.03927
2019,West,Very good,0.08953,3544,22989,0.08584,0.09322
2019,West,Good,0.32307,9255,22989,0.31703,0.32912
2019,West,Satisfactory,0.27026,6696,22989,0.26452,0.27600
2019,West,Poor,0.12351,2823,22989,0.11926,0.12777
2019,West,Bad,0.02901,671,22989,0.02684,0.03118
2019,East,Very good,0.06306,618,5995,0.05691,0.06922
2019,East,Good,0.33985,2467,5995,0.32786,0.35184
2019,East,Satisfactory,0.28108,1868,5995,0.26970,0.29246
2019,East,Poor,0.12812,830,5995,0.11965,0.13658
2019,East,Bad,0.03449,212,5995,0.02987,0.03911
2020,West,Very good,0.09491,4236,23556,0.09117,0.09865
2020,West,Good,0.32036,9684,23556,0.31440,0.32631
2020,West,Satisfactory,0.26829,6290,23556,0.26263,0.27395
2020,West,Poor,0.11960,2691,23556,0.11545,0.12374
2020,West,Bad,0.02937,655,23556,0.02721,0.03152
2020,East,Very good,0.08132,737,5816,0.07429,0.08834
2020,East,Good,0.31930,2355,5816,0.30732,0.33129
2020,East,Satisfactory,0.28838,1802,5816,0.27674,0.30002
2020,East,Poor,0.12628,754,5816,0.11775,0.13482
2020,East,Bad,0.02901,168,5816,0.02469,0.03332
2021,West,Very good,0.10331,2584,15660,0.09855,0.10808
2021,West,Good,0.30624,6214,15660,0.29902,0.31346
2021,West,Satisfactory,0.26353,4304,15660,0.25663,0.27043
2021,West,Poor,0.12448,2003,15660,0.11931,0.12965
2021,West,Bad,0.03331,555,15660,0.03050,0.03613
2021,East,Very good,0.09778,495,3903,0.08846,0.10710
2021,East,Good,0.33298,1589,3903,0.31819,0.34777
2021,East,Satisfactory,0.24947,1164,3903,0.23589,0.26304
2021,East,Poor,0.12501,529,3903,0.11463,0.13538
2021,East,Bad,0.03354,126,3903,0.02789,0.03919
