year,sex,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,male,Very good,0.12700,1169,6452,0.11887,0.13512
1992,male,Good,0.34087,2790,6452,0.32931,0.35244
1992,male,Satisfactory,0.23244,1701,6452,0.22214,0.24275
1992,male,Poor,0.08028,584,6452,0.07365,0.08691
1992,male,Bad,0.03203,208,6452,0.02774,0.03633
1992,female,Very good,0.10118,956,6838,0.09403,0.10833
1992,female,Good,0.30017,2728,6838,0.28930,0.31103
1992,female,Satisfactory,0.26819,2026,6838,0.25769,0.27869
1992,female,Poor,0.11855,845,6838,0.11089,0.12622
1992,female,Bad,0.04369,283,6838,0.03884,0.04853
1994,male,Very good,0.08221,725,6200,0.07537,0.08905
1994,male,Good,0.33311,2675,6200,0.32137,0.34484
1994,male,Satisfactory,0.26192,1896,6200,0.25097,0.27286
1994,male,Poor,0.10213,703,6200,0.09459,0.10967
1994,male,Bad,0.02904,201,6200,0.02486,0.03322
1994,female,Very good,0.06344,615,6647,0.05758,0.06930
1994,female,Good,0.28985,2547,6647,0.27894,0.30075
1994,female,Satisfactory,0.29022,2174,6647,0.27931,0.30114
1994,female,Poor,0.14482,1047,6647,0.13636,0.15328
1994,female,Bad,0.04296,264,6647,0.03809,0.04784
1995,male,Very good,0.07664,712,6385,0.07012,0.08317
1995,male,Good,0.33220,2763,6385,0.32065,0.34375
1995,male,Satisfactory,0.26953,1989,6385,0.25865,0.28042
1995,male,Poor,0.10082,734,6385,0.09343,0.10820
1995,male,Bad,0.02697,187,6385,0.02300,0.03095
1995,female,Very good,0.05848,591,6858,0.05293,0.06403
1995,female,Good,0.29963,2696,6858,0.28879,0.31048
1995,female,Satisfactory,0.28560,2231,6858,0.27491,0.29629
1995,female,Poor,0.14359,1055,6858,0.13529,0.15189
1995,female,Bad,0.04253,285,6858,0.03776,0.04731
1996,male,Very good,0.07000,662,6279,0.06369,0.07631
1996,male,Good,0.33061,2670,6279,0.31898,0.34225
1996,male,Satisfactory,0.28071,2059,6279,0.26960,0.29183
1996,male,Poor,0.09634,684,6279,0.08904,0.10364
1996,male,Bad,0.03048,204,6279,0.02622,0.03473
1996,female,Very good,0.06785,626,6742,0.06185,0.07385
