year,bula_h,sampreg,hlf0178_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2013,Baden-Wuerttemberg,West,No,0.24282,268,13859,0,0.22222,0,0.26175
2013,Bavaria,West,Yes,0.73936,1778,13859,0,0.70064,0,0.78016
2013,Bavaria,West,No,0.26064,423,13859,0,0.24273,0,0.28032
2013,Berlin,West,Yes,0.82336,341,13859,0,0.72991,0,0.91917
2013,Berlin,West,No,0.17664,54,13859,0,0.14289,0,0.21603
2013,Berlin,East,Yes,0.76432,192,13859,0,0.66605,0,0.84870
2013,Berlin,East,No,0.23568,37,13859,0,0.18284,0,0.30772
2013,Brandenburg,East,Yes,0.57147,343,13859,0,0.52680,0,0.62849
2013,Brandenburg,East,No,0.42853,178,13859,0,0.38280,0,0.48896
2013,Mecklenburg-Western Pomerania,East,Yes,0.62521,203,13859,0,0.54207,0,0.71714
2013,Mecklenburg-Western Pomerania,East,No,0.37479,97,13859,0,0.32890,0,0.42617
2013,Saxony,East,Yes,0.67512,611,13859,0,0.61770,0,0.72727
2013,Saxony,East,No,0.32488,210,13859,0,0.29378,0,0.36455
2013,Saxony-Anhalt,East,Yes,0.61239,349,13859,0,0.54670,0,0.68726
2013,Saxony-Anhalt,East,No,0.38761,155,13859,0,0.34750,0,0.42800
2013,Thuringa,East,Yes,0.58824,322,13859,0,0.51173,0,0.65314
2013,Thuringa,East,No,0.41176,172,13859,0,0.36950,0,0.47052
2014,Schleswig-Holstein,West,Yes,0.72878,466,15758,0,0.66071,0,0.80112
2014,Schleswig-Holstein,West,No,0.27122,101,15758,0,0.22484,0,0.32078
2014,Hamburg,West,Yes,0.78230,236,15758,0,0.68126,0,0.90324
2014,Hamburg,West,No,0.21770,33,15758,0,0.18078,0,0.25737
2014,Lower Saxony,West,Yes,0.75233,1227,15758,0,0.70303,0,0.80573
2014,Lower Saxony,West,No,0.24767,232,15758,0,0.22090,0,0.27700
2014,Bremen,West,Yes,1.00000,105,15758,0,0.78989,0,1.21907
2014,North Rhine-Westphalia,West,Yes,0.77445,2787,15758,0,0.74044,0,0.81503
2014,North Rhine-Westphalia,West,No,0.22555,433,15758,0,0.20770,0,0.24081
2014,Hesse,West,Yes,0.77120,957,15758,0,0.71784,0,0.82607
2014,Hesse,West,No,0.22880,154,15758,0,0.20494,0,0.25453
2014,"Rhineland-Palatinate, Saarland",West,Yes,0.69491,732,15758,0,0.64608,0,0.74396
2014,"Rhineland-Palatinate, Saarland",West,No,0.30509,186,15758,0,0.27345,0,0.32977
2014,Baden-Wuerttemberg,West,Yes,0.75236,1556,15758,0,0.70531,0,0.80028
2014,Baden-Wuerttemberg,West,No,0.24764,264,15758,0,0.22692,0,0.26834
2014,Bavaria,West,Yes,0.74558,2132,15758,0,0.70843,0,0.78273
2014,Bavaria,West,No,0.25442,414,15758,0,0.23885,0,0.27171
2014,Berlin,West,Yes,0.84841,336,15758,0,0.77440,0,0.93137
2014,Berlin,West,No,0.15159,43,15758,0,0.12874,0,0.17800
2014,Berlin,East,Yes,0.80826,234,15758,0,0.70110,0,0.90868
2014,Berlin,East,No,0.19174,37,15758,0,0.14586,0,0.25813
2014,Brandenburg,East,Yes,0.59172,447,15758,0,0.52241,0,0.65214
2014,Brandenburg,East,No,0.40828,174,15758,0,0.36101,0,0.45995
2014,Mecklenburg-Western Pomerania,East,Yes,0.66094,261,15758,0,0.56013,0,0.76680
2014,Mecklenburg-Western Pomerania,East,No,0.33906,92,15758,0,0.28952,0,0.40759
2014,Saxony,East,Yes,0.68464,728,15758,0,0.63044,0,0.72759
2014,Saxony,East,No,0.31536,216,15758,0,0.28359,0,0.34727
2014,Saxony-Anhalt,East,Yes,0.60829,425,15758,0,0.55563,0,0.67131
2014,Saxony-Anhalt,East,No,0.39171,159,15758,0,0.34657,0,0.44090
2014,Thuringa,East,Yes,0.61403,421,15758,0,0.55175,0,0.69529
