,Unnamed: 0,year,rentown,sampreg,hlf0178_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Owner,West,Yes,0.53779,2643,11100,0.52023,0.55675
1,1,2005,Owner,West,No,0.46221,1601,11100,0.44616,0.47938
2,2,2005,Owner,East,Yes,0.48931,604,11100,0.45711,0.52323
3,3,2005,Owner,East,No,0.51069,487,11100,0.48167,0.54524
4,4,2005,Tenant,West,Yes,0.43881,2074,11100,0.42606,0.45554
5,5,2005,Tenant,West,No,0.56119,2124,11100,0.54807,0.57728
6,6,2005,Tenant,East,Yes,0.34901,637,11100,0.32515,0.37104
7,7,2005,Tenant,East,No,0.65099,930,11100,0.62723,0.68019
8,8,2007,Owner,West,Yes,0.62902,3127,11366,0.60719,0.64589
9,9,2007,Owner,West,No,0.37098,1316,11366,0.35906,0.38291
10,10,2007,Owner,East,Yes,0.53675,703,11366,0.49679,0.57082
11,11,2007,Owner,East,No,0.46325,429,11366,0.42945,0.49296
12,12,2007,Tenant,West,Yes,0.51743,2411,11366,0.50155,0.53386
13,13,2007,Tenant,West,No,0.48257,1774,11366,0.4675,0.49594
14,14,2007,Tenant,East,Yes,0.39487,734,11366,0.37064,0.41916
15,15,2007,Tenant,East,No,0.60513,872,11366,0.58055,0.63363
16,16,2011,Owner,West,Yes,0.72088,3731,12022,0.69415,0.74214
17,17,2011,Owner,West,No,0.27912,1030,12022,0.26778,0.28876
18,18,2011,Owner,East,Yes,0.66465,829,12022,0.61917,0.70398
19,19,2011,Owner,East,No,0.33535,322,12022,0.30512,0.36495
20,20,2011,Tenant,West,Yes,0.65283,3161,12022,0.63368,0.6746
21,21,2011,Tenant,West,No,0.34717,1226,12022,0.33463,0.35943
22,22,2011,Tenant,East,Yes,0.54077,1047,12022,0.50846,0.57664
23,23,2011,Tenant,East,No,0.45923,676,12022,0.43218,0.48829
24,24,2013,Owner,West,Yes,0.78034,4205,13872,0.76008,0.80601
25,25,2013,Owner,West,No,0.21966,759,13872,0.21007,0.23088
26,26,2013,Owner,East,Yes,0.70696,842,13872,0.66058,0.76321
27,27,2013,Owner,East,No,0.29304,256,13872,0.26035,0.32188
28,28,2013,Tenant,West,Yes,0.71604,4850,13872,0.69361,0.73637
29,29,2013,Tenant,West,No,0.28396,1189,13872,0.27215,0.2946
30,30,2013,Tenant,East,Yes,0.59662,1178,13872,0.56107,0.62827
31,31,2013,Tenant,East,No,0.40338,593,13872,0.37939,0.4311
32,32,2014,Owner,West,Yes,0.78386,5043,15776,0.76316,0.81032
33,33,2014,Owner,West,No,0.21614,761,15776,0.20569,0.22787
34,34,2014,Owner,East,Yes,0.73148,990,15776,0.67797,0.77187
35,35,2014,Owner,East,No,0.26852,241,15776,0.24467,0.29801
36,36,2014,Tenant,West,Yes,0.73424,5491,15776,0.71447,0.75446
37,37,2014,Tenant,West,No,0.26576,1117,15776,0.25283,0.27674
38,38,2014,Tenant,East,Yes,0.61527,1526,15776,0.57686,0.64881
39,39,2014,Tenant,East,No,0.38473,607,15776,0.35946,0.40753
40,40,2015,Owner,West,Yes,0.80827,4901,15721,0.7838,0.83279
41,41,2015,Owner,West,No,0.19173,636,15721,0.18188,0.20111
42,42,2015,Owner,East,Yes,0.74042,963,15721,0.68843,0.79252
43,43,2015,Owner,East,No,0.25958,222,15721,0.23044,0.28888
44,44,2015,Tenant,West,Yes,0.76113,5896,15721,0.73672,0.78482
45,45,2015,Tenant,West,No,0.23887,1029,15721,0.22611,0.24942
46,46,2015,Tenant,East,Yes,0.66023,1543,15721,0.62226,0.69867
47,47,2015,Tenant,East,No,0.33977,531,15721,0.31236,0.36327
48,48,2016,Owner,West,Yes,0.82691,4628,14282,0.7996,0.85009
49,49,2016,Owner,West,No,0.17309,513,14282,0.16254,0.1832
50,50,2016,Owner,East,Yes,0.7863,958,14282,0.73463,0.84258
51,51,2016,Owner,East,No,0.2137,197,14282,0.18905,0.23841
52,52,2016,Tenant,West,Yes,0.77952,5237,14282,0.75643,0.80653
53,53,2016,Tenant,West,No,0.22048,836,14282,0.20924,0.23274
54,54,2016,Tenant,East,Yes,0.69948,1448,14282,0.6562,0.743
55,55,2016,Tenant,East,No,0.30052,465,14282,0.27414,0.32081
56,56,2017,Owner,West,Yes,0.85013,5293,17456,0.82507,0.87636
57,57,2017,Owner,West,No,0.14987,450,17456,0.14119,0.15853
58,58,2017,Owner,East,Yes,0.80718,1126,17456,0.75535,0.86569
59,59,2017,Owner,East,No,0.19282,185,17456,0.17136,0.21573
60,60,2017,Tenant,West,Yes,0.79904,7089,17456,0.77485,0.82355
61,61,2017,Tenant,West,No,0.20096,910,17456,0.18918,0.21518
62,62,2017,Tenant,East,Yes,0.72144,1913,17456,0.68025,0.76731
63,63,2017,Tenant,East,No,0.27856,490,17456,0.2561,0.30247
64,64,2018,Owner,West,Yes,0.85694,5103,17862,0.833,0.88016
65,65,2018,Owner,West,No,0.14306,398,17862,0.1337,0.1525
66,66,2018,Owner,East,Yes,0.83753,1109,17862,0.78244,0.892
67,67,2018,Owner,East,No,0.16247,144,17862,0.14077,0.1859
68,68,2018,Tenant,West,Yes,0.81057,7678,17862,0.78472,0.83465
69,69,2018,Tenant,West,No,0.18943,909,17862,0.17813,0.20338
70,70,2018,Tenant,East,Yes,0.74547,2067,17862,0.69554,0.78598
71,71,2018,Tenant,East,No,0.25453,454,17862,0.22922,0.27867
72,72,2019,Owner,West,Yes,0.87716,5977,18353,0.85046,0.90326
73,73,2019,Owner,West,No,0.12284,339,18353,0.11382,0.13304
74,74,2019,Owner,East,Yes,0.85627,1419,18353,0.80115,0.92104
75,75,2019,Owner,East,No,0.14373,129,18353,0.12263,0.16907
76,76,2019,Tenant,West,Yes,0.8432,7444,18353,0.82226,0.86988
77,77,2019,Tenant,West,No,0.1568,689,18353,0.14522,0.16967
