year,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,West,Yes,0.48224,4717,8442,0.47158,0.49290
2005,West,No,0.51776,3725,8442,0.50710,0.52842
2005,East,Yes,0.39491,1242,2659,0.37632,0.41349
2005,East,No,0.60509,1417,2659,0.58651,0.62368
2007,West,Yes,0.56721,5538,8628,0.55676,0.57767
2007,West,No,0.43279,3090,8628,0.42233,0.44324
2007,East,Yes,0.44157,1437,2738,0.42296,0.46017
2007,East,No,0.55843,1301,2738,0.53983,0.57704
2011,West,Yes,0.68611,6892,9148,0.67660,0.69562
2011,West,No,0.31389,2256,9148,0.30438,0.32340
2011,East,Yes,0.58413,1876,2874,0.56610,0.60215
2011,East,No,0.41587,998,2874,0.39785,0.43390
2013,West,Yes,0.74670,9055,11003,0.73857,0.75482
2013,West,No,0.25330,1948,11003,0.24518,0.26143
2013,East,Yes,0.63703,2020,2869,0.61943,0.65463
2013,East,No,0.36297,849,2869,0.34537,0.38057
2014,West,Yes,0.75804,10534,12412,0.75051,0.76558
2014,West,No,0.24196,1878,12412,0.23442,0.24949
2014,East,Yes,0.65588,2516,3364,0.63982,0.67194
2014,East,No,0.34412,848,3364,0.32806,0.36018
2015,West,Yes,0.78373,10797,12462,0.77650,0.79096
2015,West,No,0.21627,1665,12462,0.20904,0.22350
2015,East,Yes,0.68881,2506,3259,0.67291,0.70470
2015,East,No,0.31119,753,3259,0.29530,0.32709
2016,West,Yes,0.80170,11174,12924,0.79483,0.80858
2016,West,No,0.19830,1750,12924,0.19142,0.20517
2016,East,Yes,0.73098,2673,3457,0.71620,0.74577
2016,East,No,0.26902,784,3457,0.25423,0.28380
2017,West,Yes,0.82351,12954,14460,0.81730,0.82973
2017,West,No,0.17649,1506,14460,0.17027,0.18270
2017,East,Yes,0.75302,3102,3793,0.73930,0.76675
2017,East,No,0.24698,691,3793,0.23325,0.26070
2018,West,Yes,0.83287,12781,14088,0.82671,0.83903
2018,West,No,0.16713,1307,14088,0.16097,0.17329
2018,East,Yes,0.77846,3176,3774,0.76521,0.79171
2018,East,No,0.22154,598,3774,0.20829,0.23479
2019,Does not apply,Yes,0.96213,61,61,0.91383,1.01043
2019,West,Yes,0.85925,13422,14450,0.85358,0.86492
2019,West,No,0.14075,1028,14450,0.13508,0.14642
2019,East,Yes,0.79964,3417,3904,0.78708,0.81220
2019,East,No,0.20036,487,3904,0.18780,0.21292
2020,West,Yes,0.92145,2457,2601,0.91111,0.93180
2020,West,No,0.07855,144,2601,0.06820,0.08889
2020,East,Yes,0.90356,367,367,0.87332,0.93381
2021,West,Yes,0.89165,9454,9971,0.88555,0.89775
2021,West,No,0.10835,517,9971,0.10225,0.11445
2021,East,Yes,0.86772,2350,2588,0.85466,0.88077
2021,East,No,0.13228,238,2588,0.11923,0.14534
