year,quintil_oecd_hh,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Owner,Yes,0.29019,111,320,0.24039,0.34000
2005,1st Quintile,Owner,No,0.70981,209,320,0.66000,0.75961
2005,1st Quintile,Tenant,Yes,0.29187,518,1625,0.26976,0.31398
2005,1st Quintile,Tenant,No,0.70813,1107,1625,0.68602,0.73024
2005,2nd Quintile,Owner,Yes,0.38827,310,754,0.35346,0.42308
2005,2nd Quintile,Owner,No,0.61173,444,754,0.57692,0.64654
2005,2nd Quintile,Tenant,Yes,0.35369,498,1294,0.32763,0.37976
2005,2nd Quintile,Tenant,No,0.64631,796,1294,0.62024,0.67237
2005,3rd Quintile,Owner,Yes,0.48311,536,1010,0.45228,0.51395
2005,3rd Quintile,Owner,No,0.51689,474,1010,0.48605,0.54772
2005,3rd Quintile,Tenant,Yes,0.42707,503,1071,0.39743,0.45670
2005,3rd Quintile,Tenant,No,0.57293,568,1071,0.54330,0.60257
2005,4th Quintile,Owner,Yes,0.54071,780,1292,0.51352,0.56789
2005,4th Quintile,Owner,No,0.45929,512,1292,0.43211,0.48648
2005,4th Quintile,Tenant,Yes,0.49940,516,906,0.46683,0.53198
2005,4th Quintile,Tenant,No,0.50060,390,906,0.46802,0.53317
2005,5th Quintile,Owner,Yes,0.69452,1510,1958,0.67412,0.71493
2005,5th Quintile,Owner,No,0.30548,448,1958,0.28507,0.32588
2005,5th Quintile,Tenant,Yes,0.70500,676,867,0.67463,0.73538
2005,5th Quintile,Tenant,No,0.29500,191,867,0.26462,0.32537
2007,1st Quintile,Owner,Yes,0.37888,135,326,0.32614,0.43162
2007,1st Quintile,Owner,No,0.62112,191,326,0.56838,0.67386
2007,1st Quintile,Tenant,Yes,0.36083,652,1616,0.33741,0.38425
2007,1st Quintile,Tenant,No,0.63917,964,1616,0.61575,0.66259
2007,2nd Quintile,Owner,Yes,0.45822,361,737,0.42222,0.49421
2007,2nd Quintile,Owner,No,0.54178,376,737,0.50579,0.57778
2007,2nd Quintile,Tenant,Yes,0.41347,626,1356,0.38725,0.43969
2007,2nd Quintile,Tenant,No,0.58653,730,1356,0.56031,0.61275
2007,3rd Quintile,Owner,Yes,0.55114,663,1110,0.52186,0.58041
2007,3rd Quintile,Owner,No,0.44886,447,1110,0.41959,0.47814
2007,3rd Quintile,Tenant,Yes,0.50749,594,1081,0.47768,0.53731
2007,3rd Quintile,Tenant,No,0.49251,487,1081,0.46269,0.52232
2007,4th Quintile,Owner,Yes,0.64722,979,1379,0.62199,0.67245
2007,4th Quintile,Owner,No,0.35278,400,1379,0.32755,0.37801
2007,4th Quintile,Tenant,Yes,0.61811,629,937,0.58698,0.64923
2007,4th Quintile,Tenant,No,0.38189,308,937,0.35077,0.41302
2007,5th Quintile,Owner,Yes,0.77481,1692,2023,0.75660,0.79302
2007,5th Quintile,Owner,No,0.22519,331,2023,0.20698,0.24340
2007,5th Quintile,Tenant,Yes,0.74453,641,798,0.71425,0.77481
2007,5th Quintile,Tenant,No,0.25547,157,798,0.22519,0.28575
2011,1st Quintile,Owner,Yes,0.36871,185,379,0.32008,0.41735
2011,1st Quintile,Owner,No,0.63129,194,379,0.58265,0.67992
2011,1st Quintile,Tenant,Yes,0.46535,1069,1860,0.44268,0.48802
2011,1st Quintile,Tenant,No,0.53465,791,1860,0.51198,0.55732
2011,2nd Quintile,Owner,Yes,0.53680,510,853,0.50332,0.57028
2011,2nd Quintile,Owner,No,0.46320,343,853,0.42972,0.49668
2011,2nd Quintile,Tenant,Yes,0.54803,830,1372,0.52168,0.57437
2011,2nd Quintile,Tenant,No,0.45197,542,1372,0.42563,0.47832
2011,3rd Quintile,Owner,Yes,0.62206,839,1226,0.59491,0.64922
2011,3rd Quintile,Owner,No,0.37794,387,1226,0.35078,0.40509
2011,3rd Quintile,Tenant,Yes,0.68841,836,1137,0.66147,0.71534
2011,3rd Quintile,Tenant,No,0.31159,301,1137,0.28466,0.33853
2011,4th Quintile,Owner,Yes,0.78748,1217,1462,0.76650,0.80846
2011,4th Quintile,Owner,No,0.21252,245,1462,0.19154,0.23350
2011,4th Quintile,Tenant,Yes,0.78975,791,963,0.76400,0.81550
2011,4th Quintile,Tenant,No,0.21025,172,963,0.18450,0.23600
2011,5th Quintile,Owner,Yes,0.88047,1809,1992,0.86622,0.89472
2011,5th Quintile,Owner,No,0.11953,183,1992,0.10528,0.13378
2011,5th Quintile,Tenant,Yes,0.85100,681,775,0.82591,0.87609
2011,5th Quintile,Tenant,No,0.14900,94,775,0.12391,0.17409
2013,1st Quintile,Owner,Yes,0.49187,241,387,0.44199,0.54174
2013,1st Quintile,Owner,No,0.50813,146,387,0.45826,0.55801
2013,1st Quintile,Tenant,Yes,0.56185,1858,2640,0.54292,0.58078
2013,1st Quintile,Tenant,No,0.43815,782,2640,0.41922,0.45708
2013,2nd Quintile,Owner,Yes,0.56780,596,878,0.53501,0.60058
2013,2nd Quintile,Owner,No,0.43220,282,878,0.39942,0.46499
2013,2nd Quintile,Tenant,Yes,0.63930,1379,1905,0.61773,0.66087
2013,2nd Quintile,Tenant,No,0.36070,526,1905,0.33913,0.38227
2013,3rd Quintile,Owner,Yes,0.69726,999,1294,0.67222,0.72230
2013,3rd Quintile,Owner,No,0.30274,295,1294,0.27770,0.32778
2013,3rd Quintile,Tenant,Yes,0.73846,1066,1324,0.71478,0.76215
2013,3rd Quintile,Tenant,No,0.26154,258,1324,0.23785,0.28522
2013,4th Quintile,Owner,Yes,0.83400,1309,1482,0.81505,0.85295
2013,4th Quintile,Owner,No,0.16600,173,1482,0.14705,0.18495
2013,4th Quintile,Tenant,Yes,0.80209,941,1095,0.77848,0.82570
2013,4th Quintile,Tenant,No,0.19791,154,1095,0.17430,0.22152
2013,5th Quintile,Owner,Yes,0.91631,1902,2021,0.90424,0.92839
2013,5th Quintile,Owner,No,0.08369,119,2021,0.07161,0.09576
2013,5th Quintile,Tenant,Yes,0.89901,780,839,0.87861,0.91941
2013,5th Quintile,Tenant,No,0.10099,59,839,0.08059,0.12139
2014,1st Quintile,Owner,Yes,0.50923,348,502,0.46546,0.55301
2014,1st Quintile,Owner,No,0.49077,154,502,0.44699,0.53454
2014,1st Quintile,Tenant,Yes,0.61067,2197,2937,0.59304,0.62831
2014,1st Quintile,Tenant,No,0.38933,740,2937,0.37169,0.40696
2014,2nd Quintile,Owner,Yes,0.63716,821,1090,0.60861,0.66572
2014,2nd Quintile,Owner,No,0.36284,269,1090,0.33428,0.39139
2014,2nd Quintile,Tenant,Yes,0.64103,1707,2211,0.62104,0.66103
2014,2nd Quintile,Tenant,No,0.35897,504,2211,0.33897,0.37896
2014,3rd Quintile,Owner,Yes,0.70743,1286,1574,0.68495,0.72991
2014,3rd Quintile,Owner,No,0.29257,288,1574,0.27009,0.31505
2014,3rd Quintile,Tenant,Yes,0.73166,1245,1525,0.70941,0.75391
2014,3rd Quintile,Tenant,No,0.26834,280,1525,0.24609,0.29059
2014,4th Quintile,Owner,Yes,0.83123,1530,1715,0.81350,0.84896
2014,4th Quintile,Owner,No,0.16877,185,1715,0.15104,0.18650
2014,4th Quintile,Tenant,Yes,0.82640,1069,1205,0.80501,0.84780
2014,4th Quintile,Tenant,No,0.17360,136,1205,0.15220,0.19499
2014,5th Quintile,Owner,Yes,0.91758,2046,2152,0.90596,0.92920
2014,5th Quintile,Owner,No,0.08242,106,2152,0.07080,0.09404
2014,5th Quintile,Tenant,Yes,0.90747,798,860,0.88809,0.92685
2014,5th Quintile,Tenant,No,0.09253,62,860,0.07315,0.11191
2015,1st Quintile,Owner,Yes,0.52968,343,487,0.48530,0.57406
2015,1st Quintile,Owner,No,0.47032,144,487,0.42594,0.51470
2015,1st Quintile,Tenant,Yes,0.65549,2384,3055,0.63863,0.67234
2015,1st Quintile,Tenant,No,0.34451,671,3055,0.32766,0.36137
2015,2nd Quintile,Owner,Yes,0.64895,838,1086,0.62055,0.67736
2015,2nd Quintile,Owner,No,0.35105,248,1086,0.32264,0.37945
2015,2nd Quintile,Tenant,Yes,0.66993,1810,2282,0.65063,0.68923
2015,2nd Quintile,Tenant,No,0.33007,472,2282,0.31077,0.34937
2015,3rd Quintile,Owner,Yes,0.75720,1217,1434,0.73500,0.77941
2015,3rd Quintile,Owner,No,0.24280,217,1434,0.22059,0.26500
2015,3rd Quintile,Tenant,Yes,0.76142,1328,1576,0.74037,0.78247
2015,3rd Quintile,Tenant,No,0.23858,248,1576,0.21753,0.25963
2015,4th Quintile,Owner,Yes,0.84802,1488,1642,0.83065,0.86539
2015,4th Quintile,Owner,No,0.15198,154,1642,0.13461,0.16935
2015,4th Quintile,Tenant,Yes,0.85874,1067,1180,0.83886,0.87862
2015,4th Quintile,Tenant,No,0.14126,113,1180,0.12138,0.16114
2015,5th Quintile,Owner,Yes,0.92933,1978,2073,0.91830,0.94037
2015,5th Quintile,Owner,No,0.07067,95,2073,0.05963,0.08170
2015,5th Quintile,Tenant,Yes,0.90593,844,900,0.88685,0.92502
2015,5th Quintile,Tenant,No,0.09407,56,900,0.07498,0.11315
2016,1st Quintile,Not included in this version of the questionnaire,Yes,0.67963,1576,2098,0.65966,0.69960
2016,1st Quintile,Not included in this version of the questionnaire,No,0.32037,522,2098,0.30040,0.34034
2016,1st Quintile,Owner,Yes,0.57640,278,394,0.52754,0.62525
2016,1st Quintile,Owner,No,0.42360,116,394,0.37475,0.47246
2016,1st Quintile,Tenant,Yes,0.68170,2139,2694,0.66411,0.69930
2016,1st Quintile,Tenant,No,0.31830,555,2694,0.30070,0.33589
2016,2nd Quintile,Owner,Yes,0.69779,827,1023,0.66963,0.72594
2016,2nd Quintile,Owner,No,0.30221,196,1023,0.27406,0.33037
2016,2nd Quintile,Tenant,Yes,0.68732,1599,2012,0.66705,0.70758
2016,2nd Quintile,Tenant,No,0.31268,413,2012,0.29242,0.33295
2016,3rd Quintile,Owner,Yes,0.78238,1156,1341,0.76029,0.80448
2016,3rd Quintile,Owner,No,0.21762,185,1341,0.19552,0.23971
2016,3rd Quintile,Tenant,Yes,0.80321,1201,1402,0.78240,0.82403
2016,3rd Quintile,Tenant,No,0.19679,201,1402,0.17597,0.21760
2016,4th Quintile,Owner,Yes,0.85258,1427,1560,0.83498,0.87018
2016,4th Quintile,Owner,No,0.14742,133,1560,0.12982,0.16502
2016,4th Quintile,Tenant,Yes,0.88280,1008,1098,0.86376,0.90183
2016,4th Quintile,Tenant,No,0.11720,90,1098,0.09817,0.13624
2016,5th Quintile,Owner,Yes,0.93525,1898,1978,0.92440,0.94610
2016,5th Quintile,Owner,No,0.06475,80,1978,0.05390,0.07560
2016,5th Quintile,Tenant,Yes,0.91382,736,776,0.89406,0.93358
2016,5th Quintile,Tenant,No,0.08618,40,776,0.06642,0.10594
2017,Not included in this version of the questionnaire,Tenant,Yes,0.40776,41,41,0.25547,0.56005
2017,1st Quintile,Not included in this version of the questionnaire,Yes,0.73958,635,797,0.70909,0.77007
2017,1st Quintile,Not included in this version of the questionnaire,No,0.26042,162,797,0.22993,0.29091
2017,1st Quintile,Owner,Yes,0.59848,298,391,0.54983,0.64714
2017,1st Quintile,Owner,No,0.40152,93,391,0.35286,0.45017
2017,1st Quintile,Tenant,Yes,0.71128,3747,4449,0.69796,0.72460
2017,1st Quintile,Tenant,No,0.28872,702,4449,0.27540,0.30204
2017,2nd Quintile,Owner,Yes,0.69611,893,1096,0.66887,0.72336
2017,2nd Quintile,Owner,No,0.30389,203,1096,0.27664,0.33113
2017,2nd Quintile,Tenant,Yes,0.73780,1866,2230,0.71954,0.75606
2017,2nd Quintile,Tenant,No,0.26220,364,2230,0.24394,0.28046
2017,3rd Quintile,Owner,Yes,0.82833,1375,1529,0.80942,0.84724
2017,3rd Quintile,Owner,No,0.17167,154,1529,0.15276,0.19058
2017,3rd Quintile,Tenant,Yes,0.81741,1387,1574,0.79832,0.83650
2017,3rd Quintile,Tenant,No,0.18259,187,1574,0.16350,0.20168
2017,4th Quintile,Owner,Yes,0.88178,1679,1796,0.86684,0.89672
2017,4th Quintile,Owner,No,0.11822,117,1796,0.10328,0.13316
2017,4th Quintile,Tenant,Yes,0.85588,1145,1249,0.83639,0.87536
2017,4th Quintile,Tenant,No,0.14412,104,1249,0.12464,0.16361
2017,5th Quintile,Owner,Yes,0.94226,2174,2242,0.93261,0.95192
2017,5th Quintile,Owner,No,0.05774,68,2242,0.04808,0.06739
2017,5th Quintile,Tenant,Yes,0.94201,816,851,0.92630,0.95772
2017,5th Quintile,Tenant,No,0.05799,35,851,0.04228,0.07370
2018,Not included in this version of the questionnaire,Tenant,Yes,0.78643,126,126,0.71458,0.85827
2018,1st Quintile,Owner,Yes,0.65896,305,383,0.61142,0.70650
2018,1st Quintile,Owner,No,0.34104,78,383,0.29350,0.38858
2018,1st Quintile,Tenant,Yes,0.71821,4273,4979,0.70571,0.73070
2018,1st Quintile,Tenant,No,0.28179,706,4979,0.26930,0.29429
2018,2nd Quintile,Owner,Yes,0.69973,910,1086,0.67245,0.72700
