year,quintil_oecd_hh,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,West,Yes,0.29396,430,1318,0.26935,0.31856
2005,1st Quintile,West,No,0.70604,888,1318,0.68144,0.73065
2005,1st Quintile,East,Yes,0.28485,199,627,0.24949,0.32021
2005,1st Quintile,East,No,0.71515,428,627,0.67979,0.75051
2005,2nd Quintile,West,Yes,0.37999,564,1378,0.35435,0.40563
2005,2nd Quintile,West,No,0.62001,814,1378,0.59437,0.64565
2005,2nd Quintile,East,Yes,0.32204,244,670,0.28663,0.35745
2005,2nd Quintile,East,No,0.67796,426,670,0.64255,0.71337
2005,3rd Quintile,West,Yes,0.46678,778,1505,0.44157,0.49199
2005,3rd Quintile,West,No,0.53322,727,1505,0.50801,0.55843
2005,3rd Quintile,East,Yes,0.39162,262,577,0.35176,0.43148
2005,3rd Quintile,East,No,0.60838,315,577,0.56852,0.64824
2005,4th Quintile,West,Yes,0.52142,1023,1736,0.49792,0.54493
2005,4th Quintile,West,No,0.47858,713,1736,0.45507,0.50208
2005,4th Quintile,East,Yes,0.52149,273,462,0.47588,0.56709
2005,4th Quintile,East,No,0.47851,189,462,0.43291,0.52412
2005,5th Quintile,West,Yes,0.69245,1922,2503,0.67436,0.71053
2005,5th Quintile,West,No,0.30755,581,2503,0.28947,0.32564
2005,5th Quintile,East,Yes,0.77601,264,322,0.73040,0.82162
2005,5th Quintile,East,No,0.22399,58,322,0.17838,0.26960
2007,1st Quintile,West,Yes,0.37680,575,1337,0.35082,0.40279
2007,1st Quintile,West,No,0.62320,762,1337,0.59721,0.64918
2007,1st Quintile,East,Yes,0.32452,212,605,0.28718,0.36186
2007,1st Quintile,East,No,0.67548,393,605,0.63814,0.71282
2007,2nd Quintile,West,Yes,0.44995,727,1459,0.42441,0.47548
2007,2nd Quintile,West,No,0.55005,732,1459,0.52452,0.57559
2007,2nd Quintile,East,Yes,0.35279,260,634,0.31556,0.39001
2007,2nd Quintile,East,No,0.64721,374,634,0.60999,0.68444
2007,3rd Quintile,West,Yes,0.55450,931,1545,0.52970,0.57929
2007,3rd Quintile,West,No,0.44550,614,1545,0.42071,0.47030
2007,3rd Quintile,East,Yes,0.43531,326,646,0.39705,0.47358
2007,3rd Quintile,East,No,0.56469,320,646,0.52642,0.60295
