year,bula_h,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Owner,Yes,0.60534,136,202,0.53777,0.67291
2005,Schleswig-Holstein,Owner,No,0.39466,66,202,0.32709,0.46223
2005,Schleswig-Holstein,Tenant,Yes,0.40500,72,154,0.32721,0.48278
2005,Schleswig-Holstein,Tenant,No,0.59500,82,154,0.51722,0.67279
2005,Hamburg,Owner,Yes,0.76603,36,36,0.62578,0.90629
2005,Hamburg,Tenant,Yes,0.46846,71,128,0.38167,0.55525
2005,Hamburg,Tenant,No,0.53154,57,128,0.44475,0.61833
2005,Lower Saxony,Owner,Yes,0.57801,371,561,0.53711,0.61892
2005,Lower Saxony,Owner,No,0.42199,190,561,0.38108,0.46289
2005,Lower Saxony,Tenant,Yes,0.46164,191,373,0.41098,0.51230
2005,Lower Saxony,Tenant,No,0.53836,182,373,0.48770,0.58902
2005,North Rhine-Westphalia,Owner,Yes,0.54725,687,1077,0.51750,0.57699
2005,North Rhine-Westphalia,Owner,No,0.45275,390,1077,0.42301,0.48250
2005,North Rhine-Westphalia,Tenant,Yes,0.42707,622,1270,0.39985,0.45428
2005,North Rhine-Westphalia,Tenant,No,0.57293,648,1270,0.54572,0.60015
2005,Hesse,Owner,Yes,0.57597,239,368,0.52541,0.62653
2005,Hesse,Owner,No,0.42403,129,368,0.37347,0.47459
2005,Hesse,Tenant,Yes,0.50989,217,393,0.46040,0.55938
2005,Hesse,Tenant,No,0.49011,176,393,0.44062,0.53960
2005,"Rhineland-Palatinate, Saarland",Owner,Yes,0.43698,192,383,0.38724,0.48672
2005,"Rhineland-Palatinate, Saarland",Owner,No,0.56302,191,383,0.51328,0.61276
2005,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.31961,110,290,0.26584,0.37337
2005,"Rhineland-Palatinate, Saarland",Tenant,No,0.68039,180,290,0.62663,0.73416
2005,Baden-Wuerttemberg,Owner,Yes,0.52180,415,668,0.48389,0.55971
2005,Baden-Wuerttemberg,Owner,No,0.47820,253,668,0.44029,0.51611
2005,Baden-Wuerttemberg,Tenant,Yes,0.44348,290,643,0.40505,0.48191
2005,Baden-Wuerttemberg,Tenant,No,0.55652,353,643,0.51809,0.59495
2005,Bavaria,Owner,Yes,0.51230,509,848,0.47864,0.54596
2005,Bavaria,Owner,No,0.48770,339,848,0.45404,0.52136
2005,Bavaria,Tenant,Yes,0.44026,368,694,0.40330,0.47722
2005,Bavaria,Tenant,No,0.55974,326,694,0.52278,0.59670
2005,Berlin,Owner,Yes,0.54593,52,52,0.40928,0.68258
2005,Berlin,Tenant,Yes,0.46717,202,379,0.41687,0.51747
2005,Berlin,Tenant,No,0.53283,177,379,0.48253,0.58313
2005,Brandenburg,Owner,Yes,0.49418,107,182,0.42134,0.56701
2005,Brandenburg,Owner,No,0.50582,75,182,0.43299,0.57866
2005,Brandenburg,Tenant,Yes,0.38746,118,284,0.33070,0.44422
2005,Brandenburg,Tenant,No,0.61254,166,284,0.55578,0.66930
2005,Mecklenburg-Western Pomerania,Owner,Yes,0.44880,65,116,0.35790,0.53971
2005,Mecklenburg-Western Pomerania,Owner,No,0.55120,51,116,0.46029,0.64210
2005,Mecklenburg-Western Pomerania,Tenant,Yes,0.29875,56,155,0.22645,0.37104
2005,Mecklenburg-Western Pomerania,Tenant,No,0.70125,99,155,0.62896,0.77355
2005,Saxony,Owner,Yes,0.55636,189,321,0.50193,0.61080
2005,Saxony,Owner,No,0.44364,132,321,0.38920,0.49807
2005,Saxony,Tenant,Yes,0.36424,205,478,0.32106,0.40743
2005,Saxony,Tenant,No,0.63576,273,478,0.59257,0.67894
2005,Saxony-Anhalt,Owner,Yes,0.41772,112,220,0.35240,0.48304
2005,Saxony-Anhalt,Owner,No,0.58228,108,220,0.51696,0.64760
