year,bula_h,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,No,0.91251,63,63,0.84218,0.98285
1996,Schleswig-Holstein,Rural regions,No,0.94055,73,73,0.88593,0.99517
1996,Hamburg,Urban regions,No,0.96507,79,79,0.92432,1.00581
1996,Lower Saxony,Urban regions,No,0.92360,256,256,0.89099,0.95620
1996,Lower Saxony,Rural regions,No,0.92942,236,236,0.89667,0.96216
1996,Bremen,Urban regions,No,0.97690,50,50,0.93484,1.01896
1996,North Rhine-Westphalia,Urban regions,Yes,0.06690,90,1257,0.05308,0.08072
1996,North Rhine-Westphalia,Urban regions,No,0.93310,1167,1257,0.91928,0.94692
1996,Hesse,Urban regions,No,0.96388,374,374,0.94495,0.98282
1996,Hesse,Rural regions,No,0.93805,67,67,0.87989,0.99621
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.92809,262,262,0.89675,0.95943
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.94615,53,53,0.88480,1.00750
1996,Baden-Wuerttemberg,Urban regions,Yes,0.07527,57,734,0.05617,0.09437
1996,Baden-Wuerttemberg,Urban regions,No,0.92473,677,734,0.90563,0.94383
1996,Baden-Wuerttemberg,Rural regions,No,0.94573,100,100,0.90110,0.99036
1996,Bavaria,Urban regions,No,0.93932,412,412,0.91624,0.96240
1996,Bavaria,Rural regions,Yes,0.08371,41,420,0.05719,0.11023
1996,Bavaria,Rural regions,No,0.91629,379,420,0.88977,0.94281
1996,Berlin,Urban regions,No,0.91757,282,282,0.88542,0.94973
1996,Brandenburg,Rural regions,Yes,0.11836,41,282,0.08059,0.15613
1996,Brandenburg,Rural regions,No,0.88164,241,282,0.84387,0.91941
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.91504,156,156,0.87114,0.95893
1996,Saxony,Urban regions,Yes,0.11253,37,289,0.07603,0.14903
1996,Saxony,Urban regions,No,0.88747,252,289,0.85097,0.92397
1996,Saxony,Rural regions,No,0.90559,230,230,0.86772,0.94346
1996,Saxony-Anhalt,Urban regions,No,0.89919,68,68,0.82710,0.97129
1996,Saxony-Anhalt,Rural regions,No,0.91273,227,227,0.87594,0.94953
1996,Thuringa,Urban regions,No,0.84039,79,79,0.75911,0.92167
1996,Thuringa,Rural regions,Yes,0.08998,32,232,0.05308,0.12688
1996,Thuringa,Rural regions,No,0.91002,200,232,0.87312,0.94692
2001,Schleswig-Holstein,Urban regions,No,0.95285,147,147,0.91847,0.98723
2001,Schleswig-Holstein,Rural regions,No,0.92731,189,189,0.89020,0.96442
2001,Hamburg,Urban regions,No,0.95361,171,171,0.92200,0.98523
2001,Lower Saxony,Urban regions,Yes,0.08755,41,482,0.06229,0.11281
2001,Lower Saxony,Urban regions,No,0.91245,441,482,0.88719,0.93771
2001,Lower Saxony,Rural regions,Yes,0.12201,56,479,0.09267,0.15135
2001,Lower Saxony,Rural regions,No,0.87799,423,479,0.84865,0.90733
2001,Bremen,Urban regions,No,0.94391,92,92,0.89664,0.99119
2001,North Rhine-Westphalia,Urban regions,Yes,0.05770,152,2425,0.04842,0.06698
2001,North Rhine-Westphalia,Urban regions,No,0.94230,2273,2425,0.93302,0.95158
2001,North Rhine-Westphalia,Rural regions,No,0.90388,54,54,0.82452,0.98323
2001,Hesse,Urban regions,Yes,0.06179,52,630,0.04297,0.08060
2001,Hesse,Urban regions,No,0.93821,578,630,0.91940,0.95703
2001,Hesse,Rural regions,No,0.94495,138,138,0.90676,0.98314
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.08462,48,550,0.06134,0.10790
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.91538,502,550,0.89210,0.93866
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.89485,151,151,0.84576,0.94394
2001,Baden-Wuerttemberg,Urban regions,Yes,0.06382,98,1228,0.05014,0.07750
2001,Baden-Wuerttemberg,Urban regions,No,0.93618,1130,1228,0.92250,0.94986
2001,Baden-Wuerttemberg,Rural regions,No,0.94424,124,124,0.90369,0.98479
2001,Bavaria,Urban regions,Yes,0.06693,62,805,0.04966,0.08421
2001,Bavaria,Urban regions,No,0.93307,743,805,0.91579,0.95034
2001,Bavaria,Rural regions,Yes,0.08206,80,811,0.06316,0.10097
2001,Bavaria,Rural regions,No,0.91794,731,811,0.89903,0.93684
2001,Berlin,Urban regions,Yes,0.05629,35,481,0.03567,0.07691
2001,Berlin,Urban regions,No,0.94371,446,481,0.92309,0.96433
2001,Brandenburg,Urban regions,No,0.92019,35,35,0.82909,1.01128
2001,Brandenburg,Rural regions,Yes,0.13519,65,463,0.10401,0.16637
2001,Brandenburg,Rural regions,No,0.86481,398,463,0.83363,0.89599
2001,Mecklenburg-Western Pomerania,Urban regions,No,0.93719,35,35,0.85563,1.01874
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.12977,36,245,0.08760,0.17194
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.87023,209,245,0.82806,0.91240
2001,Saxony,Urban regions,Yes,0.11849,51,420,0.08755,0.14944
2001,Saxony,Urban regions,No,0.88151,369,420,0.85056,0.91245
2001,Saxony,Rural regions,Yes,0.08897,45,429,0.06200,0.11594
2001,Saxony,Rural regions,No,0.91103,384,429,0.88406,0.93800
2001,Saxony-Anhalt,Urban regions,No,0.86838,89,89,0.79775,0.93902
2001,Saxony-Anhalt,Rural regions,Yes,0.13289,60,401,0.09963,0.16616
2001,Saxony-Anhalt,Rural regions,No,0.86711,341,401,0.83384,0.90037
2001,Thuringa,Urban regions,No,0.93218,130,130,0.88879,0.97557
2001,Thuringa,Rural regions,Yes,0.13594,57,350,0.09999,0.17190
2001,Thuringa,Rural regions,No,0.86406,293,350,0.82810,0.90001
2006,Schleswig-Holstein,Urban regions,No,0.95803,149,149,0.92573,0.99034
2006,Schleswig-Holstein,Rural regions,No,0.92862,211,211,0.89380,0.96344
2006,Hamburg,Urban regions,No,0.97090,187,187,0.94674,0.99505
2006,Lower Saxony,Urban regions,Yes,0.08478,50,526,0.06095,0.10861
2006,Lower Saxony,Urban regions,No,0.91522,476,526,0.89139,0.93905
2006,Lower Saxony,Rural regions,Yes,0.14852,81,548,0.11871,0.17832
2006,Lower Saxony,Rural regions,No,0.85148,467,548,0.82168,0.88129
2006,Bremen,Urban regions,No,0.94586,84,84,0.89718,0.99455
2006,North Rhine-Westphalia,Urban regions,Yes,0.06600,187,2474,0.05621,0.07579
2006,North Rhine-Westphalia,Urban regions,No,0.93400,2287,2474,0.92421,0.94379
2006,North Rhine-Westphalia,Rural regions,No,0.90326,56,56,0.82514,0.98139
2006,Hesse,Urban regions,Yes,0.06502,59,691,0.04662,0.08342
2006,Hesse,Urban regions,No,0.93498,632,691,0.91658,0.95338
2006,Hesse,Rural regions,No,0.90205,139,139,0.85245,0.95164
2006,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09886,61,551,0.07392,0.12381
2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90114,490,551,0.87619,0.92608
2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92651,157,157,0.88557,0.96746
2006,Baden-Wuerttemberg,Urban regions,Yes,0.06536,108,1348,0.05216,0.07855
2006,Baden-Wuerttemberg,Urban regions,No,0.93464,1240,1348,0.92145,0.94784
2006,Baden-Wuerttemberg,Rural regions,No,0.91057,116,116,0.85841,0.96273
2006,Bavaria,Urban regions,Yes,0.07700,76,867,0.05925,0.09476
2006,Bavaria,Urban regions,No,0.92300,791,867,0.90524,0.94075
2006,Bavaria,Rural regions,Yes,0.07776,85,863,0.05989,0.09564
2006,Bavaria,Rural regions,No,0.92224,778,863,0.90436,0.94011
2006,Berlin,Urban regions,Yes,0.06724,36,484,0.04491,0.08958
2006,Berlin,Urban regions,No,0.93276,448,484,0.91042,0.95509
2006,Brandenburg,Urban regions,No,0.97523,44,44,0.92878,1.02169
2006,Brandenburg,Rural regions,Yes,0.13499,66,486,0.10457,0.16540
2006,Brandenburg,Rural regions,No,0.86501,420,486,0.83460,0.89543
2006,Mecklenburg-Western Pomerania,Urban regions,No,0.92930,37,37,0.84557,1.01303
2006,Mecklenburg-Western Pomerania,Rural regions,No,0.91267,236,236,0.87658,0.94877
2006,Saxony,Urban regions,Yes,0.08472,44,455,0.05911,0.11034
2006,Saxony,Urban regions,No,0.91528,411,455,0.88966,0.94089
2006,Saxony,Rural regions,Yes,0.07357,44,422,0.04863,0.09851
2006,Saxony,Rural regions,No,0.92643,378,422,0.90149,0.95137
2006,Saxony-Anhalt,Urban regions,No,0.90659,84,84,0.84398,0.96920
2006,Saxony-Anhalt,Rural regions,Yes,0.13128,55,396,0.09797,0.16458
2006,Saxony-Anhalt,Rural regions,No,0.86872,341,396,0.83542,0.90203
2006,Thuringa,Urban regions,No,0.96802,138,138,0.93856,0.99748
2006,Thuringa,Rural regions,Yes,0.15837,67,368,0.12101,0.19572
2006,Thuringa,Rural regions,No,0.84163,301,368,0.80428,0.87899
2011,Schleswig-Holstein,Urban regions,No,0.88841,113,113,0.83009,0.94672
2011,Schleswig-Holstein,Rural regions,Yes,0.08872,31,287,0.05577,0.12168
2011,Schleswig-Holstein,Rural regions,No,0.82926,256,287,0.78565,0.87287
2011,Hamburg,Urban regions,No,0.91185,185,185,0.87088,0.95282
2011,Lower Saxony,Urban regions,Yes,0.06072,38,513,0.04003,0.08140
2011,Lower Saxony,Urban regions,No,0.86457,475,513,0.83492,0.89421
2011,Lower Saxony,Rural regions,Yes,0.08225,53,574,0.05975,0.10475
2011,Lower Saxony,Rural regions,No,0.83587,521,574,0.80554,0.86620
2011,Bremen,Urban regions,No,0.86787,75,75,0.79071,0.94502
2011,North Rhine-Westphalia,Urban regions,Yes,0.04766,166,2287,0.03893,0.05639
2011,North Rhine-Westphalia,Urban regions,No,0.87530,2121,2287,0.86176,0.88885
2011,North Rhine-Westphalia,Rural regions,No,0.89053,60,60,0.81086,0.97020
2011,Hesse,Urban regions,Yes,0.05097,51,678,0.03440,0.06754
2011,Hesse,Urban regions,No,0.87102,627,678,0.84577,0.89627
2011,Hesse,Rural regions,No,0.80868,136,136,0.74233,0.87503
