year,rentown,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,West,Yes,0.08788,177,1811,0.07484,0.10093
1996,Owner,West,No,0.91212,1634,1811,0.89907,0.92516
1996,Owner,East,Yes,0.16916,105,584,0.13873,0.19959
1996,Owner,East,No,0.83084,479,584,0.80041,0.86127
1996,Tenant,West,Yes,0.05082,179,2981,0.04293,0.05870
1996,Tenant,West,No,0.94887,2802,2981,0.94096,0.95677
1996,Tenant,East,Yes,0.07706,124,1254,0.06230,0.09183
1996,Tenant,East,No,0.92294,1130,1254,0.90817,0.93770
2001,Owner,West,Yes,0.08572,394,4164,0.07722,0.09423
2001,Owner,West,No,0.91428,3770,4164,0.90577,0.92278
2001,Owner,East,Yes,0.19133,212,1103,0.16811,0.21455
2001,Owner,East,No,0.80867,891,1103,0.78545,0.83189
2001,Tenant,West,Yes,0.05584,301,4673,0.04925,0.06242
2001,Tenant,West,No,0.94416,4372,4673,0.93758,0.95075
2001,Tenant,East,Yes,0.07597,157,1740,0.06352,0.08842
2001,Tenant,East,No,0.92403,1583,1740,0.91158,0.93648
2006,Owner,West,Yes,0.08991,459,4794,0.08181,0.09801
2006,Owner,West,No,0.91009,4335,4794,0.90199,0.91819
2006,Owner,East,Yes,0.16888,210,1209,0.14775,0.19001
2006,Owner,East,No,0.83112,999,1209,0.80999,0.85225
2006,Tenant,West,Yes,0.06477,361,4542,0.05761,0.07193
2006,Tenant,West,No,0.93523,4181,4542,0.92807,0.94239
2006,Tenant,East,Yes,0.06869,137,1718,0.05673,0.08066
2006,Tenant,East,No,0.93131,1581,1718,0.91934,0.94327
2011,Owner,West,Yes,0.06547,399,4782,0.05846,0.07248
2011,Owner,West,No,0.87311,4383,4782,0.86367,0.88254
2011,Owner,East,Yes,0.14855,198,1162,0.12809,0.16901
2011,Owner,East,No,0.79287,964,1162,0.76956,0.81618
2011,Tenant,West,Yes,0.04198,306,4410,0.03606,0.04790
2011,Tenant,West,No,0.86528,4104,4410,0.85521,0.87536
2011,Tenant,East,Yes,0.06365,133,1730,0.05214,0.07516
2011,Tenant,East,No,0.85794,1597,1730,0.84148,0.87440
2016,Owner,West,Yes,0.02131,147,5145,0.01737,0.02526
2016,Owner,West,No,0.97848,4998,5145,0.97452,0.98245
2016,Owner,East,Yes,0.08116,82,1156,0.06541,0.09690
2016,Owner,East,No,0.91884,1074,1156,0.90310,0.93459
2016,Tenant,West,Yes,0.01612,144,6081,0.01296,0.01929
2016,Tenant,West,No,0.98388,5937,6081,0.98071,0.98704
2016,Tenant,East,Yes,0.02748,68,1918,0.02016,0.03480
2016,Tenant,East,No,0.97252,1850,1918,0.96520,0.97984
2021,Owner,West,Yes,0.03240,179,4127,0.02700,0.03780
2021,Owner,West,No,0.96650,3948,4127,0.96101,0.97199
2021,Owner,East,Yes,0.07554,74,953,0.05876,0.09233
2021,Owner,East,No,0.92417,879,953,0.90736,0.94099
2021,Tenant,West,Yes,0.01583,93,4534,0.01219,0.01946
2021,Tenant,West,No,0.96254,4441,4534,0.95701,0.96806
2021,Tenant,East,Yes,0.03067,52,1437,0.02175,0.03958
2021,Tenant,East,No,0.95418,1385,1437,0.94337,0.96500
