year,age_gr,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,Yes,0.10388,448,513,0.07746,0.13031
2012,17-29 y.,No,0.01059,65,513,0.00172,0.01946
2012,30-45 y.,Yes,0.19341,1750,1906,0.17567,0.21114
2012,30-45 y.,No,0.01891,156,1906,0.01280,0.02503
2012,46-65 y.,Yes,0.37199,3334,3555,0.35610,0.38788
2012,46-65 y.,No,0.02228,221,3555,0.01743,0.02713
2012,66 and older,Yes,0.58487,2936,3087,0.56749,0.60226
2012,66 and older,No,0.02776,151,3087,0.02196,0.03356
2013,17-29 y.,Yes,0.09018,523,583,0.06691,0.11345
2013,17-29 y.,No,0.01080,60,583,0.00240,0.01920
2013,30-45 y.,Yes,0.17229,1852,2041,0.15590,0.18868
2013,30-45 y.,No,0.01782,189,2041,0.01208,0.02356
2013,46-65 y.,Yes,0.36305,3500,3720,0.34760,0.37851
2013,46-65 y.,No,0.02002,220,3720,0.01552,0.02452
2013,66 and older,Yes,0.55084,2713,2831,0.53251,0.56916
2013,66 and older,No,0.02243,118,2831,0.01698,0.02789
2015,17-29 y.,Yes,0.10344,508,616,0.07937,0.12751
2015,17-29 y.,No,0.03492,108,616,0.02041,0.04943
2015,30-45 y.,Yes,0.17574,1467,1668,0.15747,0.19401
2015,30-45 y.,No,0.02902,201,1668,0.02096,0.03708
2015,46-65 y.,Yes,0.37141,3195,3515,0.35543,0.38739
2015,46-65 y.,No,0.03892,320,3515,0.03252,0.04531
2015,66 and older,Yes,0.56063,2684,2868,0.54246,0.57880
2015,66 and older,No,0.03955,184,2868,0.03241,0.04668
2017,17-29 y.,Yes,0.10915,591,677,0.08564,0.13265
2017,17-29 y.,No,0.01378,86,677,0.00499,0.02256
2017,30-45 y.,Yes,0.17506,1461,1588,0.15637,0.19376
2017,30-45 y.,No,0.01289,127,1588,0.00734,0.01843
2017,46-65 y.,Yes,0.38523,3621,3821,0.36980,0.40067
2017,46-65 y.,No,0.01758,200,3821,0.01341,0.02174
2017,66 and older,Yes,0.55275,2629,2739,0.53412,0.57137
2017,66 and older,No,0.02461,110,2739,0.01881,0.03041
2019,17-29 y.,Yes,0.14092,624,717,0.11544,0.16641
2019,17-29 y.,No,0.01280,93,717,0.00457,0.02104
2019,30-45 y.,Yes,0.18211,1480,1684,0.16367,0.20055
2019,30-45 y.,No,0.01848,204,1684,0.01204,0.02491
2019,46-65 y.,Yes,0.38479,3798,4058,0.36981,0.39976
2019,46-65 y.,No,0.02297,260,4058,0.01836,0.02758
2019,66 and older,Yes,0.56164,2723,2869,0.54348,0.57980
2019,66 and older,No,0.02806,146,2869,0.02202,0.03410
2021,17-29 y.,Yes,0.12799,408,480,0.09807,0.15790
2021,17-29 y.,No,0.01852,72,480,0.00645,0.03059
2021,30-45 y.,Yes,0.18949,902,1052,0.16579,0.21318
2021,30-45 y.,No,0.02617,150,1052,0.01652,0.03582
2021,46-65 y.,Yes,0.33611,2251,2446,0.31739,0.35484
2021,46-65 y.,No,0.02502,195,2446,0.01883,0.03121
2021,66 and older,Yes,0.52739,1775,1872,0.50477,0.55002
2021,66 and older,No,0.02786,97,1872,0.02040,0.03532
