year,bula_h,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Baden-Wuerttemberg,Yes,0.25834,827,879,0.22938,0.28729
2017,Baden-Wuerttemberg,No,0.01500,52,879,0.00696,0.02305
2017,Bavaria,Yes,0.25961,1195,1275,0.23554,0.28369
2017,Bavaria,No,0.01527,80,1275,0.00853,0.02200
2017,Berlin,Yes,0.31050,319,319,0.25964,0.36135
2017,Brandenburg,Yes,0.32675,415,415,0.28157,0.37193
2017,Mecklenburg-Western Pomerania,Yes,0.29462,190,190,0.22963,0.35962
2017,Saxony,Yes,0.26808,501,538,0.23061,0.30554
2017,Saxony,No,0.01554,37,538,0.00508,0.02600
2017,Saxony-Anhalt,Yes,0.33989,344,344,0.28976,0.39002
2017,Thuringa,Yes,0.31791,357,357,0.26954,0.36628
2019,Schleswig-Holstein,Yes,0.25594,329,329,0.20871,0.30317
2019,Hamburg,Yes,0.28682,154,154,0.21515,0.35848
2019,Lower Saxony,Yes,0.32110,902,978,0.29183,0.35038
2019,Lower Saxony,No,0.01752,76,978,0.00929,0.02574
2019,Bremen,Yes,0.31547,75,75,0.20959,0.42135
2019,North Rhine-Westphalia,Yes,0.28874,1824,2002,0.26889,0.30860
2019,North Rhine-Westphalia,No,0.01593,178,2002,0.01044,0.02142
2019,Hesse,Yes,0.25114,531,568,0.21544,0.28683
2019,Hesse,No,0.01691,37,568,0.00630,0.02753
2019,"Rhineland-Palatinate, Saarland",Yes,0.30115,470,503,0.26101,0.34128
2019,"Rhineland-Palatinate, Saarland",No,0.00943,33,503,0.00097,0.01788
2019,Baden-Wuerttemberg,Yes,0.26221,834,910,0.23362,0.29080
2019,Baden-Wuerttemberg,No,0.02009,76,910,0.01097,0.02921
2019,Bavaria,Yes,0.26698,1213,1304,0.24296,0.29100
2019,Bavaria,No,0.01615,91,1304,0.00931,0.02300
2019,Berlin,Yes,0.28877,347,347,0.24101,0.33652
2019,Brandenburg,Yes,0.33095,453,491,0.28929,0.37262
2019,Brandenburg,No,0.02806,38,491,0.01344,0.04268
2019,Mecklenburg-Western Pomerania,Yes,0.31762,208,208,0.25420,0.38104
2019,Saxony,Yes,0.30611,591,636,0.27026,0.34196
2019,Saxony,No,0.03219,45,636,0.01846,0.04592
2019,Saxony-Anhalt,Yes,0.35527,357,357,0.30555,0.40498
2019,Thuringa,Yes,0.32516,337,337,0.27507,0.37525
2021,Schleswig-Holstein,Yes,0.20186,207,207,0.14705,0.25667
2021,Hamburg,Yes,0.30329,120,120,0.22070,0.38588
2021,Lower Saxony,Yes,0.26379,533,583,0.22799,0.29959
2021,Lower Saxony,No,0.01965,50,583,0.00837,0.03093
2021,Bremen,Yes,0.38117,41,41,0.23066,0.53168
2021,North Rhine-Westphalia,Yes,0.27218,1168,1293,0.24791,0.29645
2021,North Rhine-Westphalia,No,0.02112,125,1293,0.01328,0.02896
2021,Hesse,Yes,0.25819,336,336,0.21133,0.30506
2021,"Rhineland-Palatinate, Saarland",Yes,0.29714,293,325,0.24738,0.34690
2021,"Rhineland-Palatinate, Saarland",No,0.02714,32,325,0.00945,0.04483
2021,Baden-Wuerttemberg,Yes,0.24460,526,572,0.20934,0.27985
2021,Baden-Wuerttemberg,No,0.01926,46,572,0.00799,0.03053
2021,Bavaria,Yes,0.23385,743,827,0.20498,0.26271
2021,Bavaria,No,0.02828,84,827,0.01698,0.03959
2021,Berlin,Yes,0.24150,224,259,0.18927,0.29372
2021,Berlin,No,0.02309,35,259,0.00476,0.04142
2021,Brandenburg,Yes,0.28249,248,248,0.22634,0.33863
2021,Mecklenburg-Western Pomerania,Yes,0.34438,133,133,0.26331,0.42544
2021,Saxony,Yes,0.28589,367,367,0.23960,0.33218
2021,Saxony-Anhalt,Yes,0.31850,187,187,0.25155,0.38546
2021,Thuringa,Yes,0.27526,209,209,0.21456,0.33596
