year,migback,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,Yes,0.30070,7382,7891,0.29058,0.31082
2012,No migration background,No,0.01823,509,7891,0.01528,0.02119
2012,Direct migration background,Yes,0.28974,859,917,0.26036,0.31912
2012,Direct migration background,No,0.01898,58,917,0.01014,0.02781
2012,Indirect migration background,Yes,0.08794,227,227,0.05101,0.12486
2013,No migration background,Yes,0.28844,6770,7204,0.27798,0.29891
2013,No migration background,No,0.01701,434,7204,0.01402,0.01999
2013,Direct migration background,Yes,0.27108,1505,1630,0.24949,0.29266
2013,Direct migration background,No,0.01474,125,1630,0.00889,0.02059
2013,Indirect migration background,Yes,0.07294,313,313,0.04408,0.10179
2015,No migration background,Yes,0.30106,6230,6872,0.29021,0.31191
2015,No migration background,No,0.03217,642,6872,0.02800,0.03635
2015,Direct migration background,Yes,0.27478,1362,1493,0.25213,0.29743
2015,Direct migration background,No,0.03334,131,1493,0.02423,0.04245
2015,Indirect migration background,Yes,0.07709,262,302,0.04696,0.10723
2015,Indirect migration background,No,0.01394,40,302,0.00070,0.02719
2017,No migration background,Yes,0.30096,6476,6815,0.29007,0.31185
2017,No migration background,No,0.01433,339,6815,0.01151,0.01715
2017,Direct migration background,Yes,0.28204,1513,1671,0.26046,0.30362
2017,Direct migration background,No,0.02322,158,1671,0.01600,0.03044
2017,Indirect migration background,Yes,0.09233,313,313,0.06021,0.12445
2019,No migration background,Yes,0.31003,6678,7125,0.29929,0.32077
2019,No migration background,No,0.01824,447,7125,0.01513,0.02135
2019,Direct migration background,Yes,0.29391,1639,1861,0.27320,0.31461
2019,Direct migration background,No,0.02382,222,1861,0.01689,0.03075
2019,Indirect migration background,Yes,0.09773,308,342,0.06621,0.12924
2019,Indirect migration background,No,0.00957,34,342,-0.00076,0.01990
2021,No migration background,Yes,0.28253,4096,4416,0.26925,0.29581
2021,No migration background,No,0.01979,320,4416,0.01568,0.02389
2021,Direct migration background,Yes,0.26492,1056,1231,0.24026,0.28958
2021,Direct migration background,No,0.03526,175,1231,0.02496,0.04557
2021,Indirect migration background,Yes,0.10615,184,184,0.06152,0.15078
