year,age_gr,bula_h,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,Lower Saxony,Yes,0.12265,44,44,0.02460,0.22070
2012,17-29 y.,North Rhine-Westphalia,Yes,0.08416,74,74,0.02047,0.14785
2012,17-29 y.,Baden-Wuerttemberg,Yes,0.07120,41,41,-0.00849,0.15090
2012,17-29 y.,Bavaria,Yes,0.12163,68,68,0.04337,0.19990
2012,17-29 y.,Saxony,Yes,0.17655,44,44,0.06259,0.29052
2012,30-45 y.,Schleswig-Holstein,Yes,0.25289,73,73,0.15248,0.35329
2012,30-45 y.,Lower Saxony,Yes,0.21552,197,197,0.15795,0.27308
2012,30-45 y.,North Rhine-Westphalia,Yes,0.18184,359,393,0.14366,0.22002
2012,30-45 y.,North Rhine-Westphalia,No,0.02001,34,393,0.00615,0.03387
2012,30-45 y.,Hesse,Yes,0.23197,140,140,0.16180,0.30214
2012,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.20871,96,96,0.12699,0.29043
2012,30-45 y.,Baden-Wuerttemberg,Yes,0.15431,189,189,0.10267,0.20595
2012,30-45 y.,Bavaria,Yes,0.17976,249,249,0.13197,0.22755
2012,30-45 y.,Berlin,Yes,0.19922,55,55,0.09269,0.30575
2012,30-45 y.,Brandenburg,Yes,0.17173,63,63,0.07785,0.26561
2012,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.19901,35,35,0.06481,0.33322
2012,30-45 y.,Saxony,Yes,0.23599,115,115,0.15804,0.31394
2012,30-45 y.,Saxony-Anhalt,Yes,0.19581,71,71,0.10285,0.28878
2012,30-45 y.,Thuringa,Yes,0.20889,62,62,0.10687,0.31090
2012,46-65 y.,Schleswig-Holstein,Yes,0.35088,96,96,0.25491,0.44685
2012,46-65 y.,Hamburg,Yes,0.33733,34,34,0.17602,0.49865
2012,46-65 y.,Lower Saxony,Yes,0.38533,312,312,0.33124,0.43942
2012,46-65 y.,North Rhine-Westphalia,Yes,0.37219,631,667,0.33548,0.40890
2012,46-65 y.,North Rhine-Westphalia,No,0.02168,36,667,0.01062,0.03274
2012,46-65 y.,Hesse,Yes,0.36934,249,249,0.30927,0.42941
2012,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.31980,196,196,0.25433,0.38526
2012,46-65 y.,Baden-Wuerttemberg,Yes,0.33211,368,368,0.28392,0.38029
