year,age_gr,migback,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,No migration background,Yes,0.10428,343,403,0.07440,0.13416
2012,17-29 y.,No migration background,No,0.01360,60,403,0.00228,0.02492
2012,17-29 y.,Direct migration background,Yes,0.07719,43,43,-0.00353,0.15791
2012,17-29 y.,Indirect migration background,Yes,0.12354,62,62,0.04096,0.20611
2012,30-45 y.,No migration background,Yes,0.20583,1415,1532,0.18557,0.22608
2012,30-45 y.,No migration background,No,0.01733,117,1532,0.01079,0.02386
2012,30-45 y.,Direct migration background,Yes,0.13688,226,226,0.09197,0.18179
2012,30-45 y.,Indirect migration background,Yes,0.20372,109,109,0.12776,0.27968
2012,46-65 y.,No migration background,Yes,0.37115,2921,3112,0.35417,0.38813
2012,46-65 y.,No migration background,No,0.02165,191,3112,0.01653,0.02676
2012,46-65 y.,Direct migration background,Yes,0.37443,358,358,0.32423,0.42464
2012,46-65 y.,Indirect migration background,Yes,0.40172,55,55,0.27096,0.53248
2012,66 and older,No migration background,Yes,0.58358,2703,2844,0.56546,0.60170
2012,66 and older,No migration background,No,0.02795,141,2844,0.02189,0.03401
2012,66 and older,Direct migration background,Yes,0.60002,232,232,0.53684,0.66320
2013,17-29 y.,No migration background,Yes,0.09386,335,378,0.06442,0.12330
2013,17-29 y.,No migration background,No,0.01331,43,378,0.00174,0.02488
2013,17-29 y.,Direct migration background,Yes,0.07600,85,85,0.01933,0.13268
2013,17-29 y.,Indirect migration background,Yes,0.08468,103,103,0.03065,0.13871
2013,30-45 y.,No migration background,Yes,0.17909,1225,1334,0.15851,0.19967
2013,30-45 y.,No migration background,No,0.01755,109,1334,0.01050,0.02460
2013,30-45 y.,Direct migration background,Yes,0.14840,480,545,0.11853,0.17827
2013,30-45 y.,Direct migration background,No,0.02016,65,545,0.00835,0.03197
2013,30-45 y.,Indirect migration background,Yes,0.17363,147,147,0.11219,0.23508
