"year","bildungsniveau","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","(Fach-)Abitur","männlich","368.48","395","712","200","350","400","480","700","360.5","376.46","0","800","385","400"
"2000","(Fach-)Abitur","weiblich","302.29","310","659","150","200","385","400","500","293.62","310.96","0","800","300","350"
"2000","(noch) kein Abschluss","männlich","368.01","395","104","150","350","400","500","600","343.49","392.53","0","680","375","400"
"2000","(noch) kein Abschluss","weiblich","256.84","275","83","80","150","385","400","500","229.18","284.5","10","500","200","305"
"2000","AkademikerIn","männlich","382.99","397.5","1556","300","350","400","500","600","378.45","387.53","0","800","400","400"
"2000","AkademikerIn","weiblich","309.49","304","1107","180","250","385","400","500","303.88","315.1","0","800","320","350"
"2000","Hauptschule","männlich","388.12","397.5","2867","320","360","400","450","700","385.11","391.13","0","990","400","400"
"2000","Hauptschule","weiblich","279.49","295","1831","120","200","380","400","485","274.53","284.45","0","600","300","300"
"2000","Realschule","männlich","390.98","397.5","2084","350","360","400","450","600","387.61","394.35","0","999","400","400"
"2000","Realschule","weiblich","308.75","345","2164","150","240","385","400","500","304.42","313.08","0","800","350","350"
"2001","(Fach-)Abitur","männlich","367.36","397.5","671","200","350","400","450","750","359.14","375.58","0","990","385","400"
"2001","(Fach-)Abitur","weiblich","305.81","342.5","652","120","235","385","400","600","296.86","314.76","0","800","300","350"
"2001","(noch) kein Abschluss","männlich","334.79","372.5","98","100","300","400","500","600","306.12","363.46","25","660","350","380"
"2001","(noch) kein Abschluss","weiblich","213.97","147.5","85","50","100","360","400","450","184.08","243.86","0","490","120","300"
"2001","AkademikerIn","männlich","387.04","397.5","1441","300","350","400","500","650","382.35","391.73","0","800","400","400"
"2001","AkademikerIn","weiblich","316.62","310","1049","200","250","390","400","500","310.96","322.28","0","700","320","350"
"2001","Hauptschule","männlich","387.85","397.5","2518","350","370","400","480","600","384.64","391.06","0","999","400","400"
"2001","Hauptschule","weiblich","287.14","297.5","1660","120","200","380","400","500","281.85","292.43","0","700","300","300"
"2001","Realschule","männlich","392.32","397.5","1923","350","370","400","480","630","388.77","395.87","0","900","400","400"
"2001","Realschule","weiblich","310.28","345","2030","160","250","390","400","500","305.82","314.74","0","800","320","350"
"2002","(Fach-)Abitur","männlich","371.2","397.5","724","200","350","400","460","600","363.31","379.09","0","999","400","400"
"2002","(Fach-)Abitur","weiblich","300.51","335","739","120","200","385","400","500","291.88","309.14","15","800","300","350"
"2002","(noch) kein Abschluss","männlich","314.02","360","85","80","200","400","450","600","280.34","347.7","0","700","300","380"
"2002","(noch) kein Abschluss","weiblich","243.04","230","86","100","120","350","400","400","215.32","270.76","0","400","150","300"
"2002","AkademikerIn","männlich","392.39","399","1884","300","350","400","500","650","388.08","396.7","0","999","400","400"
"2002","AkademikerIn","weiblich","315.41","295","1349","200","250","390","400","600","309.97","320.85","0","750","300","350"
"2002","Hauptschule","männlich","385.3","397.5","2274","320","360","400","450","600","382.16","388.44","0","900","400","400"
"2002","Hauptschule","weiblich","274.86","297.5","1560","100","200","375","400","500","269.18","280.54","0","980","300","300"
"2002","Realschule","männlich","392.67","397.5","1919","320","375","400","500","600","389.02","396.32","0","950","400","400"
"2002","Realschule","weiblich","303.73","316","2110","150","210","385","400","500","299.37","308.09","0","990","300","350"
"2003","(Fach-)Abitur","männlich","374.44","397.5","698","250","350","400","460","600","366.28","382.6","0","999","400","400"
"2003","(Fach-)Abitur","weiblich","290.84","301","745","100","200","385","400","500","282.39","299.29","0","840","300","350"
"2003","(noch) kein Abschluss","männlich","318.47","377.5","75","50","200","400","480","570","281.99","354.95","0","570","350","400"
"2003","(noch) kein Abschluss","weiblich","236.05","175","66","60","100","375","400","500","200.81","271.29","0","500","110","300"
"2003","AkademikerIn","männlich","387.04","397.5","1743","300","350","400","500","600","382.63","391.45","0","999","400","400"
"2003","AkademikerIn","weiblich","315.42","347.5","1303","195","250","400","400","500","309.94","320.9","0","910","320","350"
"2003","Hauptschule","männlich","384.04","397.5","2096","320","360","400","450","600","380.55","387.53","0","900","400","400"
"2003","Hauptschule","weiblich","282.07","297.5","1450","120","200","380","400","500","276.33","287.81","0","700","300","300"
"2003","Realschule","männlich","393.1","397.5","1850","335","375","400","455","600","389.44","396.76","0","900","400","400"
"2003","Realschule","weiblich","306.82","317.5","2002","150","245","385","400","500","302.34","311.3","0","800","300","350"
"2004","(Fach-)Abitur","männlich","381.47","397.5","696","300","350","400","460","700","373.61","389.33","0","999","400","400"
"2004","(Fach-)Abitur","weiblich","296.88","297.5","753","140","200","385","400","480","288.75","305.01","0","900","300","350"
"2004","(noch) kein Abschluss","männlich","332.66","392.5","64","100","200","400","450","600","295.34","369.98","50","600","350","400"
"2004","(noch) kein Abschluss","weiblich","236.78","225","66","80","100","375","400","400","202.68","270.88","40","500","120","300"
"2004","AkademikerIn","männlich","395.83","397.5","1717","300","350","410","500","650","391.37","400.29","0","999","400","400"
"2004","AkademikerIn","weiblich","317.36","345","1281","200","250","400","400","600","311.93","322.79","0","700","300","350"
"2004","Hauptschule","männlich","383.74","397.5","1959","350","360","400","450","600","380.18","387.3","0","999","400","400"
"2004","Hauptschule","weiblich","284.33","297.5","1364","105","200","385","400","500","278.51","290.15","0","650","300","300"
"2004","Realschule","männlich","393.66","395","1771","350","375","400","460","600","390.24","397.08","0","900","400","400"
"2004","Realschule","weiblich","309.86","345","1969","160","240","385","400","500","305.35","314.37","0","800","300","350"
"2005","(Fach-)Abitur","männlich","375.58","395","671","300","350","400","460","600","367.88","383.28","0","999","400","400"
"2005","(Fach-)Abitur","weiblich","302.99","317.5","709","150","200","385","400","500","294.41","311.57","0","990","300","350"
"2005","(noch) kein Abschluss","männlich","319.75","382.5","61","80","120","400","500","780","274.39","365.11","0","780","300","400"
"2005","(noch) kein Abschluss","weiblich","224.49","180","58","50","120","350","375","400","188.98","260","0","400","150","275"
"2005","AkademikerIn","männlich","394.28","397.5","1616","300","360","420","500","650","389.7","398.86","0","900","400","400"
"2005","AkademikerIn","weiblich","318.93","345","1239","200","250","400","400","550","313.43","324.43","0","700","326","350"
"2005","Hauptschule","männlich","389.89","397.5","1788","350","370","400","450","600","386.16","393.62","0","990","400","400"
"2005","Hauptschule","weiblich","285.4","295","1280","120","200","380","400","500","279.33","291.47","0","800","300","300"
"2005","Realschule","männlich","396.4","395","1699","350","380","400","480","600","393.07","399.73","0","990","400","400"
"2005","Realschule","weiblich","315.29","347.5","1875","180","250","400","400","550","310.62","319.96","0","840","300","350"
"2006","(Fach-)Abitur","männlich","376.41","395","676","280","350","400","450","600","369.18","383.64","0","999","400","400"
"2006","(Fach-)Abitur","weiblich","294.09","295","778","150","200","385","400","480","286.32","301.86","0","700","300","320"
"2006","(noch) kein Abschluss","männlich","334.13","382.5","58","50","200","400","500","600","291.01","377.25","0","600","300","400"
"2006","(noch) kein Abschluss","weiblich","272.47","275","48","70","150","375","400","400","232.98","311.96","20","400","150","350"
"2006","AkademikerIn","männlich","392.17","395","1740","300","370","400","500","600","388.11","396.23","0","750","400","400"
"2006","AkademikerIn","weiblich","320.15","345","1357","200","250","400","400","550","315","325.3","0","630","300","350"
"2006","Hauptschule","männlich","385.78","397.5","1901","350","375","400","450","600","382.03","389.53","0","999","400","400"
"2006","Hauptschule","weiblich","284.28","297.5","1322","125","200","385","400","500","278.37","290.19","0","600","300","300"
"2006","Realschule","männlich","394.95","397.5","1768","350","380","400","450","600","391.48","398.42","0","999","400","400"
"2006","Realschule","weiblich","315.73","347.5","2024","190","250","400","400","500","311.33","320.13","0","700","300","350"
"2007","(Fach-)Abitur","männlich","382.6","397.5","675","300","350","400","480","700","374.64","390.56","0","990","400","400"
"2007","(Fach-)Abitur","weiblich","299.39","315","755","120","200","400","400","500","291.28","307.5","0","900","300","330"
"2007","(noch) kein Abschluss","männlich","374.11","392.5","45","90","385","450","500","750","329.65","418.57","20","750","400","400"
"2007","(noch) kein Abschluss","weiblich","246.97","277.5","47","60","105","350","400","480","206.68","287.26","40","490","200","350"
"2007","AkademikerIn","männlich","394.91","395","1619","300","350","440","500","600","390.22","399.6","0","800","400","400"
"2007","AkademikerIn","weiblich","322.72","345","1332","200","250","400","400","600","317.5","327.94","0","750","320","350"
"2007","Hauptschule","männlich","386.76","397.5","1752","300","370","400","450","600","382.97","390.55","0","900","400","400"
"2007","Hauptschule","weiblich","291.51","295","1198","150","200","385","400","500","285.3","297.72","0","800","300","300"
"2007","Realschule","männlich","399.35","397.5","1712","350","380","400","500","600","395.54","403.16","0","900","400","400"
"2007","Realschule","weiblich","311.13","345","1905","160","250","400","400","500","306.6","315.66","0","700","300","320"
"2008","(Fach-)Abitur","männlich","371.21","397.5","643","250","350","400","450","600","363.44","378.98","20","999","400","400"
"2008","(Fach-)Abitur","weiblich","293.51","295","721","120","200","385","400","480","285.26","301.76","0","800","300","320"
"2008","(noch) kein Abschluss","männlich","334.79","392.5","52","55","180","400","600","600","284.64","384.94","0","600","200","400"
"2008","(noch) kein Abschluss","weiblich","208.37","190","44","80","100","300","350","400","173.85","242.89","30","400","150","250"
"2008","AkademikerIn","männlich","388.78","397.5","1517","300","350","400","500","600","384.08","393.48","0","700","400","400"
"2008","AkademikerIn","weiblich","315.34","345","1291","195","250","400","400","500","309.98","320.7","0","700","300","350"
"2008","Hauptschule","männlich","385.59","397.5","1630","320","370","400","450","600","381.67","389.51","0","800","400","400"
"2008","Hauptschule","weiblich","281.84","295","1159","120","200","385","400","500","275.37","288.31","0","800","300","300"
"2008","Realschule","männlich","390.01","397.5","1638","300","375","400","450","600","386.34","393.68","0","820","400","400"
"2008","Realschule","weiblich","310.92","347.5","1837","190","250","400","400","500","306.42","315.42","0","600","300","320"
"2009","(Fach-)Abitur","männlich","373.79","397.5","583","250","350","400","500","600","365.75","381.83","0","999","400","400"
"2009","(Fach-)Abitur","weiblich","304.26","319","669","150","200","390","400","500","296","312.52","0","700","300","350"
"2009","(noch) kein Abschluss","männlich","357.68","390","50","105","350","420","500","500","320.8","394.56","20","500","300","400"
"2009","(noch) kein Abschluss","weiblich","229.09","245","31","45","100","350","380","400","180.67","277.51","25","400","130","330"
