"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","(Fach-)Abitur","Ostdeutschland","356.4","395","192","180","300","400","500","600","340.62","372.18","0","700","380","400"
"2000","(Fach-)Abitur","Westdeutschland","335.83","357.5","1179","190","300","400","450","700","329.16","342.5","0","800","350","375"
"2000","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Westdeutschland","325.47","372.5","177","100","250","400","480","600","305.73","345.21","0","600","350","380"
"2000","AkademikerIn","Ostdeutschland","360.01","377.5","858","250","320","400","450","600","354.3","365.72","0","800","380","390"
"2000","AkademikerIn","Westdeutschland","352.71","384.5","1805","200","300","400","480","600","347.86","357.56","0","800","380","385"
"2000","Hauptschule","Ostdeutschland","363.58","395","432","250","350","400","400","600","354.93","372.23","0","720","400","400"
"2000","Hauptschule","Westdeutschland","344.42","372.5","4266","200","300","400","425","600","341.15","347.69","0","990","375","380"
"2000","Realschule","Ostdeutschland","378.21","397.5","1595","300","350","400","450","600","374.3","382.12","0","999","400","400"
"2000","Realschule","Westdeutschland","337.63","367.5","2653","200","300","400","410","600","333.53","341.73","0","990","350","370"
"2001","(Fach-)Abitur","Ostdeutschland","364.89","397.5","188","200","350","400","450","600","348.06","381.72","60","800","380","400"
"2001","(Fach-)Abitur","Westdeutschland","335.53","372.5","1135","160","300","400","420","600","328.73","342.33","0","990","360","375"
"2001","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2001","(noch) kein Abschluss","Westdeutschland","287.83","325","164","80","125","400","450","600","265.3","310.36","0","600","300","355"
"2001","AkademikerIn","Ostdeutschland","364.57","382.5","816","260","300","400","450","600","358.69","370.45","0","800","380","400"
"2001","AkademikerIn","Westdeutschland","357.83","382.5","1674","200","300","400","500","600","352.89","362.77","0","750","380","385"
"2001","Hauptschule","Ostdeutschland","359.43","395","377","250","350","400","400","600","351.1","367.76","0","600","400","400"
"2001","Hauptschule","Westdeutschland","346.78","379","3801","200","300","400","450","600","343.31","350.25","0","999","375","380"
"2001","Realschule","Ostdeutschland","379.23","397.5","1479","300","350","400","440","600","375.26","383.2","0","900","400","400"
"2001","Realschule","Westdeutschland","339.9","372.5","2474","200","300","400","430","600","335.56","344.24","0","900","365","375"
"2002","(Fach-)Abitur","Ostdeutschland","365.75","397.5","204","190","350","400","480","600","349.77","381.73","40","700","380","400"
"2002","(Fach-)Abitur","Westdeutschland","334.24","365","1259","150","300","400","450","600","327.51","340.97","0","999","350","375"
"2002","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
