"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Ländlicher Raum","männlich","389.81","397.5","2546","300","360","400","480","650","386.5","393.12","0","999","400","400"
"2000","Ländlicher Raum","weiblich","311.27","345","2040","160","250","400","400","500","306.76","315.78","0","800","350","350"
"2000","Städtischer Raum","männlich","383.35","397.5","4786","300","350","400","480","650","380.86","385.84","0","860","400","400"
"2000","Städtischer Raum","weiblich","291.5","299","3809","140","200","380","400","500","288.13","294.87","0","800","300","300"
"2001","Ländlicher Raum","männlich","391.91","397.5","2294","305","370","400","500","700","388.25","395.57","0","900","400","400"
"2001","Ländlicher Raum","weiblich","313.11","345","1892","160","250","400","400","500","308.48","317.74","0","800","350","350"
"2001","Städtischer Raum","männlich","383.18","397.5","4383","300","350","400","500","600","380.59","385.77","0","999","400","400"
"2001","Städtischer Raum","weiblich","296.81","295","3607","140","200","385","400","500","293.28","300.34","0","800","300","300"
"2002","Ländlicher Raum","männlich","389.61","397.5","2274","300","360","400","480","600","386.03","393.19","0","999","400","400"
"2002","Ländlicher Raum","weiblich","308.58","335","1962","150","240","400","400","500","303.88","313.28","0","980","320","350"
"2002","Städtischer Raum","männlich","384.78","399","4670","300","350","400","480","600","382.19","387.37","0","999","400","400"
"2002","Städtischer Raum","weiblich","288.82","297.5","3924","120","200","380","400","500","285.36","292.28","0","990","300","300"
"2003","Ländlicher Raum","männlich","384.59","397.5","2168","300","360","400","450","600","380.83","388.35","0","900","400","400"
"2003","Ländlicher Raum","weiblich","311.97","345","1871","160","250","400","400","550","307.18","316.76","0","800","350","350"
"2003","Städtischer Raum","männlich","385.52","397.5","4368","300","350","400","480","600","382.84","388.2","0","999","400","400"
"2003","Städtischer Raum","weiblich","291.05","295","3762","140","200","380","400","500","287.57","294.53","0","910","300","300"
"2004","Ländlicher Raum","männlich","392.39","397.5","2075","340","375","400","500","600","388.83","395.95","0","990","400","400"
"2004","Ländlicher Raum","weiblich","313.23","345","1831","160","250","400","400","500","308.48","317.98","0","700","320","350"
"2004","Städtischer Raum","männlich","386.38","397.5","4219","300","350","400","480","600","383.7","389.06","0","999","400","400"
"2004","Städtischer Raum","weiblich","295.87","297.5","3677","150","200","385","400","500","292.4","299.34","0","900","300","300"
"2005","Ländlicher Raum","männlich","391.08","397.5","1936","340","380","400","460","600","387.46","394.7","0","990","400","400"
"2005","Ländlicher Raum","weiblich","314.8","347.5","1752","180","250","400","400","600","309.86","319.74","0","840","330","350"
"2005","Städtischer Raum","männlich","389.27","397.5","4001","300","370","400","500","600","386.52","392.02","0","999","400","400"
"2005","Städtischer Raum","weiblich","300.11","295","3498","150","200","385","400","500","296.53","303.69","0","990","300","300"
"2006","Ländlicher Raum","männlich","395.67","397.5","2092","350","380","400","500","600","392.16","399.18","0","999","400","400"
"2006","Ländlicher Raum","weiblich","312.33","345","1919","160","250","400","400","500","307.79","316.87","0","700","315","350"
"2006","Städtischer Raum","männlich","384.84","397.5","4172","300","370","400","455","600","382.2","387.48","0","999","400","400"
"2006","Städtischer Raum","weiblich","301.13","297.5","3706","150","200","390","400","500","297.71","304.55","0","700","300","300"
"2007","Ländlicher Raum","männlich","398.56","397.5","2025","350","380","400","500","650","394.81","402.31","0","840","400","400"
"2007","Ländlicher Raum","weiblich","314.05","345","1840","160","250","400","400","600","309.4","318.7","0","750","320","350"
"2007","Städtischer Raum","männlich","387.92","397.5","3903","300","350","400","500","600","385.07","390.77","0","990","400","400"
"2007","Städtischer Raum","weiblich","302.68","297.5","3509","150","200","400","400","500","299.15","306.21","0","900","300","300"
"2008","Ländlicher Raum","männlich","390.33","397.5","1906","300","380","400","450","600","386.53","394.13","0","820","400","400"
"2008","Ländlicher Raum","weiblich","306.32","322","1769","150","220","400","400","500","301.39","311.25","0","800","300","350"
"2008","Städtischer Raum","männlich","382.43","397.5","3718","300","350","400","450","600","379.57","385.29","0","999","400","400"
"2008","Städtischer Raum","weiblich","297.7","295","3401","150","200","385","400","480","294.17","301.23","0","800","300","300"
"2009","Ländlicher Raum","männlich","393.51","397.5","1789","300","375","400","500","700","389.45","397.57","0","850","400","400"
