"year","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","männlich","385.38","397.5","7332","300","350","400","480","650","383.39","387.37","0","999","400","400"
"2000","weiblich","297.65","299","5849","150","200","385","400","500","294.93","300.37","0","800","300","320"
"2001","männlich","385.9","397.5","6677","300","360","400","500","650","383.78","388.02","0","999","400","400"
"2001","weiblich","301.89","297.5","5499","150","200","385","400","500","299.06","304.72","0","800","300","335"
"2002","männlich","386.28","399","6944","300","350","400","480","600","384.18","388.38","0","999","400","400"
"2002","weiblich","295.1","297.5","5886","140","200","385","400","500","292.3","297.9","0","990","300","300"
"2003","männlich","385.23","397.5","6536","300","360","400","480","600","383.05","387.41","0","999","400","400"
"2003","weiblich","297.64","298.5","5633","150","200","385","400","500","294.81","300.47","0","910","300","320"
"2004","männlich","388.21","397.5","6294","300","360","400","480","600","386.06","390.36","0","999","400","400"
"2004","weiblich","301.24","315","5508","150","200","385","400","500","298.43","304.05","0","900","300","305"
"2005","männlich","389.82","397.5","5937","300","370","400","500","600","387.62","392.02","0","999","400","400"
"2005","weiblich","304.68","295","5250","150","215","390","400","500","301.78","307.58","0","990","300","320"
"2006","männlich","388.23","397.5","6264","300","375","400","480","600","386.12","390.34","0","999","400","400"
"2006","weiblich","304.71","317.5","5625","150","200","400","400","500","301.97","307.45","0","700","300","308"
"2007","männlich","391.32","397.5","5928","300","370","400","500","600","389.05","393.59","0","990","400","400"
"2007","weiblich","306.35","317.5","5349","150","200","400","400","500","303.53","309.17","0","900","300","300"
"2008","männlich","384.91","397.5","5624","300","360","400","450","600","382.62","387.2","0","999","400","400"
"2008","weiblich","300.47","295","5170","150","200","400","400","500","297.6","303.34","0","800","300","300"
"2009","männlich","389.39","397.5","5116","300","355","400","500","600","387.05","391.73","0","999","400","400"
"2009","weiblich","305.45","297.5","4821","150","240","400","400","500","302.54","308.36","0","800","300","300"
"2010","männlich","382.79","399","5415","300","350","400","480","600","380.38","385.2","0","999","400","400"
"2010","weiblich","305.69","317.5","5239","150","250","390","400","500","302.92","308.46","0","700","300","300"
"2011","männlich","386.62","397.5","6481","300","350","400","500","600","384.41","388.83","0","999","400","400"
"2011","weiblich","310.19","327.5","6548","150","250","400","400","500","307.68","312.7","0","800","300","300"
"2012","männlich","380.16","399","6344","300","350","400","450","600","377.91","382.41","0","999","400","400"
"2012","weiblich","303.25","295","6542","150","230","400","400","500","300.73","305.77","0","800","300","300"
"2013","männlich","376.43","397.5","5791","300","350","400","450","600","374.1","378.76","0","999","400","400"
"2013","weiblich","301.73","297.5","6175","150","225","400","400","500","299.15","304.31","0","900","300","300"
"2014","männlich","372.74","397.5","6761","300","350","400","450","600","370.68","374.8","0","999","400","400"
"2014","weiblich","299.56","297.5","7162","150","225","390","400","500","297.22","301.9","0","840","300","300"
"2015","männlich","374.49","398.5","7921","300","350","400","450","600","372.54","376.44","0","999","400","400"
"2015","weiblich","301","297.5","8051","150","225","390","400","500","298.69","303.31","0","990","300","300"
"2016","männlich","","","","","","","","","","","","","",""
"2016","weiblich","","","","","","","","","","","","","",""
"2017","männlich","369.13","397.5","8297","300","350","400","450","600","367.2","371.06","0","990","400","400"
"2017","weiblich","296.23","295","8494","150","200","385","400","500","294.05","298.41","0","850","300","300"
"2018","männlich","360.76","388.5","8303","250","350","400","430","600","358.76","362.76","0","990","400","400"
"2018","weiblich","295.21","297.5","8256","150","220","380","400","500","293.04","297.38","0","800","300","300"
"2019","männlich","371.74","395","801","200","400","400","450","600","364.34","379.14","10","800","400","400"
"2019","weiblich","317.42","385","153","100","250","400","400","480","296.33","338.51","20","1000","300","400"
