"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","347.62","379","13181","200","300","400","450","600","345.82","349.42","0","999","380","380"
"2001","349.21","379","12176","200","300","400","450","600","347.33","351.09","0","999","380","380"
"2002","345.84","379","12830","200","300","400","450","600","343.95","347.73","0","999","380","380"
"2003","346.4","377.5","12169","200","300","400","450","600","344.47","348.33","0","999","380","380"
"2004","349.12","379","11802","200","300","400","440","600","347.2","351.04","0","999","380","380"
"2005","351.54","384","11187","200","300","400","450","600","349.57","353.51","0","999","380","385"
"2006","351.01","384.5","11889","200","300","400","450","600","349.12","352.9","0","999","380","385"
"2007","353.19","382.5","11277","200","300","400","450","600","351.21","355.17","0","990","380","385"
"2008","346.69","382.5","10794","200","300","400","425","600","344.7","348.68","0","999","380","380"
"2009","350.81","378.5","9937","200","300","400","450","600","348.77","352.85","0","999","380","380"
"2010","346.63","377.5","10654","200","300","400","430","600","344.61","348.65","0","999","375","380"
"2011","351.25","379","13029","200","300","400","450","600","349.42","353.08","0","999","375","380"
"2012","344.38","377.5","12886","200","300","400","420","600","342.53","346.23","0","999","360","375"
"2013","341.14","377.5","11966","200","300","400","410","600","339.25","343.03","0","999","350","370"
"2014","338.15","367.5","13923","200","300","400","400","550","336.43","339.87","0","999","350","350"
"2015","340.09","377.5","15972","200","300","400","400","600","338.44","341.74","0","999","370","375"
"2016","","","","","","","","","","","","","",""
"2017","334.75","357.5","16791","200","300","400","400","600","333.17","336.33","0","990","350","350"
"2018","330.03","347.5","16559","200","300","400","400","540","328.45","331.61","0","990","350","350"
"2019","365.74","395","954","200","380","400","450","600","358.49","372.99","10","1000","400","400"
