"year","bula_h","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Baden-Württemberg","Ländlicher Raum","344.77","362.5","165","200","300","400","450","650","328.36","361.18","40","700","350","400"
"2000","Baden-Württemberg","Städtischer Raum","341.69","372.5","1503","200","300","400","450","600","336.22","347.16","0","800","360","375"
"2000","Bayern","Ländlicher Raum","343.55","377.5","1061","200","300","400","450","600","336.92","350.18","0","900","370","380"
"2000","Bayern","Städtischer Raum","339.07","372.5","888","200","300","400","400","600","332.23","345.91","0","800","360","380"
"2000","Berlin","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","Berlin","Städtischer Raum","","","","","","","","","","","","","",""
"2000","Brandenburg","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","Brandenburg","Städtischer Raum","","","","","","","","","","","","","",""
"2000","Bremen","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","Bremen","Städtischer Raum","325.52","367.5","95","150","300","400","400","500","302.83","348.21","40","600","300","400"
"2000","Hamburg","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","Hamburg","Städtischer Raum","342.76","372.5","164","200","300","400","400","500","326.53","358.99","15","800","350","385"
"2000","Hessen","Ländlicher Raum","350.47","382.5","177","200","300","400","470","650","333.36","367.58","0","650","370","400"
"2000","Hessen","Städtischer Raum","336.05","372.5","763","180","280","400","450","600","327.7","344.4","0","800","370","385"
"2000","Mecklenburg-Vorpommern","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","Mecklenburg-Vorpommern","Städtischer Raum","","","","","","","","","","","","","",""
"2000","Niedersachsen","Ländlicher Raum","356.35","377.5","595","200","300","400","450","600","347.3","365.4","0","990","380","385"
"2000","Niedersachsen","Städtischer Raum","345.49","372.5","532","200","300","400","450","700","335.78","355.2","0","860","351","380"
"2000","Nordrhein-Westfalen","Ländlicher Raum","332.22","372.5","71","200","280","380","400","500","310.43","354.01","80","500","350","380"
