"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","17-29","361.82","384","2647","200","350","400","450","600","358.07","365.57","0","999","380","385"
"2000","30-45","351.67","378.5","6310","200","300","400","450","600","349.07","354.27","0","990","375","380"
"2000","46-65","336.92","372.5","4152","200","300","400","400","600","333.68","340.16","0","800","370","380"
"2000","66","219.73","180","72","30","100","350","400","700","183.18","256.28","0","700","140","280"
"2001","17-29","359.77","382.5","2395","200","350","400","450","600","355.61","363.93","0","800","380","385"
"2001","30-45","353.79","379","5752","200","300","400","450","600","351.1","356.48","0","990","380","380"
"2001","46-65","341.38","372.5","3946","200","300","400","420","600","338.07","344.69","0","999","375","380"
"2001","66","194.67","135","83","20","60","300","400","600","160.71","228.63","0","600","120","240"
"2002","17-29","358.75","379","2303","200","350","400","450","600","354.51","362.99","0","900","380","385"
"2002","30-45","349.69","379","5802","200","300","400","450","600","346.91","352.47","0","999","378","380"
"2002","46-65","337","373.5","4620","200","300","400","420","600","333.84","340.16","0","900","375","380"
"2002","66","232.5","135","105","50","100","360","400","980","197.47","267.53","0","980","150","240"
"2003","17-29","354.55","382.5","2169","200","350","400","430","560","350.05","359.05","0","999","380","385"
"2003","30-45","350.25","377.5","5403","200","300","400","450","600","347.39","353.11","0","999","380","380"
"2003","46-65","341.83","377.5","4484","200","300","400","430","600","338.68","344.98","0","900","375","380"
"2003","66","201.77","145","113","60","90","300","400","760","171.38","232.16","0","760","120","200"
"2004","17-29","359.34","382.5","2118","240","350","400","420","560","354.99","363.69","0","990","380","385"
"2004","30-45","353.85","379","5120","200","300","400","450","600","350.95","356.75","0","999","380","380"
"2004","46-65","343.2","377.5","4436","200","300","400","420","600","340.11","346.29","0","990","375","380"
"2004","66","196.46","145","128","45","80","300","400","600","169.43","223.49","0","700","150","200"
"2005","17-29","364.4","389","1982","200","350","400","450","600","359.78","369.02","0","990","385","400"
"2005","30-45","354.92","382.5","4767","200","300","400","450","600","351.98","357.86","0","999","380","385"
"2005","46-65","345.36","379","4317","200","300","400","425","600","342.24","348.48","0","985","380","385"
"2005","66","207.14","145","121","10","70","300","500","800","176.15","238.13","0","800","110","200"
"2006","17-29","363.5","397.5","2039","200","350","400","450","600","359.02","367.98","0","999","385","400"
"2006","30-45","353.16","382.5","4951","200","300","400","450","600","350.32","356","0","999","380","385"
"2006","46-65","346.91","382.5","4735","200","300","400","420","600","343.98","349.84","0","840","380","385"
"2006","66","227.81","155","164","50","100","400","500","800","202.78","252.84","0","800","150","200"
"2007","17-29","359.97","397.5","1920","200","350","400","450","600","355.19","364.75","0","840","390","400"
"2007","30-45","356.57","382.5","4666","200","300","400","450","600","353.54","359.6","0","990","380","385"
"2007","46-65","351.22","382.5","4535","200","300","400","450","600","348.19","354.25","0","800","380","385"
"2007","66","208.87","155","156","60","100","300","450","600","185.48","232.26","0","660","150","200"
"2008","17-29","353.06","382.5","1831","200","350","400","420","600","348.32","357.8","0","800","385","390"
"2008","30-45","353.08","382.5","4283","200","300","400","450","600","350.03","356.13","0","999","380","385"
"2008","46-65","342.4","377.5","4508","200","300","400","400","600","339.35","345.45","0","800","375","380"
"2008","66","203.73","135","172","50","100","300","420","600","181.69","225.77","0","800","120","200"
"2009","17-29","363.55","382.5","1626","250","350","400","450","600","358.84","368.26","0","800","385","400"
"2009","30-45","355.57","382.5","3838","200","300","400","450","600","352.37","358.77","0","800","380","385"
"2009","46-65","345.81","378.5","4284","200","300","400","420","600","342.74","348.88","0","999","375","380"
"2009","66","206.28","190","189","50","90","300","400","600","184.78","227.78","0","700","150","200"
"2010","17-29","353.64","382.5","1603","200","350","400","430","600","348.39","358.89","0","800","380","385"
"2010","30-45","354.61","377.5","4418","200","300","400","450","600","351.58","357.64","0","960","375","380"
"2010","46-65","343.36","372.5","4451","200","300","400","420","600","340.33","346.39","0","999","360","380"
"2010","66","197.75","155","182","40","80","300","400","600","176.45","219.05","0","700","130","200"
"2011","17-29","356.48","392.5","1898","200","350","400","450","600","351.58","361.38","20","810","385","400"
"2011","30-45","360.03","389.5","5154","200","300","400","450","600","357.22","362.84","0","999","370","380"
"2011","46-65","347.88","379","5776","200","300","400","450","600","345.17","350.59","0","999","370","380"
"2011","66","198.64","155","201","60","100","260","400","580","179.82","217.46","0","600","150","200"
"2012","17-29","349.42","387.5","1862","160","300","400","420","600","344.33","354.51","12","990","380","390"
"2012","30-45","356.22","377.5","4870","200","300","400","450","600","353.4","359.04","0","800","360","375"
"2012","46-65","340.9","372.5","5895","200","300","400","410","600","338.22","343.58","0","999","350","370"
"2012","66","185.12","140","259","50","80","300","400","600","168.81","201.43","0","700","120","200"
"2013","17-29","344.49","382.5","1683","150","300","400","400","540","339.21","349.77","0","900","380","385"
"2013","30-45","353.7","377.5","4369","200","300","400","450","600","350.77","356.63","6","900","350","375"
"2013","46-65","339.04","368.5","5661","200","300","400","400","600","336.36","341.72","0","999","350","360"
"2013","66","180.67","145","253","40","90","250","400","700","163.78","197.56","0","800","120","160"
"2014","17-29","342","377.5","1931","150","300","400","400","560","337.12","346.88","0","840","380","380"
"2014","30-45","347.63","372.5","5449","200","300","400","420","500","345.02","350.24","0","999","350","350"
"2014","46-65","338.13","357.5","6248","200","300","400","400","500","335.66","340.6","0","999","350","350"
"2014","66","186.02","145","295","50","80","250","400","600","170.52","201.52","0","700","135","200"
"2015","17-29","347.21","387.5","2581","160","320","400","400","500","343.07","351.35","0","900","385","390"
"2015","30-45","347.28","377.5","6376","200","300","400","410","600","344.77","349.79","0","999","360","375"
"2015","46-65","339.72","372.5","6728","200","300","400","400","600","337.23","342.21","0","999","350","370"
"2015","66","183.44","145","287","50","80","250","400","600","167.5","199.38","0","750","150","200"
"2016","17-29","","","","","","","","","","","","","",""
"2016","30-45","","","","","","","","","","","","","",""
"2016","46-65","","","","","","","","","","","","","",""
"2016","66","","","","","","","","","","","","","",""
"2017","17-29","339.76","377.5","2752","150","300","400","400","550","335.66","343.86","0","840","380","380"
"2017","30-45","345.08","367.5","5998","200","300","400","420","600","342.6","347.56","0","850","350","350"
"2017","46-65","334.99","345","7675","200","300","400","400","600","332.74","337.24","0","990","350","350"
"2017","66","181.73","145","366","50","90","240","400","700","167.47","195.99","0","800","140","170"
"2018","17-29","332.76","367.5","2867","150","300","400","400","500","328.74","336.78","0","840","375","380"
"2018","30-45","341.09","345","5779","200","300","400","400","500","338.6","343.58","0","800","350","350"
"2018","46-65","332.93","347.5","7519","200","300","400","400","600","330.7","335.16","0","990","350","350"
"2018","66","163.66","115","394","50","80","200","350","500","151.3","176.02","0","600","110","150"
"2019","17-29","359.77","395","351","150","380","400","400","550","348.01","371.53","10","800","400","400"
"2019","30-45","373.16","395","496","200","390","400","480","600","363.1","383.22","30","1000","400","400"
"2019","46-65","373.41","395","107","200","350","400","500","600","350.06","396.76","30","600","400","400"
"2019","66","","","","","","","","","","","","","",""
