"year","bildungsniveau","bula_h","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","(Fach-)Abitur","Baden-Württemberg","339.2","372.5","177","200","300","400","450","700","322.68","355.72","45","720","350","380"
"2000","(Fach-)Abitur","Bayern","340.52","355","137","200","300","400","450","650","320.78","360.26","30","800","350","385"
"2000","(Fach-)Abitur","Berlin","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Brandenburg","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Bremen","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Hamburg","320.3","335","31","200","300","385","400","500","287.85","352.75","100","500","300","385"
"2000","(Fach-)Abitur","Hessen","329.05","377.5","115","110","250","400","400","600","305.9","352.2","0","650","350","385"
"2000","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Niedersachsen","340.63","355","130","200","250","400","450","800","317.94","363.32","40","800","350","400"
"2000","(Fach-)Abitur","Nordrhein-Westfalen","334.44","355","429","180","300","400","430","500","323.78","345.1","0","800","350","370"
"2000","(Fach-)Abitur","Rheinland-Pfalz,Saarland","352.75","377.5","75","200","300","400","450","700","328.77","376.73","100","700","350","400"
"2000","(Fach-)Abitur","Saarland","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Sachsen","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2000","(Fach-)Abitur","Schleswig-Holstein","294.11","290","42","150","200","400","400","800","251","337.22","60","800","250","360"
"2000","(Fach-)Abitur","Thüringen","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Baden-Württemberg","318.12","325","49","80","200","400","500","600","279.32","356.92","50","600","300","400"
"2000","(noch) kein Abschluss","Bayern","293","325","30","80","193","400","400","500","244.79","341.21","40","500","200","380"
"2000","(noch) kein Abschluss","Berlin","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Brandenburg","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Bremen","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Hamburg","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Hessen","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Niedersachsen","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Nordrhein-Westfalen","326.63","362.5","49","120","200","400","450","600","290.44","362.82","40","600","300","400"
"2000","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Saarland","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Sachsen","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Schleswig-Holstein","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","Thüringen","","","","","","","","","","","","","",""
"2000","AkademikerIn","Baden-Württemberg","352.21","377.5","271","200","300","400","470","600","339.75","364.67","40","700","380","400"
"2000","AkademikerIn","Bayern","352.76","382.5","335","200","300","400","450","600","341.74","363.78","70","800","375","400"
"2000","AkademikerIn","Berlin","","","","","","","","","","","","","",""
"2000","AkademikerIn","Brandenburg","","","","","","","","","","","","","",""
"2000","AkademikerIn","Bremen","","","","","","","","","","","","","",""
"2000","AkademikerIn","Hamburg","367.29","392.5","50","220","300","400","500","720","335.39","399.19","100","720","350","400"
"2000","AkademikerIn","Hessen","364.75","395","201","200","300","400","500","600","350.12","379.38","0","600","350","400"
"2000","AkademikerIn","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2000","AkademikerIn","Niedersachsen","352.55","382.5","176","200","300","400","500","600","337.32","367.78","60","600","350","400"
"2000","AkademikerIn","Nordrhein-Westfalen","344.14","372.5","505","200","300","400","450","600","334.5","353.78","0","800","360","385"
"2000","AkademikerIn","Rheinland-Pfalz,Saarland","358.91","384.5","99","250","300","400","450","600","338.86","378.96","0","600","350","400"
"2000","AkademikerIn","Saarland","","","","","","","","","","","","","",""
"2000","AkademikerIn","Sachsen","","","","","","","","","","","","","",""
"2000","AkademikerIn","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2000","AkademikerIn","Schleswig-Holstein","368.41","370","69","200","300","400","500","600","343.79","393.03","60","600","350","400"
"2000","AkademikerIn","Thüringen","","","","","","","","","","","","","",""
"2000","Hauptschule","Baden-Württemberg","344.3","372.5","782","200","300","400","400","650","336.92","351.68","0","800","350","375"
"2000","Hauptschule","Bayern","341.71","377.5","924","200","300","400","420","600","334.92","348.5","0","900","375","380"
"2000","Hauptschule","Berlin","","","","","","","","","","","","","",""
"2000","Hauptschule","Brandenburg","","","","","","","","","","","","","",""
"2000","Hauptschule","Bremen","311.46","367.5","30","100","250","400","400","500","270.67","352.25","100","500","300","400"
"2000","Hauptschule","Hamburg","335.96","355","41","200","300","387","400","500","304.83","367.09","15","500","350","385"
"2000","Hauptschule","Hessen","331.95","377.5","351","150","250","400","450","650","319.28","344.62","0","800","375","390"
"2000","Hauptschule","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2000","Hauptschule","Niedersachsen","350.01","377.5","449","200","300","400","450","700","339.21","360.81","0","850","375","385"
