"year","age_gr","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","17-29","Ländlicher Raum","372.95","387.5","1001","300","350","400","450","600","366.99","378.91","0","999","390","400"
"2000","17-29","Städtischer Raum","355.95","377.5","1646","200","350","400","430","600","351.17","360.73","0","800","380","380"
"2000","30-45","Ländlicher Raum","358.67","377.5","2141","200","300","400","450","600","354.3","363.04","0","990","380","385"
"2000","30-45","Städtischer Raum","348.62","372.5","4169","200","300","400","450","600","345.39","351.85","0","860","375","380"
"2000","46-65","Ländlicher Raum","344.42","379","1422","200","300","400","400","600","339.21","349.63","0","800","380","385"
"2000","46-65","Städtischer Raum","333.59","368","2730","200","300","400","400","600","329.49","337.69","0","800","360","375"
"2000","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","66","Städtischer Raum","206.08","155","50","0","100","350","400","700","159.74","252.42","0","700","100","280"
"2001","17-29","Ländlicher Raum","369.83","387.5","884","300","350","400","450","600","363.36","376.3","0","800","385","400"
"2001","17-29","Städtischer Raum","354.56","379","1511","160","350","400","450","600","349.17","359.95","0","800","380","385"
"2001","30-45","Ländlicher Raum","358.99","377.5","1937","200","300","400","450","700","354.33","363.65","0","900","380","385"
"2001","30-45","Städtischer Raum","351.53","379","3815","200","300","400","450","600","348.23","354.83","0","990","375","380"
"2001","46-65","Ländlicher Raum","351.74","377.5","1334","200","300","400","450","600","346.39","357.09","0","900","380","385"
"2001","46-65","Städtischer Raum","336.83","372.5","2612","195","300","400","420","600","332.65","341.01","0","999","365","375"
"2001","66","Ländlicher Raum","221.15","180","31","0","60","365","500","600","160.1","282.2","0","600","100","250"
"2001","66","Städtischer Raum","181.92","112.5","52","50","60","300","400","500","140.1","223.74","0","550","105","250"
"2002","17-29","Ländlicher Raum","373.98","389","838","300","350","400","450","600","367.8","380.16","30","750","385","400"
"2002","17-29","Städtischer Raum","350.83","379","1465","200","350","400","430","600","345.22","356.44","0","900","375","380"
"2002","30-45","Ländlicher Raum","354.07","379","1874","200","300","400","450","600","349.24","358.9","0","999","380","385"
"2002","30-45","Städtischer Raum","347.73","377.5","3928","200","300","400","450","600","344.33","351.13","0","999","375","380"
"2002","46-65","Ländlicher Raum","340.91","372.5","1491","200","300","400","400","600","335.63","346.19","0","800","380","385"
"2002","46-65","Städtischer Raum","335.3","367.5","3129","200","300","400","450","600","331.37","339.23","0","900","360","375"
"2002","66","Ländlicher Raum","306.18","225","33","100","120","400","500","980","234.96","377.4","0","980","120","380"
"2002","66","Städtischer Raum","203.14","110","72","50","100","300","400","900","162.92","243.36","0","900","120","250"
"2003","17-29","Ländlicher Raum","368.99","397.5","776","300","350","400","450","550","362.42","375.56","0","850","385","400"
"2003","17-29","Städtischer Raum","347.26","377.5","1393","150","320","400","420","560","341.33","353.19","0","999","380","380"
"2003","30-45","Ländlicher Raum","354.75","377.5","1764","200","300","400","450","600","349.82","359.68","0","900","380","385"
"2003","30-45","Städtischer Raum","348.26","377.5","3639","200","300","400","450","600","344.76","351.76","0","999","375","380"
"2003","46-65","Ländlicher Raum","343.65","377.5","1462","200","300","400","420","600","338.32","348.98","0","900","380","385"
"2003","46-65","Städtischer Raum","341","373","3022","200","300","400","450","600","337.11","344.89","0","900","370","380"
"2003","66","Ländlicher Raum","243.48","130","37","60","100","400","600","760","178.11","308.85","0","760","100","300"
"2003","66","Städtischer Raum","181.88","145","76","60","80","240","400","600","148.75","215.01","0","680","120","200"
"2004","17-29","Ländlicher Raum","369.57","397.5","766","300","350","400","440","600","362.86","376.28","0","900","385","400"
"2004","17-29","Städtischer Raum","354.13","377.5","1352","200","350","400","400","560","348.5","359.76","0","990","380","385"
"2004","30-45","Ländlicher Raum","360.62","382.5","1629","200","320","400","450","600","355.69","365.55","0","800","380","395"
"2004","30-45","Städtischer Raum","351.07","379","3491","200","300","400","450","600","347.49","354.65","0","999","375","380"
"2004","46-65","Ländlicher Raum","347.94","377.5","1478","200","300","400","420","600","342.68","353.2","0","990","380","385"
"2004","46-65","Städtischer Raum","341.05","374.5","2958","200","300","400","410","600","337.23","344.87","0","840","370","380"
"2004","66","Ländlicher Raum","223.16","190","33","80","120","300","440","500","175.81","270.51","0","500","150","250"
"2004","66","Städtischer Raum","187.89","110","95","40","60","300","400","600","154.95","220.83","0","700","100","200"
