"year","age_gr","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","17-29","1 Einkommensschwächstes Quintil","354.09","377.5","668","200","345","400","450","600","346.35","361.83","0","800","380","390"
"2000","17-29","2","366.82","382.5","784","200","350","400","450","600","359.83","373.81","0","999","380","390"
"2000","17-29","3","359.24","384","541","200","350","400","450","550","351.07","367.41","0","650","380","400"
"2000","17-29","4","364.49","382.5","497","300","350","400","420","600","356.46","372.52","0","750","380","385"
"2000","17-29","5 Einkommensstärkstes Quintil","367.91","377.5","157","250","350","400","500","600","351.81","384.01","45","650","375","400"
"2000","30-45","1 Einkommensschwächstes Quintil","351.82","377.5","1234","200","300","400","450","600","345.53","358.11","0","990","380","385"
"2000","30-45","2","344.39","377.5","1771","200","300","400","400","600","339.6","349.18","0","990","375","380"
"2000","30-45","3","346.05","372.5","1422","200","300","400","425","600","340.77","351.33","0","900","360","380"
"2000","30-45","4","355.97","372.5","1165","200","300","400","450","600","349.95","361.99","0","860","370","380"
"2000","30-45","5 Einkommensstärkstes Quintil","370.53","382.5","718","200","300","400","500","700","362.7","378.36","0","800","380","390"
"2000","46-65","1 Einkommensschwächstes Quintil","327.05","377.5","605","120","250","400","420","600","317.52","336.58","0","800","375","400"
"2000","46-65","2","338.94","372.5","906","200","300","400","400","600","332.11","345.77","0","800","370","380"
"2000","46-65","3","337.92","365","906","200","300","400","400","600","331.33","344.51","0","800","360","380"
"2000","46-65","4","336.3","355","927","200","300","400","400","600","329.9","342.7","0","800","350","375"
"2000","46-65","5 Einkommensstärkstes Quintil","341.36","372.5","808","200","300","400","450","600","333.67","349.05","0","720","350","380"
"2000","66","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2000","66","2","","","","","","","","","","","","","",""
"2000","66","3","","","","","","","","","","","","","",""
"2000","66","4","","","","","","","","","","","","","",""
"2000","66","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2001","17-29","1 Einkommensschwächstes Quintil","340.32","377.5","595","120","300","400","400","600","331.35","349.29","0","800","380","385"
"2001","17-29","2","362","382.5","668","200","350","400","450","600","354.37","369.63","0","800","380","400"
"2001","17-29","3","372.11","382.5","510","250","350","400","480","600","363.43","380.79","0","800","380","400"
"2001","17-29","4","367.24","382.5","444","270","350","400","450","600","358.16","376.32","0","800","385","400"
"2001","17-29","5 Einkommensstärkstes Quintil","360.14","382.5","178","200","350","400","450","600","343.45","376.83","0","700","375","400"
"2001","30-45","1 Einkommensschwächstes Quintil","348.78","377.5","1048","200","300","400","425","600","341.97","355.59","0","900","375","385"
"2001","30-45","2","347.19","379","1568","200","300","400","420","600","342.04","352.34","0","940","375","380"
"2001","30-45","3","352.79","378.5","1286","200","300","400","450","600","347.26","358.32","0","800","375","380"
"2001","30-45","4","356.56","379","1114","200","300","400","450","600","350.81","362.31","0","800","370","380"
"2001","30-45","5 Einkommensstärkstes Quintil","369.13","382.5","736","240","300","400","500","650","361.44","376.82","0","990","380","400"
"2001","46-65","1 Einkommensschwächstes Quintil","339.45","377.5","509","160","300","400","450","600","329.56","349.34","0","770","370","400"
"2001","46-65","2","337","378.5","836","180","300","400","400","600","329.36","344.64","0","999","375","385"
"2001","46-65","3","340.3","372.5","870","200","300","400","400","550","334.04","346.56","0","660","360","380"
"2001","46-65","4","340.7","372.5","946","200","300","400","400","600","334.02","347.38","0","750","360","380"
"2001","46-65","5 Einkommensstärkstes Quintil","348.66","377.5","785","200","300","400","450","600","341.02","356.3","0","720","370","385"
"2001","66","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2001","66","2","","","","","","","","","","","","","",""
"2001","66","3","","","","","","","","","","","","","",""
"2001","66","4","","","","","","","","","","","","","",""
"2001","66","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2002","17-29","1 Einkommensschwächstes Quintil","350.72","377.5","491","200","350","400","400","600","341.54","359.9","0","700","380","385"
"2002","17-29","2","356.13","377.5","545","200","350","400","420","600","347.96","364.3","40","800","380","390"
