"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","17-29","(Fach-)Abitur","337.29","377.5","513","140","300","400","450","600","326.56","348.02","40","800","350","380"
"2000","17-29","(noch) kein Abschluss","239.94","180","61","50","80","400","400","600","199.7","280.18","0","600","100","300"
"2000","17-29","AkademikerIn","356.38","382.5","200","200","300","400","450","600","343.54","369.22","40","600","375","400"
"2000","17-29","Hauptschule","373.74","382.5","752","300","350","400","450","550","368.01","379.47","0","700","380","400"
"2000","17-29","Realschule","373.91","384","1119","300","350","400","450","600","368.96","378.86","0","999","385","390"
"2000","30-45","(Fach-)Abitur","340.21","355","631","200","300","400","450","700","331.42","349","0","800","350","380"
"2000","30-45","(noch) kein Abschluss","386.61","395","55","300","350","400","500","600","361.94","411.28","100","600","375","400"
"2000","30-45","AkademikerIn","361.8","382.5","1424","200","300","400","500","600","356.75","366.85","0","800","380","385"
"2000","30-45","Hauptschule","355.56","377.5","1944","200","300","400","450","700","350.63","360.49","0","990","375","380"
"2000","30-45","Realschule","343.98","372.5","2250","200","300","400","420","600","339.7","348.26","0","990","370","380"
"2000","46-65","(Fach-)Abitur","337.63","372.5","223","200","300","400","400","600","323.66","351.6","0","720","350","385"
"2000","46-65","(noch) kein Abschluss","346.42","372.5","70","200","300","400","400","680","322.84","370","0","680","350","385"
"2000","46-65","AkademikerIn","347.47","377.5","1017","200","300","400","450","600","341.24","353.7","0","700","380","390"
"2000","46-65","Hauptschule","330.94","368","1971","193","300","400","400","600","326.11","335.77","0","800","360","375"
"2000","46-65","Realschule","338.44","365","865","200","300","400","400","600","331.48","345.4","0","800","350","380"
"2000","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"2000","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2000","66","AkademikerIn","","","","","","","","","","","","","",""
"2000","66","Hauptschule","200.67","175","31","0","60","350","400","700","141.25","260.09","0","700","100","280"
"2000","66","Realschule","","","","","","","","","","","","","",""
"2001","17-29","(Fach-)Abitur","329.16","372.5","501","100","300","400","405","600","318.06","340.26","0","800","375","380"
"2001","17-29","(noch) kein Abschluss","220.36","122.5","94","50","100","400","450","600","188.63","252.09","10","600","100","160"
"2001","17-29","AkademikerIn","382.65","397.5","180","300","350","400","500","600","369.78","395.52","100","800","385","400"
"2001","17-29","Hauptschule","374.5","382.5","632","300","350","400","450","600","368.12","380.88","0","700","380","400"
"2001","17-29","Realschule","376.56","387.5","954","300","350","400","450","600","371.3","381.82","0","800","385","400"
"2001","30-45","(Fach-)Abitur","346.65","367.5","602","200","300","400","450","750","337.33","355.97","0","990","350","380"
"2001","30-45","(noch) kein Abschluss","351.82","372.5","40","180","300","400","480","600","321.71","381.93","100","600","350","400"
"2001","30-45","AkademikerIn","362.5","382.5","1288","240","300","400","450","600","357.43","367.57","0","750","380","385"
"2001","30-45","Hauptschule","358.1","379","1704","200","320","400","450","650","353.09","363.11","0","940","380","380"
"2001","30-45","Realschule","346.63","377.5","2105","200","300","400","420","600","342.12","351.14","0","900","375","380"
"2001","46-65","(Fach-)Abitur","341.57","372.5","215","200","300","400","400","600","329.21","353.93","50","600","360","385"
"2001","46-65","(noch) kein Abschluss","354.09","352.5","49","270","300","385","400","660","326.39","381.79","0","660","350","380"
"2001","46-65","AkademikerIn","356.05","382.5","997","200","300","400","450","650","349.75","362.35","0","770","380","400"
"2001","46-65","Hauptschule","335.06","372.5","1801","180","300","400","400","600","329.93","340.19","0","999","370","380"
"2001","46-65","Realschule","339.35","365","882","200","300","400","405","600","332.51","346.19","0","900","360","380"
"2001","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"2001","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2001","66","AkademikerIn","","","","","","","","","","","","","",""
"2001","66","Hauptschule","188.55","112.5","41","0","60","300","400","600","139.15","237.95","0","600","100","240"
"2001","66","Realschule","","","","","","","","","","","","","",""
"2002","17-29","(Fach-)Abitur","332.13","372.5","518","130","300","400","450","600","321.17","343.09","0","800","360","380"
"2002","17-29","(noch) kein Abschluss","214.93","190","86","50","100","350","400","700","185.42","244.44","0","700","100","160"
"2002","17-29","AkademikerIn","368.23","379","179","250","350","400","430","750","355.13","381.33","0","750","378","400"
"2002","17-29","Hauptschule","373.3","382.5","541","300","350","400","400","600","367.22","379.38","60","700","385","400"
"2002","17-29","Realschule","373.22","383.5","898","300","350","400","450","600","367.77","378.67","0","900","380","390"
"2002","30-45","(Fach-)Abitur","345.49","377.5","658","175","300","400","450","600","336.2","354.78","15","999","350","380"
"2002","30-45","(noch) kein Abschluss","348.29","380","40","200","350","400","480","500","310.98","385.6","0","500","350","400"
"2002","30-45","AkademikerIn","363.73","382.5","1493","240","300","400","450","600","358.42","369.04","0","999","380","385"
"2002","30-45","Hauptschule","345.24","377.5","1516","200","300","400","420","600","339.94","350.54","0","840","375","380"
"2002","30-45","Realschule","346.9","372.5","2080","200","300","400","450","600","342.28","351.52","0","990","370","380"
"2002","46-65","(Fach-)Abitur","331.68","355","282","200","300","400","425","600","319.16","344.2","0","700","350","380"
"2002","46-65","(noch) kein Abschluss","325.3","332.5","44","120","300","400","400","600","294.71","355.89","80","600","350","380"
"2002","46-65","AkademikerIn","361.57","382.5","1514","200","300","400","500","600","356.16","366.98","0","900","385","400"
"2002","46-65","Hauptschule","328.65","367.5","1740","150","300","400","400","600","323.29","334.01","0","750","350","375"
"2002","46-65","Realschule","332.6","372.5","1036","200","300","400","400","550","326.33","338.87","0","770","350","380"
"2002","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"2002","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2002","66","AkademikerIn","237.43","175","47","50","100","360","400","600","190.11","284.75","0","600","200","380"
"2002","66","Hauptschule","259.52","135","37","80","100","380","500","980","187.13","331.91","0","980","120","200"
"2002","66","Realschule","","","","","","","","","","","","","",""
"2003","17-29","(Fach-)Abitur","320.09","357.5","523","100","240","400","420","500","308.81","331.37","0","999","350","375"
"2003","17-29","(noch) kein Abschluss","217.14","115","68","20","80","400","400","500","179.68","254.6","0","500","80","130"
"2003","17-29","AkademikerIn","350.85","382.5","163","200","350","400","400","550","336.95","364.75","40","600","380","400"
"2003","17-29","Hauptschule","375.27","382.5","472","300","350","400","420","560","368.59","381.95","0","700","380","400"
"2003","17-29","Realschule","374.02","382.5","831","300","350","400","450","600","368.44","379.6","50","850","385","400"
"2003","30-45","(Fach-)Abitur","341.52","372.5","630","200","300","400","450","600","332.48","350.56","0","990","350","380"
"2003","30-45","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2003","30-45","AkademikerIn","363.06","382.5","1353","240","300","400","480","600","357.65","368.47","0","999","380","400"
"2003","30-45","Hauptschule","350.27","377.5","1416","200","300","400","450","600","344.72","355.82","0","900","375","380"
"2003","30-45","Realschule","345.7","377.5","1954","200","300","400","450","600","340.92","350.48","0","900","375","380"
"2003","46-65","(Fach-)Abitur","340.17","373","285","180","300","400","450","600","327.08","353.26","0","600","350","385"
"2003","46-65","(noch) kein Abschluss","338.04","365","43","200","250","400","500","570","302.96","373.12","60","570","350","380"
"2003","46-65","AkademikerIn","358.06","382.5","1488","200","300","400","480","600","352.75","363.37","0","900","385","400"
"2003","46-65","Hauptschule","331.82","367.5","1609","160","300","400","400","600","326.35","337.29","0","840","360","375"
"2003","46-65","Realschule","345.33","377.5","1051","200","300","400","400","600","339.21","351.45","0","900","360","380"
"2003","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"2003","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2003","66","AkademikerIn","216.81","175","42","40","100","300","400","680","165.41","268.21","0","680","120","300"
