"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","(Fach-)Abitur","Ländlicher Raum","361.71","382.5","315","200","300","400","460","700","349.26","374.16","40","800","380","400"
"2000","(Fach-)Abitur","Städtischer Raum","332.01","345","1056","160","300","400","450","650","324.97","339.05","0","800","350","370"
"2000","(noch) kein Abschluss","Ländlicher Raum","296.77","325","46","70","140","400","500","600","249.89","343.65","0","600","200","380"
"2000","(noch) kein Abschluss","Städtischer Raum","331.09","377.5","141","100","250","400","480","600","309.79","352.39","0","680","350","385"
"2000","AkademikerIn","Ländlicher Raum","360.99","382.5","829","240","300","400","450","600","354.81","367.17","0","655","380","400"
"2000","AkademikerIn","Städtischer Raum","352.07","377.5","1834","200","300","400","450","600","347.37","356.77","0","800","380","385"
"2000","Hauptschule","Ländlicher Raum","349.77","379","1519","200","300","400","425","600","344.53","355.01","0","990","380","385"
"2000","Hauptschule","Städtischer Raum","344.02","372.5","3179","200","300","400","420","600","340.22","347.82","0","850","375","380"
"2000","Realschule","Ländlicher Raum","361.08","382.5","1876","210","320","400","450","600","356.59","365.57","0","999","385","390"
"2000","Realschule","Städtischer Raum","342.79","372.5","2372","200","300","400","400","600","338.75","346.83","0","860","360","375"
"2001","(Fach-)Abitur","Ländlicher Raum","355.52","382.5","302","200","350","400","430","600","342.42","368.62","0","800","380","400"
"2001","(Fach-)Abitur","Städtischer Raum","334","369.5","1021","160","300","400","420","600","326.78","341.22","0","990","360","375"
"2001","(noch) kein Abschluss","Ländlicher Raum","307.22","250","39","70","180","400","500","660","254.15","360.29","25","660","180","380"
"2001","(noch) kein Abschluss","Städtischer Raum","279.89","325","144","80","120","400","425","600","255.9","303.88","0","600","280","355"
"2001","AkademikerIn","Ländlicher Raum","366.7","382.5","776","250","300","400","450","650","360.38","373.02","5","750","385","400"
"2001","AkademikerIn","Städtischer Raum","356.81","382.5","1714","200","300","400","480","600","352.03","361.59","0","800","380","385"
"2001","Hauptschule","Ländlicher Raum","350.58","377.5","1345","200","300","400","450","600","344.81","356.35","0","800","380","385"
"2001","Hauptschule","Städtischer Raum","346.3","379","2833","200","300","400","430","600","342.36","350.24","0","999","375","380"
"2001","Realschule","Ländlicher Raum","361.46","382.5","1707","230","320","400","450","600","356.74","366.18","0","900","385","400"
"2001","Realschule","Städtischer Raum","345.16","379","2246","200","300","400","420","600","340.94","349.38","0","800","375","380"
"2002","(Fach-)Abitur","Ländlicher Raum","357.06","382.5","337","200","350","400","450","600","344.28","369.84","20","999","380","400"
"2002","(Fach-)Abitur","Städtischer Raum","332.23","357.5","1126","150","300","400","450","600","325.13","339.33","0","800","350","375"
"2002","(noch) kein Abschluss","Ländlicher Raum","283.77","250","35","80","100","400","480","700","224.09","343.45","30","700","100","315"
"2002","(noch) kein Abschluss","Städtischer Raum","283.54","325","136","90","180","400","400","500","259.65","307.43","0","500","200","350"
"2002","AkademikerIn","Ländlicher Raum","360.55","377.5","916","230","300","400","450","650","353.92","367.18","0","900","380","400"
"2002","AkademikerIn","Städtischer Raum","361.7","382.5","2317","200","300","400","500","600","357.28","366.12","0","999","385","390"
"2002","Hauptschule","Ländlicher Raum","344.09","372.5","1237","200","300","400","410","600","338","350.18","0","980","375","385"
"2002","Hauptschule","Städtischer Raum","338.4","374.5","2597","195","300","400","400","600","334.24","342.56","0","900","370","375"
"2002","Realschule","Ländlicher Raum","359.55","383.5","1674","225","300","400","450","600","355","364.1","0","950","380","390"
"2002","Realschule","Städtischer Raum","341.44","372.5","2355","200","300","400","420","600","337.11","345.77","0","990","360","375"
"2003","(Fach-)Abitur","Ländlicher Raum","350.88","382.5","334","190","300","400","450","600","338.14","363.62","0","750","370","400"
"2003","(Fach-)Abitur","Städtischer Raum","329.28","367.5","1109","150","250","400","430","600","322.09","336.47","0","999","350","375"
"2003","(noch) kein Abschluss","Ländlicher Raum","285.16","275","33","70","125","400","500","500","230.17","340.15","10","500","120","370"
"2003","(noch) kein Abschluss","Städtischer Raum","285.26","335","108","60","110","400","400","570","255.17","315.35","0","570","200","375"
"2003","AkademikerIn","Ländlicher Raum","354.65","382.5","885","200","300","400","450","600","347.87","361.43","0","900","385","400"
"2003","AkademikerIn","Städtischer Raum","359","382.5","2161","200","300","400","480","600","354.56","363.44","0","999","380","385"
"2003","Hauptschule","Ländlicher Raum","342.62","377.5","1136","200","300","400","420","600","336.33","348.91","0","840","380","385"
"2003","Hauptschule","Städtischer Raum","342.03","372.5","2410","200","300","400","420","600","337.69","346.37","0","900","375","380"
"2003","Realschule","Ländlicher Raum","361.26","382.5","1604","200","330","400","430","600","356.52","366","0","900","380","390"
"2003","Realschule","Städtischer Raum","344.43","377.5","2248","200","300","400","450","600","340.05","348.81","0","900","375","380"
"2004","(Fach-)Abitur","Ländlicher Raum","348.22","377.5","332","200","300","400","450","700","335.87","360.57","0","700","360","385"
"2004","(Fach-)Abitur","Städtischer Raum","337.59","373.5","1117","160","300","400","430","600","330.62","344.56","0","999","350","375"
"2004","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2004","(noch) kein Abschluss","Städtischer Raum","297.56","365","101","80","160","400","400","600","268.38","326.74","40","600","250","380"
"2004","AkademikerIn","Ländlicher Raum","366.1","397.5","851","200","300","400","500","600","359.59","372.61","30","800","385","400"
"2004","AkademikerIn","Städtischer Raum","363.36","382.5","2147","200","300","400","500","600","358.85","367.87","0","999","380","390"
"2004","Hauptschule","Ländlicher Raum","345.73","378","1083","200","300","400","400","600","339.36","352.1","0","990","380","385"
"2004","Hauptschule","Städtischer Raum","341.57","379","2240","200","300","400","400","600","337.1","346.04","0","999","375","380"
"2004","Realschule","Ländlicher Raum","364.95","397.5","1561","240","350","400","440","600","360.19","369.71","0","900","380","400"
"2004","Realschule","Städtischer Raum","343.59","377.5","2179","200","300","400","400","560","339.3","347.88","0","850","370","380"
"2005","(Fach-)Abitur","Ländlicher Raum","343.45","382.5","311","180","300","400","450","500","330.7","356.2","0","630","360","400"
"2005","(Fach-)Abitur","Städtischer Raum","338.93","372.5","1069","195","300","400","450","600","331.95","345.91","0","999","350","380"
"2005","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","Städtischer Raum","272.06","287.5","98","50","120","400","400","780","238.4","305.72","0","780","200","360"
"2005","AkademikerIn","Ländlicher Raum","362.78","395","836","200","300","400","450","600","356.14","369.42","0","800","385","400"
"2005","AkademikerIn","Städtischer Raum","363.8","387.5","2019","200","300","400","480","600","359.22","368.38","0","900","385","400"
"2005","Hauptschule","Ländlicher Raum","346.99","377.5","972","200","300","400","420","600","340.1","353.88","0","800","380","385"
"2005","Hauptschule","Städtischer Raum","345.42","379","2096","200","300","400","420","600","340.79","350.05","0","990","375","380"
"2005","Realschule","Ländlicher Raum","364.02","395","1491","250","320","400","425","600","359.31","368.73","0","990","385","400"
"2005","Realschule","Städtischer Raum","351.61","382.5","2083","200","300","400","450","600","347.2","356.02","0","990","380","380"
"2006","(Fach-)Abitur","Ländlicher Raum","351.02","382.5","346","200","300","400","450","600","339.42","362.62","0","700","380","400"
"2006","(Fach-)Abitur","Städtischer Raum","329.46","367.5","1108","175","250","400","420","600","322.79","336.13","0","999","350","380"
"2006","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Städtischer Raum","294.11","365","81","50","160","400","400","600","258.97","329.25","0","600","200","375"
"2006","AkademikerIn","Ländlicher Raum","366.79","395","877","250","300","400","450","600","360.81","372.77","0","700","390","400"
"2006","AkademikerIn","Städtischer Raum","360.82","395","2220","200","300","400","450","600","356.6","365.04","0","750","385","400"
"2006","Hauptschule","Ländlicher Raum","344.14","377.5","1077","200","300","400","450","600","337.39","350.89","0","999","380","385"
"2006","Hauptschule","Städtischer Raum","346.25","377.5","2146","200","300","400","400","600","341.72","350.78","0","990","375","380"
"2006","Realschule","Ländlicher Raum","365.72","397.5","1617","250","350","400","450","600","361.11","370.33","0","999","400","400"
"2006","Realschule","Städtischer Raum","349.13","382.5","2175","200","300","400","420","600","344.8","353.46","0","990","380","385"
"2007","(Fach-)Abitur","Ländlicher Raum","360.52","382.5","357","200","330","400","450","700","348.51","372.53","0","700","380","400"
"2007","(Fach-)Abitur","Städtischer Raum","334.1","372.5","1073","150","250","400","420","600","326.97","341.23","0","990","350","380"
"2007","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Städtischer Raum","297.32","325","72","80","150","400","450","500","262.79","331.85","40","600","300","400"
"2007","AkademikerIn","Ländlicher Raum","367.25","397.5","848","200","300","400","480","700","360.51","373.99","20","800","400","400"
"2007","AkademikerIn","Städtischer Raum","363.39","393.5","2103","200","300","400","500","600","358.9","367.88","0","800","385","400"
"2007","Hauptschule","Ländlicher Raum","351.44","382.5","1008","200","300","400","450","600","344.68","358.2","0","800","380","400"
"2007","Hauptschule","Städtischer Raum","348.01","382.5","1942","200","300","400","420","600","343.28","352.74","0","900","375","380"
"2007","Realschule","Ländlicher Raum","363.54","397.5","1551","200","300","400","450","600","358.72","368.36","0","840","390","400"
"2007","Realschule","Städtischer Raum","350.84","378","2066","200","300","400","450","600","346.26","355.42","0","900","370","380"
"2008","(Fach-)Abitur","Ländlicher Raum","352.12","382.5","336","200","300","400","450","600","340.44","363.8","30","700","360","390"
"2008","(Fach-)Abitur","Städtischer Raum","326.56","372.5","1028","150","250","400","420","550","319.46","333.66","0","999","350","380"
"2008","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Städtischer Raum","249.9","245","78","100","120","390","400","550","217.4","282.4","0","600","160","300"
"2008","AkademikerIn","Ländlicher Raum","355.83","395","798","200","300","400","450","600","348.65","363.01","0","700","400","400"
"2008","AkademikerIn","Städtischer Raum","357.58","382.5","2010","200","300","400","450","600","353.12","362.04","0","700","380","390"
"2008","Hauptschule","Ländlicher Raum","339.55","377.5","951","195","300","400","400","600","332.45","346.65","0","800","380","385"
"2008","Hauptschule","Städtischer Raum","345.75","377.5","1838","200","300","400","400","600","340.84","350.66","0","800","375","380"
"2008","Realschule","Ländlicher Raum","357.86","397.5","1486","200","300","400","420","600","352.94","362.78","0","820","380","400"
"2008","Realschule","Städtischer Raum","346.43","377.5","1989","200","300","400","410","500","342.08","350.78","0","800","370","380"
"2009","(Fach-)Abitur","Ländlicher Raum","357.65","382.5","316","200","300","400","450","800","344.93","370.37","0","800","375","400"
"2009","(Fach-)Abitur","Städtischer Raum","333.13","372.5","936","160","300","400","425","500","326.07","340.19","0","999","350","380"
"2009","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Städtischer Raum","304.56","340","63","50","240","400","450","500","270.59","338.53","25","500","250","370"
"2009","AkademikerIn","Ländlicher Raum","355.95","382.5","783","200","300","400","480","600","348.83","363.07","0","850","380","400"
"2009","AkademikerIn","Städtischer Raum","354.46","382.5","1881","200","300","400","450","600","349.84","359.08","0","800","380","390"
"2009","Hauptschule","Ländlicher Raum","348.27","382.5","833","200","300","400","430","600","340.88","355.66","0","800","380","400"
"2009","Hauptschule","Städtischer Raum","349.98","377.5","1612","200","300","400","420","600","344.91","355.05","0","700","375","380"
"2009","Realschule","Ländlicher Raum","360.27","387.5","1429","240","300","400","450","600","355.28","365.26","0","800","380","400"
"2009","Realschule","Städtischer Raum","351.01","378.5","1820","200","300","400","450","600","346.35","355.67","0","800","360","380"
"2010","(Fach-)Abitur","Ländlicher Raum","335.25","377.5","375","150","300","400","405","600","323.91","346.59","15","700","355","390"
"2010","(Fach-)Abitur","Städtischer Raum","329.95","355","1063","150","300","400","420","500","323","336.9","0","999","350","360"
"2010","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","(noch) kein Abschluss","Städtischer Raum","309.59","355","63","100","200","400","450","500","274.06","345.12","35","500","290","400"
