"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Ostdeutschland","369.63","397.5","3088","300","350","400","450","600","366.59","372.67","0","999","400","400"
"2000","Westdeutschland","342.86","372.5","10093","200","300","400","450","600","340.72","345","0","990","375","375"
"2001","Ostdeutschland","370.76","397.5","2893","300","350","400","450","600","367.65","373.87","0","900","400","400"
"2001","Westdeutschland","344.66","379","9283","200","300","400","450","600","342.41","346.91","0","999","375","380"
"2002","Ostdeutschland","372.44","399","2851","300","350","400","450","600","369.34","375.54","0","950","400","400"
"2002","Westdeutschland","340.3","374.5","9979","195","300","400","450","600","338.06","342.54","0","999","375","375"
"2003","Ostdeutschland","372.88","397.5","2740","300","350","400","450","600","369.65","376.11","0","900","400","400"
"2003","Westdeutschland","341","373","9429","200","300","400","450","600","338.71","343.29","0","999","375","375"
"2004","Ostdeutschland","369.95","397.5","2694","300","350","400","400","600","366.83","373.07","0","800","400","400"
"2004","Westdeutschland","344.84","379","9108","200","300","400","450","600","342.54","347.14","0","999","375","380"
"2005","Ostdeutschland","370.18","395","2541","300","350","400","440","600","366.9","373.46","0","840","400","400"
"2005","Westdeutschland","347.84","379","8646","200","300","400","450","600","345.5","350.18","0","999","380","380"
"2006","Ostdeutschland","373.88","397.5","2678","300","350","400","450","600","370.75","377.01","0","999","400","400"
"2006","Westdeutschland","346.36","378.5","9211","200","300","400","450","600","344.13","348.59","0","999","380","380"
"2007","Ostdeutschland","374.5","397.5","2598","300","350","400","450","600","371.22","377.78","0","840","400","400"
"2007","Westdeutschland","348.71","379","8679","200","300","400","450","600","346.36","351.06","0","990","380","380"
"2008","Ostdeutschland","371.5","397.5","2519","300","350","400","450","600","368.23","374.77","0","800","400","400"
"2008","Westdeutschland","341.56","377.5","8275","200","300","400","420","600","339.18","343.94","0","999","375","380"
"2009","Ostdeutschland","370.47","397.5","2361","300","350","400","450","600","367.16","373.78","0","800","400","400"
"2009","Westdeutschland","346.68","378.5","7576","200","300","400","450","600","344.23","349.13","0","999","375","380"
"2010","Ostdeutschland","364.61","397.5","2442","300","350","400","420","600","361.28","367.94","0","960","390","400"
"2010","Westdeutschland","342.8","377.5","8212","200","300","400","440","600","340.4","345.2","0","999","360","375"
"2011","Ostdeutschland","365.63","399","2890","300","320","400","440","600","362.44","368.82","0","820","390","400"
"2011","Westdeutschland","348.16","379","10139","200","300","400","450","600","346","350.32","0","999","370","375"
"2012","Ostdeutschland","361.38","395","2858","300","300","400","400","600","358.12","364.64","0","800","390","400"
"2012","Westdeutschland","340.88","377.5","10028","200","300","400","420","600","338.71","343.05","0","999","350","360"
"2013","Ostdeutschland","358.5","397.5","2666","270","320","400","400","520","355.31","361.69","0","800","380","400"
"2013","Westdeutschland","337.12","372.5","9300","200","300","400","420","600","334.88","339.36","0","999","350","350"
"2014","Ostdeutschland","357.64","382.5","2967","300","320","400","400","500","354.71","360.57","0","680","380","380"
"2014","Westdeutschland","333.87","357.5","10956","200","300","400","410","550","331.85","335.89","0","999","350","350"
"2015","Ostdeutschland","356.13","387.5","3002","250","320","400","400","500","353.02","359.24","0","900","380","385"
"2015","Westdeutschland","336.79","372.5","12970","200","300","400","400","600","334.9","338.68","0","999","360","370"
"2016","Ostdeutschland","","","","","","","","","","","","","",""
"2016","Westdeutschland","","","","","","","","","","","","","",""
"2017","Ostdeutschland","349.54","377.5","3323","250","300","400","400","500","346.64","352.44","0","800","360","380"
"2017","Westdeutschland","331.75","347.5","13468","190","300","400","400","600","329.92","333.58","0","990","350","350"
"2018","Ostdeutschland","338.9","345","3311","200","300","400","400","500","335.9","341.9","0","800","350","350"
"2018","Westdeutschland","328.26","347.5","13248","190","300","400","400","550","326.44","330.08","0","990","350","350"
"2019","Ostdeutschland","343.73","395","115","120","320","400","400","500","320.8","366.66","30","750","400","400"
"2019","Westdeutschland","368.93","395","839","200","390","400","450","600","361.31","376.55","10","1000","400","400"
