"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Ländlicher Raum","Ostdeutschland","370.01","395","2086","300","350","400","450","600","366.31","373.71","0","999","400","400"
"2000","Ländlicher Raum","Westdeutschland","347.73","379","2500","200","300","400","450","600","343.36","352.1","0","990","375","380"
"2000","Städtischer Raum","Ostdeutschland","368.87","397.5","1002","300","350","400","450","600","363.54","374.2","0","800","385","400"
"2000","Städtischer Raum","Westdeutschland","341.35","372.5","7593","200","300","400","450","600","338.9","343.8","0","860","370","375"
"2001","Ländlicher Raum","Ostdeutschland","371.24","397.5","1932","300","350","400","450","600","367.48","375","0","900","400","400"
"2001","Ländlicher Raum","Westdeutschland","349.53","377.5","2254","200","300","400","450","650","344.77","354.29","0","900","375","380"
"2001","Städtischer Raum","Ostdeutschland","369.83","392.5","961","300","350","400","450","600","364.32","375.34","0","800","380","400"
"2001","Städtischer Raum","Westdeutschland","343.13","376","7029","200","300","400","450","600","340.57","345.69","0","999","375","380"
"2002","Ländlicher Raum","Ostdeutschland","375.66","397.5","1877","300","350","400","450","600","372.08","379.24","0","950","400","400"
"2002","Ländlicher Raum","Westdeutschland","340.63","372.5","2359","200","300","400","450","600","335.85","345.41","0","999","370","380"
"2002","Städtischer Raum","Ostdeutschland","366.35","387.5","974","300","350","400","420","600","360.45","372.25","0","900","380","400"
"2002","Städtischer Raum","Westdeutschland","340.2","374.5","7620","195","300","400","450","600","337.66","342.74","0","999","370","375"
"2003","Ländlicher Raum","Ostdeutschland","374.91","397.5","1812","300","350","400","450","600","370.97","378.85","0","900","400","400"
"2003","Ländlicher Raum","Westdeutschland","339.58","372.5","2227","200","300","400","450","600","334.79","344.37","0","900","375","380"
"2003","Städtischer Raum","Ostdeutschland","368.74","397.5","928","300","350","400","420","600","363.09","374.39","0","800","385","400"
