"year","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","1 Einkommensschwächstes Quintil","345.09","377.5","2516","195","300","400","450","600","340.7","349.48","0","990","380","385"
"2000","2","346.73","379","3477","200","300","400","420","600","343.28","350.18","0","999","380","380"
"2000","3","344.85","372.5","2881","200","300","400","425","600","341.15","348.55","0","900","375","380"
"2000","4","349.79","372.5","2596","200","300","400","450","600","345.9","353.68","0","860","370","380"
"2000","5 Einkommensstärkstes Quintil","353.55","377.5","1711","200","300","400","500","650","348.3","358.8","0","800","375","380"
"2001","1 Einkommensschwächstes Quintil","343.11","377.5","2161","180","300","400","420","600","338.35","347.87","0","900","380","380"
"2001","2","345.93","379","3092","200","300","400","430","600","342.17","349.69","0","999","380","380"
"2001","3","350.58","378.5","2683","200","300","400","435","600","346.78","354.38","0","800","380","380"
"2001","4","351.47","379","2515","200","300","400","450","600","347.5","355.44","0","800","375","380"
"2001","5 Einkommensstärkstes Quintil","355.86","382.5","1725","200","300","400","500","630","350.63","361.09","0","990","380","385"
"2002","1 Einkommensschwächstes Quintil","335.45","372.5","1799","150","300","400","400","600","330.26","340.64","0","999","375","380"
"2002","2","341.82","377.5","2662","200","300","400","400","600","337.81","345.83","0","840","375","380"
"2002","3","348.93","377.5","2527","200","300","400","430","600","344.89","352.97","0","990","375","380"
"2002","4","349.26","379","2803","200","300","400","450","600","345.45","353.07","0","800","375","380"
"2002","5 Einkommensstärkstes Quintil","354.55","377.5","3039","200","300","400","500","700","350.27","358.83","0","999","375","380"
"2003","1 Einkommensschwächstes Quintil","337.73","377.5","1625","150","300","400","400","600","332.31","343.15","0","910","380","385"
"2003","2","341.92","372.5","2566","200","300","400","440","600","337.71","346.13","0","999","375","380"
"2003","3","345.29","377.5","2452","200","300","400","420","600","341.2","349.38","0","900","375","380"
"2003","4","351.11","377.5","2774","200","300","400","450","600","347.29","354.93","0","900","380","380"
"2003","5 Einkommensstärkstes Quintil","356.78","382.5","2752","200","300","400","500","600","352.4","361.16","0","999","380","385"
"2004","1 Einkommensschwächstes Quintil","342.49","377.5","1587","160","300","400","425","600","337.05","347.93","0","999","380","385"
"2004","2","348.95","379","2453","200","300","400","400","600","344.75","353.15","0","900","380","385"
"2004","3","344.7","378","2268","200","300","400","420","600","340.49","348.91","0","990","375","380"
"2004","4","352.39","377.5","2708","200","300","400","430","600","348.57","356.21","0","900","380","380"
"2004","5 Einkommensstärkstes Quintil","357.04","382.5","2786","200","300","400","500","600","352.85","361.23","0","999","380","385"
"2005","1 Einkommensschwächstes Quintil","343.16","377.5","1511","195","300","400","420","600","337.55","348.77","0","990","380","390"
"2005","2","348.8","382.5","2169","200","300","400","450","600","344.27","353.33","0","990","380","385"
"2005","3","346.08","377.5","2163","200","300","400","425","600","341.59","350.57","0","990","380","380"
"2005","4","354.43","384","2608","200","300","400","450","600","350.67","358.19","0","700","380","385"
"2005","5 Einkommensstärkstes Quintil","365.33","387.5","2736","200","300","400","500","600","361.23","369.43","0","999","380","390"
"2006","1 Einkommensschwächstes Quintil","338.44","382.5","1599","150","300","400","400","600","333.14","343.74","0","800","380","400"
"2006","2","350.35","384.5","2346","200","300","400","450","600","346.06","354.64","0","900","380","385"
"2006","3","349.79","382.5","2302","200","300","400","420","600","345.59","353.99","0","999","380","385"
"2006","4","354.27","382.5","2836","200","300","400","420","600","350.6","357.94","0","990","380","385"
"2006","5 Einkommensstärkstes Quintil","359.69","397.5","2806","200","300","400","450","600","355.65","363.73","0","999","385","390"
"2007","1 Einkommensschwächstes Quintil","345.39","387.5","1379","200","300","400","445","600","339.7","351.08","0","800","380","400"
"2007","2","348.05","382.5","2228","200","300","400","450","600","343.58","352.52","0","900","380","385"
"2007","3","347.69","382.5","2192","200","300","400","450","600","343.23","352.15","0","800","380","385"
"2007","4","359.17","382.5","2722","200","300","400","450","600","355.34","363","0","900","380","385"
"2007","5 Einkommensstärkstes Quintil","362.98","397.5","2756","200","300","400","500","600","358.81","367.15","0","990","385","400"
"2008","1 Einkommensschwächstes Quintil","338.85","382.5","1262","150","300","400","405","600","332.75","344.95","0","800","380","400"
"2008","2","338.19","377.5","1967","200","300","400","420","600","333.48","342.9","0","800","375","380"
