"year","age_gr","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","17-29","männlich","379.15","397.5","1394","300","350","400","460","600","374.3","384","0","999","400","400"
"2000","17-29","weiblich","340.52","372.5","1253","200","300","400","400","500","334.97","346.07","0","800","360","380"
"2000","30-45","männlich","395.62","397.5","3544","320","360","400","500","700","392.94","398.3","0","990","400","400"
"2000","30-45","weiblich","291.49","297.5","2766","150","200","380","400","500","287.62","295.36","0","800","300","300"
"2000","46-65","männlich","378.79","397.5","2348","300","350","400","450","600","375.27","382.31","0","800","400","400"
"2000","46-65","weiblich","281.86","299","1804","120","200","380","400","500","277","286.72","0","700","300","300"
"2000","66","männlich","236.73","180","46","20","120","360","400","700","188.51","284.95","0","700","160","350"
"2000","66","weiblich","","","","","","","","","","","","","",""
"2001","17-29","männlich","376.72","397.5","1246","280","355","400","500","600","371.22","382.22","0","800","400","400"
"2001","17-29","weiblich","339.56","372.5","1149","150","300","400","400","500","333.47","345.65","0","800","375","380"
"2001","30-45","männlich","397.23","397.5","3157","340","370","400","500","700","394.47","399.99","0","990","400","400"
"2001","30-45","weiblich","296.26","295","2595","150","200","380","400","500","292.31","300.21","0","700","300","300"
"2001","46-65","männlich","381.59","397.5","2214","300","350","400","470","600","377.98","385.2","0","999","400","400"
"2001","46-65","weiblich","289.9","297.5","1732","150","200","380","400","500","284.85","294.95","0","700","300","300"
"2001","66","männlich","210.45","180","60","20","100","350","400","500","171.19","249.71","0","550","150","300"
"2001","66","weiblich","","","","","","","","","","","","","",""
"2002","17-29","männlich","375","397.5","1173","300","350","400","450","600","369.35","380.65","0","900","400","400"
"2002","17-29","weiblich","339.92","368","1130","200","300","400","400","500","333.77","346.07","0","800","360","375"
"2002","30-45","männlich","396.34","399","3129","350","370","400","500","620","393.55","399.13","0","999","400","400"
"2002","30-45","weiblich","287.76","297.5","2673","145","200","380","400","500","283.71","291.81","0","990","300","300"
"2002","46-65","männlich","382.28","397.5","2568","300","350","400","480","600","378.86","385.7","0","900","400","400"
"2002","46-65","weiblich","282.26","297.5","2052","120","200","380","400","500","277.59","286.93","0","700","300","300"
"2002","66","männlich","258.14","180","74","50","120","400","400","900","219.44","296.84","0","900","200","300"
"2002","66","weiblich","191.73","92.5","31","30","100","200","400","980","116.54","266.92","0","980","100","180"
"2003","17-29","männlich","370.71","397.5","1094","300","350","400","450","600","364.59","376.83","0","999","400","400"
"2003","17-29","weiblich","335.88","372.5","1075","150","300","400","400","500","329.45","342.31","0","840","370","380"
"2003","30-45","männlich","395.07","397.5","2884","320","370","400","500","600","392.22","397.92","0","999","400","400"
"2003","30-45","weiblich","291.38","295","2519","150","200","380","400","500","287.27","295.49","0","910","300","300"
"2003","46-65","männlich","385.81","397.5","2478","300","360","400","480","600","382.4","389.22","0","900","400","400"
"2003","46-65","weiblich","287.76","298.5","2006","150","200","380","400","500","283.1","292.42","0","800","300","300"
"2003","66","männlich","212.94","145","80","60","100","300","400","760","176.58","249.3","0","760","120","230"
"2003","66","weiblich","183","90","33","70","80","200","500","650","125.9","240.1","0","650","80","180"
"2004","17-29","männlich","375.99","397.5","1061","300","350","400","450","600","370.11","381.87","0","990","400","400"
"2004","17-29","weiblich","341.62","377.5","1057","200","300","400","400","500","335.42","347.82","0","800","370","380"
"2004","30-45","männlich","398.79","397.5","2736","350","375","400","500","600","395.91","401.67","0","999","400","400"
"2004","30-45","weiblich","295.44","295","2384","150","200","380","400","500","291.25","299.63","0","900","300","300"
"2004","46-65","männlich","386.18","397.5","2408","300","350","400","480","600","382.85","389.51","0","990","400","400"
"2004","46-65","weiblich","291.08","297.5","2028","150","200","380","400","500","286.56","295.6","0","650","300","300"
"2004","66","männlich","247.28","175","89","50","120","400","500","600","213.74","280.82","0","700","200","300"
"2004","66","weiblich","110.98","90","39","20","60","120","250","400","78.47","143.49","0","400","70","140"
"2005","17-29","männlich","383.55","397.5","981","300","370","400","500","700","377.01","390.09","0","990","400","400"
"2005","17-29","weiblich","343.08","377.5","1001","200","300","400","400","550","336.78","349.38","0","700","375","380"
"2005","30-45","männlich","398.91","397.5","2538","350","375","400","500","600","396.12","401.7","0","999","400","400"
"2005","30-45","weiblich","298.5","295","2229","150","200","385","400","500","294.13","302.87","0","990","300","300"
"2005","46-65","männlich","387.16","395","2335","300","360","400","450","600","383.81","390.51","0","985","400","400"
"2005","46-65","weiblich","294.96","295","1982","150","200","385","400","500","290.34","299.58","0","700","300","300"
"2005","66","männlich","237.98","190","83","40","100","400","500","600","201.32","274.64","0","600","150","250"
"2005","66","weiblich","158.53","95","38","0","40","150","400","800","104.36","212.7","0","800","80","120"
"2006","17-29","männlich","380.54","397.5","1023","250","360","400","480","600","374.16","386.92","0","999","400","400"
"2006","17-29","weiblich","343.28","377.5","1016","200","300","400","400","500","337.22","349.34","0","700","380","385"
"2006","30-45","männlich","396.98","397.5","2637","350","380","400","480","600","394.27","399.69","0","999","400","400"
"2006","30-45","weiblich","296.33","297.5","2314","160","200","385","400","500","292.15","300.51","0","600","300","300"
"2006","46-65","männlich","386.98","397.5","2494","300","375","400","450","600","383.89","390.07","0","840","400","400"
"2006","46-65","weiblich","298.86","297.5","2241","155","200","390","400","500","294.59","303.13","0","700","300","300"
"2006","66","männlich","268.26","190","110","80","120","400","500","800","236.35","300.17","0","800","150","250"
"2006","66","weiblich","160.37","110","54","40","80","200","300","500","126.77","193.97","0","500","100","150"
"2007","17-29","männlich","378.3","397.5","978","250","360","400","500","600","371.86","384.74","0","840","400","400"
"2007","17-29","weiblich","339.53","377.5","942","160","300","400","400","500","332.76","346.3","0","700","375","380"
"2007","30-45","männlich","402.42","397.5","2447","350","375","400","500","650","399.36","405.48","0","990","400","400"
