"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","(Fach-)Abitur","337.8","365","1371","190","300","400","450","650","331.64","343.96","0","800","360","380"
"2000","(noch) kein Abschluss","323.04","372.5","187","100","200","400","480","600","303.29","342.79","0","680","350","380"
"2000","AkademikerIn","354.4","377.5","2663","200","300","400","450","600","350.63","358.17","0","800","380","385"
"2000","Hauptschule","345.78","379","4698","200","300","400","420","600","342.7","348.86","0","990","375","380"
"2000","Realschule","350.17","378.5","4248","200","300","400","420","600","347.15","353.19","0","999","380","380"
"2001","(Fach-)Abitur","338.34","372.5","1323","160","300","400","420","600","332.01","344.67","0","990","370","380"
"2001","(noch) kein Abschluss","284.88","325","183","80","120","400","450","600","263.12","306.64","0","660","300","350"
"2001","AkademikerIn","359.39","382.5","2490","200","300","400","480","600","355.55","363.23","0","800","380","385"
"2001","Hauptschule","347.64","379","4178","200","300","400","450","600","344.39","350.89","0","999","380","380"
"2001","Realschule","351.54","379","3953","200","300","400","435","600","348.38","354.7","0","900","380","380"
"2002","(Fach-)Abitur","337.47","372.5","1463","150","300","400","450","600","331.26","343.68","0","999","360","380"
"2002","(noch) kein Abschluss","283.58","332.5","171","80","150","400","400","600","261.28","305.88","0","700","200","350"
"2002","AkademikerIn","361.41","382.5","3233","210","300","400","480","600","357.73","365.09","0","999","385","390"
"2002","Hauptschule","340.19","374.5","3834","200","300","400","400","600","336.75","343.63","0","980","375","380"
"2002","Realschule","348.55","379","4029","200","300","400","450","600","345.37","351.73","0","990","375","380"
"2003","(Fach-)Abitur","333.91","373","1443","150","300","400","450","600","327.64","340.18","0","999","360","375"
"2003","(noch) kein Abschluss","285.25","335","141","60","120","400","450","550","259.12","311.38","0","570","200","360"
"2003","AkademikerIn","357.88","382.5","3046","200","300","400","480","600","354.17","361.59","0","999","385","390"
"2003","Hauptschule","342.21","377.5","3546","200","300","400","420","600","338.64","345.78","0","900","375","380"
"2003","Realschule","351.08","377.5","3852","200","300","400","450","600","347.84","354.32","0","900","380","380"
"2004","(Fach-)Abitur","339.64","373.5","1449","180","300","400","435","600","333.57","345.71","0","999","355","380"
"2004","(noch) kein Abschluss","290.41","325","130","80","160","400","400","600","263.88","316.94","40","600","200","370"
"2004","AkademikerIn","364.03","382.5","2998","200","300","400","500","600","360.31","367.75","0","999","385","400"
"2004","Hauptschule","342.87","379","3323","200","300","400","400","600","339.21","346.53","0","999","375","380"
"2004","Realschule","351.85","377.5","3740","200","300","400","420","600","348.64","355.06","0","900","380","380"
"2005","(Fach-)Abitur","339.83","377.5","1380","190","300","400","450","600","333.71","345.95","0","999","360","380"
"2005","(noch) kein Abschluss","281.68","325","119","60","120","400","400","780","251.78","311.58","0","780","200","350"
"2005","AkademikerIn","363.53","397.5","2855","200","300","400","480","600","359.75","367.31","0","900","385","400"
"2005","Hauptschule","345.9","379","3068","200","300","400","420","600","342.06","349.74","0","990","380","380"
"2005","Realschule","356.46","382.5","3574","200","300","400","450","600","353.21","359.71","0","990","380","385"
"2006","(Fach-)Abitur","334.38","372.5","1454","180","300","400","425","600","328.59","340.17","0","999","360","380"
"2006","(noch) kein Abschluss","309.55","372.5","106","60","200","400","500","600","279.85","339.25","0","600","250","375"
"2006","AkademikerIn","362.27","395","3097","200","300","400","450","600","358.8","365.74","0","750","385","400"
"2006","Hauptschule","345.58","377.5","3223","200","300","400","410","600","341.82","349.34","0","999","380","380"
"2006","Realschule","355.83","382.5","3792","200","300","400","420","600","352.65","359.01","0","999","385","385"
"2007","(Fach-)Abitur","340.34","377.5","1430","160","300","400","430","600","334.19","346.49","0","990","375","380"
"2007","(noch) kein Abschluss","315.61","382.5","92","80","200","400","500","600","284.64","346.58","20","750","300","400"
"2007","AkademikerIn","364.35","397.5","2951","200","300","400","500","600","360.61","368.09","0","800","390","400"
"2007","Hauptschule","349.14","382.5","2950","200","300","400","420","600","345.26","353.02","0","900","380","385"
"2007","Realschule","356","382.5","3617","200","300","400","450","600","352.65","359.35","0","900","380","385"
"2008","(Fach-)Abitur","332.43","372.5","1364","150","300","400","425","600","326.34","338.52","0","999","350","380"
"2008","(noch) kein Abschluss","275.68","245","96","80","150","400","450","600","243.37","307.99","0","600","200","350"
"2008","AkademikerIn","357.16","387.5","2808","200","300","400","450","600","353.37","360.95","0","700","385","400"
"2008","Hauptschule","343.71","377.5","2789","200","300","400","400","600","339.67","347.75","0","800","375","380"
"2008","Realschule","351","382.5","3475","200","300","400","410","600","347.73","354.27","0","820","380","385"
"2009","(Fach-)Abitur","338.93","372.5","1252","190","300","400","450","560","332.74","345.12","0","999","360","380"
"2009","(noch) kein Abschluss","309.79","340","81","70","240","400","480","500","279.34","340.24","20","500","250","360"
"2009","AkademikerIn","354.83","382.5","2664","200","300","400","450","600","350.96","358.7","0","850","380","390"
"2009","Hauptschule","349.43","377.5","2445","200","300","400","425","600","345.25","353.61","0","800","380","385"
"2009","Realschule","354.84","378.5","3249","200","300","400","450","600","351.42","358.26","0","800","380","380"
"2010","(Fach-)Abitur","331.15","367.5","1438","150","300","400","420","500","325.22","337.08","0","999","350","375"
"2010","(noch) kein Abschluss","328.28","382.5","89","100","200","400","500","500","299.35","357.21","20","500","300","400"
"2010","AkademikerIn","355.42","377.5","2882","200","300","400","450","600","351.66","359.18","0","960","370","380"
"2010","Hauptschule","340.83","377.5","2496","200","300","400","420","600","336.49","345.17","0","900","375","380"
"2010","Realschule","353.93","377.5","3507","200","300","400","420","600","350.64","357.22","0","800","370","380"
"2011","(Fach-)Abitur","337.75","372.5","1730","160","300","400","425","600","332.29","343.21","0","999","350","360"
