"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Ostdeutschland","männlich","390.82","397.5","1632","320","375","400","490","600","386.75","394.89","0","999","400","400"
"2000","Ostdeutschland","weiblich","343.86","345","1456","250","300","400","400","500","339.65","348.07","0","700","350","370"
"2000","Westdeutschland","männlich","384.25","397.5","5700","300","350","400","480","650","381.97","386.53","0","990","400","400"
"2000","Westdeutschland","weiblich","287.07","299","4393","120","200","380","400","500","283.86","290.28","0","800","300","300"
"2001","Ostdeutschland","männlich","391.18","397.5","1524","330","380","400","480","600","387.03","395.33","0","900","400","400"
"2001","Ostdeutschland","weiblich","346.19","357.5","1369","250","300","400","400","530","341.86","350.52","0","800","350","380"
"2001","Westdeutschland","männlich","384.83","397.5","5153","300","350","400","500","650","382.38","387.28","0","999","400","400"
"2001","Westdeutschland","weiblich","292.07","297.5","4130","135","200","380","400","500","288.72","295.42","0","800","300","300"
"2002","Ostdeutschland","männlich","394.35","399","1491","350","380","400","500","600","390.23","398.47","0","950","400","400"
"2002","Ostdeutschland","weiblich","346.29","345","1360","250","300","400","400","500","342","350.58","0","750","350","370"
"2002","Westdeutschland","männlich","384.64","397.5","5453","300","350","400","480","600","382.22","387.06","0","999","400","400"
"2002","Westdeutschland","weiblich","284.08","297.5","4526","120","200","380","400","500","280.8","287.36","0","990","300","300"
"2003","Ostdeutschland","männlich","392.04","397.5","1434","350","380","400","450","600","387.6","396.48","0","900","400","400"
"2003","Ostdeutschland","weiblich","349.21","365","1306","250","300","400","400","500","344.86","353.56","0","750","350","380"
"2003","Westdeutschland","männlich","383.85","397.5","5102","300","350","400","480","600","381.35","386.35","0","999","400","400"
"2003","Westdeutschland","weiblich","286.99","298.5","4327","120","200","380","400","500","283.68","290.3","0","910","300","300"
"2004","Ostdeutschland","männlich","390.72","397.5","1386","350","380","400","450","600","386.72","394.72","0","800","400","400"
"2004","Ostdeutschland","weiblich","344.63","355","1308","250","300","400","400","500","340.2","349.06","0","800","350","370"
"2004","Westdeutschland","männlich","387.69","397.5","4908","300","350","400","490","600","385.18","390.2","0","999","400","400"
"2004","Westdeutschland","weiblich","292.3","297.5","4200","130","200","385","400","500","288.99","295.61","0","900","300","300"
"2005","Ostdeutschland","männlich","389.97","395","1320","300","380","400","480","600","385.67","394.27","20","800","400","400"
"2005","Ostdeutschland","weiblich","345.72","355","1221","240","300","400","400","550","341.06","350.38","0","840","350","380"
"2005","Westdeutschland","männlich","389.79","397.5","4617","300","370","400","500","600","387.25","392.33","0","999","400","400"
"2005","Westdeutschland","weiblich","296.58","295","4029","150","200","385","400","500","293.17","299.99","0","990","300","300"
"2006","Ostdeutschland","männlich","395.37","395","1365","350","380","400","480","600","391.08","399.66","0","999","400","400"
"2006","Ostdeutschland","weiblich","347.39","377.5","1313","250","300","400","400","505","343.28","351.5","0","700","350","380"
