"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Ländlicher Raum","356.18","379","4586","200","300","400","450","600","353.24","359.12","0","999","380","385"
"2000","Städtischer Raum","343.72","372.5","8595","200","300","400","450","600","341.46","345.98","0","860","375","380"
"2001","Ländlicher Raum","357.5","377.5","4186","200","300","400","450","600","354.38","360.62","0","900","380","385"
"2001","Städtischer Raum","345.47","379","7990","200","300","400","450","600","343.12","347.82","0","999","375","380"
"2002","Ländlicher Raum","353.22","379","4236","200","300","400","450","600","350.08","356.36","0","999","380","385"
"2002","Städtischer Raum","342.47","374.5","8594","200","300","400","450","600","340.11","344.83","0","999","375","380"
"2003","Ländlicher Raum","352.35","377.5","4039","200","300","400","450","600","349.12","355.58","0","900","380","385"
"2003","Städtischer Raum","343.68","377.5","8130","200","300","400","450","600","341.28","346.08","0","999","375","380"
"2004","Ländlicher Raum","356.48","384","3906","200","300","400","450","600","353.28","359.68","0","990","380","390"
"2004","Städtischer Raum","345.87","379","7896","200","300","400","430","600","343.47","348.27","0","999","375","380"
"2005","Ländlicher Raum","356.4","382.5","3688","200","300","400","450","600","353.13","359.67","0","990","385","400"
"2005","Städtischer Raum","349.38","379","7499","200","300","400","450","600","346.93","351.83","0","999","380","380"
"2006","Ländlicher Raum","358.13","397.5","4011","200","300","400","450","600","354.99","361.27","0","999","385","400"
"2006","Städtischer Raum","347.72","378.5","7878","200","300","400","425","600","345.37","350.07","0","999","380","380"
"2007","Ländlicher Raum","360.4","397.5","3865","200","300","400","450","600","357.15","363.65","0","840","395","400"
"2007","Städtischer Raum","349.78","382.5","7412","200","300","400","450","600","347.3","352.26","0","990","380","380"
"2008","Ländlicher Raum","351.78","388.5","3675","200","300","400","440","600","348.42","355.14","0","820","385","400"
"2008","Städtischer Raum","344.33","377.5","7119","200","300","400","420","600","341.86","346.8","0","999","375","380"
"2009","Ländlicher Raum","356.06","382.5","3460","200","300","400","450","600","352.64","359.48","0","850","385","390"
"2009","Städtischer Raum","348.34","378.5","6477","200","300","400","450","600","345.8","350.88","0","999","377","380"
"2010","Ländlicher Raum","350.83","382.5","3722","200","300","400","425","600","347.52","354.14","0","960","380","385"
"2010","Städtischer Raum","344.64","377.5","6932","200","300","400","440","600","342.1","347.18","0","999","365","375"
"2011","Ländlicher Raum","352.39","382.5","4721","200","300","400","450","600","349.46","355.32","0","820","380","380"
"2011","Städtischer Raum","350.68","379","8308","200","300","400","450","600","348.34","353.02","0","999","370","380"
"2012","Ländlicher Raum","349.48","377.5","4612","200","300","400","410","600","346.51","352.45","0","900","375","380"
"2012","Städtischer Raum","341.95","377.5","8274","200","300","400","420","600","339.59","344.31","0","999","350","360"
"2013","Ländlicher Raum","345.41","377.5","4300","200","300","400","400","600","342.37","348.45","0","990","360","380"
"2013","Städtischer Raum","338.99","372.5","7666","200","300","400","420","550","336.57","341.41","0","999","350","360"
"2014","Ländlicher Raum","342.41","377.5","5078","200","300","400","400","560","339.66","345.16","0","840","350","370"
"2014","Städtischer Raum","336","357.5","8845","200","300","400","410","500","333.81","338.19","0","999","350","350"
"2015","Ländlicher Raum","341.68","377.5","5537","200","300","400","400","540","338.98","344.38","0","900","370","380"
"2015","Städtischer Raum","339.35","372.5","10435","200","300","400","410","600","337.27","341.43","0","999","360","375"
"2016","Ländlicher Raum","","","","","","","","","","","","","",""
"2016","Städtischer Raum","","","","","","","","","","","","","",""
"2017","Ländlicher Raum","335.29","357.5","5948","200","300","400","400","550","332.72","337.86","0","800","350","370"
"2017","Städtischer Raum","334.5","347.5","10843","200","300","400","400","600","332.5","336.5","0","990","350","350"
"2018","Ländlicher Raum","331.23","345","5734","200","300","400","400","550","328.65","333.81","0","800","350","350"
"2018","Städtischer Raum","329.49","347.5","10825","200","300","400","400","500","327.5","331.48","0","990","350","350"
"2019","Ländlicher Raum","384.22","395","296","250","400","400","500","600","371.27","397.17","30","1000","400","400"
"2019","Städtischer Raum","356.99","395","658","160","350","400","400","500","348.27","365.71","10","800","400","400"
