"year","bula_h","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Baden-Württemberg","männlich","386.55","395","959","300","350","400","450","700","381.66","391.44","0","800","400","400"
"2000","Baden-Württemberg","weiblich","281.48","296","709","100","200","380","400","500","273.11","289.85","0","600","300","300"
"2000","Bayern","männlich","383.1","397.5","1071","300","350","400","450","600","378.23","387.97","0","900","390","400"
"2000","Bayern","weiblich","290.28","297.5","878","120","200","380","400","500","283.05","297.51","0","800","300","300"
"2000","Berlin","männlich","","","","","","","","","","","","","",""
"2000","Berlin","weiblich","","","","","","","","","","","","","",""
"2000","Brandenburg","männlich","","","","","","","","","","","","","",""
"2000","Brandenburg","weiblich","","","","","","","","","","","","","",""
"2000","Bremen","männlich","373.29","395","49","300","350","400","420","600","351","395.58","200","600","380","400"
"2000","Bremen","weiblich","270.28","290","46","100","200","385","400","400","236.46","304.1","40","400","200","350"
"2000","Hamburg","männlich","370.32","382.5","83","200","350","400","450","720","347.31","393.33","15","800","385","400"
"2000","Hamburg","weiblich","314.14","335","81","200","280","385","400","480","293.25","335.03","50","500","300","350"
"2000","Hessen","männlich","383.88","395","534","300","350","400","500","700","375.57","392.19","0","800","400","400"
"2000","Hessen","weiblich","273.36","292.5","406","120","200","380","400","500","262.56","284.16","0","600","250","300"
"2000","Mecklenburg-Vorpommern","männlich","","","","","","","","","","","","","",""
"2000","Mecklenburg-Vorpommern","weiblich","","","","","","","","","","","","","",""
"2000","Niedersachsen","männlich","393.5","397.5","649","300","360","400","500","720","386.38","400.62","0","990","400","400"
"2000","Niedersachsen","weiblich","289.55","294","478","150","200","380","400","500","279.71","299.39","0","800","300","300"
"2000","Nordrhein-Westfalen","männlich","380.86","387.5","1576","300","350","400","500","620","376.27","385.45","0","800","385","400"
"2000","Nordrhein-Westfalen","weiblich","283.31","295","1210","120","200","375","400","500","277.27","289.35","0","740","300","300"
"2000","Rheinland-Pfalz,Saarland","männlich","388.79","397.5","437","350","350","400","460","600","381.35","396.23","0","990","390","400"
"2000","Rheinland-Pfalz,Saarland","weiblich","297.11","294","312","160","200","385","400","460","285.75","308.47","0","600","300","350"
"2000","Saarland","männlich","","","","","","","","","","","","","",""
"2000","Saarland","weiblich","","","","","","","","","","","","","",""
"2000","Sachsen","männlich","","","","","","","","","","","","","",""
"2000","Sachsen","weiblich","","","","","","","","","","","","","",""
"2000","Sachsen-Anhalt","männlich","","","","","","","","","","","","","",""
"2000","Sachsen-Anhalt","weiblich","","","","","","","","","","","","","",""
"2000","Schleswig-Holstein","männlich","385.73","395","220","300","355","400","500","600","373.41","398.05","0","800","385","400"
"2000","Schleswig-Holstein","weiblich","289.52","290","179","150","200","380","400","520","273.35","305.69","0","600","300","350"
"2000","Thüringen","männlich","","","","","","","","","","","","","",""
"2000","Thüringen","weiblich","","","","","","","","","","","","","",""
"2001","Baden-Württemberg","männlich","382.4","395","868","300","350","400","500","650","376.53","388.27","0","750","400","400"
"2001","Baden-Württemberg","weiblich","291.56","294","654","130","200","380","400","500","283","300.12","0","600","300","300"
"2001","Bayern","männlich","386.06","387.5","968","300","360","400","480","700","380.3","391.82","0","999","390","400"
"2001","Bayern","weiblich","294.26","310","833","120","200","380","400","500","286.49","302.03","0","700","300","300"
"2001","Berlin","männlich","","","","","","","","","","","","","",""
"2001","Berlin","weiblich","","","","","","","","","","","","","",""
"2001","Brandenburg","männlich","","","","","","","","","","","","","",""
"2001","Brandenburg","weiblich","","","","","","","","","","","","","",""
"2001","Bremen","männlich","385.84","392.5","46","300","370","400","450","500","364.37","407.31","100","600","385","400"
"2001","Bremen","weiblich","320.02","275","41","100","250","400","450","800","279.41","360.63","0","800","300","377"
"2001","Hamburg","männlich","330.69","382.5","80","125","300","400","400","600","302.47","358.91","0","600","380","400"
"2001","Hamburg","weiblich","311.84","335","79","180","300","400","400","500","287.41","336.27","0","500","300","360"
"2001","Hessen","männlich","381.84","397.5","469","290","350","400","500","650","373.66","390.02","0","800","390","400"
"2001","Hessen","weiblich","292.75","290","368","150","200","385","400","500","281.93","303.57","10","600","300","300"
"2001","Mecklenburg-Vorpommern","männlich","","","","","","","","","","","","","",""
"2001","Mecklenburg-Vorpommern","weiblich","","","","","","","","","","","","","",""
"2001","Niedersachsen","männlich","397.42","397.5","575","320","375","400","500","700","390.16","404.68","0","900","400","400"
"2001","Niedersachsen","weiblich","291.3","290","442","150","200","385","400","500","281.1","301.5","0","500","300","300"
"2001","Nordrhein-Westfalen","männlich","384.67","388.5","1437","300","350","400","500","600","380.07","389.27","0","900","385","400"
"2001","Nordrhein-Westfalen","weiblich","286.5","295","1134","120","200","380","400","500","280.17","292.83","0","680","300","300"
"2001","Rheinland-Pfalz,Saarland","männlich","393.29","397.5","403","350","375","400","470","750","385.15","401.43","0","800","400","400"
"2001","Rheinland-Pfalz,Saarland","weiblich","289.01","295","305","120","200","385","400","500","276.61","301.41","0","600","280","300"
"2001","Saarland","männlich","","","","","","","","","","","","","",""
"2001","Saarland","weiblich","","","","","","","","","","","","","",""
"2001","Sachsen","männlich","","","","","","","","","","","","","",""
"2001","Sachsen","weiblich","","","","","","","","","","","","","",""
"2001","Sachsen-Anhalt","männlich","","","","","","","","","","","","","",""
"2001","Sachsen-Anhalt","weiblich","","","","","","","","","","","","","",""
"2001","Schleswig-Holstein","männlich","387.45","395","190","300","360","400","500","600","375.57","399.33","40","650","385","400"
"2001","Schleswig-Holstein","weiblich","293.79","297.5","165","150","200","380","400","560","277.61","309.97","60","600","300","350"
"2001","Thüringen","männlich","","","","","","","","","","","","","",""
"2001","Thüringen","weiblich","","","","","","","","","","","","","",""
"2002","Baden-Württemberg","männlich","379.38","395","936","300","350","400","450","600","373.92","384.84","0","900","400","400"
"2002","Baden-Württemberg","weiblich","277.68","290","712","100","200","375","400","500","269.53","285.83","0","600","300","300"
"2002","Bayern","männlich","388.75","397.5","1016","300","350","400","460","700","383.2","394.3","0","900","400","400"
"2002","Bayern","weiblich","286.94","297.5","902","120","200","380","400","500","279.12","294.76","0","980","300","300"
"2002","Berlin","männlich","","","","","","","","","","","","","",""
"2002","Berlin","weiblich","","","","","","","","","","","","","",""
"2002","Brandenburg","männlich","","","","","","","","","","","","","",""
"2002","Brandenburg","weiblich","","","","","","","","","","","","","",""
"2002","Bremen","männlich","392.55","382.5","46","300","350","400","500","700","364.56","420.54","200","700","360","400"
"2002","Bremen","weiblich","250.92","275","51","80","160","300","400","410","215.81","286.03","0","500","200","300"
"2002","Hamburg","männlich","337.17","392.5","103","150","300","400","450","600","311.46","362.88","0","900","400","400"
"2002","Hamburg","weiblich","300.45","335","96","128","240","385","400","500","277.66","323.24","0","600","300","370"
"2002","Hessen","männlich","393.92","395","518","320","370","400","500","600","385.9","401.94","0","999","400","400"
"2002","Hessen","weiblich","279.25","295","454","120","200","375","400","500","269.65","288.85","30","550","300","300"
"2002","Mecklenburg-Vorpommern","männlich","","","","","","","","","","","","","",""
"2002","Mecklenburg-Vorpommern","weiblich","","","","","","","","","","","","","",""
"2002","Niedersachsen","männlich","396.71","397.5","606","320","375","400","500","700","389.32","404.1","0","999","400","400"
"2002","Niedersachsen","weiblich","293.88","295","468","150","200","380","400","500","284.04","303.72","0","600","300","300"
"2002","Nordrhein-Westfalen","männlich","383.64","392.5","1487","300","350","400","480","600","379.04","388.24","0","800","390","400"
"2002","Nordrhein-Westfalen","weiblich","281.32","297.5","1210","120","200","375","400","500","275.03","287.61","0","990","300","300"
"2002","Rheinland-Pfalz,Saarland","männlich","388.35","397.5","402","300","370","400","450","700","380.27","396.43","0","840","400","400"
"2002","Rheinland-Pfalz,Saarland","weiblich","280.1","290","331","120","200","375","400","500","267.59","292.61","0","800","250","300"
"2002","Saarland","männlich","","","","","","","","","","","","","",""
"2002","Saarland","weiblich","","","","","","","","","","","","","",""
"2002","Sachsen","männlich","","","","","","","","","","","","","",""
"2002","Sachsen","weiblich","","","","","","","","","","","","","",""
"2002","Sachsen-Anhalt","männlich","","","","","","","","","","","","","",""
"2002","Sachsen-Anhalt","weiblich","","","","","","","","","","","","","",""
"2002","Schleswig-Holstein","männlich","365.67","387.5","210","250","350","400","450","550","351.67","379.67","0","600","385","400"
"2002","Schleswig-Holstein","weiblich","293.99","294","186","120","200","385","400","600","277.37","310.61","0","600","300","340"
"2002","Thüringen","männlich","","","","","","","","","","","","","",""
"2002","Thüringen","weiblich","","","","","","","","","","","","","",""
"2003","Baden-Württemberg","männlich","385.91","397.5","893","300","350","400","480","600","380.14","391.68","0","900","400","400"
"2003","Baden-Württemberg","weiblich","286.05","290","673","120","200","380","400","450","277.82","294.28","0","600","300","300"
"2003","Bayern","männlich","378.64","397.5","964","300","350","400","450","600","372.7","384.58","0","990","395","400"
"2003","Bayern","weiblich","291.93","297.5","878","150","200","380","400","550","284.34","299.52","0","700","300","300"
"2003","Berlin","männlich","","","","","","","","","","","","","",""
"2003","Berlin","weiblich","","","","","","","","","","","","","",""
"2003","Brandenburg","männlich","","","","","","","","","","","","","",""
"2003","Brandenburg","weiblich","","","","","","","","","","","","","",""
"2003","Bremen","männlich","395","392.5","42","350","375","400","450","600","373.24","416.76","300","600","380","400"
"2003","Bremen","weiblich","294.87","290","47","100","250","385","400","450","261.45","328.29","40","450","300","375"
"2003","Hamburg","männlich","358.24","395","90","160","350","400","450","600","334","382.48","0","600","385","400"
"2003","Hamburg","weiblich","311.47","335","75","150","250","400","400","500","285.2","337.74","0","500","302","385"
"2003","Hessen","männlich","389.16","395","473","300","365","400","500","600","381.13","397.19","90","999","400","400"
"2003","Hessen","weiblich","290.69","295","404","150","200","380","400","500","280.58","300.8","0","700","300","300"
"2003","Mecklenburg-Vorpommern","männlich","","","","","","","","","","","","","",""
"2003","Mecklenburg-Vorpommern","weiblich","","","","","","","","","","","","","",""
"2003","Niedersachsen","männlich","387.19","397.5","572","300","360","400","500","700","379.59","394.79","0","900","400","400"
"2003","Niedersachsen","weiblich","281.42","295","479","120","200","380","400","450","271.56","291.28","0","650","300","300"
"2003","Nordrhein-Westfalen","männlich","385.51","397.5","1376","300","360","400","500","600","380.57","390.45","0","999","390","400"
"2003","Nordrhein-Westfalen","weiblich","281.14","295","1170","115","200","380","400","500","274.75","287.53","0","910","300","300"
"2003","Rheinland-Pfalz,Saarland","männlich","390.3","395","385","320","375","400","480","600","382.83","397.77","0","760","400","400"
"2003","Rheinland-Pfalz,Saarland","weiblich","290.52","295","326","150","200","385","400","560","277.61","303.43","0","840","250","300"
"2003","Saarland","männlich","","","","","","","","","","","","","",""
"2003","Saarland","weiblich","","","","","","","","","","","","","",""
"2003","Sachsen","männlich","","","","","","","","","","","","","",""
"2003","Sachsen","weiblich","","","","","","","","","","","","","",""
"2003","Sachsen-Anhalt","männlich","","","","","","","","","","","","","",""
"2003","Sachsen-Anhalt","weiblich","","","","","","","","","","","","","",""
"2003","Schleswig-Holstein","männlich","379.33","397.5","183","300","360","400","450","600","367.33","391.33","50","600","385","400"
"2003","Schleswig-Holstein","weiblich","282.29","298.5","160","150","200","375","400","420","266.29","298.29","30","500","280","300"
"2003","Thüringen","männlich","","","","","","","","","","","","","",""
"2003","Thüringen","weiblich","","","","","","","","","","","","","",""
"2004","Baden-Württemberg","männlich","389.6","397.5","851","350","350","400","460","600","383.91","395.29","45","999","400","400"
"2004","Baden-Württemberg","weiblich","290.98","295","647","150","200","380","400","500","282.58","299.38","0","900","300","300"
"2004","Bayern","männlich","388.73","395","927","300","350","400","500","600","383.15","394.31","0","999","400","400"
"2004","Bayern","weiblich","295.15","322.5","849","105","200","385","400","500","287.57","302.73","0","600","300","300"
"2004","Berlin","männlich","","","","","","","","","","","","","",""
"2004","Berlin","weiblich","","","","","","","","","","","","","",""
"2004","Brandenburg","männlich","","","","","","","","","","","","","",""
"2004","Brandenburg","weiblich","","","","","","","","","","","","","",""
"2004","Bremen","männlich","348.06","392.5","44","200","300","400","400","500","319.2","376.92","0","600","380","400"
"2004","Bremen","weiblich","299.91","325","42","100","200","400","400","500","263.48","336.34","60","500","250","385"
"2004","Hamburg","männlich","367","395","83","200","350","400","400","600","346.8","387.2","0","600","385","400"
"2004","Hamburg","weiblich","295.96","310","78","125","230","375","400","450","272.22","319.7","0","480","300","350"
"2004","Hessen","männlich","387.16","395","444","300","352","400","500","600","378.64","395.68","0","700","400","400"
"2004","Hessen","weiblich","285.71","292.5","402","150","200","380","400","450","275.47","295.95","0","700","300","300"
"2004","Mecklenburg-Vorpommern","männlich","","","","","","","","","","","","","",""
"2004","Mecklenburg-Vorpommern","weiblich","","","","","","","","","","","","","",""
"2004","Niedersachsen","männlich","385.83","395","556","300","350","400","500","650","377.74","393.92","0","900","400","400"
"2004","Niedersachsen","weiblich","293.34","295","476","150","200","385","400","480","283.67","303.01","0","600","300","300"
"2004","Nordrhein-Westfalen","männlich","388.86","397.5","1332","300","360","400","480","600","383.95","393.77","0","999","400","400"
"2004","Nordrhein-Westfalen","weiblich","291.06","297.5","1126","120","200","380","400","500","284.63","297.49","0","800","300","300"
"2004","Rheinland-Pfalz,Saarland","männlich","393.59","397.5","384","350","380","400","450","700","385.48","401.7","45","800","400","400"
"2004","Rheinland-Pfalz,Saarland","weiblich","285.51","294","312","120","200","385","400","460","273.34","297.68","0","500","250","300"
"2004","Saarland","männlich","","","","","","","","","","","","","",""
"2004","Saarland","weiblich","","","","","","","","","","","","","",""
"2004","Sachsen","männlich","","","","","","","","","","","","","",""
"2004","Sachsen","weiblich","","","","","","","","","","","","","",""
"2004","Sachsen-Anhalt","männlich","","","","","","","","","","","","","",""
"2004","Sachsen-Anhalt","weiblich","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","männlich","398.2","397.5","166","350","375","420","500","700","383.58","412.82","100","990","395","400"
"2004","Schleswig-Holstein","weiblich","298.33","290","160","150","200","380","400","700","280.9","315.76","20","700","300","330"
"2004","Thüringen","männlich","","","","","","","","","","","","","",""
"2004","Thüringen","weiblich","","","","","","","","","","","","","",""
"2005","Baden-Württemberg","männlich","385.22","395","804","300","350","400","450","600","379.61","390.83","0","700","400","400"
"2005","Baden-Württemberg","weiblich","296.36","294","616","150","200","385","400","540","287.58","305.14","0","990","300","300"
"2005","Bayern","männlich","391.4","395","866","300","360","400","480","600","385.51","397.29","0","999","400","400"
"2005","Bayern","weiblich","300.08","295","829","150","200","390","400","600","292.24","307.92","0","800","300","300"
"2005","Berlin","männlich","","","","","","","","","","","","","",""
"2005","Berlin","weiblich","","","","","","","","","","","","","",""
"2005","Brandenburg","männlich","","","","","","","","","","","","","",""
"2005","Brandenburg","weiblich","","","","","","","","","","","","","",""
"2005","Bremen","männlich","381.73","392.5","33","300","350","400","460","500","357.63","405.83","200","500","385","400"
"2005","Bremen","weiblich","313.48","325","40","130","250","385","400","550","278.77","348.19","40","550","250","380"
"2005","Hamburg","männlich","388.7","395","83","320","375","420","450","500","369.5","407.9","50","600","390","400"
"2005","Hamburg","weiblich","311.82","310","70","120","270","400","425","460","288.44","335.2","100","460","300","400"
"2005","Hessen","männlich","387.42","395","440","300","375","400","500","600","378.31","396.53","40","700","400","400"
"2005","Hessen","weiblich","286.23","295","377","150","200","375","400","500","275.97","296.49","0","500","300","300"
