"year","age_gr","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","17-29","Ostdeutschland","378.19","397.5","670","300","350","400","450","600","371.47","384.91","0","999","400","400"
"2000","17-29","Westdeutschland","357.94","377.5","1977","200","350","400","450","600","353.51","362.37","0","800","380","380"
"2000","30-45","Ostdeutschland","374.62","395","1428","300","350","400","450","600","370.26","378.98","0","850","390","400"
"2000","30-45","Westdeutschland","346.79","372.5","4882","200","300","400","450","600","343.7","349.88","0","990","375","375"
"2000","46-65","Ostdeutschland","360.07","395","984","250","350","400","400","600","354.79","365.35","0","720","385","400"
"2000","46-65","Westdeutschland","331.98","357.5","3168","195","280","400","400","600","328.1","335.86","0","800","350","370"
"2000","66","Ostdeutschland","","","","","","","","","","","","","",""
"2000","66","Westdeutschland","226.74","180","66","40","100","360","400","700","188.23","265.25","0","700","150","300"
"2001","17-29","Ostdeutschland","372.53","397.5","628","300","350","400","450","600","365.21","379.85","0","800","400","400"
"2001","17-29","Westdeutschland","356.8","379","1767","200","350","400","450","600","351.83","361.77","0","800","380","380"
"2001","30-45","Ostdeutschland","374.16","397.5","1291","300","350","400","450","600","369.65","378.67","0","900","385","400"
"2001","30-45","Westdeutschland","349.64","379","4461","200","300","400","450","600","346.45","352.83","0","990","375","380"
"2001","46-65","Ostdeutschland","367.52","397.5","965","285","350","400","420","600","362.44","372.6","5","770","390","400"
"2001","46-65","Westdeutschland","335.8","369.5","2981","193","300","400","420","600","331.77","339.83","0","999","360","375"
"2001","66","Ostdeutschland","","","","","","","","","","","","","",""
"2001","66","Westdeutschland","194.2","135","74","0","60","300","400","600","158.29","230.11","0","600","120","240"
"2002","17-29","Ostdeutschland","375.76","395","594","300","350","400","450","600","368.4","383.12","30","900","400","400"
"2002","17-29","Westdeutschland","354.59","379","1709","200","350","400","430","600","349.52","359.66","0","800","375","380"
"2002","30-45","Ostdeutschland","377.11","399","1232","300","350","400","450","600","372.48","381.74","0","950","395","400"
"2002","30-45","Westdeutschland","344.13","372.5","4570","200","300","400","450","600","340.86","347.4","0","999","370","380"
"2002","46-65","Ostdeutschland","365.36","397.5","1017","290","350","400","400","600","360.45","370.27","0","700","390","400"
"2002","46-65","Westdeutschland","331.29","358","3603","180","280","400","440","600","327.51","335.07","0","900","355","375"
"2002","66","Ostdeutschland","","","","","","","","","","","","","",""
"2002","66","Westdeutschland","233.72","135","97","50","100","360","400","980","197.22","270.22","0","980","150","240"
"2003","17-29","Ostdeutschland","374.25","397.5","551","260","350","400","450","600","365.92","382.58","0","850","400","400"
"2003","17-29","Westdeutschland","350.27","377.5","1618","200","350","400","420","520","345","355.54","0","999","380","380"
"2003","30-45","Ostdeutschland","378.78","397.5","1131","300","350","400","450","600","374.31","383.25","0","900","400","400"
"2003","30-45","Westdeutschland","344.69","372.5","4272","200","300","400","450","600","341.31","348.07","0","999","375","380"
"2003","46-65","Ostdeutschland","368.83","397.5","1046","280","350","400","420","600","363.75","373.91","0","840","400","400"
"2003","46-65","Westdeutschland","336.08","373","3438","190","300","400","430","600","332.32","339.84","0","900","360","375"
"2003","66","Ostdeutschland","","","","","","","","","","","","","",""
"2003","66","Westdeutschland","208.92","145","101","60","100","300","450","760","176.97","240.87","0","760","150","200"
"2004","17-29","Ostdeutschland","363.4","395","569","250","350","400","420","600","355.42","371.38","0","800","400","400"
"2004","17-29","Westdeutschland","358.31","382.5","1549","200","350","400","420","560","353.15","363.47","0","990","380","385"
"2004","30-45","Ostdeutschland","375.54","395","1055","300","350","400","400","600","370.85","380.23","0","800","390","400"
"2004","30-45","Westdeutschland","349.84","379","4065","200","300","400","450","600","346.42","353.26","0","999","375","380"
"2004","46-65","Ostdeutschland","370.33","397.5","1057","300","350","400","400","600","365.76","374.9","50","720","400","400"
"2004","46-65","Westdeutschland","337.43","372.5","3379","200","300","400","420","600","333.67","341.19","0","990","360","375"
"2004","66","Ostdeutschland","","","","","","","","","","","","","",""
"2004","66","Westdeutschland","197.7","135","115","40","65","300","400","600","168.43","226.97","0","700","120","240"
"2005","17-29","Ostdeutschland","373.9","395","496","300","350","400","450","550","366.06","381.74","40","700","400","400"
"2005","17-29","Westdeutschland","362.36","384","1486","200","350","400","450","600","356.81","367.91","0","990","380","385"
"2005","30-45","Ostdeutschland","377.52","395","992","300","350","400","450","600","372.68","382.36","50","840","400","400"
"2005","30-45","Westdeutschland","350.74","377.5","3775","200","300","400","450","600","347.28","354.2","0","999","375","380"
"2005","46-65","Ostdeutschland","366.32","395","1033","300","350","400","400","500","361.34","371.3","0","800","400","400"
"2005","46-65","Westdeutschland","340.99","376.5","3284","200","300","400","450","600","337.23","344.75","0","985","370","380"
"2005","66","Ostdeutschland","","","","","","","","","","","","","",""
"2005","66","Westdeutschland","220.22","135","101","0","70","400","500","800","184.43","256.01","0","800","120","200"
"2006","17-29","Ostdeutschland","378.75","397.5","522","300","360","400","450","600","370.69","386.81","0","900","400","400"
"2006","17-29","Westdeutschland","359.89","384.5","1517","200","350","400","450","600","354.58","365.2","0","999","380","385"
"2006","30-45","Ostdeutschland","377.75","395","1020","300","350","400","450","600","373.03","382.47","0","999","400","400"
"2006","30-45","Westdeutschland","348.65","378.5","3931","200","300","400","450","600","345.32","351.98","0","999","380","380"
"2006","46-65","Ostdeutschland","371","395","1119","300","350","400","408","600","366.38","375.62","0","840","400","400"
"2006","46-65","Westdeutschland","341.72","377.5","3616","200","300","400","420","600","338.2","345.24","0","720","375","380"
"2006","66","Ostdeutschland","","","","","","","","","","","","","",""
"2006","66","Westdeutschland","233.1","190","147","50","100","400","500","800","205.88","260.32","0","800","150","200"
"2007","17-29","Ostdeutschland","374.25","397.5","487","300","350","400","450","600","365.83","382.67","0","840","400","400"
"2007","17-29","Westdeutschland","356.52","389","1433","200","350","400","450","600","350.83","362.21","0","750","380","390"
"2007","30-45","Ostdeutschland","382.8","395","999","300","350","400","480","600","377.78","387.82","80","800","400","400"
"2007","30-45","Westdeutschland","351.64","382.5","3667","200","300","400","450","600","348.07","355.21","0","990","375","380"
"2007","46-65","Ostdeutschland","371.1","395","1089","300","350","400","430","600","366.38","375.82","0","800","400","400"
"2007","46-65","Westdeutschland","346.74","378","3446","200","300","400","450","600","343.08","350.4","0","800","370","380"
"2007","66","Ostdeutschland","","","","","","","","","","","","","",""
"2007","66","Westdeutschland","215.52","155","133","50","100","300","500","600","189.08","241.96","0","660","150","200"
"2008","17-29","Ostdeutschland","370.5","395","443","300","350","400","420","600","362.51","378.49","30","800","400","400"
"2008","17-29","Westdeutschland","349.33","382.5","1388","200","320","400","420","600","343.64","355.02","0","800","380","385"
"2008","30-45","Ostdeutschland","380.98","397.5","962","300","350","400","450","600","376.18","385.78","70","800","400","400"
"2008","30-45","Westdeutschland","347.62","377.5","3321","200","300","400","450","600","343.97","351.27","0","999","375","380"
"2008","46-65","Ostdeutschland","368.13","395","1092","300","350","400","420","600","363.24","373.02","0","800","400","400"
"2008","46-65","Westdeutschland","336.72","372.5","3416","200","300","400","400","600","333.06","340.38","0","800","350","375"
"2008","66","Ostdeutschland","","","","","","","","","","","","","",""
"2008","66","Westdeutschland","213.14","135","150","50","100","300","450","600","188.82","237.46","0","800","120","200"
"2009","17-29","Ostdeutschland","375.42","395","381","300","350","400","450","600","368.14","382.7","60","600","400","400"
"2009","17-29","Westdeutschland","361.12","382.5","1245","200","350","400","450","600","355.42","366.82","0","800","380","385"
"2009","30-45","Ostdeutschland","377.59","397.5","885","300","350","400","450","600","372.33","382.85","30","800","400","400"
"2009","30-45","Westdeutschland","351.12","377.5","2953","200","300","400","450","600","347.31","354.93","0","800","375","380"
"2009","46-65","Ostdeutschland","364.47","395","1073","270","320","400","400","600","359.47","369.47","0","800","385","400"
"2009","46-65","Westdeutschland","341.6","372.5","3211","200","300","400","420","600","337.89","345.31","0","999","360","380"
"2009","66","Ostdeutschland","","","","","","","","","","","","","",""
"2009","66","Westdeutschland","203.26","190","167","50","80","300","400","600","179.84","226.68","0","700","150","200"
"2010","17-29","Ostdeutschland","367.44","397.5","356","200","350","400","420","600","358.47","376.41","0","700","400","400"
"2010","17-29","Westdeutschland","350.61","377.5","1247","200","350","400","440","600","344.41","356.81","0","800","380","385"
"2010","30-45","Ostdeutschland","372.81","397.5","978","300","350","400","405","600","367.85","377.77","0","960","385","400"
"2010","30-45","Westdeutschland","351.21","377.5","3440","200","300","400","450","600","347.62","354.8","0","900","360","380"
"2010","46-65","Ostdeutschland","362.99","397.5","1088","300","320","400","400","600","358.13","367.85","0","800","380","400"
"2010","46-65","Westdeutschland","338.69","362.5","3363","200","300","400","420","600","335.03","342.35","0","999","350","365"
"2010","66","Ostdeutschland","","","","","","","","","","","","","",""
"2010","66","Westdeutschland","203.52","170","162","50","80","350","400","600","180.69","226.35","0","700","150","200"
"2011","17-29","Ostdeutschland","378.27","399","435","300","350","400","450","800","369.09","387.45","30","810","400","400"
"2011","17-29","Westdeutschland","351.62","382.5","1463","160","300","400","450","600","345.9","357.34","20","700","380","390"
"2011","30-45","Ostdeutschland","369.11","395","1107","300","350","400","420","600","364.37","373.85","40","820","380","400"
"2011","30-45","Westdeutschland","358.24","382.5","4047","200","300","400","450","600","354.92","361.56","0","999","360","375"
"2011","46-65","Ostdeutschland","360.54","387.5","1327","250","300","400","440","600","355.89","365.19","0","800","380","400"
"2011","46-65","Westdeutschland","344.97","379","4449","200","300","400","450","600","341.76","348.18","0","999","350","375"
"2011","66","Ostdeutschland","","","","","","","","","","","","","",""
"2011","66","Westdeutschland","196.5","155","180","60","100","260","400","580","176.52","216.48","0","600","150","200"
"2012","17-29","Ostdeutschland","366.1","395","387","300","350","400","400","600","356.89","375.31","20","800","400","400"
"2012","17-29","Westdeutschland","346.32","382.5","1475","150","300","400","420","600","340.4","352.24","12","990","380","385"
"2012","30-45","Ostdeutschland","367.43","395","1070","300","320","400","420","600","362.47","372.39","0","800","380","400"
"2012","30-45","Westdeutschland","354.01","377.5","3800","200","300","400","450","600","350.71","357.31","0","800","350","370"
"2012","46-65","Ostdeutschland","360.27","395","1374","300","300","400","400","600","355.61","364.93","0","800","380","400"
"2012","46-65","Westdeutschland","336.5","357.5","4521","200","300","400","410","600","333.32","339.68","0","999","350","350"
"2012","66","Ostdeutschland","","","","","","","","","","","","","",""
"2012","66","Westdeutschland","187.77","140","232","50","90","300","400","600","170.54","205","0","700","120","200"
"2013","17-29","Ostdeutschland","369.18","395","339","300","350","400","400","600","359.71","378.65","15","800","400","400"
"2013","17-29","Westdeutschland","339.25","377.5","1344","150","300","400","400","500","333.12","345.38","0","900","370","380"
"2013","30-45","Ostdeutschland","365.88","395","975","300","320","400","425","600","361.1","370.66","6","700","380","400"
"2013","30-45","Westdeutschland","350.97","377.5","3394","200","300","400","450","600","347.48","354.46","20","900","350","360"
"2013","46-65","Ostdeutschland","353.94","377.5","1324","250","300","400","400","500","349.39","358.49","0","800","380","400"
"2013","46-65","Westdeutschland","335.31","357.5","4337","200","300","400","400","600","332.12","338.5","0","999","350","350"
"2013","66","Ostdeutschland","","","","","","","","","","","","","",""
"2013","66","Westdeutschland","179.55","130","225","40","80","250","400","700","161.34","197.76","0","800","120","160"
"2014","17-29","Ostdeutschland","366","395","372","300","350","400","400","500","357.14","374.86","30","600","400","400"
"2014","17-29","Westdeutschland","337.08","377.5","1559","130","300","400","400","560","331.45","342.71","0","840","370","380"
"2014","30-45","Ostdeutschland","360.81","382.5","1216","300","300","400","400","500","356.56","365.06","0","650","360","390"
"2014","30-45","Westdeutschland","344.73","367.5","4233","200","300","400","420","500","341.63","347.83","0","999","350","350"
"2014","46-65","Ostdeutschland","355.28","377.5","1345","300","300","400","400","500","350.94","359.62","0","680","370","380"
"2014","46-65","Westdeutschland","334.14","345","4903","200","300","400","400","550","331.24","337.04","0","999","350","350"
"2014","66","Ostdeutschland","230","225","34","60","120","350","400","400","187.49","272.51","50","400","120","300"
"2014","66","Westdeutschland","182.65","145","261","50","80","250","400","600","166","199.3","0","700","120","200"
"2015","17-29","Ostdeutschland","371.37","395","425","300","350","400","400","500","362.97","379.77","0","600","400","400"
"2015","17-29","Westdeutschland","342.63","377.5","2156","150","300","400","400","500","337.96","347.3","0","900","380","390"
"2015","30-45","Ostdeutschland","360.43","387.5","1199","300","320","400","400","500","356.01","364.85","0","800","375","385"
"2015","30-45","Westdeutschland","344.65","377.5","5177","200","300","400","420","600","341.74","347.56","0","999","350","370"
"2015","46-65","Ostdeutschland","353.61","377.5","1338","250","300","400","400","540","348.92","358.3","0","900","360","380"
"2015","46-65","Westdeutschland","336.62","368","5390","200","300","400","400","600","333.74","339.5","0","999","350","370"
"2015","66","Ostdeutschland","143.02","92.5","40","40","50","200","400","420","102.86","183.18","30","420","100","200"
"2015","66","Westdeutschland","187.79","145","247","50","100","250","400","600","170.39","205.19","0","750","150","200"
"2016","17-29","Ostdeutschland","","","","","","","","","","","","","",""
"2016","17-29","Westdeutschland","","","","","","","","","","","","","",""
"2016","30-45","Ostdeutschland","","","","","","","","","","","","","",""
"2016","30-45","Westdeutschland","","","","","","","","","","","","","",""
"2016","46-65","Ostdeutschland","","","","","","","","","","","","","",""
"2016","46-65","Westdeutschland","","","","","","","","","","","","","",""
"2016","66","Ostdeutschland","","","","","","","","","","","","","",""
"2016","66","Westdeutschland","","","","","","","","","","","","","",""
"2017","17-29","Ostdeutschland","344.8","377.5","470","200","300","400","400","500","336.66","352.94","30","600","380","400"
