study,dataset,version,variable,meantable,probtable,template_id,label,label_de,concept,type,description,description_de,minedition
platform-datasets,p_platform,v36,syear,no,no,,,Erhebungsjahr,,double,,,
platform-datasets,p_platform,v36,sex,demo,demo,,,Geschlecht,,byte,,,
platform-datasets,p_platform,v36,gebjahr,no,no,,,Geburtsjahr -4Steller-,,int,,,
platform-datasets,p_platform,v36,sampreg,demo,demo,,,Aktuelle Stichprobenregion (Berlin West-Ost),,float,,,
platform-datasets,p_platform,v36,netto,no,no,,,Aktueller Befragungsstatus,,float,,,
platform-datasets,p_platform,v36,migback,demo,demo,,,Migrationshintergrund,,byte,,,
platform-datasets,p_platform,v36,phrf,no,no,,,Hochrechnungsfaktor,,double,,,
platform-datasets,p_platform,v36,plb0022_h,no,yes,,,Erwerbsstatus [harmonisiert],,byte,,,
platform-datasets,p_platform,v36,plb0241_h,yes,no,,,Wochenstunden gewuenscht [harmonisiert],,float,,,
platform-datasets,p_platform,v36,plb0571,no,yes,,,Schwarzarbeit im persoenlichen Umfeld Vorjahr,,byte,,,
platform-datasets,p_platform,v36,plh0012_h,no,yes,,,Parteineigung [harmonisiert],,byte,,,
platform-datasets,p_platform,v36,plh0032,no,yes,,,Sorgen allgemeine wirtschaftliche Entwicklung,,byte,,,
platform-datasets,p_platform,v36,plh0033,no,yes,,,Sorgen eigene wirtschaftliche Situation,,byte,,,
platform-datasets,p_platform,v36,plh0034,no,yes,,,Sorgen Stabilitaet Finanzmaerkte,,byte,,,
platform-datasets,p_platform,v36,plh0035,no,yes,,,Sorgen eigene Gesundheit,,byte,,,
platform-datasets,p_platform,v36,plh0036,no,yes,,,Sorgen Umweltschutz,,byte,,,
platform-datasets,p_platform,v36,plh0037,no,yes,,,Sorgen Klimawandelfolgen,,byte,,,
platform-datasets,p_platform,v36,plh0038,no,yes,,,Sorgen Friedenserhaltung,,byte,,,
platform-datasets,p_platform,v36,plh0039,no,yes,,,Sorgen globalen Terrorismus,,byte,,,
platform-datasets,p_platform,v36,plh0040,no,yes,,,Sorgen Kriminalitaetsentwicklung in Deutschland,,byte,,,
platform-datasets,p_platform,v36,plh0042,no,yes,,,Sorgen Arbeitsplatzsicherheit,,byte,,,
platform-datasets,p_platform,v36,plh0164,yes,yes,,,Zufriedenh. Schul- und Berufsausbildung,,byte,,,
platform-datasets,p_platform,v36,plh0166,yes,yes,,,Allg. Lebenszufriedenheit in einem Jahr,,byte,,,
platform-datasets,p_platform,v36,plh0171,yes,yes,,,Zufriedenheit Gesundheit,,byte,,,
platform-datasets,p_platform,v36,plh0172,yes,yes,,,Zufriedenheit Schlaf,,byte,,,
platform-datasets,p_platform,v36,plh0173,yes,yes,,,Zufriedenheit Arbeit,,byte,,,
platform-datasets,p_platform,v36,plh0174,yes,yes,,,Zufriedenheit HH-Taetigk.,,byte,,,
platform-datasets,p_platform,v36,plh0175,yes,yes,,,Zufriedenheit HH-Einkommen,,byte,,,
platform-datasets,p_platform,v36,plh0176,yes,yes,,,Zufriedenheit mit persoenlichem Einkommen,,byte,,,
platform-datasets,p_platform,v36,plh0177,yes,yes,,,Zufriedenheit Wohnung,,byte,,,
platform-datasets,p_platform,v36,plh0178,yes,yes,,,Zufriedenheit Freizeit,,byte,,,
platform-datasets,p_platform,v36,plh0179,yes,yes,,,Zufriedenheit Kinderbetreuung,,byte,,,
platform-datasets,p_platform,v36,plh0180,yes,yes,,,Zufriedenheit Familienleben,,byte,,,
platform-datasets,p_platform,v36,plh0181,yes,yes,,,"Zufriedenheit Freundes-, Bekanntenkreis",,byte,,,
platform-datasets,p_platform,v36,plh0182,yes,yes,,,Lebenszufriedenheit gegenwaertig,,byte,,,
platform-datasets,p_platform,v36,plh0183,yes,yes,,,Lebenszufriedenheit in 5 Jahren,,byte,,,
platform-datasets,p_platform,v36,plh0258_h,no,yes,,,"Kirche, Religion [harmonisiert]",,byte,,,
platform-datasets,p_platform,v36,pli0092_h,no,yes,,,Aktiver Sport [harmonisiert],,byte,,,
platform-datasets,p_platform,v36,pli0095_h,no,yes,,,"Mithelfen bei Freund., Verwandt. [harmonisiert]",,byte,,,
platform-datasets,p_platform,v36,pli0096_h,no,yes,,,"Ehrenamtliche Taetigkeit in Vereinen, Verbaenden, ... [harmonisiert]",,byte,,,
platform-datasets,p_platform,v36,pli0097_h,no,yes,,,"Beteilig. Parteien, Kommunalpolitik, Buergerinitiativen [harmonisiert]",,byte,,,
platform-datasets,p_platform,v36,pli0098_h,no,yes,,,"Kirchgang, Besuch religioeser Veranstaltungen [harmonisiert]",,byte,,,
