"erwst","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1985","Staedtischer Raum","Westdeutschland","4151","0.424898573101081","0.414483687487193","0.435313458714969"
"voll erwerbstätig","1985","Staedtischer Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1985","Laendlicher Raum","Westdeutschland","1066","","",""
"voll erwerbstätig","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Teilzeit","1985","Staedtischer Raum","Westdeutschland","591","0.0687301496897156","0.063399856939839","0.0740604424395921"
"Teilzeit","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Teilzeit","1985","Laendlicher Raum","Westdeutschland","163","","",""
"Teilzeit","1985","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Staedtischer Raum","Westdeutschland","3511","0.460348721728992","0.449847502589683","0.470849940868301"
"nicht erwerbstätig","1985","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Laendlicher Raum","Westdeutschland","1028","","",""
"nicht erwerbstätig","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Andere","1985","Staedtischer Raum","Westdeutschland","401","0.046022555480212","0.0416079279851354","0.0504371829752887"
"Andere","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Andere","1985","Laendlicher Raum","Westdeutschland","115","","",""
"Andere","1985","Laendlicher Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1986","Staedtischer Raum","Westdeutschland","3978","0.424842527222193","0.414222747248323","0.435462307196062"
"voll erwerbstätig","1986","Staedtischer Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1986","Laendlicher Raum","Westdeutschland","1019","","",""
"voll erwerbstätig","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Teilzeit","1986","Staedtischer Raum","Westdeutschland","506","0.0608893172071752","0.0557519916747168","0.0660266427396336"
"Teilzeit","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Teilzeit","1986","Laendlicher Raum","Westdeutschland","135","","",""
"Teilzeit","1986","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Staedtischer Raum","Westdeutschland","3369","0.460774567924629","0.450065847572511","0.471483288276746"
"nicht erwerbstätig","1986","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Laendlicher Raum","Westdeutschland","946","0.474322822280787","0.45373594652855","0.494909698033024"
"nicht erwerbstätig","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Andere","1986","Staedtischer Raum","Westdeutschland","470","0.0534935876460031","0.0486594302473464","0.0583277450446599"
"Andere","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Andere","1986","Laendlicher Raum","Westdeutschland","160","","",""
"Andere","1986","Laendlicher Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1987","Staedtischer Raum","Westdeutschland","3913","0.428846360882514","0.4181494030317","0.439543318733328"
"voll erwerbstätig","1987","Staedtischer Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1987","Laendlicher Raum","Westdeutschland","1016","","",""
"voll erwerbstätig","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Teilzeit","1987","Staedtischer Raum","Westdeutschland","518","0.0640812122391121","0.0587880234010186","0.0693744010772057"
"Teilzeit","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Teilzeit","1987","Laendlicher Raum","Westdeutschland","170","","",""
"Teilzeit","1987","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Staedtischer Raum","Westdeutschland","3305","0.453082582864885","0.442323320281041","0.46384184544873"
"nicht erwerbstätig","1987","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Laendlicher Raum","Westdeutschland","880","0.451342579055568","0.430670255538721","0.472014902572416"
"nicht erwerbstätig","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Andere","1987","Staedtischer Raum","Westdeutschland","487","0.0539898440134887","0.0491051554235855","0.0588745326033919"
"Andere","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Andere","1987","Laendlicher Raum","Westdeutschland","160","","",""
"Andere","1987","Laendlicher Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1988","Staedtischer Raum","Westdeutschland","3701","0.431139327287976","0.42020488196096","0.442073772614992"
"voll erwerbstätig","1988","Staedtischer Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1988","Laendlicher Raum","Westdeutschland","946","0.40388936392302","0.382842980044067","0.424935747801973"
"voll erwerbstätig","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Teilzeit","1988","Staedtischer Raum","Westdeutschland","535","0.0680181395578388","0.0624590830777212","0.0735771960379563"
"Teilzeit","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Teilzeit","1988","Laendlicher Raum","Westdeutschland","144","","",""
"Teilzeit","1988","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Staedtischer Raum","Westdeutschland","3157","0.448894365098415","0.43791254095289","0.459876189243941"
"nicht erwerbstätig","1988","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Laendlicher Raum","Westdeutschland","849","0.465686736899306","0.444290975025051","0.487082498773562"
"nicht erwerbstätig","1988","Laendlicher Raum","Ostdeutschland","","","",""
