"erwst","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Vollzeit","1984","16-34 J.","(noch) kein Abschluss","152","0.154488642968056","0.123304684589636","0.185672601346475"
"Vollzeit","1984","16-34 J.","Hauptschule","1218","0.558834512720947","0.538217161346614","0.57945186409528"
"Vollzeit","1984","16-34 J.","Realschule","462","0.474669039683302","0.443811517358722","0.505526562007882"
"Vollzeit","1984","16-34 J.","(Fach-)Abitur","158","0.245221201530221","0.209933864035451","0.280508539024992"
"Vollzeit","1984","16-34 J.","AkademikerIn","169","0.699273064474002","0.641968383145245","0.75657774580276"
"Vollzeit","1984","35-65 J.","(noch) kein Abschluss","445","0.556343177925551","0.520715890655626","0.591970465195476"
"Vollzeit","1984","35-65 J.","Hauptschule","2120","0.473759927734445","0.45840494786995","0.489114907598941"
"Vollzeit","1984","35-65 J.","Realschule","361","0.510968339673397","0.473990203365639","0.547946475981154"
"Vollzeit","1984","35-65 J.","(Fach-)Abitur","172","0.622522831020621","0.56231244604868","0.682733215992561"
"Vollzeit","1984","35-65 J.","AkademikerIn","360","0.736986540580637","0.697641108598748","0.776331972562526"
"Vollzeit","1984","66 und älter","(noch) kein Abschluss","","","",""
"Vollzeit","1984","66 und älter","Hauptschule","","","",""
"Vollzeit","1984","66 und älter","Realschule","","","",""
"Vollzeit","1984","66 und älter","(Fach-)Abitur","","","",""
"Vollzeit","1984","66 und älter","AkademikerIn","","","",""
"Teilzeit","1984","16-34 J.","(noch) kein Abschluss","","","",""
"Teilzeit","1984","16-34 J.","Hauptschule","92","0.0448491958784998","0.0362550286323565","0.0534433631246432"
"Teilzeit","1984","16-34 J.","Realschule","47","0.0418698119644318","0.0294929123701077","0.0542467115587559"
"Teilzeit","1984","16-34 J.","(Fach-)Abitur","","","",""
"Teilzeit","1984","16-34 J.","AkademikerIn","","","",""
"Teilzeit","1984","35-65 J.","(noch) kein Abschluss","","","",""
"Teilzeit","1984","35-65 J.","Hauptschule","298","0.0773079220891244","0.0690946061777061","0.0855212380005426"
"Teilzeit","1984","35-65 J.","Realschule","85","0.108955938965832","0.0859068067697016","0.132005071161962"
"Teilzeit","1984","35-65 J.","(Fach-)Abitur","","","",""
"Teilzeit","1984","35-65 J.","AkademikerIn","40","0.0852640170851262","0.0603062154042154","0.110221818766037"
"Teilzeit","1984","66 und älter","(noch) kein Abschluss","","","",""
"Teilzeit","1984","66 und älter","Hauptschule","","","",""
"Teilzeit","1984","66 und älter","Realschule","","","",""
"Teilzeit","1984","66 und älter","(Fach-)Abitur","","","",""
"Teilzeit","1984","66 und älter","AkademikerIn","","","",""
"Nicht erwerbstätig","1984","16-34 J.","(noch) kein Abschluss","341","0.807043692866651","0.772994936528486","0.841092449204816"
"Nicht erwerbstätig","1984","16-34 J.","Hauptschule","651","0.276029914083716","0.257467738187268","0.294592089980163"
"Nicht erwerbstätig","1984","16-34 J.","Realschule","311","0.30244470031854","0.27406149679208","0.330827903845001"
