"erwst","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"voll erwerbstätig","1984","Schleswig-Holstein","Westdeutschland","169","0.416833350542834","0.367648426168436","0.466018274917233"
"voll erwerbstätig","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Hamburg","Westdeutschland","143","0.379588803678456","0.32548032023065","0.433697287126263"
"voll erwerbstätig","1984","Hamburg","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Niedersachsen","Westdeutschland","508","0.374078863530826","0.347080844144051","0.401076882917602"
"voll erwerbstätig","1984","Niedersachsen","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Bremen","Westdeutschland","40","0.21206643942363","0.142332869783076","0.281800009064185"
"voll erwerbstätig","1984","Bremen","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Nordrhein-Westfalen","Westdeutschland","1484","0.406715714382728","0.389837899635797","0.423593529129658"
"voll erwerbstätig","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Hessen","Westdeutschland","592","0.40795683809052","0.38067970909507","0.43523396708597"
"voll erwerbstätig","1984","Hessen","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Rheinland-Pfalz,Saarland","Westdeutschland","366","0.384279968849751","0.351598706316333","0.416961231383169"
"voll erwerbstätig","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Baden-Wuerttemberg","Westdeutschland","1168","0.444961448525271","0.424436283143618","0.465486613906925"
"voll erwerbstätig","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Bayern","Westdeutschland","991","0.42684552659422","0.405645213004349","0.448045840184091"
"voll erwerbstätig","1984","Bayern","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Berlin","Westdeutschland","215","0.465890368963257","0.417487056838021","0.514293681088493"
"voll erwerbstätig","1984","Berlin","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Brandenburg","Westdeutschland","","","",""
"voll erwerbstätig","1984","Brandenburg","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"voll erwerbstätig","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Sachsen","Westdeutschland","","","",""
"voll erwerbstätig","1984","Sachsen","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"voll erwerbstätig","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Thueringen","Westdeutschland","","","",""
"voll erwerbstätig","1984","Thueringen","Ostdeutschland","","","",""
"Teilzeit","1984","Schleswig-Holstein","Westdeutschland","32","0.0762422381297143","0.0497675222934047","0.102716953966024"
"Teilzeit","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Teilzeit","1984","Hamburg","Westdeutschland","","","",""
"Teilzeit","1984","Hamburg","Ostdeutschland","","","",""
"Teilzeit","1984","Niedersachsen","Westdeutschland","72","0.0578339132003741","0.0448098788048174","0.0708579475959307"
"Teilzeit","1984","Niedersachsen","Ostdeutschland","","","",""
"Teilzeit","1984","Bremen","Westdeutschland","","","",""
"Teilzeit","1984","Bremen","Ostdeutschland","","","",""
"Teilzeit","1984","Nordrhein-Westfalen","Westdeutschland","148","0.0490934562428762","0.0416697626438099","0.0565171498419424"
"Teilzeit","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Teilzeit","1984","Hessen","Westdeutschland","73","0.065940092017833","0.0521655551908319","0.0797146288448341"
"Teilzeit","1984","Hessen","Ostdeutschland","","","",""
"Teilzeit","1984","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Teilzeit","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Teilzeit","1984","Baden-Wuerttemberg","Westdeutschland","135","0.0636029083410676","0.0535235609555745","0.0736822557265607"
"Teilzeit","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Teilzeit","1984","Bayern","Westdeutschland","121","0.0546492558930004","0.0449069965547676","0.0643915152312332"
"Teilzeit","1984","Bayern","Ostdeutschland","","","",""
"Teilzeit","1984","Berlin","Westdeutschland","31","0.0679674102029968","0.0435452587776712","0.0923895616283223"
"Teilzeit","1984","Berlin","Ostdeutschland","","","",""
"Teilzeit","1984","Brandenburg","Westdeutschland","","","",""
"Teilzeit","1984","Brandenburg","Ostdeutschland","","","",""
"Teilzeit","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Teilzeit","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Teilzeit","1984","Sachsen","Westdeutschland","","","",""
"Teilzeit","1984","Sachsen","Ostdeutschland","","","",""
"Teilzeit","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Teilzeit","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Teilzeit","1984","Thueringen","Westdeutschland","","","",""
"Teilzeit","1984","Thueringen","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Schleswig-Holstein","Westdeutschland","160","0.442264212269491","0.392718098694738","0.491810325844244"
"nicht erwerbstätig","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Hamburg","Westdeutschland","132","0.527304771572394","0.47163873364885","0.582970809495938"
"nicht erwerbstätig","1984","Hamburg","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Niedersachsen","Westdeutschland","563","0.497027274123166","0.469130573641782","0.52492397460455"
"nicht erwerbstätig","1984","Niedersachsen","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Bremen","Westdeutschland","78","0.689069831688563","0.61010673447208","0.768032928905046"
"nicht erwerbstätig","1984","Bremen","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Nordrhein-Westfalen","Westdeutschland","1433","0.487822434798171","0.470648078160306","0.504996791436036"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Hessen","Westdeutschland","498","0.459204312885594","0.431545441607073","0.486863184164115"
"nicht erwerbstätig","1984","Hessen","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","Westdeutschland","398","0.514639338946421","0.481060390789367","0.548218287103475"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Baden-Wuerttemberg","Westdeutschland","816","0.431138235552191","0.410684363262994","0.451592107841388"
"nicht erwerbstätig","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Bayern","Westdeutschland","826","0.446037185868512","0.424731431559466","0.467342940177559"
"nicht erwerbstätig","1984","Bayern","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Berlin","Westdeutschland","144","0.425557398277313","0.377581799670335","0.473532996884291"
"nicht erwerbstätig","1984","Berlin","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Brandenburg","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Brandenburg","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Sachsen","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Sachsen","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Thueringen","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Thueringen","Ostdeutschland","","","",""
"Andere","1984","Schleswig-Holstein","Westdeutschland","","","",""
"Andere","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Andere","1984","Hamburg","Westdeutschland","","","",""
"Andere","1984","Hamburg","Ostdeutschland","","","",""
"Andere","1984","Niedersachsen","Westdeutschland","91","0.0710599491456339","0.0567249787231715","0.0853949195680964"
"Andere","1984","Niedersachsen","Ostdeutschland","","","",""
"Andere","1984","Bremen","Westdeutschland","","","",""
"Andere","1984","Bremen","Ostdeutschland","","","",""
"Andere","1984","Nordrhein-Westfalen","Westdeutschland","189","0.0563683945762254","0.0484441405552925","0.0642926485971584"
"Andere","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Andere","1984","Hessen","Westdeutschland","84","0.0668987570060527","0.0530315731846612","0.0807659408274442"
"Andere","1984","Hessen","Ostdeutschland","","","",""
"Andere","1984","Rheinland-Pfalz,Saarland","Westdeutschland","59","0.0669470152496016","0.0501550288484283","0.083739001650775"
"Andere","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
