"erwst","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","17-29","männlich","886","0.497604892266353","0.474064492639506","0.521145291893199"
"voll erwerbstätig","1984","17-29","weiblich","598","0.365047616227059","0.342175115474683","0.387920116979435"
"voll erwerbstätig","1984","30-45","männlich","1801","0.925641497311929","0.913958076837762","0.937324917786096"
"voll erwerbstätig","1984","30-45","weiblich","582","0.261384400980314","0.241976690554735","0.280792111405892"
"voll erwerbstätig","1984","46-65","männlich","1387","0.75097455325314","0.730873598441667","0.771075508064613"
"voll erwerbstätig","1984","46-65","weiblich","405","0.192421718329637","0.174098507763779","0.210744928895495"
"voll erwerbstätig","1984","66","männlich","","","",""
"voll erwerbstätig","1984","66","weiblich","","","",""
"Teilzeit","1984","17-29","männlich","10","","",""
"Teilzeit","1984","17-29","weiblich","83","0.0484950028986985","0.0382897835287613","0.0587002222686358"
"Teilzeit","1984","30-45","männlich","19","","",""
"Teilzeit","1984","30-45","weiblich","327","0.192675956285798","0.175255363143168","0.210096549428428"
"Teilzeit","1984","46-65","männlich","5","","",""
"Teilzeit","1984","46-65","weiblich","205","0.118597154514076","0.103568968173708","0.133625340854443"
"Teilzeit","1984","66","männlich","","","",""
"Teilzeit","1984","66","weiblich","","","",""
"nicht erwerbstätig","1984","17-29","männlich","556","0.334221999743875","0.312012895296908","0.356431104190841"
"nicht erwerbstätig","1984","17-29","weiblich","792","0.437191380545579","0.4136254562233","0.460757304867858"
"nicht erwerbstätig","1984","30-45","männlich","101","0.0529839163811824","0.0430084321504592","0.0629594006119056"
"nicht erwerbstätig","1984","30-45","weiblich","916","0.458360271474176","0.436352099409107","0.480368443539245"
"nicht erwerbstätig","1984","46-65","männlich","372","0.237088756597168","0.217320211858984","0.256857301335352"
"nicht erwerbstätig","1984","46-65","weiblich","1094","0.644243579512035","0.621990832239641","0.66649632678443"
"nicht erwerbstätig","1984","66","männlich","","","",""
"nicht erwerbstätig","1984","66","weiblich","","","",""
"Andere","1984","17-29","männlich","281","0.162824764393476","0.145442064775761","0.180207464011192"
"Andere","1984","17-29","weiblich","229","0.149266000328663","0.132336440913093","0.166195559744234"
"Andere","1984","30-45","männlich","16","","",""
"Andere","1984","30-45","weiblich","144","0.0875793712597121","0.0750933608617505","0.100065381657674"
"Andere","1984","46-65","männlich","14","","",""
"Andere","1984","46-65","weiblich","74","0.0447375476442517","0.0351285153386224","0.054346579949881"
"Andere","1984","66","männlich","","","",""
"Andere","1984","66","weiblich","","","",""
"voll erwerbstätig","1985","17-29","männlich","847","0.509428283428752","0.485016860196486","0.533839706661018"
"voll erwerbstätig","1985","17-29","weiblich","597","0.425816486798412","0.401031942184768","0.450601031412056"
"voll erwerbstätig","1985","30-45","männlich","1563","0.908035263438653","0.89432665558218","0.921743871295126"
"voll erwerbstätig","1985","30-45","weiblich","550","0.290677451425862","0.269511659837769","0.311843243013955"
"voll erwerbstätig","1985","46-65","männlich","1273","0.73718876768404","0.71596986210561","0.75840767326247"
"voll erwerbstätig","1985","46-65","weiblich","369","0.190579957883951","0.171634716432383","0.209525199335518"
"voll erwerbstätig","1985","66","männlich","","","",""
"voll erwerbstätig","1985","66","weiblich","","","",""
"Teilzeit","1985","17-29","männlich","19","","",""
"Teilzeit","1985","17-29","weiblich","101","0.065668780657006","0.0532529936200378","0.0780845676939742"
"Teilzeit","1985","30-45","männlich","22","","",""
"Teilzeit","1985","30-45","weiblich","348","0.228825941263121","0.209244899420794","0.248406983105449"
"Teilzeit","1985","46-65","männlich","6","","",""
"Teilzeit","1985","46-65","weiblich","242","0.150921895031396","0.133654592416341","0.168189197646451"
"Teilzeit","1985","66","männlich","","","",""
"Teilzeit","1985","66","weiblich","","","",""
"nicht erwerbstätig","1985","17-29","männlich","547","0.353475076576235","0.330131233495967","0.376818919656503"
"nicht erwerbstätig","1985","17-29","weiblich","674","0.393038957168939","0.368557201666945","0.417520712670933"
"nicht erwerbstätig","1985","30-45","männlich","108","0.0671258947462131","0.055254878664815","0.0789969108276111"
"nicht erwerbstätig","1985","30-45","weiblich","790","0.427613514578341","0.404552555906542","0.45067447325014"
"nicht erwerbstätig","1985","46-65","männlich","364","0.250371495210628","0.229486847594473","0.271256142826784"
"nicht erwerbstätig","1985","46-65","weiblich","997","0.63053163824752","0.60724983453603","0.653813441959011"
"nicht erwerbstätig","1985","66","männlich","","","",""
"nicht erwerbstätig","1985","66","weiblich","","","",""
"Andere","1985","17-29","männlich","198","0.123829042216268","0.107744600011614","0.139913484420922"
"Andere","1985","17-29","weiblich","157","0.115475775375643","0.0994564339556797","0.131495116795607"
"Andere","1985","30-45","männlich","14","","",""
"Andere","1985","30-45","weiblich","80","0.0528830927326762","0.0424511023431358","0.0633150831222166"
"Andere","1985","46-65","männlich","10","","",""
"Andere","1985","46-65","weiblich","43","0.0279665088371326","0.020013448151912","0.0359195695223531"
"Andere","1985","66","männlich","","","",""
"Andere","1985","66","weiblich","","","",""
"voll erwerbstätig","1986","17-29","männlich","826","0.513746439637961","0.489156048465444","0.538336830810478"
"voll erwerbstätig","1986","17-29","weiblich","559","0.420395319513547","0.395144240477485","0.445646398549608"
"voll erwerbstätig","1986","30-45","männlich","1433","0.90451138102786","0.890020247055938","0.919002514999781"
"voll erwerbstätig","1986","30-45","weiblich","538","0.300116941195341","0.278259905447557","0.321973976943126"
"voll erwerbstätig","1986","46-65","männlich","1264","0.73129011512067","0.709868519694295","0.752711710547045"
"voll erwerbstätig","1986","46-65","weiblich","367","0.205762414946979","0.185848076888441","0.225676753005517"
"voll erwerbstätig","1986","66","männlich","","","",""
"voll erwerbstätig","1986","66","weiblich","","","",""
"Teilzeit","1986","17-29","männlich","16","","",""
"Teilzeit","1986","17-29","weiblich","100","0.0721330236612858","0.0588989060196549","0.0853671413029168"
"Teilzeit","1986","30-45","männlich","31","0.0206507187519365","0.0136384922146689","0.0276629452892041"
"Teilzeit","1986","30-45","weiblich","277","0.186055273755774","0.167496395819822","0.204614151691726"
"Teilzeit","1986","46-65","männlich","14","","",""
"Teilzeit","1986","46-65","weiblich","194","0.124280371621552","0.108028946647443","0.14053179659566"
"Teilzeit","1986","66","männlich","","","",""
"Teilzeit","1986","66","weiblich","","","",""
"nicht erwerbstätig","1986","17-29","männlich","523","0.332920266505358","0.309734651629917","0.356105881380799"
"nicht erwerbstätig","1986","17-29","weiblich","615","0.366999297831376","0.342343459382515","0.391655136280237"
"nicht erwerbstätig","1986","30-45","männlich","104","0.064362278195851","0.0522621739185249","0.0764623824731771"
"nicht erwerbstätig","1986","30-45","weiblich","767","0.444072307550351","0.420376622656745","0.467767992443957"
"nicht erwerbstätig","1986","46-65","männlich","357","0.250010446040069","0.229085139703602","0.270935752376536"
"nicht erwerbstätig","1986","46-65","weiblich","948","0.624233430019596","0.6003750904565","0.648091769582692"
"nicht erwerbstätig","1986","66","männlich","","","",""
"nicht erwerbstätig","1986","66","weiblich","","","",""
"Andere","1986","17-29","männlich","222","0.142739829251972","0.125529525426601","0.159950133077343"
"Andere","1986","17-29","weiblich","194","0.140472358993792","0.122697325620204","0.15824739236738"
"Andere","1986","30-45","männlich","12","","",""
"Andere","1986","30-45","weiblich","107","0.0697554774985335","0.0576070242993736","0.0819039306976933"
"Andere","1986","46-65","männlich","10","","",""
"Andere","1986","46-65","weiblich","74","0.0457237834118731","0.0354337742118512","0.056013792611895"
"Andere","1986","66","männlich","","","",""
"Andere","1986","66","weiblich","","","",""
"voll erwerbstätig","1987","17-29","männlich","781","0.506206369716347","0.481452098931363","0.530960640501332"
"voll erwerbstätig","1987","17-29","weiblich","537","0.42316912613327","0.397659896899363","0.448678355367177"
"voll erwerbstätig","1987","30-45","männlich","1432","0.921120639352905","0.907692910574292","0.934548368131519"
"voll erwerbstätig","1987","30-45","weiblich","537","0.31345636824364","0.29085256841629","0.33606016807099"
"voll erwerbstätig","1987","46-65","männlich","1255","0.740528446529523","0.719274586606883","0.761782306452163"
"voll erwerbstätig","1987","46-65","weiblich","373","0.214730039244907","0.194437349115772","0.235022729374042"
"voll erwerbstätig","1987","66","männlich","","","",""
"voll erwerbstätig","1987","66","weiblich","","","",""
"Teilzeit","1987","17-29","männlich","22","","",""
"Teilzeit","1987","17-29","weiblich","97","0.0757154129940315","0.0620566583454839","0.089374167642579"
"Teilzeit","1987","30-45","männlich","8","","",""
"Teilzeit","1987","30-45","weiblich","305","0.213660225196457","0.193688030310916","0.233632420081997"
"Teilzeit","1987","46-65","männlich","7","","",""
