"erwst","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1984","(Fach-)Abitur","94","0.119829689455943","0.0982247127260465","0.14143466618584"
"Andere","1984","(noch) kein Abschluss","27","","",""
"Andere","1984","AkademikerIn","28","","",""
"Andere","1984","Hauptschule","408","0.0503334323514116","0.0453004791839038","0.0553663855189194"
"Andere","1984","Realschule","217","0.105719476306479","0.0918389222570541","0.119600030355905"
"nicht erwerbstätig","1984","(Fach-)Abitur","405","0.519978857094487","0.48674266546548","0.553215048723494"
"nicht erwerbstätig","1984","(noch) kein Abschluss","627","0.682700090950037","0.657212811523297","0.708187370376776"
"nicht erwerbstätig","1984","AkademikerIn","170","0.244715475504937","0.214736239865625","0.27469471114425"
"nicht erwerbstätig","1984","Hauptschule","3099","0.498557525425588","0.487047474684864","0.510067576166312"
"nicht erwerbstätig","1984","Realschule","708","0.405847889033251","0.383680074377246","0.428015703689257"
"Teilzeit","1984","(Fach-)Abitur","37","0.0386893337458203","0.0258596563991165","0.051519011092524"
"Teilzeit","1984","(noch) kein Abschluss","30","0.0143962440006873","0.00787321513284373","0.0209192728685309"
"Teilzeit","1984","AkademikerIn","58","0.0743249651296918","0.0560342292723005","0.0926157009870831"
"Teilzeit","1984","Hauptschule","397","0.0548303438791513","0.0495898235357073","0.0600708642225952"
"Teilzeit","1984","Realschule","134","0.063080509190677","0.0521058473892633","0.0740551709920906"
"voll erwerbstätig","1984","(Fach-)Abitur","332","0.32150211970375","0.290431179415012","0.352573059992487"
"voll erwerbstätig","1984","(noch) kein Abschluss","597","0.277198702989253","0.25268671220404","0.301710693774465"
"voll erwerbstätig","1984","AkademikerIn","534","0.646927708955504","0.613600861030927","0.680254556880082"
"voll erwerbstätig","1984","Hauptschule","3345","0.396278698343849","0.385018976683591","0.407538420004107"
"voll erwerbstätig","1984","Realschule","826","0.425352125469592","0.403033490984879","0.447670759954306"
"Andere","1985","(Fach-)Abitur","72","0.103394660526146","0.0821225568455508","0.124666764206742"
"Andere","1985","(noch) kein Abschluss","20","","",""
"Andere","1985","AkademikerIn","23","","",""
"Andere","1985","Hauptschule","246","0.0351913316669601","0.0306913588493137","0.0396913044846065"
"Andere","1985","Realschule","145","0.07039300951784","0.0586244249282497","0.0821615941074302"
"nicht erwerbstätig","1985","(Fach-)Abitur","351","0.474188361054215","0.439302353749823","0.509074368358608"
"nicht erwerbstätig","1985","(noch) kein Abschluss","572","0.717812204515971","0.691057026099678","0.744567382932264"
"nicht erwerbstätig","1985","AkademikerIn","164","0.247471422356146","0.216689294267898","0.278253550444393"
"nicht erwerbstätig","1985","Hauptschule","2716","0.496635078523294","0.484424630176572","0.508845526870017"
"nicht erwerbstätig","1985","Realschule","673","0.405087134735539","0.382502624236232","0.427671645234846"
"Teilzeit","1985","(Fach-)Abitur","53","0.0678602406834675","0.0502887365500557","0.0854317448168793"
"Teilzeit","1985","(noch) kein Abschluss","28","","",""
"Teilzeit","1985","AkademikerIn","50","0.0636142238158203","0.0462050109500785","0.0810234366815621"
"Teilzeit","1985","Hauptschule","457","0.0698053512476195","0.0635823094469469","0.0760283930482921"
"Teilzeit","1985","Realschule","159","0.0782764968873098","0.0659191340704419","0.0906338597041777"
"voll erwerbstätig","1985","(Fach-)Abitur","311","0.354556737736171","0.321134722563019","0.387978752909322"
"voll erwerbstätig","1985","(noch) kein Abschluss","467","0.236866356345675","0.211591697113439","0.262141015577911"
"voll erwerbstätig","1985","AkademikerIn","518","0.659714864269901","0.625918168735343","0.693511559804458"
"voll erwerbstätig","1985","Hauptschule","3022","0.398368238562126","0.386412423959268","0.410324053164984"
"voll erwerbstätig","1985","Realschule","838","0.446243358859311","0.423373939771629","0.469112777946993"
"Andere","1986","(Fach-)Abitur","82","0.114396589627661","0.0924499218459502","0.136343257409372"
"Andere","1986","(noch) kein Abschluss","22","","",""
"Andere","1986","AkademikerIn","25","","",""
"Andere","1986","Hauptschule","301","0.043408960644023","0.0382910547893591","0.048526866498687"
"Andere","1986","Realschule","178","0.0866702842213534","0.073570470001155","0.0997700984415518"
"nicht erwerbstätig","1986","(Fach-)Abitur","369","0.493376013813888","0.458903393153753","0.527848634474023"
"nicht erwerbstätig","1986","(noch) kein Abschluss","548","0.683025034156312","0.65458158061141","0.711468487701215"
"nicht erwerbstätig","1986","AkademikerIn","164","0.249320932214232","0.218338628552756","0.280303235875708"
"nicht erwerbstätig","1986","Hauptschule","2528","0.492719964533886","0.480163614620166","0.505276314447606"
"nicht erwerbstätig","1986","Realschule","656","0.408368713576962","0.385482811819115","0.431254615334809"
"Teilzeit","1986","(Fach-)Abitur","34","0.0391125843414363","0.0257454928751687","0.052479675807704"
"Teilzeit","1986","(noch) kein Abschluss","26","","",""
"Teilzeit","1986","AkademikerIn","76","0.0929739027942626","0.0721770506338625","0.113770754954663"
"Teilzeit","1986","Hauptschule","372","0.0599267270380869","0.0539655698069421","0.0658878842692318"
"Teilzeit","1986","Realschule","127","0.0642775605009218","0.0528587872937661","0.0756963337080774"
"voll erwerbstätig","1986","(Fach-)Abitur","323","0.353114812217015","0.320160368742639","0.386069255691392"
"voll erwerbstätig","1986","(noch) kein Abschluss","432","0.274798467953972","0.247509441413394","0.30208749449455"
"voll erwerbstätig","1986","AkademikerIn","484","0.630758717958978","0.596197110112376","0.66532032580558"
"voll erwerbstätig","1986","Hauptschule","2889","0.403944347784004","0.391620576836511","0.416268118731498"
"voll erwerbstätig","1986","Realschule","811","0.440683441700763","0.417567667857263","0.463799215544263"
"Andere","1987","(Fach-)Abitur","98","0.13701322185553","0.112881733978639","0.161144709732421"
"Andere","1987","(noch) kein Abschluss","26","","",""
"Andere","1987","AkademikerIn","21","","",""
"Andere","1987","Hauptschule","276","0.0360581043358097","0.0313462348453563","0.0407699738262631"
"Andere","1987","Realschule","196","0.0916726948442639","0.0781875270331018","0.105157862655426"
"nicht erwerbstätig","1987","(Fach-)Abitur","339","0.469820988900346","0.434795979350221","0.504845998450472"
"nicht erwerbstätig","1987","(noch) kein Abschluss","533","0.652942261466114","0.623467351575351","0.682417171356878"
"nicht erwerbstätig","1987","AkademikerIn","161","0.260094739803886","0.228530162320421","0.291659317287351"
"nicht erwerbstätig","1987","Hauptschule","2482","0.488287956139503","0.475654644638677","0.500921267640329"
"nicht erwerbstätig","1987","Realschule","619","0.381364933214918","0.358666137479206","0.40406372895063"
"Teilzeit","1987","(Fach-)Abitur","39","0.053529093767282","0.0377330121342612","0.0693251754003029"
"Teilzeit","1987","(noch) kein Abschluss","36","0.0309889312540316","0.0202593716050988","0.0417184909029643"
"Teilzeit","1987","AkademikerIn","49","0.0613227237626388","0.0440597739111999","0.0785856736140777"
"Teilzeit","1987","Hauptschule","415","0.0696627413527904","0.0632286552778366","0.0760968274277442"
"Teilzeit","1987","Realschule","138","0.0732037002132589","0.0610313669636152","0.0853760334629026"
"voll erwerbstätig","1987","(Fach-)Abitur","304","0.339636695476841","0.306401398860217","0.372871992093466"
"voll erwerbstätig","1987","(noch) kein Abschluss","407","0.288361035210279","0.260312358430788","0.31640971198977"
"voll erwerbstätig","1987","AkademikerIn","511","0.651860029431723","0.617583230377289","0.686136828486158"
"voll erwerbstätig","1987","Hauptschule","2841","0.405991198171897","0.39357978800039","0.418402608343404"
"voll erwerbstätig","1987","Realschule","806","0.453758671727559","0.430492768466681","0.477024574988437"
"Andere","1988","(Fach-)Abitur","86","0.124125995632942","0.100321085952496","0.147930905313389"
"Andere","1988","(noch) kein Abschluss","15","","",""
"Andere","1988","AkademikerIn","20","","",""
"Andere","1988","Hauptschule","289","0.0389112380621798","0.0339093292377244","0.0439131468866352"
"Andere","1988","Realschule","188","0.0822014606569809","0.0691484893709013","0.0952544319430605"
"nicht erwerbstätig","1988","(Fach-)Abitur","323","0.459023798027947","0.423047122576856","0.495000473479038"
"nicht erwerbstätig","1988","(noch) kein Abschluss","495","0.695777567173252","0.665852440637618","0.725702693708885"
"nicht erwerbstätig","1988","AkademikerIn","147","0.239512858428049","0.20794174565666","0.271083971199437"
"nicht erwerbstätig","1988","Hauptschule","2389","0.492383610547172","0.479452491524943","0.5053147295694"
"nicht erwerbstätig","1988","Realschule","588","0.378136638672791","0.355092111649353","0.40118116569623"
"Teilzeit","1988","(Fach-)Abitur","40","0.0553505212335104","0.0388419096617844","0.0718591328052364"
"Teilzeit","1988","(noch) kein Abschluss","40","0.0299697061969202","0.018879514370822","0.0410598980230183"
"Teilzeit","1988","AkademikerIn","48","0.0615580937768607","0.0437783371111526","0.0793378504425688"
"Teilzeit","1988","Hauptschule","402","0.0693521903765474","0.0627810723506435","0.0759233084024512"
"Teilzeit","1988","Realschule","140","0.0793624447201405","0.0665170398714204","0.0922078495688605"
"voll erwerbstätig","1988","(Fach-)Abitur","288","0.3614996851056","0.326814112642534","0.396185257568666"
"voll erwerbstätig","1988","(noch) kein Abschluss","358","0.26111284198053","0.232542966873816","0.289682717087244"
"voll erwerbstätig","1988","AkademikerIn","487","0.672557725814123","0.637843163668411","0.707272287959836"
"voll erwerbstätig","1988","Hauptschule","2662","0.399352961014101","0.386685061154016","0.412020860874186"
"voll erwerbstätig","1988","Realschule","785","0.460299455950087","0.436613408610685","0.483985503289489"
"Andere","1989","(Fach-)Abitur","70","0.10718639472641","0.0851057042633995","0.129267085189421"
"Andere","1989","(noch) kein Abschluss","21","","",""
"Andere","1989","AkademikerIn","23","","",""
"Andere","1989","Hauptschule","265","0.0386582220147875","0.0335606471867185","0.0437557968428565"
"Andere","1989","Realschule","161","0.071450149542479","0.0590256547717062","0.0838746443132518"
