"erwst","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Andere","1985","Laendlicher Raum","115","0.0480921965691869","0.039481753512551","0.0567026396258229"
"Andere","1985","Staedtischer Raum","401","0.046022555480212","0.0416079279851354","0.0504371829752887"
"nicht erwerbstätig","1985","Laendlicher Raum","1028","0.489964612828718","0.469847147539569","0.510082078117867"
"nicht erwerbstätig","1985","Staedtischer Raum","3511","0.460348721728992","0.449847502589683","0.470849940868301"
"Teilzeit","1985","Laendlicher Raum","163","0.0676159114871404","0.0575114626586356","0.0777203603156451"
"Teilzeit","1985","Staedtischer Raum","591","0.0687301496897156","0.063399856939839","0.0740604424395921"
"voll erwerbstätig","1985","Laendlicher Raum","1066","0.394327279114955","0.374660276903912","0.413994281325997"
"voll erwerbstätig","1985","Staedtischer Raum","4151","0.424898573101081","0.414483687487193","0.435313458714969"
"Andere","1986","Laendlicher Raum","160","0.0667493472039331","0.0564593197372262","0.0770393746706401"
"Andere","1986","Staedtischer Raum","470","0.0534935876460031","0.0486594302473464","0.0583277450446599"
"nicht erwerbstätig","1986","Laendlicher Raum","946","0.474322822280787","0.45373594652855","0.494909698033024"
"nicht erwerbstätig","1986","Staedtischer Raum","3369","0.460774567924629","0.450065847572511","0.471483288276746"
"Teilzeit","1986","Laendlicher Raum","135","0.0576442077684778","0.0480351863588576","0.067253229178098"
"Teilzeit","1986","Staedtischer Raum","506","0.0608893172071752","0.0557519916747168","0.0660266427396336"
"voll erwerbstätig","1986","Laendlicher Raum","1019","0.401283622746802","0.381075305171705","0.421491940321899"
"voll erwerbstätig","1986","Staedtischer Raum","3978","0.424842527222193","0.414222747248323","0.435462307196062"
"Andere","1987","Laendlicher Raum","160","0.0604036023815368","0.0505069662574551","0.0703002385056186"
"Andere","1987","Staedtischer Raum","487","0.0539898440134887","0.0491051554235855","0.0588745326033919"
"nicht erwerbstätig","1987","Laendlicher Raum","880","0.451342579055568","0.430670255538721","0.472014902572416"
"nicht erwerbstätig","1987","Staedtischer Raum","3305","0.453082582864885","0.442323320281041","0.46384184544873"
"Teilzeit","1987","Laendlicher Raum","170","0.0773846331635271","0.0662846270743536","0.0884846392527006"
"Teilzeit","1987","Staedtischer Raum","518","0.0640812122391121","0.0587880234010186","0.0693744010772057"
"voll erwerbstätig","1987","Laendlicher Raum","1016","0.410869185399368","0.390430960859279","0.431307409939457"
"voll erwerbstätig","1987","Staedtischer Raum","3913","0.428846360882514","0.4181494030317","0.439543318733328"
"Andere","1988","Laendlicher Raum","149","0.0621294479012189","0.051775569959203","0.0724833258432347"
"Andere","1988","Staedtischer Raum","487","0.0519481680557695","0.0470482801867744","0.0568480559247647"
"nicht erwerbstätig","1988","Laendlicher Raum","849","0.465686736899306","0.444290975025051","0.487082498773562"
"nicht erwerbstätig","1988","Staedtischer Raum","3157","0.448894365098415","0.43791254095289","0.459876189243941"
"Teilzeit","1988","Laendlicher Raum","144","0.0682944512764544","0.0574747593576373","0.0791141431952715"
"Teilzeit","1988","Staedtischer Raum","535","0.0680181395578388","0.0624590830777212","0.0735771960379563"
"voll erwerbstätig","1988","Laendlicher Raum","946","0.40388936392302","0.382842980044067","0.424935747801973"
