"erwst","year","n","percent","lower_confidence","upper_confidence"
"Andere","1984","779","0.0630194053384122","0.0587011100745885","0.067337700602236"
"nicht erwerbstätig","1984","5048","0.471818648242169","0.462947313472236","0.480689983012102"
"Teilzeit","1984","661","0.0551375666492707","0.0510813795979765","0.0591937537005649"
"voll erwerbstätig","1984","5676","0.410024379770148","0.401283970716637","0.418764788823659"
"Andere","1985","516","0.0465344613289667","0.042602774271515","0.0504661483864185"
"nicht erwerbstätig","1985","4539","0.467673927993399","0.458360714786738","0.476987141200059"
"Teilzeit","1985","754","0.0684545535702518","0.063741066806526","0.0731680403339776"
"voll erwerbstätig","1985","5217","0.417337057107383","0.408132746400291","0.426541367814475"
"Andere","1986","630","0.0567289943383211","0.0523217768983257","0.0611362117783165"
"nicht erwerbstätig","1986","4315","0.464081365443215","0.454579908881194","0.473582822005236"
"Teilzeit","1986","641","0.060097265363644","0.0555692019033458","0.0646253288239421"
"voll erwerbstätig","1986","4997","0.41909237485482","0.409691849802928","0.428492899906711"
"Andere","1987","647","0.055530680402371","0.0511396024071229","0.0599217583976191"
"nicht erwerbstätig","1987","4185","0.452664565684889","0.443120668353615","0.462208463016163"
"Teilzeit","1987","688","0.0672772158739036","0.0624741225543653","0.0720803091934419"
"voll erwerbstätig","1987","4929","0.424527538038836","0.415050427785597","0.434004648292076"
"Andere","1988","636","0.0543668899034163","0.0499157355342448","0.0588180442725878"
"nicht erwerbstätig","1988","4006","0.452883654968173","0.443111794782771","0.462655515153576"
"Teilzeit","1988","679","0.0680837817168523","0.0631389177730584","0.0730286456606463"
"voll erwerbstätig","1988","4647","0.424665673411558","0.414962187082617","0.434369159740499"
"Andere","1989","570","0.0518181332221311","0.0473983468465217","0.0562379195977405"
"nicht erwerbstätig","1989","3805","0.446169177144163","0.436257368299394","0.456080985988931"
"Teilzeit","1989","673","0.0699911277664719","0.0649039183485747","0.0750783371843691"
"voll erwerbstätig","1989","4614","0.432021561867234","0.422144376363547","0.441898747370921"
"Andere","1990","661","0.045362034831281","0.0419008473410468","0.0488232223215152"
"nicht erwerbstätig","1990","4711","0.405449918293185","0.39728367450689","0.41361616207948"
"Teilzeit","1990","1130","0.0791501477226425","0.0746598019261963","0.0836404935190888"
"voll erwerbstätig","1990","7384","0.470037899152892","0.461736556216883","0.4783392420889"
"Andere","1991","755","0.0518984655944304","0.0481684815886014","0.0556284496002594"
"nicht erwerbstätig","1991","4890","0.417619791937904","0.40932708866519","0.425912495210618"
"Teilzeit","1991","982","0.0737417165053571","0.0693470597555008","0.0781363732552133"
"voll erwerbstätig","1991","6959","0.456740025962309","0.448363948669293","0.465116103255324"
"Andere","1992","670","0.0446084505601123","0.0411020585755136","0.048114842544711"
"nicht erwerbstätig","1992","5199","0.441466217704292","0.433032197080658","0.449900238327926"
"Teilzeit","1992","943","0.0733495144418322","0.0689214105855269","0.0777776182981376"
"voll erwerbstätig","1992","6504","0.440575817293763","0.432143593126273","0.449008041461254"
"Andere","1993","707","0.0490370734444336","0.0453393031225286","0.0527348437663386"
"nicht erwerbstätig","1993","5215","0.444200118700017","0.435691786705965","0.452708450694069"
"Teilzeit","1993","918","0.072822962839366","0.0683734611754542","0.0772724645032779"
"voll erwerbstätig","1993","6261","0.433939845016183","0.425453084925281","0.442426605107086"
"Andere","1994","690","0.0471970950124945","0.0435338381068404","0.0508603519181486"
"nicht erwerbstätig","1994","5317","0.459911010675486","0.451301513821089","0.468520507529883"
"Teilzeit","1994","883","0.0704532203905968","0.0660324876873232","0.0748739530938704"
"voll erwerbstätig","1994","5983","0.422438673921423","0.413905922493516","0.430971425349329"
"Andere","1995","745","0.0496261003484465","0.0459329045762604","0.0533192961206326"
"nicht erwerbstätig","1995","5430","0.460777955177261","0.452301199403401","0.469254710951121"
"Teilzeit","1995","976","0.0732714302036978","0.0688400030447868","0.0777028573626087"
"voll erwerbstätig","1995","6132","0.416324514270595","0.407941470699701","0.424707557841489"
"Andere","1996","705","0.0473112129590118","0.0436682871385046","0.0509541387795189"
"nicht erwerbstätig","1996","5393","0.462896890299425","0.454341029210038","0.471452751388812"
"Teilzeit","1996","1054","0.0812188858452712","0.0765315367054729","0.0859062349850694"
"voll erwerbstätig","1996","5895","0.408573010896292","0.400138145297151","0.417007876495432"
"Andere","1997","682","0.0439200529325717","0.040373984213688","0.0474661216514554"
"nicht erwerbstätig","1997","5431","0.473725464009192","0.465084978248693","0.48236594976969"
"Teilzeit","1997","992","0.079542940240616","0.0748605112276871","0.084225369253545"
"voll erwerbstätig","1997","5723","0.402811542817621","0.394324131073461","0.41129895456178"
"Andere","1998","796","0.0470557994098273","0.0435775244495409","0.0505340743701136"
"nicht erwerbstätig","1998","6109","0.472275782827789","0.464075573342284","0.480475992313293"
"Teilzeit","1998","1110","0.0803085279816218","0.0758445143798352","0.0847725415834083"
"voll erwerbstätig","1998","6223","0.400359889780762","0.392311774012255","0.40840800554927"
"Andere","1999","899","0.0603153013494829","0.0563250051753651","0.0643055975236008"
"nicht erwerbstätig","1999","5616","0.454307173178686","0.445961733492711","0.462652612864662"
"Teilzeit","1999","1116","0.0797153655369787","0.0751756105996237","0.0842551204743338"
"voll erwerbstätig","1999","6043","0.405662159934852","0.397432171149701","0.413892148720002"
"Andere","2000","1491","0.0580470902330459","0.0550954507183504","0.0609987297477414"
"nicht erwerbstätig","2000","10324","0.449077753625091","0.442799130458611","0.455356376791572"
"Teilzeit","2000","2232","0.0893841624909895","0.0857828867142758","0.0929854382677033"
"voll erwerbstätig","2000","10062","0.403490993650873","0.397298238377943","0.409683748923804"
"Andere","2001","1458","0.0618299230574204","0.0586416313360441","0.0650182147787967"
"nicht erwerbstätig","2001","9347","0.449253570369675","0.442668816839041","0.455838323900309"
"Teilzeit","2001","2057","0.0898233424284613","0.0860382598184288","0.0936084250384937"
"voll erwerbstätig","2001","9059","0.399093164144443","0.392610423803272","0.405575904485614"
"Andere","2002","1536","0.0642024158088114","0.0610364553553551","0.0673683762622676"
"nicht erwerbstätig","2002","9655","0.462217487853076","0.455777791867457","0.468657183838696"
"Teilzeit","2002","2283","0.0905330904703088","0.086826829767571","0.0942393511730465"
"voll erwerbstätig","2002","9552","0.383047005867804","0.37676799962331","0.389326012112297"
"Andere","2003","1495","0.0635740537173003","0.0603620125847429","0.0667860948498577"
"nicht erwerbstätig","2003","9545","0.469845024360143","0.463274755168766","0.47641529355152"
"Teilzeit","2003","2269","0.0923814176044111","0.0885694567936422","0.09619337841518"
"voll erwerbstätig","2003","8857","0.374199504318146","0.367828997543211","0.380570011093081"
"Andere","2004","1526","0.0673927875799227","0.0640504007855858","0.0707351743742595"
"nicht erwerbstätig","2004","9382","0.473141358683288","0.466484901823559","0.479797815543016"
"Teilzeit","2004","2186","0.0905985441925441","0.0867717153044795","0.0944253730806087"
"voll erwerbstätig","2004","8518","0.368867309544246","0.362434569023994","0.375300050064498"
"Andere","2005","1497","0.0718037242822542","0.0682866843784449","0.0753207641860636"
"nicht erwerbstätig","2005","9125","0.467059208964739","0.460262332907237","0.473856085022242"
"Teilzeit","2005","2092","0.0933935041567646","0.0894293398371779","0.0973576684763513"
"voll erwerbstätig","2005","7984","0.367743562596242","0.361174505007679","0.374312620184804"
"Andere","2006","1693","0.075866767718385","0.0723890000200088","0.0793445354167613"
"nicht erwerbstätig","2006","9950","0.466326012102233","0.459773764161511","0.472878260042956"
"Teilzeit","2006","2309","0.0925629419699294","0.0887563676360982","0.0963695163037605"
"voll erwerbstätig","2006","8316","0.365244278209452","0.358920123182388","0.371568433236517"
"Andere","2007","1549","0.0754483301567969","0.0718632746335393","0.0790333856800544"
"nicht erwerbstätig","2007","9137","0.454127149612773","0.447368810850811","0.460885488374734"
"Teilzeit","2007","2290","0.0995529500308455","0.095488875787802","0.103617024273889"
"voll erwerbstätig","2007","7873","0.370871570199585","0.364314846190505","0.377428294208665"
"Andere","2008","1516","0.0816620665771076","0.0778254091096387","0.0854987240445765"
"nicht erwerbstätig","2008","8415","0.437721621166939","0.430771117543763","0.444672124790116"
"Teilzeit","2008","2128","0.098428541917596","0.0942550249298422","0.10260205890535"
"voll erwerbstätig","2008","7512","0.382187770338357","0.375379947805462","0.388995592871252"
"Andere","2009","1421","0.0831197067859958","0.0791147191338728","0.0871246944381188"
"nicht erwerbstätig","2009","7865","0.435523088066234","0.428329897864437","0.44271627826803"
"Teilzeit","2009","1989","0.0982865054905583","0.0939675961009468","0.10260541488017"
"voll erwerbstätig","2009","6977","0.383070699657212","0.376018087085795","0.39012331222863"
"Andere","2010","2066","0.0844393192017792","0.0809452728011062","0.0879333656024521"
"nicht erwerbstätig","2010","10195","0.434535918561204","0.428306778557432","0.440765058564977"
"Teilzeit","2010","3052","0.101929563690066","0.0981275119518149","0.105731615428318"
"voll erwerbstätig","2010","9013","0.37909519854695","0.372998434453348","0.385191962640553"
"Andere","2011","2302","0.0764496935597483","0.0733859324826941","0.0795134546368025"
"nicht erwerbstätig","2011","11842","0.431558209853418","0.425847377222963","0.437269042483874"
"Teilzeit","2011","3938","0.101638586909367","0.0981544790148302","0.105122694803904"
"voll erwerbstätig","2011","10813","0.390353509677467","0.384728738949223","0.39597828040571"
"Andere","2012","2390","0.0786087703554372","0.0754657242504243","0.0817518164604501"
"nicht erwerbstätig","2012","11341","0.426782024476589","0.421005638921065","0.432558410032113"
"Teilzeit","2012","3947","0.105321025579768","0.101736065131585","0.108905986027951"
"voll erwerbstätig","2012","10487","0.389288179588206","0.383593792516571","0.394982566659841"
"Andere","2013","3028","0.0844849982984881","0.0813978291391876","0.0875721674577886"
"nicht erwerbstätig","2013","12029","0.424910428145573","0.419423183343872","0.430397672947274"
"Teilzeit","2013","4456","0.109727480931147","0.10625805929106","0.113196902571233"
"voll erwerbstätig","2013","11663","0.380877092624792","0.375486720375047","0.386267464874538"
"Andere","2014","2780","0.0895595299699873","0.0861936555338437","0.0929254044061308"
"nicht erwerbstätig","2014","10739","0.418836123268666","0.413020616008478","0.424651630528855"
"Teilzeit","2014","3903","0.113353311724625","0.109616436169827","0.117090187279422"
"voll erwerbstätig","2014","10226","0.378251035036722","0.372534750627343","0.383967319446101"
"Andere","2015","2649","0.0882857683954744","0.0849229170546143","0.0916486197363346"
"nicht erwerbstätig","2015","10646","0.413661793851717","0.407824255403522","0.419499332299912"
"Teilzeit","2015","3951","0.118601425539855","0.114769085135386","0.122433765944323"
"voll erwerbstätig","2015","10096","0.379451012212954","0.37369927752303","0.385202746902878"
"Andere","2016","2493","0.0838083997326513","0.0805508875059375","0.0870659119593651"
"nicht erwerbstätig","2016","12236","0.409863459368294","0.404081900108933","0.415645018627655"
"Teilzeit","2016","3817","0.122283847843107","0.11843251794831","0.126135177737903"
"voll erwerbstätig","2016","9251","0.384044293055948","0.378326683076679","0.389761903035217"
"Andere","2017","2749","0.0868223643403973","0.0836950734599394","0.0899496552208553"
"nicht erwerbstätig","2017","13432","0.402840491153144","0.397393124908567","0.408287857397721"
"Teilzeit","2017","4333","0.123151648473983","0.119501948196782","0.126801348751184"
"voll erwerbstätig","2017","10628","0.387185496032476","0.38177547568227","0.392595516382682"
"Andere","2018","2703","0.0841587826568711","0.0810051493437532","0.0873124159699889"
"nicht erwerbstätig","2018","12454","0.395123630182586","0.389570329478594","0.400676930886579"
"Teilzeit","2018","4362","0.12975194032839","0.125934872810396","0.133569007846384"
"voll erwerbstätig","2018","10252","0.390965646832152","0.385422689008357","0.396508604655948"
"Andere","2019","2566","0.077297716352639","0.0742585485147466","0.0803368841905314"
"nicht erwerbstätig","2019","11448","0.390911006576394","0.385358106220967","0.39646390693182"
"Teilzeit","2019","4447","0.138478702230021","0.134548046054486","0.142409358405557"
"voll erwerbstätig","2019","11202","0.393312574840946","0.387753635082067","0.398871514599825"
"Andere","2020","2495","0.0763593932767847","0.0733542653185147","0.0793645212350547"
"nicht erwerbstätig","2020","11477","0.393569313327289","0.388041142882392","0.399097483772185"
"Teilzeit","2020","4352","0.139098117637603","0.135182343076244","0.143013892198962"
"voll erwerbstätig","2020","11677","0.390973175758323","0.385451487074974","0.396494864441673"
