"erwst","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1985","17-29","Städtischer Raum","1129","0.466159661689859","0.446549978951486","0.485769344428233"
"voll erwerbstätig","1985","17-29","Ländlicher Raum","315","0.474608936357715","0.43633805064873","0.5128798220667"
"voll erwerbstätig","1985","30-45","Städtischer Raum","1689","0.613839817509734","0.595639792085658","0.63203984293381"
"voll erwerbstätig","1985","30-45","Ländlicher Raum","424","0.558641237140509","0.522521701951537","0.594760772329481"
"voll erwerbstätig","1985","46-65","Städtischer Raum","1321","0.456114105115698","0.436983960616909","0.475244249614488"
"voll erwerbstätig","1985","46-65","Ländlicher Raum","321","0.43487969263519","0.398155344818304","0.471604040452076"
"voll erwerbstätig","1985","66","Städtischer Raum","","","",""
"voll erwerbstätig","1985","66","Ländlicher Raum","","","",""
"Teilzeit","1985","17-29","Städtischer Raum","96","0.0391446122463006","0.0315209694136371","0.046768255078964"
"Teilzeit","1985","17-29","Ländlicher Raum","24","","",""
"Teilzeit","1985","30-45","Städtischer Raum","285","0.116432854828502","0.104442879942641","0.128422829714364"
"Teilzeit","1985","30-45","Ländlicher Raum","85","0.135757117402437","0.110841079067324","0.160673155737549"
"Teilzeit","1985","46-65","Städtischer Raum","195","0.0822506965839412","0.071698097827488","0.0928032953403944"
"Teilzeit","1985","46-65","Ländlicher Raum","53","0.0770521835045778","0.0572970431533378","0.0968073238558177"
"Teilzeit","1985","66","Städtischer Raum","","","",""
"Teilzeit","1985","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1985","17-29","Städtischer Raum","977","0.37448014594598","0.355454803746601","0.393505488145358"
"nicht erwerbstätig","1985","17-29","Ländlicher Raum","244","0.368300031059169","0.331332919138086","0.405267142980252"
"nicht erwerbstätig","1985","30-45","Städtischer Raum","704","0.238453225851325","0.222523415203021","0.254383036499629"
"nicht erwerbstätig","1985","30-45","Ländlicher Raum","194","0.272622910823886","0.240230686996245","0.305015134651527"
"nicht erwerbstätig","1985","46-65","Städtischer Raum","1053","0.445919265579963","0.42682766920972","0.465010861950206"
"nicht erwerbstätig","1985","46-65","Ländlicher Raum","308","0.460427099956","0.42350345431347","0.49735074559853"
"nicht erwerbstätig","1985","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1985","66","Ländlicher Raum","","","",""
"Andere","1985","17-29","Städtischer Raum","284","0.120215580117861","0.107431601354627","0.132999558881095"
"Andere","1985","17-29","Ländlicher Raum","71","0.11814489917704","0.0934068572917074","0.142882941062373"
"Andere","1985","30-45","Städtischer Raum","71","0.0312741018104384","0.0247675094468824","0.0377806941739944"
"Andere","1985","30-45","Ländlicher Raum","23","","",""
"Andere","1985","46-65","Städtischer Raum","35","0.015715932720397","0.0109389033754139","0.02049296206538"
"Andere","1985","46-65","Ländlicher Raum","18","","",""
"Andere","1985","66","Städtischer Raum","","","",""
"Andere","1985","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1986","17-29","Städtischer Raum","1097","0.471292966741824","0.451367775013174","0.491218158470473"
"voll erwerbstätig","1986","17-29","Ländlicher Raum","288","0.459117837346798","0.420630437652754","0.497605237040843"
"voll erwerbstätig","1986","30-45","Städtischer Raum","1570","0.609283259514033","0.590518078906321","0.628048440121744"
"voll erwerbstätig","1986","30-45","Ländlicher Raum","401","0.587577206463642","0.550357987583396","0.624796425343888"
"voll erwerbstätig","1986","46-65","Städtischer Raum","1304","0.460209879101449","0.440868684424663","0.479551073778235"
