"erwst","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1984","17-34","571","0.131979117158174","0.122192715655692","0.141765518660657"
"Andere","1984","35-65","187","","",""
"Andere","1984","66 +","21","","",""
"nicht erwerbstätig","1984","17-34","1669","","",""
"nicht erwerbstätig","1984","35-65","2162","","",""
"nicht erwerbstätig","1984","66 +","1217","","",""
"Teilzeit","1984","17-34","188","","",""
"Teilzeit","1984","35-65","461","0.0802145616102544","0.0735083266762554","0.0869207965442534"
"Teilzeit","1984","66 +","12","","",""
"voll erwerbstätig","1984","17-34","2167","","",""
"voll erwerbstätig","1984","35-65","3492","0.509405949758019","0.497063480998656","0.521748418517383"
"voll erwerbstätig","1984","66 +","17","","",""
"Andere","1985","17-34","387","0.0990696777524861","0.0899998254876871","0.108139530017285"
"Andere","1985","35-65","115","","",""
"Andere","1985","66 +","14","","",""
"nicht erwerbstätig","1985","17-34","1489","","",""
"nicht erwerbstätig","1985","35-65","1991","","",""
"nicht erwerbstätig","1985","66 +","1059","","",""
"Teilzeit","1985","17-34","217","","",""
"Teilzeit","1985","35-65","521","0.0989829940997997","0.0912646667406558","0.106701321458944"
"Teilzeit","1985","66 +","16","","",""
"voll erwerbstätig","1985","17-34","2075","","",""
"voll erwerbstätig","1985","35-65","3124","0.499152881454171","0.486230403847624","0.512075359060719"
"voll erwerbstätig","1985","66 +","18","","",""
"Andere","1986","17-34","457","0.116091382832218","0.10626691804465","0.125915847619785"
"Andere","1986","35-65","162","","",""
"Andere","1986","66 +","11","","",""
"nicht erwerbstätig","1986","17-34","1418","","",""
"nicht erwerbstätig","1986","35-65","1896","","",""
"nicht erwerbstätig","1986","66 +","1001","","",""
"Teilzeit","1986","17-34","203","","",""
"Teilzeit","1986","35-65","429","0.0832788800955012","0.0759553597112507","0.0906024004797517"
"Teilzeit","1986","66 +","9","0.00821857887173547","0.00270764618617367","0.0137295115572973"
"voll erwerbstätig","1986","17-34","2006","","",""
"voll erwerbstätig","1986","35-65","2981","","",""
"voll erwerbstätig","1986","66 +","10","","",""
"Andere","1987","17-34","523","0.127997323590341","0.117682663489146","0.138311983691537"
"Andere","1987","35-65","113","","",""
"Andere","1987","66 +","11","","",""
"nicht erwerbstätig","1987","17-34","1352","","",""
"nicht erwerbstätig","1987","35-65","1801","","",""
"nicht erwerbstätig","1987","66 +","1032","","",""
"Teilzeit","1987","17-34","196","","",""
"Teilzeit","1987","35-65","481","0.0972752586235029","0.0893354600407958","0.10521505720621"
"Teilzeit","1987","66 +","11","","",""
"voll erwerbstätig","1987","17-34","1959","","",""
"voll erwerbstätig","1987","35-65","2956","","",""
"voll erwerbstätig","1987","66 +","14","","",""
"Andere","1988","17-34","527","0.12725239483575","0.116720154369477","0.137784635302023"
"Andere","1988","35-65","100","","",""
"Andere","1988","66 +","9","0.00843726052196507","0.00286490592350598","0.0140096151204242"
"nicht erwerbstätig","1988","17-34","1290","","",""
"nicht erwerbstätig","1988","35-65","1716","","",""
"nicht erwerbstätig","1988","66 +","1000","","",""
"Teilzeit","1988","17-34","185","","",""
"Teilzeit","1988","35-65","483","0.10099407641827","0.0927137692105501","0.109274383625989"
"Teilzeit","1988","66 +","11","","",""
"voll erwerbstätig","1988","17-34","1844","","",""
"voll erwerbstätig","1988","35-65","2788","","",""
"voll erwerbstätig","1988","66 +","15","","",""
"Andere","1989","17-34","454","0.118523986930819","0.108196625959052","0.128851347902587"
"Andere","1989","35-65","107","","",""
"Andere","1989","66 +","9","0.00820851037092775","0.00264671664914469","0.0137703040927108"
"nicht erwerbstätig","1989","17-34","1188","","",""
"nicht erwerbstätig","1989","35-65","1642","","",""
"nicht erwerbstätig","1989","66 +","975","0.970103957561211","0.959606394262497","0.980601520859925"
"Teilzeit","1989","17-34","204","","",""
"Teilzeit","1989","35-65","456","0.0988572289816369","0.0904899642396359","0.107224493723638"
"Teilzeit","1989","66 +","13","","",""
"voll erwerbstätig","1989","17-34","1917","","",""
"voll erwerbstätig","1989","35-65","2683","","",""
"voll erwerbstätig","1989","66 +","14","","",""
"Andere","1990","17-34","544","0.105308564943138","0.0970765663173544","0.113540563568921"
"Andere","1990","35-65","111","","",""
"Andere","1990","66 +","6","0.00324597666615517","0.000330288325640609","0.00616166500666973"
"nicht erwerbstätig","1990","17-34","1423","","",""
"nicht erwerbstätig","1990","35-65","1875","","",""
"nicht erwerbstätig","1990","66 +","1413","","",""
"Teilzeit","1990","17-34","361","0.0697787589299236","0.0629460715825708","0.0766114462772764"
"Teilzeit","1990","35-65","748","0.108925902950844","0.101670492870105","0.116181313031582"
"Teilzeit","1990","66 +","21","","",""
"voll erwerbstätig","1990","17-34","3013","0.554930135389581","0.541601979870249","0.568258290908913"
"voll erwerbstätig","1990","35-65","4349","0.570392378747258","0.558864157155748","0.581920600338769"
"voll erwerbstätig","1990","66 +","22","","",""
"Andere","1991","17-34","603","0.118467136361745","0.109647153842705","0.127287118880784"
"Andere","1991","35-65","138","","",""
"Andere","1991","66 +","14","","",""
"nicht erwerbstätig","1991","17-34","1467","","",""
"nicht erwerbstätig","1991","35-65","2018","","",""
"nicht erwerbstätig","1991","66 +","1405","","",""
"Teilzeit","1991","17-34","327","0.0664303425965409","0.059633516857073","0.0732271683360087"
"Teilzeit","1991","35-65","643","0.102269549176646","0.0951637809970488","0.109375317356243"
"Teilzeit","1991","66 +","12","","",""
"voll erwerbstätig","1991","17-34","2760","","",""
"voll erwerbstätig","1991","35-65","4186","0.562819759717493","0.551187078784066","0.57445244065092"
"voll erwerbstätig","1991","66 +","13","","",""
"Andere","1992","17-34","556","0.111634125543084","0.102886877357779","0.120381373728388"
"Andere","1992","35-65","106","","",""
"Andere","1992","66 +","8","0.00470119055674523","0.00117914825222426","0.0082232328612662"
"nicht erwerbstätig","1992","17-34","1569","","",""
"nicht erwerbstätig","1992","35-65","2207","","",""
"nicht erwerbstätig","1992","66 +","1423","","",""
"Teilzeit","1992","17-34","304","0.064441808317959","0.0576216211988367","0.0712619954370813"
"Teilzeit","1992","35-65","631","0.102743313294207","0.0955730243494957","0.109913602238917"
"Teilzeit","1992","66 +","8","0.00545177233838148","0.00166040662704583","0.00924313804971713"
"voll erwerbstätig","1992","17-34","2550","","",""
"voll erwerbstätig","1992","35-65","3944","0.544261322340604","0.532499809095643","0.556022835585566"
"voll erwerbstätig","1992","66 +","10","","",""
"Andere","1993","17-34","583","0.119209760535223","0.110129526937814","0.128289994132632"
"Andere","1993","35-65","112","","",""
"Andere","1993","66 +","12","","",""
"nicht erwerbstätig","1993","17-34","1550","","",""
"nicht erwerbstätig","1993","35-65","2221","","",""
"nicht erwerbstätig","1993","66 +","1444","","",""
"Teilzeit","1993","17-34","290","","",""
"Teilzeit","1993","35-65","621","0.101923188459686","0.0946992201887167","0.109147156730656"
"Teilzeit","1993","66 +","7","0.00456897669377438","0.00112264708000349","0.00801530630754528"
"voll erwerbstätig","1993","17-34","2469","","",""
"voll erwerbstätig","1993","35-65","3784","0.539744567683821","0.527843766790869","0.551645368576774"
"voll erwerbstätig","1993","66 +","8","0.00426702876463184","0.00093601840105835","0.00759803912820532"
"Andere","1994","17-34","541","0.109165134658189","0.100340356184276","0.117989913132102"
"Andere","1994","35-65","143","","",""
"Andere","1994","66 +","6","0.00411179825151251","0.000864778937783178","0.00735881756524185"
"nicht erwerbstätig","1994","17-34","1613","","",""
