"erwst","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig","1984","16-34 J.","männlich","582","0.264696653238776","0.246524040315382","0.282869266162171"
"Nicht erwerbstätig","1984","16-34 J.","weiblich","1087","0.444392781080738","0.424220993233943","0.464564568927533"
"Nicht erwerbstätig","1984","35-65 J.","männlich","447","0.165845773678421","0.152926534365037","0.178765012991806"
"Nicht erwerbstätig","1984","35-65 J.","weiblich","1715","0.576845967703774","0.55950436597031","0.594187569437238"
"Nicht erwerbstätig","1984","66 und älter","männlich","474","0.945872018659329","0.926137365118466","0.965606672200191"
"Nicht erwerbstätig","1984","66 und älter","weiblich","743","0.976428029148978","0.965656219460496","0.98719983883746"
"Sonstiges","1984","16-34 J.","männlich","292","0.128842097121584","0.115041838901099","0.142642355342069"
"Sonstiges","1984","16-34 J.","weiblich","279","0.135148224997763","0.121269391427984","0.149027058567542"
"Sonstiges","1984","35-65 J.","männlich","","","",""
"Sonstiges","1984","35-65 J.","weiblich","168","0.0589767849154464","0.0507078275793304","0.0672457422515623"
"Sonstiges","1984","66 und älter","männlich","","","",""
"Sonstiges","1984","66 und älter","weiblich","","","",""
"Teilzeit","1984","16-34 J.","männlich","","","",""
"Teilzeit","1984","16-34 J.","weiblich","167","0.075056580484411","0.0643603950132712","0.0857527659555509"
"Teilzeit","1984","35-65 J.","männlich","","","",""
"Teilzeit","1984","35-65 J.","weiblich","448","0.151552990738173","0.138966500227262","0.164139481249085"
"Teilzeit","1984","66 und älter","männlich","","","",""
"Teilzeit","1984","66 und älter","weiblich","","","",""
"Vollzeit","1984","16-34 J.","männlich","1369","0.596613978411248","0.57640627243049","0.616821684392006"
"Vollzeit","1984","16-34 J.","weiblich","798","0.345402413437087","0.326099323326812","0.364705503547362"
"Vollzeit","1984","35-65 J.","männlich","2705","0.822809708775846","0.80954703075901","0.836072386792682"
"Vollzeit","1984","35-65 J.","weiblich","787","0.212624256642606","0.198262503571123","0.22698600971409"
"Vollzeit","1984","66 und älter","männlich","","","",""
"Vollzeit","1984","66 und älter","weiblich","","","",""
"Nicht erwerbstätig","1985","16-34 J.","männlich","578","0.284230118052272","0.264906642825854","0.303553593278689"
"Nicht erwerbstätig","1985","16-34 J.","weiblich","911","0.394245005388332","0.373218328436687","0.415271682339977"
"Nicht erwerbstätig","1985","35-65 J.","männlich","441","0.181897829794468","0.167804285415348","0.195991374173587"
"Nicht erwerbstätig","1985","35-65 J.","weiblich","1550","0.5638960158845","0.545762800576994","0.582029231192006"
"Nicht erwerbstätig","1985","66 und älter","männlich","414","0.944948782773914","0.923709794464185","0.966187771083644"
"Nicht erwerbstätig","1985","66 und älter","weiblich","645","0.976040340599773","0.964408772833625","0.98767190836592"
"Sonstiges","1985","16-34 J.","männlich","205","0.0978919734964557","0.0851608628591919","0.11062308413372"
"Sonstiges","1985","16-34 J.","weiblich","182","0.10028751094141","0.087362993370375","0.113212028512444"
"Sonstiges","1985","35-65 J.","männlich","","","",""
"Sonstiges","1985","35-65 J.","weiblich","98","0.036803275775011","0.0299186392837913","0.0436879122662308"
"Sonstiges","1985","66 und älter","männlich","","","",""
"Sonstiges","1985","66 und älter","weiblich","","","",""
"Teilzeit","1985","16-34 J.","männlich","31","0.0168340524275901","0.0113225344464866","0.0223455704086936"
"Teilzeit","1985","16-34 J.","weiblich","186","0.0918738489042986","0.0794456530974477","0.10430204471115"
"Teilzeit","1985","35-65 J.","männlich","","","",""
"Teilzeit","1985","35-65 J.","weiblich","505","0.186733164343144","0.17248340474372","0.200982923942569"
"Teilzeit","1985","66 und älter","männlich","","","",""
"Teilzeit","1985","66 und älter","weiblich","","","",""
"Vollzeit","1985","16-34 J.","männlich","1279","0.601043856023682","0.580065128769041","0.622022583278323"
"Vollzeit","1985","16-34 J.","weiblich","796","0.41359363476596","0.392403910690004","0.434783358841916"
"Vollzeit","1985","35-65 J.","männlich","2404","0.80468544312655","0.79020162459063","0.81916926166247"
"Vollzeit","1985","35-65 J.","weiblich","720","0.212567543997345","0.197607412495101","0.227527675499588"
"Vollzeit","1985","66 und älter","männlich","","","",""
"Vollzeit","1985","66 und älter","weiblich","","","",""
"Nicht erwerbstätig","1986","16-34 J.","männlich","558","0.265823297318071","0.246824475806855","0.284822118829288"
"Nicht erwerbstätig","1986","16-34 J.","weiblich","860","0.383005622492896","0.36173806660619","0.404273178379603"
"Nicht erwerbstätig","1986","35-65 J.","männlich","426","0.183041337316818","0.168548812362326","0.19753386227131"
"Nicht erwerbstätig","1986","35-65 J.","weiblich","1470","0.565195152579276","0.546609634233035","0.583780670925516"
"Nicht erwerbstätig","1986","66 und älter","männlich","402","0.966242098682901","0.948949041523796","0.983535155842006"
"Nicht erwerbstätig","1986","66 und älter","weiblich","599","0.978124892175071","0.966535927560149","0.989713856789993"
"Sonstiges","1986","16-34 J.","männlich","232","0.113528296588306","0.0998851563839532","0.12717143679266"
"Sonstiges","1986","16-34 J.","weiblich","225","0.118777749803135","0.104623570964555","0.132931928641716"
"Sonstiges","1986","35-65 J.","männlich","","","",""
"Sonstiges","1986","35-65 J.","weiblich","150","0.0563790413595398","0.0477316342025787","0.0650264485165009"
"Sonstiges","1986","66 und älter","männlich","","","",""
"Sonstiges","1986","66 und älter","weiblich","","","",""
"Teilzeit","1986","16-34 J.","männlich","","","",""
"Teilzeit","1986","16-34 J.","weiblich","174","0.0938186519338939","0.0810622980636345","0.106575005804153"
"Teilzeit","1986","35-65 J.","männlich","32","0.0128027701125991","0.00858946060476419","0.0170160796204341"
"Teilzeit","1986","35-65 J.","weiblich","397","0.149996277313763","0.136609410907807","0.16338314371972"
"Teilzeit","1986","66 und älter","männlich","","","",""
"Teilzeit","1986","66 und älter","weiblich","","","",""
"Vollzeit","1986","16-34 J.","männlich","1258","0.606042946642259","0.585029079433506","0.627056813851011"
"Vollzeit","1986","16-34 J.","weiblich","748","0.404397975770074","0.382926743312004","0.425869208228145"
"Vollzeit","1986","35-65 J.","männlich","2265","0.79766736529079","0.782611237014943","0.812723493566636"
"Vollzeit","1986","35-65 J.","weiblich","716","0.228429528747421","0.212689982924643","0.244169074570199"
"Vollzeit","1986","66 und älter","männlich","","","",""
"Vollzeit","1986","66 und älter","weiblich","","","",""
"Nicht erwerbstätig","1987","16-34 J.","männlich","532","0.240280943477177","0.221875381059886","0.258686505894469"
"Nicht erwerbstätig","1987","16-34 J.","weiblich","820","0.371823959228838","0.350428115126088","0.393219803331588"
"Nicht erwerbstätig","1987","35-65 J.","männlich","422","0.179952813302758","0.165406247494325","0.194499379111192"
"Nicht erwerbstätig","1987","35-65 J.","weiblich","1379","0.533665464600717","0.514750165926703","0.552580763274731"
"Nicht erwerbstätig","1987","66 und älter","männlich","402","0.959542383632769","0.940766078489136","0.978318688776401"
"Nicht erwerbstätig","1987","66 und älter","weiblich","630","0.979512333374368","0.96857983459797","0.990444832150766"
"Sonstiges","1987","16-34 J.","männlich","274","0.126630703434023","0.112304490956172","0.140956915911873"
"Sonstiges","1987","16-34 J.","weiblich","249","0.129427679056732","0.114567088637409","0.144288269476056"
"Sonstiges","1987","35-65 J.","männlich","","","",""
"Sonstiges","1987","35-65 J.","weiblich","97","0.0377154263119431","0.0304920350993243","0.0449388175245619"
"Sonstiges","1987","66 und älter","männlich","","","",""
"Sonstiges","1987","66 und älter","weiblich","","","",""
"Teilzeit","1987","16-34 J.","männlich","","","",""
"Teilzeit","1987","16-34 J.","weiblich","169","0.0947301607241235","0.08176573696527","0.107694584482977"
"Teilzeit","1987","35-65 J.","männlich","","","",""
"Teilzeit","1987","35-65 J.","weiblich","471","0.186487569047282","0.171719051450603","0.201256086643962"
"Teilzeit","1987","66 und älter","männlich","","","",""
"Teilzeit","1987","66 und älter","weiblich","","","",""
"Vollzeit","1987","16-34 J.","männlich","1237","0.616701374655832","0.595756922384757","0.637645826926906"
"Vollzeit","1987","16-34 J.","weiblich","722","0.404018200990306","0.382294339805839","0.425742062174774"
"Vollzeit","1987","35-65 J.","männlich","2231","0.806453543453575","0.791493115266437","0.821413971640713"
"Vollzeit","1987","35-65 J.","weiblich","725","0.242131540040058","0.225889055464286","0.25837402461583"
"Vollzeit","1987","66 und älter","männlich","","","",""
"Vollzeit","1987","66 und älter","weiblich","","","",""
