"erwst","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1995","17-29","1 Einkommensschwächstes Quintil","362","0.23916238080244","0.216825555562459","0.261499206042421"
"voll erwerbstätig","1995","17-29","2","418","0.463964145495134","0.431930056295121","0.495998234695147"
"voll erwerbstätig","1995","17-29","3","308","0.565280304893872","0.523313850218305","0.60724675956944"
"voll erwerbstätig","1995","17-29","4","265","0.691203962074535","0.644444293282457","0.737963630866614"
"voll erwerbstätig","1995","17-29","5 Einkommensstärkstes Quintil","72","0.606545024568178","0.516072205515011","0.697017843621345"
"voll erwerbstätig","1995","30-45","1 Einkommensschwächstes Quintil","877","0.457565846010407","0.434270856260997","0.480860835759817"
"voll erwerbstätig","1995","30-45","2","833","0.65675973975388","0.630279800494859","0.683239679012901"
"voll erwerbstätig","1995","30-45","3","534","0.722012996717211","0.689356943440132","0.75466904999429"
"voll erwerbstätig","1995","30-45","4","370","0.768804536838647","0.730360877006785","0.807248196670509"
"voll erwerbstätig","1995","30-45","5 Einkommensstärkstes Quintil","212","0.81054789419661","0.763188157832557","0.857907630560662"
"voll erwerbstätig","1995","46-65","1 Einkommensschwächstes Quintil","373","0.246636748754206","0.223391842907157","0.269881654601255"
"voll erwerbstätig","1995","46-65","2","550","0.419810504905342","0.391519236634677","0.448101773176007"
"voll erwerbstätig","1995","46-65","3","427","0.54674943926184","0.510183945492493","0.583314933031186"
"voll erwerbstätig","1995","46-65","4","334","0.657048955467426","0.61531545376871","0.698782457166141"
"voll erwerbstätig","1995","46-65","5 Einkommensstärkstes Quintil","185","0.676133122016297","0.620003536730544","0.73226270730205"
"voll erwerbstätig","1995","66","1 Einkommensschwächstes Quintil","","","",""
"voll erwerbstätig","1995","66","2","","","",""
"voll erwerbstätig","1995","66","3","","","",""
"voll erwerbstätig","1995","66","4","","","",""
"voll erwerbstätig","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Teilzeit","1995","17-29","1 Einkommensschwächstes Quintil","48","0.0359464551865198","0.0261986321568825","0.0456942782161571"
"Teilzeit","1995","17-29","2","58","0.0649449427186728","0.0491155406157875","0.0807743448215582"
"Teilzeit","1995","17-29","3","18","","",""
"Teilzeit","1995","17-29","4","9","","",""
"Teilzeit","1995","17-29","5 Einkommensstärkstes Quintil","2","","",""
"Teilzeit","1995","30-45","1 Einkommensschwächstes Quintil","195","0.121680042557059","0.106393887441436","0.136966197672682"
"Teilzeit","1995","30-45","2","174","0.146678696190651","0.126947454024571","0.166409938356731"
"Teilzeit","1995","30-45","3","78","0.115073762921621","0.091813177781147","0.138334348062094"
"Teilzeit","1995","30-45","4","54","0.138082553849536","0.106624681607957","0.169540426091115"
"Teilzeit","1995","30-45","5 Einkommensstärkstes Quintil","33","0.136464266902726","0.0949765203156507","0.177952013489802"
"Teilzeit","1995","46-65","1 Einkommensschwächstes Quintil","76","0.0629596476930549","0.0498615877520764","0.0760577076340334"
"Teilzeit","1995","46-65","2","85","0.0769085320913059","0.061634613729181","0.0921824504534308"
"Teilzeit","1995","46-65","3","67","0.092349550578903","0.0710835999709619","0.113615501186844"
"Teilzeit","1995","46-65","4","43","0.0861414970141651","0.0614745396791323","0.110808454349198"
"Teilzeit","1995","46-65","5 Einkommensstärkstes Quintil","27","","",""
"Teilzeit","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Teilzeit","1995","66","2","","","",""
"Teilzeit","1995","66","3","","","",""
"Teilzeit","1995","66","4","","","",""
"Teilzeit","1995","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1995","17-29","1 Einkommensschwächstes Quintil","722","0.522446474522523","0.496291099430175","0.54860184961487"
"nicht erwerbstätig","1995","17-29","2","309","0.322602175506107","0.292574010394633","0.352630340617581"
"nicht erwerbstätig","1995","17-29","3","144","0.292771930120116","0.254249811976688","0.331294048263544"
"nicht erwerbstätig","1995","17-29","4","72","0.19470885058733","0.154631245027673","0.234786456146987"
"nicht erwerbstätig","1995","17-29","5 Einkommensstärkstes Quintil","31","0.296482160098157","0.211900555446749","0.381063764749565"
"nicht erwerbstätig","1995","30-45","1 Einkommensschwächstes Quintil","629","0.379964866051645","0.357269244535416","0.402660487567873"
"nicht erwerbstätig","1995","30-45","2","189","0.162850591201546","0.142258010842206","0.183443171560886"
"nicht erwerbstätig","1995","30-45","3","92","0.134905571078896","0.110004063411245","0.159807078746547"
"nicht erwerbstätig","1995","30-45","4","33","0.0843384691555315","0.058998420494192","0.109678517816871"
"nicht erwerbstätig","1995","30-45","5 Einkommensstärkstes Quintil","16","","",""
"nicht erwerbstätig","1995","46-65","1 Einkommensschwächstes Quintil","824","0.646450596525568","0.62067021104197","0.672230982009166"
"nicht erwerbstätig","1995","46-65","2","519","0.487371800268414","0.458718656396192","0.516024944140635"
"nicht erwerbstätig","1995","46-65","3","201","0.334547174129529","0.299889819207309","0.36920452905175"
