"erwst","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1985","Laendlicher Raum","maennlich","44","0.0405014286068349","0.0291522688232958","0.0518505883903739"
"Andere","1985","Laendlicher Raum","weiblich","71","0.0548532912792483","0.0420397654328123","0.0676668171256844"
"Andere","1985","Staedtischer Raum","maennlich","183","","",""
"Andere","1985","Staedtischer Raum","weiblich","218","","",""
"nicht erwerbstätig","1985","Laendlicher Raum","maennlich","340","0.345625097715068","0.318245798635287","0.373004396794848"
"nicht erwerbstätig","1985","Laendlicher Raum","weiblich","688","0.618527774939307","0.591192165863425","0.645863384015189"
"nicht erwerbstätig","1985","Staedtischer Raum","maennlich","1093","","",""
"nicht erwerbstätig","1985","Staedtischer Raum","weiblich","2418","","",""
"Teilzeit","1985","Laendlicher Raum","maennlich","6","0.00540576892578942","0.0011843536271978","0.00962718422438104"
"Teilzeit","1985","Laendlicher Raum","weiblich","157","","",""
"Teilzeit","1985","Staedtischer Raum","maennlich","51","0.013533001214565","0.0100613454983876","0.0170046569307424"
"Teilzeit","1985","Staedtischer Raum","weiblich","540","0.117740059635427","0.108215793641946","0.127264325628908"
"voll erwerbstätig","1985","Laendlicher Raum","maennlich","769","0.608467704752308","0.580367535586667","0.636567873917949"
"voll erwerbstätig","1985","Laendlicher Raum","weiblich","297","","",""
"voll erwerbstätig","1985","Staedtischer Raum","maennlich","2928","","",""
"voll erwerbstätig","1985","Staedtischer Raum","weiblich","1223","","",""
"Andere","1986","Laendlicher Raum","maennlich","61","0.0521795166665475","0.0390493461924671","0.065309687140628"
"Andere","1986","Laendlicher Raum","weiblich","99","0.0796635102550961","0.0640680982876851","0.0952589222225071"
"Andere","1986","Staedtischer Raum","maennlich","189","","",""
"Andere","1986","Staedtischer Raum","weiblich","281","","",""
"nicht erwerbstätig","1986","Laendlicher Raum","maennlich","305","0.330041062631653","0.302278127736216","0.357803997527091"
"nicht erwerbstätig","1986","Laendlicher Raum","weiblich","641","0.602208878651623","0.574018888042987","0.630398869260259"
"nicht erwerbstätig","1986","Staedtischer Raum","maennlich","1081","","",""
"nicht erwerbstätig","1986","Staedtischer Raum","weiblich","2288","","",""
"Teilzeit","1986","Laendlicher Raum","maennlich","10","","",""
"Teilzeit","1986","Laendlicher Raum","weiblich","125","","",""
"Teilzeit","1986","Staedtischer Raum","maennlich","55","0.0140668409332607","0.0104747470871895","0.0176589347793319"
"Teilzeit","1986","Staedtischer Raum","weiblich","451","0.10305118098088","0.0938499868071929","0.112252375154568"
"voll erwerbstätig","1986","Laendlicher Raum","maennlich","726","0.608755672744724","0.579941720555205","0.637569624934244"
"voll erwerbstätig","1986","Laendlicher Raum","weiblich","293","","",""
"voll erwerbstätig","1986","Staedtischer Raum","maennlich","2804","","",""
"voll erwerbstätig","1986","Staedtischer Raum","weiblich","1174","","",""
"Andere","1987","Laendlicher Raum","maennlich","68","0.0526360399523101","0.0393242861284444","0.0659477937761759"
"Andere","1987","Laendlicher Raum","weiblich","92","0.0673148198447882","0.0528014510991765","0.0818281885903999"
"Andere","1987","Staedtischer Raum","maennlich","228","","",""
"Andere","1987","Staedtischer Raum","weiblich","259","","",""
"nicht erwerbstätig","1987","Laendlicher Raum","maennlich","280","","",""
"nicht erwerbstätig","1987","Laendlicher Raum","weiblich","600","0.574791776098233","0.546156495155689","0.603427057040777"
"nicht erwerbstätig","1987","Staedtischer Raum","maennlich","1076","","",""
"nicht erwerbstätig","1987","Staedtischer Raum","weiblich","2229","","",""
"Teilzeit","1987","Laendlicher Raum","maennlich","10","","",""
"Teilzeit","1987","Laendlicher Raum","weiblich","160","","",""
"Teilzeit","1987","Staedtischer Raum","maennlich","33","0.00996832054395438","0.0069241505947547","0.0130124904931541"
"Teilzeit","1987","Staedtischer Raum","weiblich","485","0.112817954461083","0.103171595536832","0.122464313385334"
"voll erwerbstätig","1987","Laendlicher Raum","maennlich","723","0.625456051825833","0.596603446461296","0.65430865719037"
"voll erwerbstätig","1987","Laendlicher Raum","weiblich","293","","",""
"voll erwerbstätig","1987","Staedtischer Raum","maennlich","2754","","",""
"voll erwerbstätig","1987","Staedtischer Raum","weiblich","1159","","",""
"Andere","1988","Laendlicher Raum","maennlich","61","0.0508741236120542","0.0374086804351758","0.0643395667889327"
"Andere","1988","Laendlicher Raum","weiblich","88","0.072449890882587","0.0568808863379704","0.0880188954272037"
"Andere","1988","Staedtischer Raum","maennlich","230","","",""
"Andere","1988","Staedtischer Raum","weiblich","257","","",""
"nicht erwerbstätig","1988","Laendlicher Raum","maennlich","289","","",""
"nicht erwerbstätig","1988","Laendlicher Raum","weiblich","560","0.581559462033055","0.551932492826906","0.611186431239203"
"nicht erwerbstätig","1988","Staedtischer Raum","maennlich","1027","","",""
"nicht erwerbstätig","1988","Staedtischer Raum","weiblich","2130","","",""
"Teilzeit","1988","Laendlicher Raum","maennlich","4","0.00297879607754675","-0.000360714767303754","0.00631830692239725"
"Teilzeit","1988","Laendlicher Raum","weiblich","140","","",""
