"erwst","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","17-29","(noch) kein Abschluss","82","0.110457831038293","0.0797776844273616","0.141137977649224"
"voll erwerbstätig","1984","17-29","Hauptschule","849","0.55749852239778","0.533038901288011","0.58195814350755"
"voll erwerbstätig","1984","17-29","Realschule","356","0.446943409720377","0.412851752148224","0.48103506729253"
"voll erwerbstätig","1984","17-29","(Fach-)Abitur","112","0.208183472059065","0.172012447104699","0.244354497013432"
"voll erwerbstätig","1984","17-29","AkademikerIn","78","0.602057996981812","0.517262622655853","0.68685337130777"
"voll erwerbstätig","1984","30-45","(noch) kein Abschluss","268","0.562328032514815","0.516234783873109","0.608421281156521"
"voll erwerbstätig","1984","30-45","Hauptschule","1368","0.56614520920024","0.54593465520935","0.58635576319113"
"voll erwerbstätig","1984","30-45","Realschule","299","0.593727003129295","0.551554283473881","0.63589972278471"
"voll erwerbstätig","1984","30-45","(Fach-)Abitur","135","0.575831359735428","0.509147028773581","0.642515690697274"
"voll erwerbstätig","1984","30-45","AkademikerIn","291","0.776747256466819","0.734767447554799","0.818727065378839"
"voll erwerbstätig","1984","46-65","(noch) kein Abschluss","247","0.539457673215314","0.491617413755582","0.587297932675047"
"voll erwerbstätig","1984","46-65","Hauptschule","1121","0.424700398210456","0.404908244507375","0.444492551913537"
"voll erwerbstätig","1984","46-65","Realschule","168","0.449250927470527","0.39856719295309","0.499934661987964"
"voll erwerbstätig","1984","46-65","(Fach-)Abitur","83","0.604858614713025","0.519155564531855","0.690561664894195"
"voll erwerbstätig","1984","46-65","AkademikerIn","160","0.702683694697163","0.642422011792451","0.762945377601875"
"voll erwerbstätig","1984","66","(noch) kein Abschluss","","","",""
"voll erwerbstätig","1984","66","Hauptschule","","","",""
"voll erwerbstätig","1984","66","Realschule","","","",""
"voll erwerbstätig","1984","66","(Fach-)Abitur","","","",""
"voll erwerbstätig","1984","66","AkademikerIn","","","",""
"Teilzeit","1984","17-29","(noch) kein Abschluss","4","","",""
"Teilzeit","1984","17-29","Hauptschule","38","0.022478323345432","0.0151784444069706","0.0297782022838934"
"Teilzeit","1984","17-29","Realschule","29","","",""
"Teilzeit","1984","17-29","(Fach-)Abitur","17","","",""
"Teilzeit","1984","17-29","AkademikerIn","5","","",""
"Teilzeit","1984","30-45","(noch) kein Abschluss","11","","",""
"Teilzeit","1984","30-45","Hauptschule","207","0.100248370788717","0.0880010220727817","0.112495719504653"
"Teilzeit","1984","30-45","Realschule","72","0.124092479606062","0.0957830520055376","0.152401907206586"
"Teilzeit","1984","30-45","(Fach-)Abitur","15","","",""
"Teilzeit","1984","30-45","AkademikerIn","37","0.0979429602779712","0.0679785452117689","0.127907375344174"
"Teilzeit","1984","46-65","(noch) kein Abschluss","15","","",""
"Teilzeit","1984","46-65","Hauptschule","145","0.0643967564017578","0.054568362811457","0.0742251499920586"
